File name = D1_slice_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.949675e+002
2.929655e+001, 2.949847e+002
5.859310e+001, 2.972398e+002
8.788965e+001, 2.979182e+002
1.171862e+002, 2.981134e+002
1.464828e+002, 2.981051e+002
1.757793e+002, 2.981477e+002
2.050759e+002, 2.980886e+002
2.343724e+002, 2.982838e+002
2.636690e+002, 2.983518e+002
2.929655e+002, 2.983690e+002
3.222621e+002, 2.983607e+002
3.515586e+002, 2.983016e+002
3.808552e+002, 2.978610e+002
4.101517e+002, 2.980816e+002
4.394483e+002, 2.980225e+002
4.687448e+002, 2.979888e+002
4.980414e+002, 2.981077e+002
5.273379e+002, 2.982774e+002
5.566345e+002, 2.987015e+002
5.859310e+002, 2.987695e+002
6.152276e+002, 2.990156e+002
6.445241e+002, 2.995414e+002
6.738207e+002, 2.988973e+002
7.031172e+002, 2.988128e+002
7.324138e+002, 2.988554e+002
7.617103e+002, 2.990506e+002
7.910069e+002, 2.994492e+002
8.203034e+002, 2.998987e+002
8.496000e+002, 2.995344e+002
8.788965e+002, 2.991955e+002
9.081931e+002, 2.991110e+002
9.374896e+002, 2.989247e+002
9.667862e+002, 2.989164e+002
9.960828e+002, 2.989336e+002
1.025379e+003, 2.987727e+002
1.054676e+003, 2.986119e+002
1.083972e+003, 2.986545e+002
1.113269e+003, 2.983156e+002
1.142566e+003, 2.980022e+002
1.171862e+003, 2.978667e+002
1.201159e+003, 2.976042e+002
1.230455e+003, 2.981045e+002
1.259752e+003, 2.989101e+002
1.289048e+003, 2.992578e+002
1.318345e+003, 2.989953e+002
1.347641e+003, 2.986564e+002
1.376938e+003, 2.986990e+002
1.406234e+003, 2.991231e+002
1.435531e+003, 2.995980e+002
1.464828e+003, 3.000221e+002
1.494124e+003, 3.000647e+002
1.523421e+003, 2.992935e+002
1.552717e+003, 2.985223e+002
1.582014e+003, 2.985649e+002
1.611310e+003, 2.988363e+002
1.640607e+003, 2.993621e+002
1.669903e+003, 2.995827e+002
1.699200e+003, 2.995491e+002
1.728497e+003, 2.994899e+002
1.757793e+003, 2.984898e+002
1.787090e+003, 2.976678e+002
1.816386e+003, 2.979901e+002
1.845683e+003, 2.985413e+002
1.874979e+003, 2.986094e+002
1.904276e+003, 2.986520e+002
1.933572e+003, 2.986691e+002
1.962869e+003, 2.985083e+002
1.992166e+003, 2.983474e+002
2.021462e+003, 2.982883e+002
2.050759e+003, 2.988395e+002
2.080055e+003, 2.993399e+002
2.109352e+003, 2.994079e+002
2.138648e+003, 2.997811e+002
2.167945e+003, 2.996203e+002
2.197241e+003, 2.993577e+002
2.226538e+003, 2.991206e+002
2.255834e+003, 2.994429e+002
2.285131e+003, 2.995872e+002
2.314428e+003, 2.992484e+002
2.343724e+003, 2.988840e+002
2.373021e+003, 2.989012e+002
2.402317e+003, 2.989947e+002
2.431614e+003, 2.994187e+002
2.460910e+003, 2.997411e+002
2.490207e+003, 2.993005e+002
2.519503e+003, 2.995465e+002
2.548800e+003, 2.999706e+002
2.578097e+003, 2.996572e+002
2.607393e+003, 2.994709e+002
2.636690e+003, 2.993609e+002
2.665986e+003, 2.993781e+002
2.695283e+003, 2.992681e+002
2.724579e+003, 2.990309e+002
2.753876e+003, 2.990735e+002
2.783172e+003, 2.989127e+002
2.812469e+003, 2.991333e+002
2.841765e+003, 2.994811e+002
2.871062e+003, 2.996254e+002
2.900359e+003, 2.992865e+002
2.929655e+003, 2.991257e+002
2.958952e+003, 2.991428e+002
2.988248e+003, 2.994143e+002
3.017545e+003, 2.994315e+002
3.046841e+003, 2.994995e+002
3.076138e+003, 2.993387e+002
3.105434e+003, 2.992032e+002
3.134731e+003, 2.991950e+002
3.164028e+003, 2.992376e+002
3.193324e+003, 2.993310e+002
3.222621e+003, 2.993736e+002
3.251917e+003, 2.993654e+002
3.281214e+003, 2.994080e+002
3.310510e+003, 2.993488e+002
3.339807e+003, 2.993914e+002
3.369103e+003, 2.997647e+002
3.398400e+003, 2.998073e+002
3.427697e+003, 2.992904e+002
3.456993e+003, 2.990786e+002
3.486290e+003, 2.996044e+002
3.515586e+003, 2.997488e+002
3.544883e+003, 2.996896e+002
3.574179e+003, 2.994525e+002
3.603476e+003, 2.993679e+002
3.632772e+003, 2.994105e+002
3.662069e+003, 2.993768e+002
3.691365e+003, 2.992414e+002
3.720662e+003, 2.991314e+002
3.749959e+003, 2.988689e+002
3.779255e+003, 2.989114e+002
3.808552e+003, 2.992592e+002
3.837848e+003, 2.993018e+002
3.867145e+003, 2.993444e+002
3.896441e+003, 2.993870e+002
3.925738e+003, 2.995313e+002
3.955034e+003, 2.994722e+002
3.984331e+003, 2.988790e+002
4.013628e+003, 2.993031e+002
4.042924e+003, 2.999306e+002
4.072221e+003, 3.001512e+002
4.101517e+003, 3.000158e+002
4.130814e+003, 2.997278e+002
4.160110e+003, 2.991092e+002
4.189407e+003, 2.993298e+002
4.218703e+003, 2.999573e+002
4.248000e+003, 3.004323e+002
4.277297e+003, 3.005003e+002
4.306593e+003, 3.001360e+002
4.335890e+003, 3.001277e+002
4.365186e+003, 3.000686e+002
4.394483e+003, 2.998569e+002
4.423779e+003, 2.998741e+002
4.453076e+003, 3.001964e+002
4.482372e+003, 2.995778e+002
4.511669e+003, 2.994678e+002
4.540965e+003, 2.995104e+002
4.570262e+003, 2.995530e+002
4.599559e+003, 2.993158e+002
4.628855e+003, 2.993584e+002
4.658152e+003, 2.991976e+002
