File name = B4_slice_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.524569e+002
2.929655e+001, 4.523203e+002
5.859310e+001, 4.529974e+002
8.788965e+001, 4.535220e+002
1.171862e+002, 4.536906e+002
1.464828e+002, 4.542152e+002
1.757793e+002, 4.549686e+002
2.050759e+002, 4.557221e+002
2.343724e+002, 4.563738e+002
2.636690e+002, 4.571273e+002
2.929655e+002, 4.579825e+002
3.222621e+002, 4.591683e+002
3.515586e+002, 4.605321e+002
3.808552e+002, 4.621757e+002
4.101517e+002, 4.642515e+002
4.394483e+002, 4.660477e+002
4.687448e+002, 4.666486e+002
4.980414e+002, 4.669443e+002
5.273379e+002, 4.680792e+002
5.566345e+002, 4.692650e+002
5.859310e+002, 4.711120e+002
6.152276e+002, 4.715603e+002
6.445241e+002, 4.719069e+002
6.738207e+002, 4.718465e+002
7.031172e+002, 4.718371e+002
7.324138e+002, 4.719547e+002
7.617103e+002, 4.725302e+002
7.910069e+002, 4.732582e+002
8.203034e+002, 4.738845e+002
8.496000e+002, 4.742311e+002
8.788965e+002, 4.747303e+002
9.081931e+002, 4.753311e+002
9.374896e+002, 4.752708e+002
9.667862e+002, 4.753630e+002
9.960828e+002, 4.760656e+002
1.025379e+003, 4.772260e+002
1.054676e+003, 4.784372e+002
1.083972e+003, 4.798519e+002
1.113269e+003, 4.807580e+002
1.142566e+003, 4.822744e+002
1.171862e+003, 4.837399e+002
1.201159e+003, 4.854089e+002
1.230455e+003, 4.876883e+002
1.259752e+003, 4.900693e+002
1.289048e+003, 4.929590e+002
1.318345e+003, 4.965608e+002
1.347641e+003, 5.021971e+002
1.376938e+003, 5.085454e+002
1.406234e+003, 5.133679e+002
1.435531e+003, 5.166645e+002
1.464828e+003, 5.206732e+002
1.494124e+003, 5.271233e+002
1.523421e+003, 5.360148e+002
1.552717e+003, 5.457201e+002
1.582014e+003, 5.558323e+002
1.611310e+003, 5.635030e+002
1.640607e+003, 5.682238e+002
1.669903e+003, 5.719527e+002
1.699200e+003, 5.766481e+002
1.728497e+003, 5.819792e+002
1.757793e+003, 5.868016e+002
1.787090e+003, 5.899965e+002
1.816386e+003, 5.919961e+002
1.845683e+003, 5.930293e+002
1.874979e+003, 5.931470e+002
1.904276e+003, 5.938242e+002
1.933572e+003, 5.929500e+002
1.962869e+003, 5.913130e+002
1.992166e+003, 5.879974e+002
2.021462e+003, 5.838681e+002
2.050759e+003, 5.800947e+002
2.080055e+003, 5.756094e+002
2.109352e+003, 5.693946e+002
2.138648e+003, 5.606876e+002
2.167945e+003, 5.516755e+002
2.197241e+003, 5.435788e+002
2.226538e+003, 5.369064e+002
2.255834e+003, 5.300559e+002
2.285131e+003, 5.229510e+002
2.314428e+003, 5.148544e+002
2.343724e+003, 5.067069e+002
2.373021e+003, 4.984577e+002
2.402317e+003, 4.913020e+002
2.431614e+003, 4.861300e+002
2.460910e+003, 4.824075e+002
2.490207e+003, 4.793971e+002
2.519503e+003, 4.765902e+002
2.548800e+003, 4.735798e+002
2.578097e+003, 4.703660e+002
2.607393e+003, 4.677625e+002
2.636690e+003, 4.653880e+002
2.665986e+003, 4.641069e+002
2.695283e+003, 4.632073e+002
2.724579e+003, 4.619263e+002
2.753876e+003, 4.604672e+002
2.783172e+003, 4.589573e+002
2.812469e+003, 4.580832e+002
2.841765e+003, 4.572345e+002
2.871062e+003, 4.567418e+002
2.900359e+003, 4.565797e+002
2.929655e+003, 4.565194e+002
2.958952e+003, 4.561539e+002
2.988248e+003, 4.557121e+002
3.017545e+003, 4.558552e+002
3.046841e+003, 4.559729e+002
3.076138e+003, 4.555056e+002
3.105434e+003, 4.554453e+002
3.134731e+003, 4.560970e+002
3.164028e+003, 4.568505e+002
3.193324e+003, 4.572988e+002
3.222621e+003, 4.583574e+002
3.251917e+003, 4.592381e+002
3.281214e+003, 4.603730e+002
3.310510e+003, 4.614316e+002
3.339807e+003, 4.623631e+002
3.369103e+003, 4.634472e+002
3.398400e+003, 4.646076e+002
3.427697e+003, 4.657679e+002
3.456993e+003, 4.669283e+002
3.486290e+003, 4.684956e+002
3.515586e+003, 4.692999e+002
3.544883e+003, 4.699008e+002
3.574179e+003, 4.706542e+002
3.603476e+003, 4.722215e+002
3.632772e+003, 4.733056e+002
3.662069e+003, 4.742371e+002
3.691365e+003, 4.750159e+002
3.720662e+003, 4.757440e+002
3.749959e+003, 4.765737e+002
3.779255e+003, 4.775561e+002
3.808552e+003, 4.783096e+002
3.837848e+003, 4.795716e+002
3.867145e+003, 4.806303e+002
3.896441e+003, 4.805700e+002
3.925738e+003, 4.805096e+002
3.955034e+003, 4.805510e+002
3.984331e+003, 4.812027e+002
4.013628e+003, 4.819562e+002
4.042924e+003, 4.827097e+002
4.072221e+003, 4.834631e+002
4.101517e+003, 4.842166e+002
4.130814e+003, 4.850718e+002
4.160110e+003, 4.865373e+002
4.189407e+003, 4.877994e+002
4.218703e+003, 4.898245e+002
4.248000e+003, 4.928667e+002
4.277297e+003, 4.957819e+002
4.306593e+003, 4.993582e+002
4.335890e+003, 5.037738e+002
4.365186e+003, 5.089014e+002
4.394483e+003, 5.138257e+002
4.423779e+003, 5.178343e+002
4.453076e+003, 5.212581e+002
4.482372e+003, 5.265638e+002
4.511669e+003, 5.338276e+002
4.540965e+003, 5.420071e+002
4.570262e+003, 5.493472e+002
4.599559e+003, 5.549581e+002
4.628855e+003, 5.589668e+002
4.658152e+003, 5.629246e+002
4.687448e+003, 5.676453e+002
4.716745e+003, 5.718066e+002
4.746041e+003, 5.761713e+002
4.775338e+003, 5.798239e+002
4.804634e+003, 5.821542e+002
4.833931e+003, 5.829076e+002
4.863228e+003, 5.820843e+002
4.892524e+003, 5.810576e+002
4.921821e+003, 5.793697e+002
4.951117e+003, 5.764610e+002
4.980414e+003, 5.716450e+002
5.009710e+003, 5.662187e+002
5.039007e+003, 5.597242e+002
5.068303e+003, 5.539418e+002
5.097600e+003, 5.474219e+002
5.126897e+003, 5.406986e+002
5.156193e+003, 5.334157e+002
5.185490e+003, 5.268959e+002
5.214786e+003, 5.210880e+002
5.244083e+003, 5.145173e+002
5.273379e+003, 5.063698e+002
5.302676e+003, 4.989343e+002
5.331972e+003, 4.919567e+002
5.361269e+003, 4.857928e+002
5.390565e+003, 4.807480e+002
5.419862e+003, 4.767712e+002
5.449159e+003, 4.742186e+002
5.478455e+003, 4.716151e+002
5.507752e+003, 4.679944e+002
5.537048e+003, 4.650857e+002
5.566345e+003, 4.633978e+002
5.595641e+003, 4.624219e+002
5.624938e+003, 4.612426e+002
5.654234e+003, 4.600124e+002
5.683531e+003, 4.590874e+002
5.712828e+003, 4.582133e+002
5.742124e+003, 4.581530e+002
5.771421e+003, 4.585250e+002
5.800717e+003, 4.584392e+002
5.830014e+003, 4.578702e+002
5.859310e+003, 4.569961e+002
5.888607e+003, 4.564525e+002
5.917903e+003, 4.569771e+002
5.947200e+003, 4.573237e+002
5.976497e+003, 4.576703e+002
6.005793e+003, 4.583220e+002
6.035090e+003, 4.585923e+002
6.064386e+003, 4.591169e+002
6.093683e+003, 4.598703e+002
6.122979e+003, 4.602169e+002
6.152276e+003, 4.605634e+002
6.181572e+003, 4.615458e+002
6.210869e+003, 4.620704e+002
6.240165e+003, 4.620609e+002
6.269462e+003, 4.626618e+002
6.298759e+003, 4.631355e+002
6.328055e+003, 4.646773e+002
6.357352e+003, 4.665498e+002
6.386648e+003, 4.681170e+002
6.415945e+003, 4.685653e+002
6.445241e+003, 4.685050e+002
6.474538e+003, 4.687498e+002
6.503834e+003, 4.695033e+002
6.533131e+003, 4.705874e+002
6.562428e+003, 4.718240e+002
6.591724e+003, 4.725775e+002
6.621021e+003, 4.733310e+002
6.650317e+003, 4.738047e+002
6.679614e+003, 4.740241e+002
6.708910e+003, 4.740655e+002
6.738207e+003, 4.748189e+002
6.767503e+003, 4.755724e+002
6.796800e+003, 4.763259e+002
6.826096e+003, 4.770793e+002
6.855393e+003, 4.770699e+002
6.884690e+003, 4.770350e+002
