File name = CD_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 6.701168e+002
3.907532e+001, 6.680752e+002
7.815064e+001, 6.693143e+002
1.172260e+002, 6.694344e+002
1.563013e+002, 6.694528e+002
1.953766e+002, 6.693694e+002
2.344519e+002, 6.686757e+002
2.735272e+002, 6.686940e+002
3.126026e+002, 6.687124e+002
3.516779e+002, 6.687308e+002
3.907532e+002, 6.687491e+002
4.298285e+002, 6.694796e+002
4.689038e+002, 6.694979e+002
5.079791e+002, 6.696180e+002
5.470545e+002, 6.696872e+002
5.861298e+002, 6.696547e+002
6.252051e+002, 6.695714e+002
6.642804e+002, 6.688777e+002
7.033557e+002, 6.688960e+002
7.424311e+002, 6.693213e+002
7.815064e+002, 6.693396e+002
8.205817e+002, 6.689511e+002
8.596570e+002, 6.689695e+002
8.987323e+002, 6.689878e+002
9.378077e+002, 6.690062e+002
9.768830e+002, 6.682107e+002
1.015958e+003, 6.682291e+002
1.055034e+003, 6.682729e+002
1.094109e+003, 6.682913e+002
1.133184e+003, 6.682842e+002
1.172260e+003, 6.683788e+002
1.211335e+003, 6.683972e+002
1.250410e+003, 6.684156e+002
1.289486e+003, 6.691714e+002
1.328561e+003, 6.691898e+002
1.367636e+003, 6.692082e+002
1.406711e+003, 6.692265e+002
1.445787e+003, 6.699570e+002
1.484862e+003, 6.700770e+002
1.523937e+003, 6.700954e+002
1.563013e+003, 6.701138e+002
1.602088e+003, 6.701830e+002
1.641163e+003, 6.708626e+002
1.680239e+003, 6.708809e+002
1.719314e+003, 6.702381e+002
1.758389e+003, 6.702056e+002
1.797465e+003, 6.701222e+002
1.836540e+003, 6.694285e+002
1.875615e+003, 6.694468e+002
1.914691e+003, 6.694652e+002
1.953766e+003, 6.694836e+002
1.992841e+003, 6.695019e+002
2.031917e+003, 6.695203e+002
2.070992e+003, 6.695387e+002
2.110067e+003, 6.695570e+002
2.149143e+003, 6.695754e+002
2.188218e+003, 6.695937e+002
2.227293e+003, 6.688237e+002
2.266369e+003, 6.688167e+002
2.305444e+003, 6.687333e+002
2.344519e+003, 6.688534e+002
2.383594e+003, 6.689480e+002
2.422670e+003, 6.689155e+002
2.461745e+003, 6.689085e+002
2.500820e+003, 6.688251e+002
2.539896e+003, 6.689452e+002
2.578971e+003, 6.689635e+002
2.618046e+003, 6.689819e+002
2.657122e+003, 6.698141e+002
2.696197e+003, 6.702393e+002
2.735272e+003, 6.705629e+002
2.774348e+003, 6.706830e+002
2.813423e+003, 6.707013e+002
2.852498e+003, 6.707197e+002
2.891574e+003, 6.699242e+002
2.930649e+003, 6.699426e+002
2.969724e+003, 6.699610e+002
3.008800e+003, 6.699793e+002
3.047875e+003, 6.692602e+002
3.086950e+003, 6.692277e+002
3.126026e+003, 6.692460e+002
3.165101e+003, 6.692390e+002
3.204176e+003, 6.692573e+002
3.243251e+003, 6.692757e+002
3.282327e+003, 6.692940e+002
3.321402e+003, 6.693124e+002
3.360477e+003, 6.692290e+002
3.399553e+003, 6.693491e+002
3.438628e+003, 6.685791e+002
3.477703e+003, 6.685720e+002
3.516779e+003, 6.685904e+002
3.555854e+003, 6.693208e+002
3.594929e+003, 6.694409e+002
3.634005e+003, 6.694593e+002
3.673080e+003, 6.694777e+002
3.712155e+003, 6.695723e+002
3.751231e+003, 6.703282e+002
3.790306e+003, 6.703465e+002
3.829381e+003, 6.703649e+002
3.868457e+003, 6.703833e+002
3.907532e+003, 6.704016e+002
3.946607e+003, 6.703183e+002
3.985683e+003, 6.696500e+002
4.024758e+003, 6.696429e+002
4.063833e+003, 6.696613e+002
4.102908e+003, 6.695779e+002
4.141984e+003, 6.689096e+002
4.181059e+003, 6.689025e+002
4.220134e+003, 6.681834e+002
4.259210e+003, 6.689393e+002
4.298285e+003, 6.689576e+002
4.337360e+003, 6.690269e+002
4.376436e+003, 6.689943e+002
4.415511e+003, 6.689110e+002
4.454586e+003, 6.690311e+002
4.493662e+003, 6.689477e+002
4.532737e+003, 6.690678e+002
4.571812e+003, 6.682724e+002
4.610888e+003, 6.674769e+002
4.649963e+003, 6.674953e+002
4.689038e+003, 6.682257e+002
4.728114e+003, 6.683458e+002
4.767189e+003, 6.683642e+002
4.806264e+003, 6.682808e+002
4.845340e+003, 6.675871e+002
4.884415e+003, 6.676054e+002
4.923490e+003, 6.683359e+002
4.962566e+003, 6.683542e+002
5.001641e+003, 6.676605e+002
5.040716e+003, 6.676789e+002
5.079791e+003, 6.681041e+002
5.118867e+003, 6.677156e+002
5.157942e+003, 6.684460e+002
5.197017e+003, 6.685661e+002
5.236093e+003, 6.685845e+002
5.275168e+003, 6.693149e+002
5.314243e+003, 6.686721e+002
5.353319e+003, 6.686904e+002
5.392394e+003, 6.686579e+002
5.431469e+003, 6.686763e+002
5.470545e+003, 6.694067e+002
5.509620e+003, 6.695268e+002
5.548695e+003, 6.695452e+002
5.587771e+003, 6.695635e+002
5.626846e+003, 6.696073e+002
5.665921e+003, 6.696003e+002
5.704997e+003, 6.696695e+002
5.744072e+003, 6.703491e+002
5.783147e+003, 6.696553e+002
5.822223e+003, 6.688853e+002
5.861298e+003, 6.688783e+002
5.900373e+003, 6.687949e+002
5.939448e+003, 6.681520e+002
5.978524e+003, 6.681195e+002
6.017599e+003, 6.680870e+002
6.056674e+003, 6.681054e+002
