File name = C2_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.071104e+002
3.907532e+001, 4.070340e+002
7.815064e+001, 4.075680e+002
1.172260e+002, 3.913173e+002
1.563013e+002, 3.712264e+002
1.953766e+002, 3.478550e+002
2.344519e+002, 3.230593e+002
2.735272e+002, 3.009848e+002
3.126026e+002, 2.848358e+002
3.516779e+002, 2.739003e+002
3.907532e+002, 2.655841e+002
4.298285e+002, 2.579546e+002
4.689038e+002, 2.499437e+002
5.079791e+002, 2.422633e+002
5.470545e+002, 2.368718e+002
5.861298e+002, 2.339725e+002
6.252051e+002, 2.336672e+002
6.642804e+002, 2.338197e+002
7.033557e+002, 2.346589e+002
7.424311e+002, 2.359049e+002
7.815064e+002, 2.389820e+002
8.205817e+002, 2.453143e+002
8.596570e+002, 2.555122e+002
8.987323e+002, 2.665239e+002
9.378077e+002, 2.771287e+002
9.768830e+002, 2.901748e+002
1.015958e+003, 3.117659e+002
1.055034e+003, 3.421817e+002
1.094109e+003, 3.734622e+002
1.133184e+003, 3.985119e+002
1.172260e+003, 4.180686e+002
1.211335e+003, 4.367859e+002
1.250410e+003, 4.531127e+002
1.289486e+003, 4.669727e+002
1.328561e+003, 4.771706e+002
1.367636e+003, 4.840878e+002
1.406711e+003, 4.881822e+002
1.445787e+003, 4.906744e+002
1.484862e+003, 4.923273e+002
1.523937e+003, 4.939802e+002
1.563013e+003, 4.940056e+002
1.602088e+003, 4.940055e+002
1.641163e+003, 4.924287e+002
1.680239e+003, 4.916148e+002
1.719314e+003, 4.900125e+002
1.758389e+003, 4.876219e+002
1.797465e+003, 4.858924e+002
1.836540e+003, 4.827897e+002
1.875615e+003, 4.803737e+002
1.914691e+003, 4.794580e+002
1.953766e+003, 4.787967e+002
1.992841e+003, 4.782117e+002
2.031917e+003, 4.780336e+002
2.070992e+003, 4.780589e+002
2.110067e+003, 4.788981e+002
2.149143e+003, 4.797372e+002
2.188218e+003, 4.805764e+002
2.227293e+003, 4.814155e+002
2.266369e+003, 4.830430e+002
2.305444e+003, 4.843145e+002
2.344519e+003, 4.855605e+002
2.383594e+003, 4.871880e+002
2.422670e+003, 4.887393e+002
2.461745e+003, 4.897056e+002
2.500820e+003, 4.913331e+002
2.539896e+003, 4.917908e+002
2.578971e+003, 4.926299e+002
2.618046e+003, 4.926552e+002
2.657122e+003, 4.918668e+002
2.696197e+003, 4.905442e+002
2.735272e+003, 4.882299e+002
2.774348e+003, 4.850255e+002
2.813423e+003, 4.801680e+002
2.852498e+003, 4.736575e+002
2.891574e+003, 4.651633e+002
2.930649e+003, 4.558299e+002
2.969724e+003, 4.444620e+002
3.008800e+003, 4.314665e+002
3.047875e+003, 4.160296e+002
3.086950e+003, 3.989651e+002
3.126026e+003, 3.786199e+002
3.165101e+003, 3.565709e+002
3.204176e+003, 3.347253e+002
3.243251e+003, 3.160586e+002
3.282327e+003, 3.010286e+002
3.321402e+003, 2.886434e+002
3.360477e+003, 2.766652e+002
3.399553e+003, 2.636697e+002
3.438628e+003, 2.520983e+002
3.477703e+003, 2.439856e+002
3.516779e+003, 2.393062e+002
3.555854e+003, 2.361017e+002
3.594929e+003, 2.344995e+002
3.634005e+003, 2.335075e+002
3.673080e+003, 2.332023e+002
3.712155e+003, 2.335582e+002
3.751231e+003, 2.360250e+002
3.790306e+003, 2.399159e+002
3.829381e+003, 2.450275e+002
3.868457e+003, 2.509529e+002
3.907532e+003, 2.603115e+002
3.946607e+003, 2.752142e+002
3.985683e+003, 3.001368e+002
4.024758e+003, 3.304000e+002
4.063833e+003, 3.584761e+002
4.102908e+003, 3.780581e+002
4.141984e+003, 3.943595e+002
4.181059e+003, 4.126700e+002
4.220134e+003, 4.338796e+002
4.259210e+003, 4.534362e+002
4.298285e+003, 4.681100e+002
4.337360e+003, 4.770872e+002
4.376436e+003, 4.828091e+002
4.415511e+003, 4.869035e+002
4.454586e+003, 4.901840e+002
4.493662e+003, 4.926508e+002
4.532737e+003, 4.945072e+002
4.571812e+003, 4.955498e+002
4.610888e+003, 4.951428e+002
4.649963e+003, 4.935659e+002
4.689038e+003, 4.919637e+002
4.728114e+003, 4.919636e+002
4.767189e+003, 4.911751e+002
4.806264e+003, 4.903867e+002
4.845340e+003, 4.887844e+002
4.884415e+003, 4.871821e+002
4.923490e+003, 4.856053e+002
4.962566e+003, 4.848168e+002
5.001641e+003, 4.848422e+002
5.040716e+003, 4.844606e+002
5.079791e+003, 4.833161e+002
5.118867e+003, 4.832906e+002
5.157942e+003, 4.832905e+002
5.197017e+003, 4.833413e+002
5.236093e+003, 4.840532e+002
5.275168e+003, 4.842057e+002
5.314243e+003, 4.850194e+002
5.353319e+003, 4.850702e+002
5.392394e+003, 4.863163e+002
5.431469e+003, 4.875623e+002
5.470545e+003, 4.891898e+002
5.509620e+003, 4.900290e+002
5.548695e+003, 4.916819e+002
5.587771e+003, 4.925465e+002
5.626846e+003, 4.935891e+002
5.665921e+003, 4.942248e+002
5.704997e+003, 4.938432e+002
5.744072e+003, 4.926478e+002
5.783147e+003, 4.894180e+002
5.822223e+003, 4.853743e+002
5.861298e+003, 4.792961e+002
5.900373e+003, 4.722770e+002
5.939448e+003, 4.634776e+002
5.978524e+003, 4.537119e+002
6.017599e+003, 4.391142e+002
6.056674e+003, 4.202949e+002
6.095750e+003, 3.988817e+002
6.134825e+003, 3.796555e+002
6.173900e+003, 3.619043e+002
6.212976e+003, 3.442295e+002
6.252051e+003, 3.255373e+002
6.291126e+003, 3.066418e+002
6.330202e+003, 2.891703e+002
6.369277e+003, 2.745472e+002
6.408352e+003, 2.627724e+002
6.447428e+003, 2.546598e+002
6.486503e+003, 2.485816e+002
6.525578e+003, 2.440038e+002
6.564654e+003, 2.396804e+002
6.603729e+003, 2.368574e+002
6.642804e+003, 2.354586e+002
6.681880e+003, 2.351534e+002
6.720955e+003, 2.359925e+002
6.760030e+003, 2.377472e+002
6.799106e+003, 2.410277e+002
6.838181e+003, 2.479958e+002
6.877256e+003, 2.581937e+002
6.916331e+003, 2.696123e+002
6.955407e+003, 2.818446e+002
6.994482e+003, 2.985529e+002
7.033557e+003, 3.229924e+002
7.072633e+003, 3.525943e+002
7.111708e+003, 3.828575e+002
7.150783e+003, 4.097384e+002
7.189859e+003, 4.308971e+002
7.228934e+003, 4.464102e+002
7.268009e+003, 4.602701e+002
7.307085e+003, 4.733163e+002
7.346160e+003, 4.846077e+002
7.385235e+003, 4.912707e+002
7.424311e+003, 4.957719e+002
7.463386e+003, 4.993322e+002
7.502461e+003, 5.011123e+002
7.541537e+003, 5.019514e+002
7.580612e+003, 5.023837e+002
7.619687e+003, 5.019767e+002
7.658763e+003, 5.012137e+002
7.697838e+003, 5.000183e+002
7.736913e+003, 4.992298e+002
7.775988e+003, 4.980345e+002
7.815064e+003, 4.964322e+002
7.854139e+003, 4.944230e+002
7.893214e+003, 4.932022e+002
7.932290e+003, 4.924392e+002
7.971365e+003, 4.923374e+002
8.010440e+003, 4.916761e+002
8.049516e+003, 4.916760e+002
8.088591e+003, 4.915996e+002
8.127666e+003, 4.909129e+002
8.166742e+003, 4.901498e+002
8.205817e+003, 4.901497e+002
8.244892e+003, 4.901751e+002
8.283968e+003, 4.902004e+002
8.323043e+003, 4.902512e+002
8.362118e+003, 4.902511e+002
8.401194e+003, 4.903019e+002
8.440269e+003, 4.911156e+002
8.479344e+003, 4.919547e+002
8.518420e+003, 4.927939e+002
8.557495e+003, 4.936330e+002
8.596570e+003, 4.944976e+002
8.635646e+003, 4.953367e+002
8.674721e+003, 4.969897e+002
8.713796e+003, 4.986172e+002
8.752871e+003, 4.986679e+002
8.791947e+003, 4.978540e+002
8.831022e+003, 4.962518e+002
8.870097e+003, 4.934288e+002
8.909173e+003, 4.898175e+002
8.948248e+003, 4.849600e+002
8.987323e+003, 4.791616e+002
9.026399e+003, 4.703622e+002
9.065474e+003, 4.596810e+002
9.104549e+003, 4.476010e+002
9.143625e+003, 4.346309e+002
9.182700e+003, 4.216354e+002
9.221775e+003, 4.053847e+002
9.260851e+003, 3.850650e+002
9.299926e+003, 3.610831e+002
9.339001e+003, 3.362875e+002
9.378077e+003, 3.159678e+002
9.417152e+003, 3.013447e+002
9.456227e+003, 2.916044e+002
9.495303e+003, 2.820675e+002
9.534378e+003, 2.709031e+002
9.573453e+003, 2.598149e+002
9.612528e+003, 2.508884e+002
9.651604e+003, 2.453443e+002
9.690679e+003, 2.420890e+002
9.729754e+003, 2.405122e+002
9.768830e+003, 2.397237e+002
9.807905e+003, 2.393167e+002
9.846980e+003, 2.393675e+002
9.886056e+003, 2.414273e+002
9.925131e+003, 2.450893e+002
9.964206e+003, 2.495906e+002
1.000328e+004, 2.549056e+002
1.004236e+004, 2.635013e+002
1.008143e+004, 2.783786e+002
1.012051e+004, 3.009869e+002
1.015958e+004, 3.294954e+002
1.019866e+004, 3.565797e+002
1.023773e+004, 3.775604e+002
1.027681e+004, 3.954640e+002
1.031588e+004, 4.162667e+002
1.035496e+004, 4.402738e+002
1.039403e+004, 4.622718e+002
1.043311e+004, 4.761572e+002
1.047219e+004, 4.843206e+002
1.051126e+004, 4.884149e+002
1.055034e+004, 4.924839e+002
1.058941e+004, 4.966037e+002
1.062849e+004, 5.006980e+002
1.066756e+004, 5.039531e+002
1.070664e+004, 5.046905e+002
1.074571e+004, 5.040292e+002
1.078479e+004, 5.032408e+002
1.082386e+004, 5.020454e+002
1.086294e+004, 5.008500e+002
1.090201e+004, 4.986374e+002
1.094109e+004, 4.960179e+002
1.098016e+004, 4.944156e+002
1.101924e+004, 4.936017e+002
1.105832e+004, 4.918977e+002
1.109739e+004, 4.896088e+002
1.113647e+004, 4.880066e+002
1.117554e+004, 4.872181e+002
1.121462e+004, 4.864296e+002
1.125369e+004, 4.856412e+002
1.129277e+004, 4.858700e+002
1.133184e+004, 4.865057e+002
1.137092e+004, 4.881332e+002
1.140999e+004, 4.889977e+002
1.144907e+004, 4.898369e+002
1.148814e+004, 4.914644e+002
1.152722e+004, 4.923290e+002
1.156629e+004, 4.935496e+002
1.160537e+004, 4.940073e+002
1.164445e+004, 4.940326e+002
1.168352e+004, 4.948717e+002
1.172260e+004, 4.955837e+002
1.176167e+004, 4.957362e+002
1.180075e+004, 4.949478e+002
1.183982e+004, 4.941339e+002
1.187890e+004, 4.921501e+002
1.191797e+004, 4.893271e+002
1.195705e+004, 4.860973e+002
1.199612e+004, 4.811126e+002
1.203520e+004, 4.731271e+002
1.207427e+004, 4.646075e+002
1.211335e+004, 4.548672e+002
1.215242e+004, 4.446946e+002
1.219150e+004, 4.325383e+002
1.223057e+004, 4.178898e+002
1.226965e+004, 3.986128e+002
1.230873e+004, 3.768689e+002
1.234780e+004, 3.552013e+002
1.238688e+004, 3.374501e+002
1.242595e+004, 3.240477e+002
1.246503e+004, 3.102384e+002
1.250410e+004, 2.939877e+002
1.254318e+004, 2.777370e+002
1.258225e+004, 2.653518e+002
1.262133e+004, 2.572391e+002
1.266040e+004, 2.521782e+002
1.269948e+004, 2.481345e+002
1.273855e+004, 2.452098e+002
1.277763e+004, 2.428955e+002
1.281670e+004, 2.410898e+002
1.285578e+004, 2.400979e+002
1.289486e+004, 2.409116e+002
1.293393e+004, 2.429968e+002
1.297301e+004, 2.460739e+002
1.301208e+004, 2.503718e+002
1.305116e+004, 2.593489e+002
1.309023e+004, 2.744296e+002
1.312931e+004, 2.931724e+002
1.316838e+004, 3.115083e+002
1.320746e+004, 3.298188e+002
1.324653e+004, 3.496043e+002
1.328561e+004, 3.730264e+002
1.332468e+004, 3.990680e+002
1.336376e+004, 4.243467e+002
1.340283e+004, 4.463447e+002
1.344191e+004, 4.626461e+002
1.348099e+004, 4.732508e+002
1.352006e+004, 4.797866e+002
1.355914e+004, 4.846948e+002
1.359821e+004, 4.900098e+002
1.363729e+004, 4.943839e+002
1.367636e+004, 4.969778e+002
1.371544e+004, 4.986308e+002
1.375451e+004, 4.990630e+002
1.379359e+004, 4.994952e+002
1.383266e+004, 4.987068e+002
1.387174e+004, 4.971045e+002
1.391081e+004, 4.955022e+002
1.394989e+004, 4.939000e+002
1.398896e+004, 4.922977e+002
1.402804e+004, 4.906954e+002
1.406711e+004, 4.890932e+002
1.410619e+004, 4.882793e+002
1.414527e+004, 4.867025e+002
1.418434e+004, 4.859140e+002
1.422342e+004, 4.851255e+002
1.426249e+004, 4.851509e+002
1.430157e+004, 4.859900e+002
1.434064e+004, 4.872360e+002
1.437972e+004, 4.888890e+002
1.441879e+004, 4.901350e+002
1.445787e+004, 4.909742e+002
1.449694e+004, 4.922202e+002
1.453602e+004, 4.938477e+002
1.457509e+004, 4.943054e+002
1.461417e+004, 4.951445e+002
1.465324e+004, 4.959583e+002
1.469232e+004, 4.967974e+002
1.473140e+004, 4.968482e+002
1.477047e+004, 4.976873e+002
1.480955e+004, 4.985264e+002
1.484862e+004, 5.001794e+002
1.488770e+004, 4.993909e+002
1.492677e+004, 4.977632e+002
1.496585e+004, 4.957795e+002
1.500492e+004, 4.921427e+002
1.504400e+004, 4.872852e+002
1.508307e+004, 4.803933e+002
1.512215e+004, 4.709327e+002
1.516122e+004, 4.580644e+002
1.520030e+004, 4.449417e+002
1.523937e+004, 4.312596e+002
1.527845e+004, 4.158226e+002
1.531753e+004, 3.971305e+002
1.535660e+004, 3.743694e+002
1.539568e+004, 3.515828e+002
1.543475e+004, 3.312631e+002
1.547383e+004, 3.146309e+002
1.551290e+004, 3.012031e+002
1.555198e+004, 2.882330e+002
1.559105e+004, 2.752121e+002
1.563013e+004, 2.634627e+002
1.566920e+004, 2.553500e+002
1.570828e+004, 2.504925e+002
1.574735e+004, 2.470592e+002
1.578643e+004, 2.444397e+002
1.582550e+004, 2.424305e+002
1.586458e+004, 2.416421e+002
1.590365e+004, 2.419471e+002
1.594273e+004, 2.432949e+002
1.598181e+004, 2.461940e+002
1.602088e+004, 2.494745e+002
1.605996e+004, 2.550693e+002
1.609903e+004, 2.641737e+002
1.613811e+004, 2.790509e+002
1.617718e+004, 2.999045e+002
1.621626e+004, 3.244711e+002
1.625533e+004, 3.485036e+002
1.629441e+004, 3.692555e+002
1.633348e+004, 3.880237e+002
1.637256e+004, 4.092079e+002
1.641163e+004, 4.316128e+002
1.645071e+004, 4.522630e+002
1.648978e+004, 4.680812e+002
1.652886e+004, 4.797032e+002
1.656794e+004, 4.874597e+002
1.660701e+004, 4.931562e+002
1.664609e+004, 4.964622e+002
1.668516e+004, 4.997427e+002
1.672424e+004, 5.013957e+002
1.676331e+004, 5.022348e+002
1.680239e+004, 5.014463e+002
1.684146e+004, 4.998441e+002
1.688054e+004, 4.982418e+002
1.691961e+004, 4.970464e+002
1.695869e+004, 4.958256e+002
1.699776e+004, 4.941216e+002
1.703684e+004, 4.918327e+002
1.707591e+004, 4.902305e+002
1.711499e+004, 4.894420e+002
1.715407e+004, 4.890604e+002
1.719314e+004, 4.886789e+002
1.723222e+004, 4.880939e+002
1.727129e+004, 4.875089e+002
1.731037e+004, 4.871273e+002
1.734944e+004, 4.871526e+002
1.738852e+004, 4.879663e+002
1.742759e+004, 4.882206e+002
1.746667e+004, 4.896701e+002
1.750574e+004, 4.921114e+002
1.754482e+004, 4.937897e+002
1.758389e+004, 4.954427e+002
1.762297e+004, 4.970956e+002
1.766204e+004, 4.987486e+002
1.770112e+004, 5.004015e+002
1.774019e+004, 5.020545e+002
1.777927e+004, 5.028936e+002
1.781835e+004, 5.029189e+002
1.785742e+004, 5.025374e+002
1.789650e+004, 5.021304e+002
1.793557e+004, 5.005281e+002
1.797465e+004, 4.973237e+002
1.801372e+004, 4.940684e+002
1.805280e+004, 4.888294e+002
1.809187e+004, 4.835396e+002
1.813095e+004, 4.754524e+002
1.817002e+004, 4.657121e+002
1.820910e+004, 4.535049e+002
1.824817e+004, 4.387801e+002
1.828725e+004, 4.225294e+002
1.832632e+004, 4.059989e+002
1.836540e+004, 3.901551e+002
1.840448e+004, 3.716664e+002
1.844355e+004, 3.503295e+002
1.848263e+004, 3.279752e+002
1.852170e+004, 3.084693e+002
1.856078e+004, 2.930324e+002
1.859985e+004, 2.814610e+002
1.863893e+004, 2.719242e+002
1.867800e+004, 2.638115e+002
1.871708e+004, 2.563092e+002
1.875615e+004, 2.503073e+002
1.879523e+004, 2.459839e+002
1.883430e+004, 2.435678e+002
1.887338e+004, 2.427539e+002
1.891245e+004, 2.428047e+002
1.895153e+004, 2.434404e+002
1.899061e+004, 2.448899e+002
1.902968e+004, 2.483739e+002
1.906876e+004, 2.559269e+002
1.910783e+004, 2.661248e+002
1.914691e+004, 2.751019e+002
1.918598e+004, 2.836722e+002
1.922506e+004, 2.970998e+002
1.926413e+004, 3.178771e+002
1.930321e+004, 3.467925e+002
1.934228e+004, 3.785816e+002
1.938136e+004, 4.083107e+002
1.942043e+004, 4.299018e+002
1.945951e+004, 4.452622e+002
1.949858e+004, 4.576218e+002
1.953766e+004, 4.698287e+002
1.957673e+004, 4.804335e+002
1.961581e+004, 4.878085e+002
1.965489e+004, 4.935050e+002
1.969396e+004, 4.976248e+002
1.973304e+004, 5.004730e+002
1.977211e+004, 5.017445e+002
1.981119e+004, 5.017698e+002
1.985026e+004, 5.017952e+002
1.988934e+004, 5.017951e+002
1.992841e+004, 5.005997e+002
1.996749e+004, 4.986160e+002
2.000656e+004, 4.970137e+002
2.004564e+004, 4.958183e+002
2.008471e+004, 4.950299e+002
2.012379e+004, 4.938345e+002
2.016286e+004, 4.922322e+002
2.020194e+004, 4.906045e+002
2.024102e+004, 4.890277e+002
2.028009e+004, 4.882392e+002
2.031917e+004, 4.878577e+002
2.035824e+004, 4.874761e+002
2.039732e+004, 4.874760e+002
2.043639e+004, 4.875014e+002
2.047547e+004, 4.875521e+002
2.051454e+004, 4.883658e+002
2.055362e+004, 4.892050e+002
2.059269e+004, 4.900696e+002
2.063177e+004, 4.907053e+002
2.067084e+004, 4.919513e+002
2.070992e+004, 4.934008e+002
2.074899e+004, 4.958675e+002
2.078807e+004, 4.982071e+002
2.082715e+004, 4.991734e+002
2.086622e+004, 5.006992e+002
2.090530e+004, 5.015384e+002
2.094437e+004, 5.008516e+002
2.098345e+004, 4.999614e+002
2.102252e+004, 4.983592e+002
2.106160e+004, 4.952564e+002
2.110067e+004, 4.912128e+002
2.113975e+004, 4.851346e+002
2.117882e+004, 4.766150e+002
2.121790e+004, 4.660609e+002
2.125697e+004, 4.545658e+002
2.129605e+004, 4.416975e+002
2.133512e+004, 4.266675e+002
2.137420e+004, 4.091961e+002
2.141327e+004, 3.904785e+002
2.145235e+004, 3.718118e+002
2.149143e+004, 3.522805e+002
2.153050e+004, 3.303586e+002
2.156958e+004, 3.091996e+002
2.160865e+004, 2.925674e+002
2.164773e+004, 2.811995e+002
2.168680e+004, 2.734937e+002
2.172588e+004, 2.661949e+002
2.176495e+004, 2.584891e+002
2.180403e+004, 2.520040e+002
2.184310e+004, 2.474262e+002
2.188218e+004, 2.447050e+002
2.192125e+004, 2.442217e+002
2.196033e+004, 2.443742e+002
2.199940e+004, 2.452134e+002
2.203848e+004, 2.467391e+002
2.207756e+004, 2.501468e+002
2.211663e+004, 2.558688e+002
2.215571e+004, 2.648460e+002
2.219478e+004, 2.754507e+002
2.223386e+004, 2.872762e+002
2.227293e+004, 3.027384e+002
2.231201e+004, 3.231342e+002
2.235108e+004, 3.473702e+002
2.239016e+004, 3.720131e+002
2.242923e+004, 3.964525e+002
2.246831e+004, 4.196458e+002
2.250738e+004, 4.394312e+002
2.254646e+004, 4.554020e+002
2.258553e+004, 4.661340e+002
2.262461e+004, 4.742719e+002
2.266369e+004, 4.800193e+002
2.270276e+004, 4.849274e+002
2.274184e+004, 4.889964e+002
2.278091e+004, 4.923023e+002
2.281999e+004, 4.947691e+002
2.285906e+004, 4.960151e+002
2.289814e+004, 4.964219e+002
2.293721e+004, 4.964473e+002
2.297629e+004, 4.956842e+002
2.301536e+004, 4.948958e+002
2.305444e+004, 4.941073e+002
2.309351e+004, 4.933189e+002
2.313259e+004, 4.917166e+002
2.317166e+004, 4.909281e+002
2.321074e+004, 4.901397e+002
2.324981e+004, 4.893258e+002
2.328889e+004, 4.884356e+002
2.332797e+004, 4.873674e+002
2.336704e+004, 4.869604e+002
2.340612e+004, 4.870111e+002
2.344519e+004, 4.870365e+002
2.348427e+004, 4.870618e+002
2.352334e+004, 4.878755e+002
2.356242e+004, 4.887401e+002
2.360149e+004, 4.903930e+002
2.364057e+004, 4.920206e+002
2.367964e+004, 4.936989e+002
2.371872e+004, 4.953519e+002
2.375779e+004, 4.970048e+002
2.379687e+004, 4.990647e+002
2.383594e+004, 5.011245e+002
2.387502e+004, 5.027520e+002
2.391410e+004, 5.036166e+002
2.395317e+004, 5.036419e+002
2.399225e+004, 5.036673e+002
2.403132e+004, 5.020650e+002
2.407040e+004, 5.003356e+002
2.410947e+004, 4.972074e+002
2.414855e+004, 4.927823e+002
2.418762e+004, 4.875179e+002
2.422670e+004, 4.802190e+002
2.426577e+004, 4.712671e+002
2.430485e+004, 4.591108e+002
2.434392e+004, 4.453015e+002
2.438300e+004, 4.290508e+002
2.442207e+004, 4.123678e+002
2.446115e+004, 3.940826e+002
2.450023e+004, 3.745766e+002
2.453930e+004, 3.526547e+002
2.457838e+004, 3.311143e+002
2.461745e+004, 3.120153e+002
2.465653e+004, 2.977991e+002
2.469560e+004, 2.862277e+002
2.473468e+004, 2.766909e+002
2.477375e+004, 2.673320e+002
2.481283e+004, 2.592448e+002
2.485190e+004, 2.529632e+002
2.489098e+004, 2.487160e+002
2.493005e+004, 2.465034e+002
2.496913e+004, 2.454861e+002
2.500820e+004, 2.451299e+002
2.504728e+004, 2.465794e+002
2.508635e+004, 2.490462e+002
2.512543e+004, 2.521233e+002
2.516451e+004, 2.566245e+002
2.520358e+004, 2.631603e+002
2.524266e+004, 2.729513e+002
2.528173e+004, 2.872181e+002
2.532081e+004, 3.075886e+002
2.535988e+004, 3.320280e+002
2.539896e+004, 3.568743e+002
2.543803e+004, 3.792792e+002
2.547711e+004, 4.012518e+002
2.551618e+004, 4.240890e+002
2.555526e+004, 4.460616e+002
2.559433e+004, 4.632022e+002
2.563341e+004, 4.762484e+002
2.567248e+004, 4.844118e+002
2.571156e+004, 4.901337e+002
2.575064e+004, 4.942281e+002
2.578971e+004, 4.983224e+002
2.582879e+004, 5.016030e+002
2.586786e+004, 5.047564e+002
2.590694e+004, 5.065111e+002
2.594601e+004, 5.065618e+002
2.598509e+004, 5.061803e+002
2.602416e+004, 5.057987e+002
2.606324e+004, 5.048831e+002
2.610231e+004, 5.025942e+002
2.614139e+004, 5.008647e+002
2.618046e+004, 4.985758e+002
2.621954e+004, 4.969481e+002
2.625861e+004, 4.953459e+002
2.629769e+004, 4.937690e+002
2.633677e+004, 4.921668e+002
2.637584e+004, 4.913783e+002
2.641492e+004, 4.905898e+002
