File name = D1_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.083050e+002
3.907532e+001, 5.051508e+002
7.815064e+001, 5.066506e+002
1.172260e+002, 5.083538e+002
1.563013e+002, 5.102604e+002
1.953766e+002, 5.115059e+002
2.344519e+002, 5.117341e+002
2.735272e+002, 5.109450e+002
3.126026e+002, 5.107663e+002
3.516779e+002, 5.114522e+002
3.907532e+002, 5.120110e+002
4.298285e+002, 5.122647e+002
4.689038e+002, 5.116790e+002
5.079791e+002, 5.111443e+002
5.470545e+002, 5.112199e+002
5.861298e+002, 5.119567e+002
6.252051e+002, 5.125918e+002
6.642804e+002, 5.124640e+002
7.033557e+002, 5.122852e+002
7.424311e+002, 5.131238e+002
7.815064e+002, 5.136571e+002
8.205817e+002, 5.128681e+002
8.596570e+002, 5.105023e+002
8.987323e+002, 5.075261e+002
9.378077e+002, 5.040922e+002
9.768830e+002, 4.999971e+002
1.015958e+003, 4.948338e+002
1.055034e+003, 4.863645e+002
1.094109e+003, 4.749960e+002
1.133184e+003, 4.616438e+002
1.172260e+003, 4.485460e+002
1.211335e+003, 4.365672e+002
1.250410e+003, 4.259107e+002
1.289486e+003, 4.144405e+002
1.328561e+003, 3.991556e+002
1.367636e+003, 3.813275e+002
1.406711e+003, 3.654831e+002
1.445787e+003, 3.538603e+002
1.484862e+003, 3.454164e+002
1.523937e+003, 3.378881e+002
1.563013e+003, 3.305886e+002
1.602088e+003, 3.234417e+002
1.641163e+003, 3.175663e+002
1.680239e+003, 3.129372e+002
1.719314e+003, 3.088674e+002
1.758389e+003, 3.045689e+002
1.797465e+003, 3.000160e+002
1.836540e+003, 2.953868e+002
1.875615e+003, 2.918765e+002
1.914691e+003, 2.901720e+002
1.953766e+003, 2.902730e+002
1.992841e+003, 2.900180e+002
2.031917e+003, 2.890000e+002
2.070992e+003, 2.885161e+002
2.110067e+003, 2.894310e+002
2.149143e+003, 2.931433e+002
2.188218e+003, 2.980508e+002
2.227293e+003, 3.036705e+002
2.266369e+003, 3.099767e+002
2.305444e+003, 3.181395e+002
2.344519e+003, 3.296083e+002
2.383594e+003, 3.444341e+002
2.422670e+003, 3.621591e+002
2.461745e+003, 3.809013e+002
2.500820e+003, 3.983210e+002
2.539896e+003, 4.126382e+002
2.578971e+003, 4.243359e+002
2.618046e+003, 4.351944e+002
2.657122e+003, 4.472482e+002
2.696197e+003, 4.593782e+002
2.735272e+003, 4.709996e+002
2.774348e+003, 4.807900e+002
2.813423e+003, 4.890036e+002
2.852498e+003, 4.951319e+002
2.891574e+003, 4.990222e+002
2.930649e+003, 5.016664e+002
2.969724e+003, 5.043614e+002
3.008800e+003, 5.067258e+002
3.047875e+003, 5.094463e+002
3.086950e+003, 5.118107e+002
3.126026e+003, 5.133105e+002
3.165101e+003, 5.141999e+002
3.204176e+003, 5.145298e+002
3.243251e+003, 5.147580e+002
3.282327e+003, 5.148081e+002
3.321402e+003, 5.147057e+002
3.360477e+003, 5.149848e+002
3.399553e+003, 5.160268e+002
3.438628e+003, 5.169162e+002
3.477703e+003, 5.164323e+002
3.516779e+003, 5.152872e+002
3.555854e+003, 5.150067e+002
3.594929e+003, 5.153875e+002
3.634005e+003, 5.155648e+002
3.673080e+003, 5.151827e+002
3.712155e+003, 5.146479e+002
3.751231e+003, 5.134520e+002
3.790306e+003, 5.112387e+002
3.829381e+003, 5.081863e+002
3.868457e+003, 5.045235e+002
3.907532e+003, 4.998180e+002
3.946607e+003, 4.941716e+002
3.985683e+003, 4.864397e+002
4.024758e+003, 4.757833e+002
4.063833e+003, 4.636010e+002
4.102908e+003, 4.533515e+002
