File name = D1_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.965751e+002
3.907532e+001, 5.941289e+002
7.815064e+001, 5.970233e+002
1.172260e+002, 5.971966e+002
1.563013e+002, 5.980819e+002
1.953766e+002, 5.981026e+002
2.344519e+002, 5.989371e+002
2.735272e+002, 5.998224e+002
3.126026e+002, 6.014707e+002
3.516779e+002, 6.030427e+002
3.907532e+002, 6.040043e+002
4.298285e+002, 6.048643e+002
4.689038e+002, 6.032828e+002
5.079791e+002, 6.000991e+002
5.470545e+002, 5.960508e+002
5.861298e+002, 5.896119e+002
6.252051e+002, 5.823083e+002
6.642804e+002, 5.746233e+002
7.033557e+002, 5.661245e+002
7.424311e+002, 5.564050e+002
7.815064e+002, 5.449561e+002
8.205817e+002, 5.311676e+002
8.596570e+002, 5.157515e+002
8.987323e+002, 5.004370e+002
9.378077e+002, 4.866485e+002
9.768830e+002, 4.744876e+002
1.015958e+003, 4.619452e+002
1.055034e+003, 4.493773e+002
1.094109e+003, 4.372164e+002
1.133184e+003, 4.265559e+002
1.172260e+003, 4.177774e+002
1.211335e+003, 4.100924e+002
1.250410e+003, 4.024073e+002
1.289486e+003, 3.959176e+002
1.328561e+003, 3.909792e+002
1.367636e+003, 3.866511e+002
1.406711e+003, 3.822467e+002
1.445787e+003, 3.782238e+002
1.484862e+003, 3.750147e+002
1.523937e+003, 3.726194e+002
1.563013e+003, 3.710379e+002
1.602088e+003, 3.701431e+002
1.641163e+003, 3.697060e+002
1.680239e+003, 3.703624e+002
1.719314e+003, 3.720107e+002
1.758389e+003, 3.752103e+002
1.797465e+003, 3.795035e+002
1.836540e+003, 3.859837e+002
1.875615e+003, 3.932523e+002
1.914691e+003, 4.006226e+002
1.953766e+003, 4.096206e+002
1.992841e+003, 4.215686e+002
2.031917e+003, 4.375093e+002
2.070992e+003, 4.546452e+002
2.110067e+003, 4.709674e+002
2.149143e+003, 4.852550e+002
2.188218e+003, 4.987289e+002
2.227293e+003, 5.132963e+002
2.266369e+003, 5.276857e+002
2.305444e+003, 5.415919e+002
2.344519e+003, 5.533110e+002
2.383594e+003, 5.608593e+002
2.422670e+003, 5.677719e+002
2.461745e+003, 5.739215e+002
2.500820e+003, 5.803509e+002
2.539896e+003, 5.853815e+002
2.578971e+003, 5.895221e+002
2.618046e+003, 5.927980e+002
2.657122e+003, 5.936579e+002
2.696197e+003, 5.937040e+002
2.735272e+003, 5.936484e+002
2.774348e+003, 5.937962e+002
2.813423e+003, 5.946561e+002
2.852498e+003, 5.951091e+002
2.891574e+003, 5.954604e+002
2.930649e+003, 5.952014e+002
2.969724e+003, 5.948660e+002
3.008800e+003, 5.948867e+002
3.047875e+003, 5.949328e+002
3.086950e+003, 5.950043e+002
3.126026e+003, 5.950250e+002
3.165101e+003, 5.950711e+002
3.204176e+003, 5.955241e+002
3.243251e+003, 5.966892e+002
3.282327e+003, 5.972440e+002
3.321402e+003, 5.976970e+002
3.360477e+003, 5.984552e+002
3.399553e+003, 5.977892e+002
3.438628e+003, 5.970469e+002
3.477703e+003, 5.962792e+002
3.516779e+003, 5.945706e+002
3.555854e+003, 5.910817e+002
3.594929e+003, 5.866265e+002
3.634005e+003, 5.808743e+002
3.673080e+003, 5.727824e+002
3.712155e+003, 5.619439e+002
3.751231e+003, 5.489691e+002
3.790306e+003, 5.355875e+002
3.829381e+003, 5.233248e+002
3.868457e+003, 5.103501e+002
3.907532e+003, 4.958749e+002
3.946607e+003, 4.811454e+002
3.985683e+003, 4.650426e+002
4.024758e+003, 4.496011e+002
4.063833e+003, 4.357108e+002
4.102908e+003, 4.253046e+002
4.141984e+003, 4.180265e+002
4.181059e+003, 4.122489e+002
4.220134e+003, 4.057846e+002
4.259210e+003, 3.986336e+002
4.298285e+003, 3.921439e+002
4.337360e+003, 3.863916e+002
4.376436e+003, 3.816821e+002
4.415511e+003, 3.788799e+002
4.454586e+003, 3.768660e+002
4.493662e+003, 3.751828e+002
4.532737e+003, 3.725078e+002
4.571812e+003, 3.703922e+002
4.610888e+003, 3.689379e+002
4.649963e+003, 3.693909e+002
4.689038e+003, 3.710646e+002
4.728114e+003, 3.735267e+002
4.767189e+003, 3.764211e+002
4.806264e+003, 3.809686e+002
4.845340e+003, 3.887458e+002
4.884415e+003, 3.993714e+002
4.923490e+003, 4.114973e+002
4.962566e+003, 4.234708e+002
5.001641e+003, 4.343760e+002
5.040716e+003, 4.441878e+002
5.079791e+003, 4.556271e+002
5.118867e+003, 4.708303e+002
5.157942e+003, 4.890853e+002
5.197017e+003, 5.059415e+002
5.236093e+003, 5.202291e+002
5.275168e+003, 5.316431e+002
5.314243e+003, 5.399035e+002
5.353319e+003, 5.484437e+002
5.392394e+003, 5.569075e+002
5.431469e+003, 5.644050e+002
5.470545e+003, 5.724620e+002
5.509620e+003, 5.791203e+002
5.548695e+003, 5.840492e+002
5.587771e+003, 5.873505e+002
5.626846e+003, 5.897363e+002
5.665921e+003, 5.915372e+002
5.704997e+003, 5.932109e+002
5.744072e+003, 5.948592e+002
5.783147e+003, 5.957191e+002
5.822223e+003, 5.964773e+002
5.861298e+003, 5.965234e+002
5.900373e+003, 5.958829e+002
5.939448e+003, 5.958018e+002
5.978524e+003, 5.955427e+002
6.017599e+003, 5.958940e+002
6.056674e+003, 5.960673e+002
6.095750e+003, 5.969018e+002
6.134825e+003, 5.977617e+002
6.173900e+003, 5.978078e+002
6.212976e+003, 5.978793e+002
6.252051e+003, 5.987393e+002
6.291126e+003, 5.995737e+002
6.330202e+003, 5.996453e+002
6.369277e+003, 5.996660e+002
6.408352e+003, 5.985168e+002
6.447428e+003, 5.972150e+002
6.486503e+003, 5.949469e+002
6.525578e+003, 5.925262e+002
6.564654e+003, 5.880964e+002
6.603729e+003, 5.812506e+002
6.642804e+003, 5.738453e+002
6.681880e+003, 5.654482e+002
6.720955e+003, 5.553472e+002
6.760030e+003, 5.431863e+002
6.799106e+003, 5.285585e+002
6.838181e+003, 5.123286e+002
6.877256e+003, 4.973194e+002
6.916331e+003, 4.847770e+002
6.955407e+003, 4.749303e+002
6.994482e+003, 4.632780e+002
7.033557e+003, 4.489808e+002
7.072633e+003, 4.345056e+002
7.111708e+003, 4.223447e+002
7.150783e+003, 4.134898e+002
7.189859e+003, 4.077630e+002
7.228934e+003, 4.033332e+002
7.268009e+003, 3.989034e+002
7.307085e+003, 3.932784e+002
7.346160e+003, 3.876024e+002
7.385235e+003, 3.826640e+002
7.424311e+003, 3.791497e+002
7.463386e+003, 3.763729e+002
7.502461e+003, 3.739776e+002
7.541537e+003, 3.715823e+002
7.580612e+003, 3.699754e+002
7.619687e+003, 3.692077e+002
7.658763e+003, 3.699659e+002
7.697838e+003, 3.713599e+002
7.736913e+003, 3.734405e+002
7.775988e+003, 3.766147e+002
7.815064e+003, 3.808315e+002
7.854139e+003, 3.882018e+002
7.893214e+003, 3.992343e+002
7.932290e+003, 4.117926e+002
7.971365e+003, 4.225199e+002
8.010440e+003, 4.315433e+002
8.049516e+003, 4.421434e+002
8.088591e+003, 4.568379e+002
8.127666e+003, 4.756269e+002
8.166742e+003, 4.959927e+002
8.205817e+003, 5.139424e+002
8.244892e+003, 5.261956e+002
8.283968e+003, 5.344052e+002
8.323043e+003, 5.417501e+002
8.362118e+003, 5.498325e+002
8.401194e+003, 5.593390e+002
8.440269e+003, 5.687439e+002
8.479344e+003, 5.760125e+002
8.518420e+003, 5.810431e+002
8.557495e+003, 5.843699e+002
8.596570e+003, 5.868574e+002
8.635646e+003, 5.892178e+002
8.674721e+003, 5.905863e+002
8.713796e+003, 5.917514e+002
8.752871e+003, 5.918992e+002
8.791947e+003, 5.919454e+002
8.831022e+003, 5.911777e+002
8.870097e+003, 5.911220e+002
8.909173e+003, 5.911682e+002
8.948248e+003, 5.913414e+002
8.987323e+003, 5.922013e+002
9.026399e+003, 5.930612e+002
9.065474e+003, 5.931074e+002
9.104549e+003, 5.931535e+002
9.143625e+003, 5.931996e+002
9.182700e+003, 5.940341e+002
9.221775e+003, 5.940802e+002
9.260851e+003, 5.945332e+002
9.299926e+003, 5.950116e+002
9.339001e+003, 5.958715e+002
9.378077e+003, 5.962991e+002
9.417152e+003, 5.951245e+002
9.456227e+003, 5.934413e+002
9.495303e+003, 5.911732e+002
9.534378e+003, 5.894645e+002
9.573453e+003, 5.855688e+002
9.612528e+003, 5.799183e+002
9.651604e+003, 5.718009e+002
9.690679e+003, 5.625137e+002
9.729754e+003, 5.532011e+002
9.768830e+003, 5.442954e+002
9.807905e+003, 5.328211e+002
9.846980e+003, 5.170998e+002
9.886056e+003, 4.996746e+002
9.925131e+003, 4.842330e+002
9.964206e+003, 4.711565e+002
1.000328e+004, 4.590973e+002
1.004236e+004, 4.473687e+002
1.008143e+004, 4.356147e+002
1.012051e+004, 4.246490e+002
1.015958e+004, 4.145481e+002
1.019866e+004, 4.064307e+002
1.023773e+004, 4.002716e+002
1.027681e+004, 3.958418e+002
1.031588e+004, 3.911322e+002
1.035496e+004, 3.867024e+002
1.039403e+004, 3.821454e+002
1.043311e+004, 3.782243e+002
1.047219e+004, 3.750406e+002
1.051126e+004, 3.733320e+002
1.055034e+004, 3.717505e+002
1.058941e+004, 3.702707e+002
1.062849e+004, 3.691215e+002
1.066756e+004, 3.687607e+002
1.070664e+004, 3.696206e+002
1.074571e+004, 3.719810e+002
1.078479e+004, 3.750026e+002
1.082386e+004, 3.795246e+002
1.086294e+004, 3.860811e+002
1.090201e+004, 3.954860e+002
1.094109e+004, 4.064930e+002
1.098016e+004, 4.178306e+002
1.101924e+004, 4.285579e+002
1.105832e+004, 4.408365e+002
1.109739e+004, 4.563194e+002
1.113647e+004, 4.734554e+002
1.117554e+004, 4.906168e+002
1.121462e+004, 5.059980e+002
1.125369e+004, 5.183528e+002
1.129277e+004, 5.290038e+002
1.133184e+004, 5.388156e+002
1.137092e+004, 5.486273e+002
1.140999e+004, 5.576252e+002
1.144907e+004, 5.649701e+002
1.148814e+004, 5.707383e+002
1.152722e+004, 5.764556e+002
1.156629e+004, 5.820966e+002
1.160537e+004, 5.863135e+002
1.164445e+004, 5.888010e+002
1.168352e+004, 5.904747e+002
1.172260e+004, 5.921484e+002
1.176167e+004, 5.930337e+002
1.180075e+004, 5.930799e+002
1.183982e+004, 5.926936e+002
1.187890e+004, 5.922311e+002
1.191797e+004, 5.923790e+002
1.195705e+004, 5.924505e+002
1.199612e+004, 5.932850e+002
1.203520e+004, 5.941449e+002
1.207427e+004, 5.950302e+002
1.211335e+004, 5.962716e+002
1.215242e+004, 5.967501e+002
1.219150e+004, 5.975845e+002
1.223057e+004, 5.976561e+002
1.226965e+004, 5.980837e+002
1.230873e+004, 5.985621e+002
1.234780e+004, 6.001087e+002
1.238688e+004, 6.002565e+002
1.242595e+004, 5.995142e+002
1.246503e+004, 5.986194e+002
1.250410e+004, 5.963258e+002
1.254318e+004, 5.931167e+002
1.258225e+004, 5.883054e+002
1.262133e+004, 5.826295e+002
1.266040e+004, 5.753514e+002
1.269948e+004, 5.664457e+002
1.273855e+004, 5.567261e+002
1.277763e+004, 5.460911e+002
1.281670e+004, 5.324043e+002
1.285578e+004, 5.161998e+002
1.289486e+004, 4.991306e+002
1.293393e+004, 4.837145e+002
1.297301e+004, 4.703583e+002
1.301208e+004, 4.594180e+002
1.305116e+004, 4.481218e+002
1.309023e+004, 4.362914e+002
1.312931e+004, 4.237999e+002
1.316838e+004, 4.140041e+002
1.320746e+004, 4.066242e+002
1.324653e+004, 4.011009e+002
1.328561e+004, 3.969508e+002
1.332468e+004, 3.922159e+002
1.336376e+004, 3.872774e+002
1.340283e+004, 3.824407e+002
1.344191e+004, 3.785450e+002
1.348099e+004, 3.755393e+002
1.352006e+004, 3.737289e+002
1.355914e+004, 3.721474e+002
1.359821e+004, 3.705660e+002
1.363729e+004, 3.696965e+002
1.367636e+004, 3.690560e+002
1.371544e+004, 3.703228e+002
1.375451e+004, 3.730901e+002
1.379359e+004, 3.764931e+002
1.383266e+004, 3.796927e+002
1.387174e+004, 3.846216e+002
1.391081e+004, 3.929075e+002
1.394989e+004, 4.047792e+002
1.398896e+004, 4.189397e+002
1.402804e+004, 4.325407e+002
1.406711e+004, 4.455822e+002
1.410619e+004, 4.574285e+002
1.414527e+004, 4.693001e+002
1.418434e+004, 4.835624e+002
1.422342e+004, 5.006983e+002
1.426249e+004, 5.178597e+002
1.430157e+004, 5.317405e+002
1.434064e+004, 5.415522e+002
1.437972e+004, 5.496092e+002
1.441879e+004, 5.554791e+002
1.445787e+004, 5.627731e+002
1.449694e+004, 5.702198e+002
1.453602e+004, 5.775901e+002
1.457509e+004, 5.833074e+002
1.461417e+004, 5.866087e+002
1.465324e+004, 5.889945e+002
1.469232e+004, 5.899816e+002
1.473140e+004, 5.908415e+002
1.477047e+004, 5.915743e+002
1.480955e+004, 5.909337e+002
1.484862e+004, 5.909544e+002
1.488770e+004, 5.910005e+002
1.492677e+004, 5.910720e+002
1.496585e+004, 5.910927e+002
1.500492e+004, 5.910371e+002
1.504400e+004, 5.904474e+002
1.508307e+004, 5.912311e+002
1.512215e+004, 5.921164e+002
1.516122e+004, 5.937647e+002
1.520030e+004, 5.946500e+002
1.523937e+004, 5.954845e+002
1.527845e+004, 5.970565e+002
1.531753e+004, 5.972298e+002
1.535660e+004, 5.979625e+002
1.539568e+004, 5.981358e+002
1.543475e+004, 5.988685e+002
1.547383e+004, 5.974142e+002
1.551290e+004, 5.958073e+002
1.555198e+004, 5.934120e+002
1.559105e+004, 5.901012e+002
1.563013e+004, 5.845524e+002
1.566920e+004, 5.771725e+002
1.570828e+004, 5.682668e+002
1.574735e+004, 5.586490e+002
1.578643e+004, 5.481411e+002
1.582550e+004, 5.359802e+002
1.586458e+004, 5.213779e+002
1.590365e+004, 5.051225e+002
1.594273e+004, 4.889180e+002
1.598181e+004, 4.759178e+002
1.602088e+004, 4.630194e+002
1.605996e+004, 4.514942e+002
1.609903e+004, 4.394350e+002
1.613811e+004, 4.272995e+002
1.617718e+004, 4.166390e+002
1.621626e+004, 4.070467e+002
1.625533e+004, 4.005824e+002
1.629441e+004, 3.965340e+002
1.633348e+004, 3.924094e+002
1.637256e+004, 3.884882e+002
1.641163e+004, 3.844653e+002
1.645071e+004, 3.804424e+002
1.648978e+004, 3.764195e+002
1.652886e+004, 3.731087e+002
1.656794e+004, 3.704336e+002
1.660701e+004, 3.691319e+002
1.664609e+004, 3.688728e+002
1.668516e+004, 3.693258e+002
