File name = 1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.340745e+002
2.929655e+001, 4.310850e+002
5.859310e+001, 4.331309e+002
8.788965e+001, 4.405682e+002
1.171862e+002, 4.499383e+002
1.464828e+002, 4.536626e+002
1.757793e+002, 4.510800e+002
2.050759e+002, 4.487517e+002
2.343724e+002, 4.527303e+002
2.636690e+002, 4.569124e+002
2.929655e+002, 4.560083e+002
3.222621e+002, 4.486954e+002
3.515586e+002, 4.381274e+002
3.808552e+002, 4.283731e+002
4.101517e+002, 4.212128e+002
4.394483e+002, 4.175112e+002
4.687448e+002, 4.155389e+002
4.980414e+002, 4.146856e+002
5.273379e+002, 4.139341e+002
5.566345e+002, 4.137928e+002
5.859310e+002, 4.131430e+002
6.152276e+002, 4.113742e+002
6.445241e+002, 4.070368e+002
6.738207e+002, 4.033606e+002
7.031172e+002, 4.019733e+002
7.324138e+002, 4.017557e+002
7.617103e+002, 4.001395e+002
7.910069e+002, 3.952681e+002
8.203034e+002, 3.903966e+002
8.496000e+002, 3.873816e+002
8.788965e+002, 3.851551e+002
9.081931e+002, 3.826996e+002
9.374896e+002, 3.830161e+002
9.667862e+002, 3.895379e+002
9.960828e+002, 3.998490e+002
1.025379e+003, 4.067522e+002
1.054676e+003, 4.100697e+002
1.083972e+003, 4.117341e+002
1.113269e+003, 4.120761e+002
1.142566e+003, 4.100529e+002
1.171862e+003, 4.048000e+002
1.201159e+003, 3.986824e+002
1.230455e+003, 3.942179e+002
1.259752e+003, 3.901602e+002
1.289048e+003, 3.839663e+002
1.318345e+003, 3.779759e+002
1.347641e+003, 3.767666e+002
1.376938e+003, 3.809233e+002
1.406234e+003, 3.816721e+002
1.435531e+003, 3.783266e+002
1.464828e+003, 3.734551e+002
1.494124e+003, 3.658625e+002
1.523421e+003, 3.556759e+002
1.552717e+003, 3.450061e+002
1.582014e+003, 3.365743e+002
1.611310e+003, 3.328218e+002
1.640607e+003, 3.301120e+002
1.669903e+003, 3.279617e+002
1.699200e+003, 3.261166e+002
1.728497e+003, 3.275013e+002
1.757793e+003, 3.345063e+002
1.787090e+003, 3.460635e+002
1.816386e+003, 3.570103e+002
1.845683e+003, 3.638373e+002
1.874979e+003, 3.684517e+002
1.904276e+003, 3.729136e+002
1.933572e+003, 3.777060e+002
1.962869e+003, 3.831088e+002
1.992166e+003, 3.876724e+002
2.021462e+003, 3.924903e+002
2.050759e+003, 3.990121e+002
2.080055e+003, 4.091960e+002
2.109352e+003, 4.193799e+002
2.138648e+003, 4.258000e+002
2.167945e+003, 4.275406e+002
2.197241e+003, 4.275520e+002
2.226538e+003, 4.287841e+002
2.255834e+003, 4.316946e+002
2.285131e+003, 4.336896e+002
2.314428e+003, 4.296574e+002
2.343724e+003, 4.227260e+002
2.373021e+003, 4.179055e+002
2.402317e+003, 4.186798e+002
2.431614e+003, 4.244386e+002
2.460910e+003, 4.321557e+002
2.490207e+003, 4.362361e+002
2.519503e+003, 4.354082e+002
2.548800e+003, 4.325967e+002
2.578097e+003, 4.313619e+002
2.607393e+003, 4.308647e+002
2.636690e+003, 4.302148e+002
2.665986e+003, 4.322353e+002
2.695283e+003, 4.375109e+002
2.724579e+003, 4.440836e+002
2.753876e+003, 4.521312e+002
2.783172e+003, 4.597466e+002
2.812469e+003, 4.651239e+002
2.841765e+003, 4.675767e+002
2.871062e+003, 4.685036e+002
2.900359e+003, 4.685150e+002
2.929655e+003, 4.677125e+002
2.958952e+003, 4.653334e+002
2.988248e+003, 4.612757e+002
3.017545e+003, 4.563534e+002
3.046841e+003, 4.517108e+002
3.076138e+003, 4.497640e+002
3.105434e+003, 4.478680e+002
3.134731e+003, 4.440901e+002
3.164028e+003, 4.376928e+002
3.193324e+003, 4.310920e+002
3.222621e+003, 4.271870e+002
3.251917e+003, 4.271475e+002
3.281214e+003, 4.272097e+002
3.310510e+003, 4.255426e+002
3.339807e+003, 4.238246e+002
3.369103e+003, 4.227170e+002
3.398400e+003, 4.219146e+002
3.427697e+003, 4.203238e+002
3.456993e+003, 4.189873e+002
3.486290e+003, 4.178797e+002
3.515586e+003, 4.165686e+002
3.544883e+003, 4.146472e+002
3.574179e+003, 4.114288e+002
3.603476e+003, 4.077526e+002
3.632772e+003, 4.044070e+002
3.662069e+003, 4.006800e+002
3.691365e+003, 3.976396e+002
3.720662e+003, 3.954893e+002
3.749959e+003, 3.927795e+002
3.779255e+003, 3.903241e+002
3.808552e+003, 3.869022e+002
3.837848e+003, 3.836584e+002
3.867145e+003, 3.814318e+002
3.896441e+003, 3.789763e+002
3.925738e+003, 3.744100e+002
3.955034e+003, 3.700472e+002
3.984331e+003, 3.671085e+002
4.013628e+003, 3.666367e+002
4.042924e+003, 3.672330e+002
4.072221e+003, 3.668375e+002
4.101517e+003, 3.636190e+002
4.130814e+003, 3.607567e+002
4.160110e+003, 3.583775e+002
4.189407e+003, 3.575242e+002
4.218703e+003, 3.579425e+002
4.248000e+003, 3.603952e+002
4.277297e+003, 3.623394e+002
