File name = 3_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.305988e+002
1.953103e+001, 3.304064e+002
3.906207e+001, 3.333676e+002
5.859310e+001, 3.335567e+002
7.812414e+001, 3.343562e+002
9.765517e+001, 3.348250e+002
1.171862e+002, 3.345310e+002
1.367172e+002, 3.344912e+002
1.562483e+002, 3.340700e+002
1.757793e+002, 3.344626e+002
1.953103e+002, 3.344737e+002
2.148414e+002, 3.352731e+002
2.343724e+002, 3.358692e+002
2.539034e+002, 3.360328e+002
2.734345e+002, 3.364254e+002
2.929655e+002, 3.364365e+002
3.124965e+002, 3.372106e+002
3.320276e+002, 3.376031e+002
3.515586e+002, 3.379957e+002
3.710897e+002, 3.383883e+002
3.906207e+002, 3.386791e+002
4.101517e+002, 3.391734e+002
4.296828e+002, 3.399983e+002
4.492138e+002, 3.411793e+002
4.687448e+002, 3.422076e+002
4.882759e+002, 3.434903e+002
5.078069e+002, 3.446204e+002
5.273379e+002, 3.459030e+002
5.468690e+002, 3.472366e+002
5.664000e+002, 3.488499e+002
5.859310e+002, 3.516584e+002
6.054621e+002, 3.553062e+002
6.249931e+002, 3.605816e+002
6.445241e+002, 3.666962e+002
6.640552e+002, 3.718444e+002
6.835862e+002, 3.751870e+002
7.031172e+002, 3.783262e+002
7.226483e+002, 3.825589e+002
7.421793e+002, 3.896908e+002
7.617103e+002, 3.986791e+002
7.812414e+002, 4.064468e+002
8.007724e+002, 4.103235e+002
8.203034e+002, 4.108941e+002
8.398345e+002, 4.104728e+002
8.593655e+002, 4.140189e+002
8.788965e+002, 4.210490e+002
8.984276e+002, 4.303680e+002
9.179586e+002, 4.375762e+002
9.374896e+002, 4.401050e+002
9.570207e+002, 4.386919e+002
9.765517e+002, 4.368465e+002
9.960828e+002, 4.388413e+002
1.015614e+003, 4.437352e+002
1.035145e+003, 4.477899e+002
1.054676e+003, 4.504967e+002
1.074207e+003, 4.516268e+002
1.093738e+003, 4.526297e+002
1.113269e+003, 4.538107e+002
1.132800e+003, 4.545084e+002
1.152331e+003, 4.558165e+002
1.171862e+003, 4.566414e+002
1.191393e+003, 4.574409e+002
1.210924e+003, 4.578335e+002
1.230455e+003, 4.586075e+002
1.249986e+003, 4.586186e+002
1.269517e+003, 4.589858e+002
1.289048e+003, 4.593783e+002
1.308579e+003, 4.594403e+002
1.328110e+003, 4.593497e+002
1.347641e+003, 4.589539e+002
1.367172e+003, 4.585326e+002
1.386703e+003, 4.588998e+002
1.406234e+003, 4.589109e+002
1.425766e+003, 4.592780e+002
1.445297e+003, 4.591620e+002
1.464828e+003, 4.588425e+002
1.484359e+003, 4.584212e+002
1.503890e+003, 4.583052e+002
1.523421e+003, 4.579857e+002
1.542952e+003, 4.579714e+002
1.562483e+003, 4.574484e+002
1.582014e+003, 4.559336e+002
1.601545e+003, 4.554870e+002
1.621076e+003, 4.554981e+002
1.640607e+003, 4.558652e+002
1.660138e+003, 4.558509e+002
1.679669e+003, 4.554551e+002
1.699200e+003, 4.550084e+002
1.718731e+003, 4.548924e+002
1.738262e+003, 4.548780e+002
1.757793e+003, 4.541516e+002
1.777324e+003, 4.540356e+002
1.796855e+003, 4.537161e+002
1.816386e+003, 4.536000e+002
1.835917e+003, 4.532805e+002
1.855448e+003, 4.532662e+002
1.874979e+003, 4.528450e+002
1.894510e+003, 4.525000e+002
1.914041e+003, 4.524094e+002
1.933572e+003, 4.526239e+002
1.953103e+003, 4.530928e+002
1.972634e+003, 4.535871e+002
1.992166e+003, 4.538780e+002
2.011697e+003, 4.535585e+002
2.031228e+003, 4.531372e+002
2.050759e+003, 4.523345e+002
2.070290e+003, 4.525236e+002
2.089821e+003, 4.526873e+002
2.109352e+003, 4.523424e+002
2.128883e+003, 4.522518e+002
2.148414e+003, 4.521357e+002
2.167945e+003, 4.521214e+002
2.187476e+003, 4.521071e+002
2.207007e+003, 4.521945e+002
2.226538e+003, 4.521801e+002
2.246069e+003, 4.521658e+002
2.265600e+003, 4.522278e+002
2.285131e+003, 4.523660e+002
2.304662e+003, 4.523517e+002
