File name = 4_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.445912e+002
9.765517e+000, 4.444846e+002
1.953103e+001, 4.474806e+002
2.929655e+001, 4.478571e+002
3.906207e+001, 4.476488e+002
4.882759e+001, 4.474149e+002
5.859310e+001, 4.473083e+002
6.835862e+001, 4.474560e+002
7.812414e+001, 4.474511e+002
8.788965e+001, 4.474461e+002
9.765517e+001, 4.474412e+002
1.074207e+002, 4.477923e+002
1.171862e+002, 4.478128e+002
1.269517e+002, 4.474519e+002
1.367172e+002, 4.473707e+002
1.464828e+002, 4.469588e+002
1.562483e+002, 4.468522e+002
1.660138e+002, 4.469744e+002
1.757793e+002, 4.475799e+002
1.855448e+002, 4.481599e+002
1.953103e+002, 4.477735e+002
2.050759e+002, 4.473871e+002
2.148414e+002, 4.469498e+002
2.246069e+002, 4.469195e+002
2.343724e+002, 4.465585e+002
2.441379e+002, 4.469096e+002
2.539034e+002, 4.473625e+002
2.636690e+002, 4.473576e+002
2.734345e+002, 4.472001e+002
2.832000e+002, 4.465339e+002
2.929655e+002, 4.464781e+002
3.027310e+002, 4.467021e+002
3.124965e+002, 4.468752e+002
3.222621e+002, 4.471755e+002
3.320276e+002, 4.473231e+002
3.417931e+002, 4.476997e+002
3.515586e+002, 4.479745e+002
3.613241e+002, 4.479696e+002
3.710897e+002, 4.479647e+002
3.808552e+002, 4.476546e+002
3.906207e+002, 4.474716e+002
4.003862e+002, 4.472887e+002
4.101517e+002, 4.472838e+002
4.199172e+002, 4.476603e+002
4.296828e+002, 4.479351e+002
4.394483e+002, 4.482354e+002
4.492138e+002, 4.480779e+002
4.589793e+002, 4.476152e+002
4.687448e+002, 4.474323e+002
4.785103e+002, 4.480123e+002
4.882759e+002, 4.484142e+002
4.980414e+002, 4.484347e+002
5.078069e+002, 4.488113e+002
5.175724e+002, 4.487046e+002
5.273379e+002, 4.486997e+002
5.371034e+002, 4.486948e+002
5.468690e+002, 4.483847e+002
5.566345e+002, 4.486850e+002
5.664000e+002, 4.490107e+002
5.761655e+002, 4.495907e+002
5.859310e+002, 4.498146e+002
5.956965e+002, 4.499877e+002
6.054621e+002, 4.502880e+002
6.152276e+002, 4.503848e+002
6.249931e+002, 4.504307e+002
6.347586e+002, 4.506038e+002
6.445241e+002, 4.510821e+002
6.542896e+002, 4.512298e+002
6.640552e+002, 4.511740e+002
6.738207e+002, 4.510673e+002
6.835862e+002, 4.511641e+002
6.933517e+002, 4.515915e+002
7.031172e+002, 4.512052e+002
7.128828e+002, 4.505645e+002
7.226483e+002, 4.505595e+002
7.324138e+002, 4.510378e+002
7.421793e+002, 4.511346e+002
7.519448e+002, 4.511806e+002
7.617103e+002, 4.518368e+002
7.714759e+002, 4.523406e+002
7.812414e+002, 4.526408e+002
7.910069e+002, 4.523561e+002
8.007724e+002, 4.523258e+002
8.105379e+002, 4.523209e+002
8.203034e+002, 4.523414e+002
8.300690e+002, 4.527942e+002
8.398345e+002, 4.534251e+002
8.496000e+002, 4.534710e+002
8.593655e+002, 4.534661e+002
8.691310e+002, 4.534103e+002
8.788965e+002, 4.537360e+002
8.886621e+002, 4.542143e+002
8.984276e+002, 4.542094e+002
9.081931e+002, 4.542553e+002
9.179586e+002, 4.543013e+002
9.277241e+002, 4.542963e+002
9.374896e+002, 4.542406e+002
9.472552e+002, 4.541848e+002
9.570207e+002, 4.538747e+002
9.667862e+002, 4.541749e+002
9.765517e+002, 4.541700e+002
9.863172e+002, 4.534530e+002
9.960828e+002, 4.528632e+002
1.005848e+003, 4.526802e+002
1.015614e+003, 4.525227e+002
1.025379e+003, 4.517040e+002
1.035145e+003, 4.502241e+002
1.044910e+003, 4.497868e+002
1.054676e+003, 4.501634e+002
1.064441e+003, 4.497515e+002
1.074207e+003, 4.484242e+002
1.083972e+003, 4.465373e+002
1.093738e+003, 4.453117e+002
1.103503e+003, 4.448490e+002
1.113269e+003, 4.443355e+002
1.123034e+003, 4.440254e+002
1.132800e+003, 4.426980e+002
1.142566e+003, 4.403026e+002
1.152331e+003, 4.379580e+002
1.162097e+003, 4.367069e+002
1.171862e+003, 4.358628e+002
1.181628e+003, 4.346371e+002
1.191393e+003, 4.338693e+002
1.201159e+003, 4.329997e+002
1.210924e+003, 4.310111e+002
1.220690e+003, 4.285139e+002
1.230455e+003, 4.260676e+002
1.240221e+003, 4.248928e+002
1.249986e+003, 4.240233e+002
1.259752e+003, 4.232554e+002
1.269517e+003, 4.227927e+002
1.279283e+003, 4.214654e+002
1.289048e+003, 4.190190e+002
1.298814e+003, 4.165727e+002
1.308579e+003, 4.138721e+002
1.318345e+003, 4.121887e+002
1.328110e+003, 4.109631e+002
1.337876e+003, 4.100426e+002
1.347641e+003, 4.081049e+002
1.357407e+003, 4.059638e+002
1.367172e+003, 4.036700e+002
1.376938e+003, 4.022155e+002
1.386703e+003, 4.004304e+002
1.396469e+003, 3.991539e+002
1.406234e+003, 3.975214e+002
1.416000e+003, 3.955328e+002
1.425766e+003, 3.937223e+002
1.435531e+003, 3.913777e+002
1.445297e+003, 3.888805e+002
1.455062e+003, 3.861290e+002
1.464828e+003, 3.840387e+002
1.474593e+003, 3.832200e+002
1.484359e+003, 3.832659e+002
1.494124e+003, 3.834390e+002
1.503890e+003, 3.823914e+002
1.513655e+003, 3.808097e+002
1.523421e+003, 3.791263e+002
1.533186e+003, 3.783076e+002
1.542952e+003, 3.779212e+002
1.552717e+003, 3.777129e+002
1.562483e+003, 3.774791e+002
1.572248e+003, 3.770672e+002
1.582014e+003, 3.767063e+002
1.591779e+003, 3.765996e+002
1.601545e+003, 3.758826e+002
1.611310e+003, 3.752419e+002
1.621076e+003, 3.742452e+002
1.630841e+003, 3.740877e+002
1.640607e+003, 3.740828e+002
1.650372e+003, 3.737727e+002
1.660138e+003, 3.735897e+002
1.669903e+003, 3.733559e+002
1.679669e+003, 3.725881e+002
1.689434e+003, 3.716167e+002
1.699200e+003, 3.701368e+002
1.708966e+003, 3.696741e+002
1.718731e+003, 3.693132e+002
1.728497e+003, 3.693082e+002
1.738262e+003, 3.696594e+002
1.748028e+003, 3.695527e+002
1.757793e+003, 3.688611e+002
1.767559e+003, 3.675592e+002
1.777324e+003, 3.667914e+002
1.787090e+003, 3.667864e+002
1.796855e+003, 3.664255e+002
1.806621e+003, 3.661663e+002
1.816386e+003, 3.663648e+002
1.826152e+003, 3.661564e+002
1.835917e+003, 3.655411e+002
1.845683e+003, 3.643664e+002
1.855448e+003, 3.639546e+002
1.865214e+003, 3.638988e+002
1.874979e+003, 3.634361e+002
1.884745e+003, 3.630751e+002
1.894510e+003, 3.626124e+002
1.904276e+003, 3.620480e+002
1.914041e+003, 3.613310e+002
1.923807e+003, 3.610718e+002
1.933572e+003, 3.613212e+002
1.943338e+003, 3.613163e+002
1.953103e+003, 3.609045e+002
1.962869e+003, 3.604163e+002
1.972634e+003, 3.598011e+002
1.982400e+003, 3.592621e+002
1.992166e+003, 3.592572e+002
2.001931e+003, 3.592522e+002
2.011697e+003, 3.593999e+002
2.021462e+003, 3.593441e+002
