File name = 3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.835452e+002
3.907532e+001, 2.813602e+002
7.815064e+001, 2.846937e+002
1.172260e+002, 2.850518e+002
1.563013e+002, 2.847741e+002
1.953766e+002, 2.848269e+002
2.344519e+002, 2.842949e+002
2.735272e+002, 2.843224e+002
3.126026e+002, 2.844770e+002
3.516779e+002, 2.839195e+002
3.907532e+002, 2.844810e+002
4.298285e+002, 2.846357e+002
4.689038e+002, 2.842816e+002
5.079791e+002, 2.844363e+002
5.470545e+002, 2.846926e+002
5.861298e+002, 2.840334e+002
6.252051e+002, 2.840863e+002
6.642804e+002, 2.837577e+002
7.033557e+002, 2.837597e+002
7.424311e+002, 2.838889e+002
7.815064e+002, 2.840435e+002
8.205817e+002, 2.841473e+002
8.596570e+002, 2.838950e+002
8.987323e+002, 2.836427e+002
9.378077e+002, 2.830598e+002
9.768830e+002, 2.835450e+002
1.015958e+003, 2.841829e+002
1.055034e+003, 2.843375e+002
1.094109e+003, 2.844158e+002
1.133184e+003, 2.838075e+002
1.172260e+003, 2.838095e+002
1.211335e+003, 2.833283e+002
1.250410e+003, 2.833558e+002
1.289486e+003, 2.834595e+002
1.328561e+003, 2.836141e+002
1.367636e+003, 2.838196e+002
1.406711e+003, 2.839234e+002
1.445787e+003, 2.833913e+002
1.484862e+003, 2.831391e+002
1.523937e+003, 2.829376e+002
1.563013e+003, 2.834483e+002
1.602088e+003, 2.838826e+002
1.641163e+003, 2.834015e+002
1.680239e+003, 2.834798e+002
1.719314e+003, 2.828460e+002
1.758389e+003, 2.828735e+002
1.797465e+003, 2.830281e+002
1.836540e+003, 2.829030e+002
1.875615e+003, 2.826253e+002
1.914691e+003, 2.827799e+002
1.953766e+003, 2.829345e+002
1.992841e+003, 2.830891e+002
2.031917e+003, 2.832692e+002
2.070992e+003, 2.830169e+002
2.110067e+003, 2.827391e+002
2.149143e+003, 2.825123e+002
2.188218e+003, 2.826415e+002
2.227293e+003, 2.831013e+002
2.266369e+003, 2.829761e+002
2.305444e+003, 2.826984e+002
2.344519e+003, 2.824716e+002
2.383594e+003, 2.826262e+002
2.422670e+003, 2.827808e+002
2.461745e+003, 2.825794e+002
2.500820e+003, 2.826577e+002
2.539896e+003, 2.827106e+002
2.578971e+003, 2.828652e+002
2.618046e+003, 2.830198e+002
2.657122e+003, 2.824623e+002
2.696197e+003, 2.818540e+002
2.735272e+003, 2.819578e+002
2.774348e+003, 2.821632e+002
2.813423e+003, 2.822924e+002
2.852498e+003, 2.824216e+002
2.891574e+003, 2.821693e+002
2.930649e+003, 2.819170e+002
2.969724e+003, 2.819699e+002
3.008800e+003, 2.814888e+002
3.047875e+003, 2.815671e+002
3.086950e+003, 2.817217e+002
3.126026e+003, 2.817746e+002
3.165101e+003, 2.812171e+002
3.204176e+003, 2.807868e+002
3.243251e+003, 2.809414e+002
3.282327e+003, 2.808926e+002
3.321402e+003, 2.810981e+002
3.360477e+003, 2.818885e+002
3.399553e+003, 2.813310e+002
3.438628e+003, 2.813839e+002
3.477703e+003, 2.815385e+002
3.516779e+003, 2.813879e+002
3.555854e+003, 2.815426e+002
3.594929e+003, 2.812903e+002
3.634005e+003, 2.810380e+002
3.673080e+003, 2.814978e+002
3.712155e+003, 2.810166e+002
3.751231e+003, 2.810949e+002
3.790306e+003, 2.812495e+002
3.829381e+003, 2.810227e+002
3.868457e+003, 2.807450e+002
3.907532e+003, 2.807979e+002
3.946607e+003, 2.809525e+002
3.985683e+003, 2.812088e+002
4.024758e+003, 2.813634e+002
4.063833e+003, 2.814163e+002
4.102908e+003, 2.807571e+002
4.141984e+003, 2.801997e+002
4.181059e+003, 2.802526e+002
4.220134e+003, 2.804072e+002
4.259210e+003, 2.800786e+002
4.298285e+003, 2.804112e+002
4.337360e+003, 2.803878e+002
4.376436e+003, 2.803390e+002
4.415511e+003, 2.800867e+002
4.454586e+003, 2.801142e+002
4.493662e+003, 2.808028e+002
4.532737e+003, 2.817458e+002
4.571812e+003, 2.819004e+002
4.610888e+003, 2.812412e+002
4.649963e+003, 2.805820e+002
4.689038e+003, 2.806349e+002
4.728114e+003, 2.803064e+002
4.767189e+003, 2.803084e+002
4.806264e+003, 2.804121e+002
4.845340e+003, 2.801344e+002
4.884415e+003, 2.795007e+002
4.923490e+003, 2.796298e+002
4.962566e+003, 2.793776e+002
5.001641e+003, 2.791253e+002
5.040716e+003, 2.795851e+002
5.079791e+003, 2.802737e+002
5.118867e+003, 2.808352e+002
5.157942e+003, 2.808627e+002
5.197017e+003, 2.803052e+002
5.236093e+003, 2.800530e+002
5.275168e+003, 2.798515e+002
5.314243e+003, 2.799044e+002
5.353319e+003, 2.800590e+002
5.392394e+003, 2.801628e+002
5.431469e+003, 2.803174e+002
5.470545e+003, 2.797599e+002
5.509620e+003, 2.791262e+002
5.548695e+003, 2.791536e+002
5.587771e+003, 2.785962e+002
5.626846e+003, 2.786491e+002
5.665921e+003, 2.788037e+002
5.704997e+003, 2.786531e+002
5.744072e+003, 2.788332e+002
5.783147e+003, 2.789623e+002
5.822223e+003, 2.786083e+002
5.861298e+003, 2.780509e+002
5.900373e+003, 2.778240e+002
5.939448e+003, 2.782584e+002
5.978524e+003, 2.785401e+002
6.017599e+003, 2.790762e+002
6.056674e+003, 2.788239e+002
6.095750e+003, 2.777833e+002
6.134825e+003, 2.770987e+002
6.173900e+003, 2.768718e+002
6.212976e+003, 2.770264e+002
6.252051e+003, 2.771810e+002
6.291126e+003, 2.777171e+002
6.330202e+003, 2.778717e+002
6.369277e+003, 2.775686e+002
6.408352e+003, 2.770366e+002
6.447428e+003, 2.771149e+002
6.486503e+003, 2.771678e+002
6.525578e+003, 2.773224e+002
6.564654e+003, 2.774770e+002
6.603729e+003, 2.771484e+002
6.642804e+003, 2.770996e+002
6.681880e+003, 2.772288e+002
6.720955e+003, 2.770019e+002
6.760030e+003, 2.766225e+002
6.799106e+003, 2.764719e+002
6.838181e+003, 2.762959e+002
6.877256e+003, 2.763997e+002
6.916331e+003, 2.765288e+002
6.955407e+003, 2.766835e+002
6.994482e+003, 2.764566e+002
7.033557e+003, 2.761789e+002
7.072633e+003, 2.755960e+002
7.111708e+003, 2.756743e+002
7.150783e+003, 2.758289e+002
7.189859e+003, 2.756021e+002
7.228934e+003, 2.755532e+002
7.268009e+003, 2.754790e+002
7.307085e+003, 2.756336e+002
7.346160e+003, 2.754067e+002
7.385235e+003, 2.751544e+002
7.424311e+003, 2.749021e+002
7.463386e+003, 2.748533e+002
7.502461e+003, 2.748045e+002
7.541537e+003, 2.749337e+002
7.580612e+003, 2.742745e+002
7.619687e+003, 2.743274e+002
7.658763e+003, 2.741768e+002
7.697838e+003, 2.739245e+002
7.736913e+003, 2.740791e+002
7.775988e+003, 2.741320e+002
7.815064e+003, 2.742866e+002
7.854139e+003, 2.737292e+002
7.893214e+003, 2.734769e+002
7.932290e+003, 2.734535e+002
7.971365e+003, 2.732775e+002
8.010440e+003, 2.727455e+002
8.049516e+003, 2.729001e+002
8.088591e+003, 2.732581e+002
8.127666e+003, 2.731839e+002
8.166742e+003, 2.725501e+002
8.205817e+003, 2.722724e+002
8.244892e+003, 2.727322e+002
8.283968e+003, 2.725816e+002
8.323043e+003, 2.724056e+002
8.362118e+003, 2.724839e+002
8.401194e+003, 2.725368e+002
8.440269e+003, 2.718776e+002
8.479344e+003, 2.717525e+002
8.518420e+003, 2.719071e+002
8.557495e+003, 2.719346e+002
8.596570e+003, 2.716823e+002
8.635646e+003, 2.711248e+002
8.674721e+003, 2.711777e+002
8.713796e+003, 2.713323e+002
8.752871e+003, 2.712072e+002
8.791947e+003, 2.709549e+002
8.831022e+003, 2.711095e+002
8.870097e+003, 2.712387e+002
8.909173e+003, 2.706050e+002
8.948248e+003, 2.707341e+002
8.987323e+003, 2.707870e+002
9.026399e+003, 2.709417e+002
9.065474e+003, 2.706131e+002
9.104549e+003, 2.704371e+002
9.143625e+003, 2.698796e+002
9.182700e+003, 2.700342e+002
9.221775e+003, 2.701888e+002
9.260851e+003, 2.702417e+002
9.299926e+003, 2.697097e+002
9.339001e+003, 2.694574e+002
9.378077e+003, 2.690780e+002
9.417152e+003, 2.685205e+002
9.456227e+003, 2.682937e+002
9.495303e+003, 2.684483e+002
9.534378e+003, 2.682214e+002
9.573453e+003, 2.679437e+002
9.612528e+003, 2.676660e+002
9.651604e+003, 2.674391e+002
9.690679e+003, 2.672377e+002
9.729754e+003, 2.672143e+002
9.768830e+003, 2.670637e+002
9.807905e+003, 2.672183e+002
9.846980e+003, 2.676781e+002
9.886056e+003, 2.673496e+002
9.925131e+003, 2.664869e+002
9.964206e+003, 2.658023e+002
1.000328e+004, 2.653720e+002
1.004236e+004, 2.653740e+002
1.008143e+004, 2.661644e+002
1.012051e+004, 2.663699e+002
1.015958e+004, 2.664736e+002
1.019866e+004, 2.658145e+002
1.023773e+004, 2.652570e+002
1.027681e+004, 2.654116e+002
1.031588e+004, 2.657951e+002
1.035496e+004, 2.659497e+002
1.039403e+004, 2.662823e+002
1.043311e+004, 2.668439e+002
1.047219e+004, 2.677106e+002
1.051126e+004, 2.683992e+002
1.055034e+004, 2.693676e+002
1.058941e+004, 2.707430e+002
1.062849e+004, 2.737459e+002
1.066756e+004, 2.791648e+002
1.070664e+004, 2.850160e+002
1.074571e+004, 2.884258e+002
1.078479e+004, 2.942771e+002
1.082386e+004, 3.135561e+002
1.086294e+004, 3.478904e+002
1.090201e+004, 3.810803e+002
1.094109e+004, 3.929842e+002
1.098016e+004, 3.837546e+002
1.101924e+004, 3.749829e+002
1.105832e+004, 3.873191e+002
1.109739e+004, 4.078188e+002
1.113647e+004, 4.104148e+002
1.117554e+004, 3.967348e+002
1.121462e+004, 3.910910e+002
1.125369e+004, 3.994854e+002
1.129277e+004, 4.057435e+002
1.133184e+004, 4.088227e+002
1.137092e+004, 4.113425e+002
1.140999e+004, 4.146506e+002
1.144907e+004, 4.189759e+002
1.148814e+004, 4.239116e+002
1.152722e+004, 4.281353e+002
1.156629e+004, 4.300192e+002
1.160537e+004, 4.308859e+002
1.164445e+004, 4.312185e+002
1.168352e+004, 4.361797e+002
1.172260e+004, 4.445486e+002
1.176167e+004, 4.534770e+002
1.180075e+004, 4.578024e+002
1.183982e+004, 4.620260e+002
1.187890e+004, 4.669617e+002
1.191797e+004, 4.708802e+002
1.195705e+004, 4.762228e+002
1.199612e+004, 4.845154e+002
1.203520e+004, 4.944357e+002
1.207427e+004, 5.040507e+002
1.211335e+004, 5.119365e+002
1.215242e+004, 5.184998e+002
1.219150e+004, 5.236389e+002
1.223057e+004, 5.274557e+002
1.226965e+004, 5.308655e+002
1.230873e+004, 5.338684e+002
1.234780e+004, 5.356506e+002
1.238688e+004, 5.374328e+002
1.242595e+004, 5.382995e+002
1.246503e+004, 5.393697e+002
1.250410e+004, 5.395243e+002
1.254318e+004, 5.388651e+002
1.258225e+004, 5.382059e+002
1.262133e+004, 5.375467e+002
1.266040e+004, 5.360737e+002
1.269948e+004, 5.341938e+002
1.273855e+004, 5.319325e+002
1.277763e+004, 5.308410e+002
1.281670e+004, 5.285542e+002
1.285578e+004, 5.255044e+002
1.289486e+004, 5.222513e+002
1.293393e+004, 5.168110e+002
1.297301e+004, 5.096668e+002
1.301208e+004, 5.024718e+002
1.305116e+004, 4.935728e+002
1.309023e+004, 4.831480e+002
1.312931e+004, 4.719094e+002
1.316838e+004, 4.607725e+002
1.320746e+004, 4.510597e+002
1.324653e+004, 4.419573e+002
1.328561e+004, 4.323463e+002
1.332468e+004, 4.223793e+002
1.336376e+004, 4.121325e+002
1.340283e+004, 4.021908e+002
1.344191e+004, 3.927578e+002
1.348099e+004, 3.862240e+002
1.352006e+004, 3.799954e+002
1.355914e+004, 3.728003e+002
1.359821e+004, 3.640031e+002
1.363729e+004, 3.568589e+002
1.367636e+004, 3.521307e+002
1.371544e+004, 3.489030e+002
1.375451e+004, 3.458024e+002
1.379359e+004, 3.427018e+002
1.383266e+004, 3.405421e+002
1.387174e+004, 3.397558e+002
1.391081e+004, 3.390966e+002
