File name = 10_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.435412e+002
1.953103e+001, 3.404399e+002
3.906207e+001, 3.419671e+002
5.859310e+001, 3.454779e+002
7.812414e+001, 3.539733e+002
9.765517e+001, 3.637403e+002
1.171862e+002, 3.693874e+002
1.367172e+002, 3.714741e+002
1.562483e+002, 3.722892e+002
1.757793e+002, 3.721125e+002
1.953103e+002, 3.723173e+002
2.148414e+002, 3.747346e+002
2.343724e+002, 3.792118e+002
2.539034e+002, 3.852149e+002
2.734345e+002, 3.906077e+002
2.929655e+002, 3.937625e+002
3.124965e+002, 3.950863e+002
3.320276e+002, 3.962066e+002
3.515586e+002, 3.971743e+002
3.710897e+002, 3.994645e+002
3.906207e+002, 4.020598e+002
4.101517e+002, 4.045025e+002
4.296828e+002, 4.063858e+002
4.492138e+002, 4.077095e+002
4.687448e+002, 4.085247e+002
4.882759e+002, 4.089329e+002
5.078069e+002, 4.108670e+002
5.273379e+002, 4.150391e+002
5.468690e+002, 4.211439e+002
5.664000e+002, 4.256211e+002
5.859310e+002, 4.284708e+002
6.054621e+002, 4.301760e+002
6.249931e+002, 4.301519e+002
6.445241e+002, 4.287799e+002
6.640552e+002, 4.271537e+002
6.835862e+002, 4.271550e+002
7.031172e+002, 4.268511e+002
7.226483e+002, 4.260387e+002
7.421793e+002, 4.260909e+002
7.617103e+002, 4.271603e+002
7.812414e+002, 4.264495e+002
8.007724e+002, 4.240095e+002
8.203034e+002, 4.222815e+002
8.398345e+002, 4.223845e+002
8.593655e+002, 4.230979e+002
8.788965e+002, 4.236079e+002
8.984276e+002, 4.247790e+002
9.179586e+002, 4.256959e+002
9.374896e+002, 4.272740e+002
9.570207e+002, 4.291318e+002
9.765517e+002, 4.317525e+002
9.960828e+002, 4.345005e+002
1.015614e+003, 4.370958e+002
1.035145e+003, 4.379109e+002
1.054676e+003, 4.358777e+002
1.074207e+003, 4.330307e+002
1.093738e+003, 4.318114e+002
1.113269e+003, 4.328808e+002
1.132800e+003, 4.338485e+002
1.152331e+003, 4.337990e+002
1.171862e+003, 4.317658e+002
1.191393e+003, 4.293257e+002
1.210924e+003, 4.276995e+002
1.230455e+003, 4.269378e+002
1.249986e+003, 4.263797e+002
1.269517e+003, 4.261267e+002
1.289048e+003, 4.268910e+002
1.308579e+003, 4.275281e+002
1.328110e+003, 4.281652e+002
1.347641e+003, 4.289803e+002
1.367172e+003, 4.299735e+002
1.386703e+003, 4.314244e+002
1.406234e+003, 4.338671e+002
1.425766e+003, 4.366659e+002
1.445297e+003, 4.387017e+002
1.464828e+003, 4.402289e+002
1.484359e+003, 4.419596e+002
1.503890e+003, 4.434868e+002
1.523421e+003, 4.426743e+002
1.542952e+003, 4.395730e+002
1.562483e+003, 4.361665e+002
1.582014e+003, 4.332433e+002
1.601545e+003, 4.305743e+002
1.621076e+003, 4.281851e+002
1.640607e+003, 4.261519e+002
1.660138e+003, 4.247799e+002
1.679669e+003, 4.240692e+002
1.699200e+003, 4.241214e+002
1.718731e+003, 4.244788e+002
1.738262e+003, 4.241240e+002
1.757793e+003, 4.241254e+002
1.777324e+003, 4.244827e+002
1.796855e+003, 4.249418e+002
1.816386e+003, 4.256044e+002
1.835917e+003, 4.257583e+002
1.855448e+003, 4.265734e+002
1.874979e+003, 4.265747e+002
1.894510e+003, 4.265252e+002
1.914041e+003, 4.269334e+002
1.933572e+003, 4.277740e+002
1.953103e+003, 4.296827e+002
1.972634e+003, 4.321254e+002
1.992166e+003, 4.338052e+002
2.011697e+003, 4.334505e+002
2.031228e+003, 4.314173e+002
2.050759e+003, 4.298419e+002
2.070290e+003, 4.305044e+002
2.089821e+003, 4.329472e+002
2.109352e+003, 4.358985e+002
2.128883e+003, 4.367137e+002
2.148414e+003, 4.342736e+002
2.167945e+003, 4.305111e+002
2.187476e+003, 4.284016e+002
2.207007e+003, 4.281741e+002
2.226538e+003, 4.286331e+002
2.246069e+003, 4.294228e+002
2.265600e+003, 4.294242e+002
2.285131e+003, 4.297052e+002
2.304662e+003, 4.300372e+002
2.324193e+003, 4.310558e+002
2.343724e+003, 4.314386e+002
2.363255e+003, 4.322537e+002
2.382786e+003, 4.327128e+002
2.402317e+003, 4.313408e+002
2.421848e+003, 4.261541e+002
2.441379e+003, 4.199502e+002
2.460910e+003, 4.163912e+002
2.480441e+003, 4.147903e+002
2.499972e+003, 4.134438e+002
2.519503e+003, 4.118175e+002
2.539034e+003, 4.107253e+002
2.558565e+003, 4.087175e+002
2.578097e+003, 4.041921e+002
2.597628e+003, 3.985222e+002
2.617159e+003, 3.942511e+002
2.636690e+003, 3.931080e+002
2.656221e+003, 3.922955e+002
2.675752e+003, 3.895503e+002
2.695283e+003, 3.846688e+002
2.714814e+003, 3.796093e+002
2.734345e+003, 3.735834e+002
2.753876e+003, 3.674812e+002
2.773407e+003, 3.627014e+002
2.792938e+003, 3.594984e+002
2.812469e+003, 3.574144e+002
2.832000e+003, 3.556864e+002
2.851531e+003, 3.517713e+002
2.871062e+003, 3.462286e+002
2.890593e+003, 3.415505e+002
2.910124e+003, 3.395682e+002
2.929655e+003, 3.387557e+002
2.949186e+003, 3.387571e+002
2.968717e+003, 3.371308e+002
2.988248e+003, 3.340295e+002
3.007779e+003, 3.337765e+002
3.027310e+003, 3.394236e+002
3.046841e+003, 3.462405e+002
3.066372e+003, 3.500057e+002
3.085903e+003, 3.517872e+002
3.105434e+003, 3.546368e+002
3.124965e+003, 3.592667e+002
3.144497e+003, 3.652189e+002
3.164028e+003, 3.708660e+002
3.183559e+003, 3.747583e+002
3.203090e+003, 3.763873e+002
3.222621e+003, 3.782451e+002
3.242152e+003, 3.822900e+002
3.261683e+003, 3.882677e+002
3.281214e+003, 3.933044e+002
3.300745e+003, 3.973747e+002
3.320276e+003, 4.004787e+002
3.339807e+003, 4.014464e+002
3.359338e+003, 4.017021e+002
3.378869e+003, 4.024409e+002
3.398400e+003, 4.042478e+002
3.417931e+003, 4.061820e+002
3.437462e+003, 4.083449e+002
3.456993e+003, 4.112200e+002
3.476524e+003, 4.136119e+002
3.496055e+003, 4.152408e+002
3.515586e+003, 4.169206e+002
3.535117e+003, 4.184478e+002
3.554648e+003, 4.201276e+002
3.574179e+003, 4.214005e+002
3.593710e+003, 4.216561e+002
3.613241e+003, 4.216575e+002
3.632772e+003, 4.228795e+002
3.652303e+003, 4.250171e+002
3.671834e+003, 4.273581e+002
3.691365e+003, 4.285038e+002
3.710897e+003, 4.299039e+002
3.730428e+003, 4.307190e+002
3.749959e+003, 4.306186e+002
3.769490e+003, 4.299078e+002
3.789021e+003, 4.299092e+002
3.808552e+003, 4.311312e+002
3.828083e+003, 4.324041e+002
3.847614e+003, 4.322528e+002
3.867145e+003, 4.295584e+002
3.886676e+003, 4.260757e+002
3.906207e+003, 4.234576e+002
3.925738e+003, 4.228994e+002
3.945269e+003, 4.225956e+002
3.964800e+003, 4.234107e+002
3.984331e+003, 4.246836e+002
4.003862e+003, 4.258548e+002
4.023393e+003, 4.266190e+002
4.042924e+003, 4.265695e+002
4.062455e+003, 4.258079e+002
4.081986e+003, 4.260890e+002
4.101517e+003, 4.275399e+002
4.121048e+003, 4.290162e+002
4.140579e+003, 4.299331e+002
4.160110e+003, 4.309516e+002
4.179641e+003, 4.317922e+002
4.199172e+003, 4.316155e+002
4.218703e+003, 4.298367e+002
4.238234e+003, 4.270914e+002
4.257765e+003, 4.251091e+002
4.277297e+003, 4.242966e+002
4.296828e+003, 4.241453e+002
4.316359e+003, 4.242993e+002
4.335890e+003, 4.253433e+002
4.355421e+003, 4.270994e+002
4.374952e+003, 4.282197e+002
4.394483e+003, 4.277378e+002
4.414014e+003, 4.267473e+002
4.433545e+003, 4.267486e+002
4.453076e+003, 4.267500e+002
4.472607e+003, 4.261918e+002
4.492138e+003, 4.251250e+002
4.511669e+003, 4.249737e+002
4.531200e+003, 4.253057e+002
4.550731e+003, 4.258919e+002
4.570262e+003, 4.259441e+002
4.589793e+003, 4.261235e+002
4.609324e+003, 4.267097e+002
4.628855e+003, 4.282369e+002
4.648386e+003, 4.299676e+002
4.667917e+003, 4.310116e+002
4.687448e+003, 4.308349e+002
4.706979e+003, 4.308362e+002
4.726510e+003, 4.311936e+002
4.746041e+003, 4.315001e+002
4.765572e+003, 4.315014e+002
4.785103e+003, 4.318334e+002
4.804634e+003, 4.320127e+002
4.824165e+003, 4.307933e+002
4.843697e+003, 4.293959e+002
4.863228e+003, 4.287869e+002
4.882759e+003, 4.287882e+002
4.902290e+003, 4.295779e+002
4.921821e+003, 4.303931e+002
4.941352e+003, 4.308522e+002
4.960883e+003, 4.303957e+002
4.980414e+003, 4.299901e+002
4.999945e+003, 4.303984e+002
5.019476e+003, 4.315187e+002
5.039007e+003, 4.307062e+002
5.058538e+003, 4.285967e+002
5.078069e+003, 4.287761e+002
5.097600e+003, 4.304813e+002
5.117131e+003, 4.312201e+002
5.136662e+003, 4.308146e+002
5.156193e+003, 4.302310e+002
5.175724e+003, 4.295965e+002
5.195255e+003, 4.288095e+002
5.214786e+003, 4.275647e+002
5.234317e+003, 4.251246e+002
5.253848e+003, 4.233966e+002
5.273379e+003, 4.233979e+002
5.292910e+003, 4.242130e+002
5.312441e+003, 4.247230e+002
5.331972e+003, 4.243174e+002
5.351503e+003, 4.242170e+002
5.371034e+003, 4.247778e+002
5.390565e+003, 4.259490e+002
5.410097e+003, 4.250857e+002
5.429628e+003, 4.226456e+002
5.449159e+003, 4.219348e+002
5.468690e+003, 4.259543e+002
5.488221e+003, 4.324661e+002
5.507752e+003, 4.357226e+002
5.527283e+003, 4.317058e+002
5.546814e+003, 4.237471e+002
5.566345e+003, 4.154324e+002
5.585876e+003, 4.089233e+002
5.605407e+003, 4.043978e+002
5.624938e+003, 4.016017e+002
5.644469e+003, 3.990090e+002
5.664000e+003, 3.954500e+002
5.683531e+003, 3.908737e+002
5.703062e+003, 3.857124e+002
5.722593e+003, 3.816193e+002
5.742124e+003, 3.778568e+002
5.761655e+003, 3.743486e+002
5.781186e+003, 3.702301e+002
5.800717e+003, 3.649925e+002
5.820248e+003, 3.597042e+002
5.839779e+003, 3.555856e+002
5.859310e+003, 3.523317e+002
5.878841e+003, 3.495356e+002
5.898372e+003, 3.470447e+002
5.917903e+003, 3.446554e+002
5.937434e+003, 3.428766e+002
5.956965e+003, 3.412503e+002
5.976497e+003, 3.408193e+002
5.996028e+003, 3.425754e+002
6.015559e+003, 3.453233e+002
6.035090e+003, 3.493936e+002
6.054621e+003, 3.529553e+002
6.074152e+003, 3.570511e+002
6.093683e+003, 3.616047e+002
6.113214e+003, 3.651918e+002
6.132745e+003, 3.676091e+002
6.152276e+003, 3.694415e+002
6.171807e+003, 3.710704e+002
6.191338e+003, 3.722925e+002
6.210869e+003, 3.735145e+002
6.230400e+003, 3.751434e+002
6.249931e+003, 3.788069e+002
6.269462e+003, 3.840979e+002
6.288993e+003, 3.884734e+002
6.308524e+003, 3.910687e+002
6.328055e+003, 3.946813e+002
6.347586e+003, 3.985736e+002
6.367117e+003, 4.011944e+002
6.386648e+003, 4.018315e+002
6.406179e+003, 4.024686e+002
6.425710e+003, 4.049368e+002
6.445241e+003, 4.073032e+002
6.464772e+003, 4.081692e+002
6.484303e+003, 4.085774e+002
6.503834e+003, 4.096469e+002
6.523365e+003, 4.113775e+002
6.542896e+003, 4.142272e+002
6.562428e+003, 4.172803e+002
6.581959e+003, 4.194178e+002
6.601490e+003, 4.203855e+002
6.621021e+003, 4.211498e+002
6.640552e+003, 4.221938e+002
6.660083e+003, 4.243060e+002
6.679614e+003, 4.264435e+002
6.699145e+003, 4.272586e+002
6.718676e+003, 4.262682e+002
6.738207e+003, 4.256337e+002
6.757738e+003, 4.254570e+002
6.777269e+003, 4.260941e+002
6.796800e+003, 4.275705e+002
6.816331e+003, 4.281313e+002
6.835862e+003, 4.280817e+002
6.855393e+003, 4.277270e+002
6.874924e+003, 4.272706e+002
6.894455e+003, 4.268650e+002
6.913986e+003, 4.270952e+002
6.933517e+003, 4.277323e+002
6.953048e+003, 4.292087e+002
6.972579e+003, 4.313462e+002
6.992110e+003, 4.329752e+002
7.011641e+003, 4.341972e+002
7.031172e+003, 4.346054e+002
7.050703e+003, 4.341999e+002
7.070234e+003, 4.334382e+002
7.089765e+003, 4.326258e+002
7.109296e+003, 4.318133e+002
7.128828e+003, 4.306194e+002
7.148359e+003, 4.287388e+002
7.167890e+003, 4.263750e+002
7.187421e+003, 4.244944e+002
7.206952e+003, 4.252078e+002
7.226483e+003, 4.264807e+002
7.246014e+003, 4.276010e+002
7.265545e+003, 4.285687e+002
7.285076e+003, 4.300451e+002
7.304607e+003, 4.316740e+002
7.324138e+003, 4.333029e+002
7.343669e+003, 4.349318e+002
7.363200e+003, 4.361539e+002
7.382731e+003, 4.359009e+002
7.402262e+003, 4.336388e+002
7.421793e+003, 4.303850e+002
7.441324e+003, 4.284281e+002
7.460855e+003, 4.277682e+002
7.480386e+003, 4.281255e+002
7.499917e+003, 4.284320e+002
7.519448e+003, 4.281282e+002
7.538979e+003, 4.276209e+002
7.558510e+003, 4.268593e+002
7.578041e+003, 4.261485e+002
7.597572e+003, 4.260481e+002
7.617103e+003, 4.255154e+002
7.636634e+003, 4.248810e+002
7.656165e+003, 4.245262e+002
7.675696e+003, 4.253414e+002
7.695228e+003, 4.265125e+002
7.714759e+003, 4.268190e+002
7.734290e+003, 4.268204e+002
7.753821e+003, 4.273303e+002
7.773352e+003, 4.277386e+002
7.792883e+003, 4.277907e+002
7.812414e+003, 4.285041e+002
7.831945e+003, 4.295990e+002
7.851476e+003, 4.314314e+002
7.871007e+003, 4.333909e+002
7.890538e+003, 4.349690e+002
7.910069e+003, 4.359367e+002
7.929600e+003, 4.365993e+002
7.949131e+003, 4.366006e+002
7.968662e+003, 4.357881e+002
7.988193e+003, 4.342636e+002
8.007724e+003, 4.318998e+002
8.027255e+003, 4.301972e+002
8.046786e+003, 4.286218e+002
8.066317e+003, 4.286231e+002
8.085848e+003, 4.297943e+002
8.105379e+003, 4.317284e+002
8.124910e+003, 4.342729e+002
8.144441e+003, 4.371225e+002
8.163972e+003, 4.392092e+002
8.183503e+003, 4.395666e+002
8.203034e+003, 4.375334e+002
8.222565e+003, 4.353222e+002
8.242096e+003, 4.339248e+002
8.261628e+003, 4.336972e+002
8.281159e+003, 4.341818e+002
8.300690e+003, 4.343357e+002
8.320221e+003, 4.337012e+002
8.339752e+003, 4.320749e+002
8.359283e+003, 4.306267e+002
8.378814e+003, 4.293056e+002
8.398345e+003, 4.284931e+002
8.417876e+003, 4.265617e+002
8.437407e+003, 4.245285e+002
8.456938e+003, 4.229531e+002
8.476469e+003, 4.236156e+002
8.496000e+003, 4.236169e+002
8.515531e+003, 4.206937e+002
8.535062e+003, 4.164479e+002
8.554593e+003, 4.135501e+002
8.574124e+003, 4.117458e+002
8.593655e+003, 4.103230e+002
8.613186e+003, 4.090782e+002
8.632717e+003, 4.073502e+002
8.652248e+003, 4.044269e+002
8.671779e+003, 4.025717e+002
8.691310e+003, 4.018101e+002
8.710841e+003, 4.008451e+002
8.730372e+003, 3.977438e+002
8.749903e+003, 3.935235e+002
8.769434e+003, 3.887437e+002
8.788965e+003, 3.837605e+002
8.808496e+003, 3.773531e+002
8.828028e+003, 3.707423e+002
8.847559e+003, 3.643858e+002
8.867090e+003, 3.596569e+002
8.886621e+003, 3.553858e+002
8.906152e+003, 3.509112e+002
8.925683e+003, 3.455211e+002
8.945214e+003, 3.395206e+002
8.964745e+003, 3.352495e+002
8.984276e+003, 3.330128e+002
9.003807e+003, 3.317426e+002
9.023338e+003, 3.297603e+002
9.042869e+003, 3.289732e+002
9.062400e+003, 3.305767e+002
9.081931e+003, 3.349523e+002
9.101462e+003, 3.387429e+002
9.120993e+003, 3.423809e+002
9.140524e+003, 3.460697e+002
9.160055e+003, 3.507250e+002
9.179586e+003, 3.572622e+002
9.199117e+003, 3.647912e+002
9.218648e+003, 3.707689e+002
9.238179e+003, 3.741271e+002
9.257710e+003, 3.764681e+002
9.277241e+003, 3.789109e+002
9.296772e+003, 3.822691e+002
9.316303e+003, 3.866192e+002
9.335834e+003, 3.916305e+002
9.355365e+003, 3.961078e+002
9.374896e+003, 3.989574e+002
9.394428e+003, 4.005863e+002
9.413959e+003, 4.012234e+002
9.433490e+003, 4.025218e+002
9.453021e+003, 4.050662e+002
9.472552e+003, 4.083228e+002
9.492083e+003, 4.103586e+002
9.511614e+003, 4.107668e+002
9.531145e+003, 4.111751e+002
9.550676e+003, 4.119902e+002
9.570207e+003, 4.136700e+002
9.589738e+003, 4.157058e+002
9.609269e+003, 4.180977e+002
9.628800e+003, 4.196249e+002
9.648331e+003, 4.205418e+002
