File name = 10_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.408494e+002
1.953103e+001, 3.376237e+002
3.906207e+001, 3.377295e+002
5.859310e+001, 3.364111e+002
7.812414e+001, 3.341264e+002
9.765517e+001, 3.329098e+002
1.171862e+002, 3.323543e+002
1.367172e+002, 3.326636e+002
1.562483e+002, 3.349565e+002
1.757793e+002, 3.391822e+002
1.953103e+002, 3.431027e+002
2.148414e+002, 3.465146e+002
2.343724e+002, 3.512489e+002
2.539034e+002, 3.585772e+002
2.734345e+002, 3.658546e+002
2.929655e+002, 3.710467e+002
3.124965e+002, 3.748655e+002
3.320276e+002, 3.787860e+002
3.515586e+002, 3.842070e+002
3.710897e+002, 3.915098e+002
3.906207e+002, 3.992450e+002
4.101517e+002, 4.029112e+002
4.296828e+002, 4.003722e+002
4.492138e+002, 3.956460e+002
4.687448e+002, 3.950906e+002
4.882759e+002, 3.976887e+002
5.078069e+002, 4.007954e+002
5.273379e+002, 4.029611e+002
5.468690e+002, 4.058390e+002
5.664000e+002, 4.086405e+002
5.859310e+002, 4.099161e+002
6.054621e+002, 4.105814e+002
6.249931e+002, 4.130778e+002
6.445241e+002, 4.179138e+002
6.640552e+002, 4.216817e+002
6.835862e+002, 4.215078e+002
7.031172e+002, 4.200877e+002
7.226483e+002, 4.205242e+002
7.421793e+002, 4.216981e+002
7.617103e+002, 4.221599e+002
7.812414e+002, 4.225200e+002
8.007724e+002, 4.237957e+002
8.203034e+002, 4.269024e+002
8.398345e+002, 4.310772e+002
8.593655e+002, 4.343874e+002
8.788965e+002, 4.358665e+002
8.984276e+002, 4.351585e+002
9.179586e+002, 4.327211e+002
9.374896e+002, 4.303347e+002
9.570207e+002, 4.310000e+002
9.765517e+002, 4.326317e+002
9.960828e+002, 4.322797e+002
1.015614e+003, 4.295372e+002
1.035145e+003, 4.275068e+002
1.054676e+003, 4.269514e+002
1.074207e+003, 4.266503e+002
1.093738e+003, 4.262475e+002
1.113269e+003, 4.279300e+002
1.132800e+003, 4.327152e+002
1.152331e+003, 4.377038e+002
1.171862e+003, 4.392846e+002
1.191393e+003, 4.376611e+002
1.210924e+003, 4.354527e+002
1.230455e+003, 4.340072e+002
1.249986e+003, 4.330957e+002
1.269517e+003, 4.327946e+002
1.289048e+003, 4.328496e+002
1.308579e+003, 4.336674e+002
1.328110e+003, 4.344853e+002
1.347641e+003, 4.336756e+002
1.367172e+003, 4.327133e+002
1.386703e+003, 4.306066e+002
1.406234e+003, 4.287542e+002
1.425766e+003, 4.271306e+002
1.445297e+003, 4.263209e+002
1.464828e+003, 4.263759e+002
1.484359e+003, 4.267360e+002
1.503890e+003, 4.263332e+002
