File name = 1_no_dark_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.119051e+002
9.765517e+000, 4.087752e+002
1.953103e+001, 4.109351e+002
2.929655e+001, 4.117725e+002
3.906207e+001, 4.125083e+002
4.882759e+001, 4.126336e+002
5.859310e+001, 4.126064e+002
6.835862e+001, 4.118925e+002
7.812414e+001, 4.117890e+002
8.788965e+001, 4.118126e+002
9.765517e+001, 4.119380e+002
1.074207e+002, 4.119616e+002
1.171862e+002, 4.111715e+002
1.269517e+002, 4.110934e+002
1.367172e+002, 4.112187e+002
1.464828e+002, 4.121325e+002
1.562483e+002, 4.129190e+002
1.660138e+002, 4.129427e+002
1.757793e+002, 4.128392e+002
1.855448e+002, 4.130408e+002
1.953103e+002, 4.146412e+002
2.050759e+002, 4.166739e+002
2.148414e+002, 4.178165e+002
2.246069e+002, 4.179419e+002
2.343724e+002, 4.183724e+002
2.441379e+002, 4.184215e+002
2.539034e+002, 4.187249e+002
2.636690e+002, 4.184433e+002
2.734345e+002, 4.179583e+002
2.832000e+002, 4.164815e+002
2.929655e+002, 4.164797e+002
3.027310e+002, 4.168085e+002
3.124965e+002, 4.172391e+002
3.222621e+002, 4.173644e+002
3.320276e+002, 4.181002e+002
3.417931e+002, 4.191156e+002
3.515586e+002, 4.199022e+002
3.613241e+002, 4.207142e+002
3.710897e+002, 4.219585e+002
3.808552e+002, 4.228214e+002
3.906207e+002, 4.231248e+002
4.003862e+002, 4.223346e+002
4.101517e+002, 4.216462e+002
4.199172e+002, 4.216698e+002
4.296828e+002, 4.215917e+002
4.394483e+002, 4.209287e+002
4.492138e+002, 4.209524e+002
4.589793e+002, 4.211794e+002
4.687448e+002, 4.216863e+002
4.785103e+002, 4.218371e+002
4.882759e+002, 4.220641e+002
4.980414e+002, 4.222658e+002
5.078069e+002, 4.218825e+002
5.175724e+002, 4.209906e+002
5.273379e+002, 4.207091e+002
5.371034e+002, 4.204021e+002
5.468690e+002, 4.207564e+002
5.566345e+002, 4.207800e+002
5.664000e+002, 4.211088e+002
5.761655e+002, 4.212596e+002
5.859310e+002, 4.212833e+002
5.956965e+002, 4.212815e+002
6.054621e+002, 4.215340e+002
6.152276e+002, 4.221425e+002
6.249931e+002, 4.221916e+002
6.347586e+002, 4.230036e+002
6.445241e+002, 4.234596e+002
6.542896e+002, 4.245768e+002
6.640552e+002, 4.246004e+002
6.738207e+002, 4.243189e+002
6.835862e+002, 4.239610e+002
6.933517e+002, 4.239592e+002
7.031172e+002, 4.238811e+002
7.128828e+002, 4.235996e+002
7.226483e+002, 4.234452e+002
7.324138e+002, 4.239520e+002
7.421793e+002, 4.240774e+002
7.519448e+002, 4.241010e+002
7.617103e+002, 4.241247e+002
7.714759e+002, 4.240466e+002
7.812414e+002, 4.240702e+002
7.910069e+002, 4.238141e+002
8.007724e+002, 4.242192e+002
8.105379e+002, 4.242683e+002
8.203034e+002, 4.243428e+002
8.300690e+002, 4.241884e+002
8.398345e+002, 4.242120e+002
8.496000e+002, 4.239559e+002
8.593655e+002, 4.243865e+002
8.691310e+002, 4.251985e+002
8.788965e+002, 4.252984e+002
8.886621e+002, 4.252712e+002
8.984276e+002, 4.251677e+002
9.081931e+002, 4.248861e+002
9.179586e+002, 4.249098e+002
9.277241e+002, 4.245265e+002
9.374896e+002, 4.241432e+002
9.472552e+002, 4.244720e+002
9.570207e+002, 4.246228e+002
9.667862e+002, 4.253331e+002
9.765517e+002, 4.253567e+002
9.863172e+002, 4.253804e+002
9.960828e+002, 4.254040e+002
1.005848e+003, 4.251479e+002
1.015614e+003, 4.250444e+002
1.025379e+003, 4.254749e+002
1.035145e+003, 4.264141e+002
1.044910e+003, 4.268446e+002
1.054676e+003, 4.264868e+002
1.064441e+003, 4.256712e+002
1.074207e+003, 4.244996e+002
1.083972e+003, 4.240909e+002
1.093738e+003, 4.237076e+002
1.103503e+003, 4.237567e+002
1.113269e+003, 4.241618e+002
1.123034e+003, 4.245923e+002
1.132800e+003, 4.246414e+002
1.142566e+003, 4.246650e+002
1.152331e+003, 4.242563e+002
1.162097e+003, 4.238985e+002
1.171862e+003, 4.235152e+002
1.181628e+003, 4.235389e+002
1.191393e+003, 4.237659e+002
1.201159e+003, 4.242728e+002
1.210924e+003, 4.242964e+002
1.220690e+003, 4.244218e+002
1.230455e+003, 4.244454e+002
1.240221e+003, 4.244945e+002
1.249986e+003, 4.247216e+002
1.259752e+003, 4.253301e+002
1.269517e+003, 4.261676e+002
1.279283e+003, 4.269033e+002
1.289048e+003, 4.270286e+002
1.298814e+003, 4.266454e+002
1.308579e+003, 4.262875e+002
1.318345e+003, 4.262857e+002
1.328110e+003, 4.263094e+002
1.337876e+003, 4.259261e+002
1.347641e+003, 4.255683e+002
1.357407e+003, 4.255665e+002
1.367172e+003, 4.251832e+002
1.376938e+003, 4.243930e+002
1.386703e+003, 4.239081e+002
1.396469e+003, 4.239317e+002
1.406234e+003, 4.240825e+002
1.416000e+003, 4.245130e+002
1.425766e+003, 4.237228e+002
1.435531e+003, 4.233142e+002
1.445297e+003, 4.232361e+002
1.455062e+003, 4.233614e+002
1.464828e+003, 4.238174e+002
1.474593e+003, 4.246294e+002
1.484359e+003, 4.246530e+002
1.494124e+003, 4.234814e+002
1.503890e+003, 4.229710e+002
1.513655e+003, 4.234015e+002
1.523421e+003, 4.239592e+002
1.533186e+003, 4.251781e+002
1.542952e+003, 4.256341e+002
1.552717e+003, 4.252508e+002
1.562483e+003, 4.243335e+002
1.572248e+003, 4.232382e+002
1.582014e+003, 4.235670e+002
1.591779e+003, 4.237178e+002
1.601545e+003, 4.239448e+002
1.611310e+003, 4.239685e+002
1.621076e+003, 4.237632e+002
1.630841e+003, 4.236851e+002
1.640607e+003, 4.229967e+002
1.650372e+003, 4.222065e+002
1.660138e+003, 4.222302e+002
1.669903e+003, 4.226861e+002
1.679669e+003, 4.234982e+002
1.689434e+003, 4.231403e+002
1.699200e+003, 4.222230e+002
1.708966e+003, 4.207970e+002
1.718731e+003, 4.207698e+002
1.728497e+003, 4.215818e+002
1.738262e+003, 4.224193e+002
1.748028e+003, 4.232821e+002
1.757793e+003, 4.241196e+002
1.767559e+003, 4.245501e+002
1.777324e+003, 4.241668e+002
1.787090e+003, 4.240633e+002
1.796855e+003, 4.241887e+002
1.806621e+003, 4.246447e+002
1.816386e+003, 4.252786e+002
1.826152e+003, 4.258872e+002
1.835917e+003, 4.259108e+002
1.845683e+003, 4.251461e+002
1.855448e+003, 4.250426e+002
1.865214e+003, 4.250662e+002
1.874979e+003, 4.251916e+002
1.884745e+003, 4.252915e+002
1.894510e+003, 4.252388e+002
1.904276e+003, 4.244741e+002
1.914041e+003, 4.237348e+002
1.923807e+003, 4.237076e+002
1.933572e+003, 4.241381e+002
1.943338e+003, 4.249501e+002
1.953103e+003, 4.252789e+002
1.962869e+003, 4.246668e+002
1.972634e+003, 4.246141e+002
1.982400e+003, 4.242309e+002
1.992166e+003, 4.242545e+002
2.001931e+003, 4.247105e+002
2.011697e+003, 4.255479e+002
2.021462e+003, 4.263599e+002
2.031228e+003, 4.257986e+002
2.040993e+003, 4.247796e+002
2.050759e+003, 4.243963e+002
2.060524e+003, 4.240131e+002
2.070290e+003, 4.239350e+002
2.080055e+003, 4.240858e+002
2.089821e+003, 4.247960e+002
2.099586e+003, 4.249977e+002
2.109352e+003, 4.249705e+002
2.119117e+003, 4.248669e+002
2.128883e+003, 4.245854e+002
2.138648e+003, 4.250159e+002
2.148414e+003, 4.254465e+002
2.158179e+003, 4.259024e+002
2.167945e+003, 4.259261e+002
2.177710e+003, 4.255428e+002
2.187476e+003, 4.247527e+002
2.197241e+003, 4.243440e+002
2.207007e+003, 4.243676e+002
2.216772e+003, 4.252050e+002
2.226538e+003, 4.260425e+002
2.236303e+003, 4.264730e+002
2.246069e+003, 4.265221e+002
2.255834e+003, 4.265203e+002
2.265600e+003, 4.265439e+002
2.275365e+003, 4.268727e+002
2.285131e+003, 4.270235e+002
2.294897e+003, 4.272506e+002
2.304662e+003, 4.278846e+002
2.314428e+003, 4.283151e+002
2.324193e+003, 4.278047e+002
