File name = c1_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.456194e+002
9.765517e+000, 4.454578e+002
1.953103e+001, 4.459574e+002
2.929655e+001, 4.467621e+002
3.906207e+001, 4.471600e+002
4.882759e+001, 4.467440e+002
5.859310e+001, 4.463535e+002
6.835862e+001, 4.466242e+002
7.812414e+001, 4.463354e+002
8.788965e+001, 4.463263e+002
9.765517e+001, 4.466987e+002
1.074207e+002, 4.479104e+002
1.171862e+002, 4.490203e+002
1.269517e+002, 4.491130e+002
1.367172e+002, 4.491039e+002
1.464828e+002, 4.489931e+002
1.562483e+002, 4.485009e+002
1.660138e+002, 4.482629e+002
1.757793e+002, 4.482539e+002
1.855448e+002, 4.489569e+002
1.953103e+002, 4.494819e+002
2.050759e+002, 4.494474e+002
2.148414e+002, 4.489297e+002
2.246069e+002, 4.484375e+002
2.343724e+002, 4.490133e+002
2.441379e+002, 4.490551e+002
2.539034e+002, 4.497073e+002
2.636690e+002, 4.496983e+002
2.734345e+002, 4.483922e+002
2.832000e+002, 4.469336e+002
2.929655e+002, 4.457801e+002
3.027310e+002, 4.456947e+002
3.124965e+002, 4.456857e+002
3.222621e+002, 4.463887e+002
3.320276e+002, 4.465577e+002
3.417931e+002, 4.465232e+002
3.515586e+002, 4.463615e+002
3.613241e+002, 4.459456e+002
3.710897e+002, 4.456314e+002
3.808552e+002, 4.456732e+002
3.906207e+002, 4.456387e+002
4.003862e+002, 4.455025e+002
4.101517e+002, 4.454934e+002
4.199172e+002, 4.455861e+002
4.296828e+002, 4.463908e+002
4.394483e+002, 4.471956e+002
4.492138e+002, 4.472119e+002
4.589793e+002, 4.471775e+002
4.687448e+002, 4.467615e+002
4.785103e+002, 4.471593e+002
4.882759e+002, 4.479641e+002
4.980414e+002, 4.486671e+002
5.078069e+002, 4.486581e+002
5.175724e+002, 4.483438e+002
5.273379e+002, 4.475210e+002
5.371034e+002, 4.463421e+002
5.468690e+002, 4.462821e+002
5.566345e+002, 4.470869e+002
5.664000e+002, 4.477899e+002
5.761655e+002, 4.478826e+002
5.859310e+002, 4.478990e+002
5.956965e+002, 4.478645e+002
6.054621e+002, 4.478554e+002
6.152276e+002, 4.480752e+002
6.249931e+002, 4.480662e+002
6.347586e+002, 4.486421e+002
6.445241e+002, 4.486330e+002
6.542896e+002, 4.486748e+002
6.640552e+002, 4.486403e+002
6.738207e+002, 4.485041e+002
6.835862e+002, 4.485968e+002
6.933517e+002, 4.489946e+002
7.031172e+002, 4.493925e+002
7.128828e+002, 4.494088e+002
7.226483e+002, 4.493744e+002
7.324138e+002, 4.492636e+002
7.421793e+002, 4.489748e+002
7.519448e+002, 4.492455e+002
7.617103e+002, 4.493381e+002
7.714759e+002, 4.493291e+002
7.812414e+002, 4.492183e+002
7.910069e+002, 4.483954e+002
8.007724e+002, 4.472928e+002
8.105379e+002, 4.472583e+002
8.203034e+002, 4.478851e+002
8.300690e+002, 4.491730e+002
8.398345e+002, 4.493420e+002
8.496000e+002, 4.492566e+002
8.593655e+002, 4.484846e+002
8.691310e+002, 4.484247e+002
8.788965e+002, 4.491277e+002
8.886621e+002, 4.492204e+002
8.984276e+002, 4.491096e+002
9.081931e+002, 4.487954e+002
9.179586e+002, 4.490915e+002
9.277241e+002, 4.495911e+002
9.374896e+002, 4.503958e+002
9.472552e+002, 4.507937e+002
9.570207e+002, 4.507846e+002
9.667862e+002, 4.507756e+002
9.765517e+002, 4.508428e+002
9.863172e+002, 4.515713e+002
9.960828e+002, 4.519691e+002
1.005848e+003, 4.515786e+002
1.015614e+003, 4.507303e+002
1.025379e+003, 4.498057e+002
1.035145e+003, 4.497966e+002
1.044910e+003, 4.506014e+002
1.054676e+003, 4.505923e+002
1.064441e+003, 4.502781e+002
1.074207e+003, 4.497604e+002
1.083972e+003, 4.486578e+002
1.093738e+003, 4.482164e+002
1.103503e+003, 4.490212e+002
1.113269e+003, 4.498259e+002
1.123034e+003, 4.498677e+002
1.132800e+003, 4.500367e+002
1.142566e+003, 4.505108e+002
1.152331e+003, 4.506035e+002
1.162097e+003, 4.505944e+002
1.171862e+003, 4.501785e+002
1.181628e+003, 4.501694e+002
1.191393e+003, 4.509996e+002
1.201159e+003, 4.521858e+002
1.210924e+003, 4.514393e+002
1.220690e+003, 4.497263e+002
1.230455e+003, 4.485220e+002
1.240221e+003, 4.485129e+002
1.249986e+003, 4.487836e+002
1.259752e+003, 4.489526e+002
1.269517e+003, 4.488672e+002
1.279283e+003, 4.495703e+002
1.289048e+003, 4.504767e+002
1.298814e+003, 4.512815e+002
1.308579e+003, 4.512978e+002
1.318345e+003, 4.512634e+002
1.328110e+003, 4.512543e+002
1.337876e+003, 4.511435e+002
1.347641e+003, 4.504224e+002
1.357407e+003, 4.503116e+002
1.367172e+003, 4.495905e+002
1.376938e+003, 4.486659e+002
1.386703e+003, 4.475379e+002
1.396469e+003, 4.471219e+002
1.406234e+003, 4.471128e+002
1.416000e+003, 4.473327e+002
1.425766e+003, 4.479594e+002
1.435531e+003, 4.483318e+002
1.445297e+003, 4.473055e+002
1.455062e+003, 4.461520e+002
1.464828e+003, 4.454309e+002
1.474593e+003, 4.462357e+002
1.484359e+003, 4.470404e+002
1.494124e+003, 4.478451e+002
1.503890e+003, 4.479124e+002
1.513655e+003, 4.478270e+002
1.523421e+003, 4.478180e+002
1.533186e+003, 4.482158e+002
1.542952e+003, 4.486645e+002
1.552717e+003, 4.493167e+002
1.562483e+003, 4.490025e+002
1.572248e+003, 4.486628e+002
1.582014e+003, 4.486537e+002
1.591779e+003, 4.486447e+002
1.601545e+003, 4.485593e+002
1.611310e+003, 4.486011e+002
1.621076e+003, 4.492533e+002
1.630841e+003, 4.493460e+002
1.640607e+003, 4.493369e+002
1.650372e+003, 4.493279e+002
1.660138e+003, 4.492171e+002
1.669903e+003, 4.484959e+002
1.679669e+003, 4.483852e+002
1.689434e+003, 4.484778e+002
1.699200e+003, 4.491809e+002
1.708966e+003, 4.493244e+002
1.718731e+003, 4.496968e+002
1.728497e+003, 4.499675e+002
1.738262e+003, 4.500856e+002
1.748028e+003, 4.512972e+002
1.757793e+003, 4.518985e+002
1.767559e+003, 4.520929e+002
1.777324e+003, 4.520584e+002
1.787090e+003, 4.523546e+002
1.796855e+003, 4.524472e+002
1.806621e+003, 4.528705e+002
1.816386e+003, 4.532429e+002
1.826152e+003, 4.528270e+002
1.835917e+003, 4.518261e+002
1.845683e+003, 4.511812e+002
1.855448e+003, 4.510705e+002
1.865214e+003, 4.507817e+002
1.874979e+003, 4.510524e+002
1.884745e+003, 4.511450e+002
1.894510e+003, 4.507291e+002
1.904276e+003, 4.499062e+002
1.914041e+003, 4.491342e+002
1.923807e+003, 4.491252e+002
1.933572e+003, 4.491415e+002
1.943338e+003, 4.494631e+002
1.953103e+003, 4.497592e+002
1.962869e+003, 4.499282e+002
1.972634e+003, 4.498428e+002
1.982400e+003, 4.502661e+002
1.992166e+003, 4.506385e+002
2.001931e+003, 4.506295e+002
2.011697e+003, 4.505187e+002
2.021462e+003, 4.505096e+002
2.031228e+003, 4.505006e+002
2.040993e+003, 4.498303e+002
2.050759e+003, 4.493635e+002
2.060524e+003, 4.493798e+002
2.070290e+003, 4.497523e+002
2.080055e+003, 4.501755e+002
2.089821e+003, 4.501665e+002
2.099586e+003, 4.504372e+002
2.109352e+003, 4.505553e+002
2.119117e+003, 4.505208e+002
2.128883e+003, 4.497742e+002
2.138648e+003, 4.493074e+002
