File name = 3_1_center_slice_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.247357e+002
2.929655e+001, 2.245704e+002
5.859310e+001, 2.263380e+002
8.788965e+001, 2.271391e+002
1.171862e+002, 2.267450e+002
1.464828e+002, 2.263763e+002
1.757793e+002, 2.259821e+002
2.050759e+002, 2.255880e+002
2.343724e+002, 2.256008e+002
2.636690e+002, 2.259950e+002
2.929655e+002, 2.260332e+002
3.222621e+002, 2.260460e+002
3.515586e+002, 2.260588e+002
3.808552e+002, 2.260716e+002
4.101517e+002, 2.260843e+002
4.394483e+002, 2.260717e+002
4.687448e+002, 2.256775e+002
4.980414e+002, 2.257157e+002
5.273379e+002, 2.260083e+002
5.566345e+002, 2.261228e+002
5.859310e+002, 2.260338e+002
6.152276e+002, 2.260466e+002
6.445241e+002, 2.260593e+002
6.738207e+002, 2.260721e+002
7.031172e+002, 2.258052e+002
7.324138e+002, 2.264283e+002
7.617103e+002, 2.269242e+002
7.910069e+002, 2.270642e+002
8.203034e+002, 2.270769e+002
8.496000e+002, 2.269626e+002
8.788965e+002, 2.266702e+002
9.081931e+002, 2.263015e+002
9.374896e+002, 2.263142e+002
9.667862e+002, 2.271154e+002
9.960828e+002, 2.275605e+002
1.025379e+003, 2.271664e+002
1.054676e+003, 2.267722e+002
1.083972e+003, 2.271919e+002
1.113269e+003, 2.272047e+002
1.142566e+003, 2.268105e+002
1.171862e+003, 2.264164e+002
1.201159e+003, 2.266326e+002
1.230455e+003, 2.264420e+002
1.259752e+003, 2.263276e+002
1.289048e+003, 2.260606e+002
1.318345e+003, 2.260734e+002
1.347641e+003, 2.264676e+002
1.376938e+003, 2.260989e+002
1.406234e+003, 2.259082e+002
1.435531e+003, 2.261245e+002
1.464828e+003, 2.269510e+002
1.494124e+003, 2.267604e+002
1.523421e+003, 2.265697e+002
1.552717e+003, 2.265825e+002
1.582014e+003, 2.261883e+002
1.611310e+003, 2.253873e+002
1.640607e+003, 2.254001e+002
1.669903e+003, 2.252094e+002
1.699200e+003, 2.254002e+002
1.728497e+003, 2.254384e+002
1.757793e+003, 2.258326e+002
1.787090e+003, 2.258708e+002
1.816386e+003, 2.260871e+002
1.845683e+003, 2.262778e+002
1.874979e+003, 2.259600e+002
1.904276e+003, 2.259219e+002
1.933572e+003, 2.261381e+002
1.962869e+003, 2.263544e+002
1.992166e+003, 2.259602e+002
2.021462e+003, 2.251592e+002
2.050759e+003, 2.251720e+002
2.080055e+003, 2.255917e+002
2.109352e+003, 2.260113e+002
2.138648e+003, 2.260241e+002
2.167945e+003, 2.262403e+002
2.197241e+003, 2.262531e+002
2.226538e+003, 2.260624e+002
2.255834e+003, 2.260752e+002
2.285131e+003, 2.260880e+002
2.314428e+003, 2.260753e+002
2.343724e+003, 2.257066e+002
2.373021e+003, 2.253125e+002
2.402317e+003, 2.253253e+002
2.431614e+003, 2.255415e+002
2.460910e+003, 2.260374e+002
2.490207e+003, 2.261519e+002
2.519503e+003, 2.257832e+002
2.548800e+003, 2.257960e+002
2.578097e+003, 2.260885e+002
2.607393e+003, 2.262030e+002
2.636690e+003, 2.262412e+002
2.665986e+003, 2.258217e+002
2.695283e+003, 2.254530e+002
2.724579e+003, 2.253640e+002
2.753876e+003, 2.254785e+002
2.783172e+003, 2.256947e+002
2.812469e+003, 2.257075e+002
2.841765e+003, 2.255168e+002
2.871062e+003, 2.254025e+002
2.900359e+003, 2.255424e+002
2.929655e+003, 2.262418e+002
2.958952e+003, 2.263563e+002
2.988248e+003, 2.262674e+002
3.017545e+003, 2.260004e+002
3.046841e+003, 2.258097e+002
3.076138e+003, 2.258225e+002
3.105434e+003, 2.258352e+002
3.134731e+003, 2.263312e+002
3.164028e+003, 2.263440e+002
3.193324e+003, 2.260770e+002
3.222621e+003, 2.256829e+002
3.251917e+003, 2.252888e+002
3.281214e+003, 2.252761e+002
3.310510e+003, 2.253143e+002
3.339807e+003, 2.251236e+002
3.369103e+003, 2.251364e+002
3.398400e+003, 2.251492e+002
3.427697e+003, 2.253654e+002
3.456993e+003, 2.249713e+002
3.486290e+003, 2.249840e+002
3.515586e+003, 2.252003e+002
3.544883e+003, 2.254165e+002
3.574179e+003, 2.253275e+002
3.603476e+003, 2.254420e+002
3.632772e+003, 2.250988e+002
3.662069e+003, 2.250607e+002
3.691365e+003, 2.250734e+002
3.720662e+003, 2.254931e+002
3.749959e+003, 2.255059e+002
3.779255e+003, 2.259256e+002
3.808552e+003, 2.261418e+002
3.837848e+003, 2.263326e+002
3.867145e+003, 2.259639e+002
3.896441e+003, 2.259767e+002
3.925738e+003, 2.253791e+002
3.955034e+003, 2.251630e+002
3.984331e+003, 2.247943e+002
4.013628e+003, 2.254174e+002
4.042924e+003, 2.256082e+002
4.072221e+003, 2.256464e+002
4.101517e+003, 2.259389e+002
4.130814e+003, 2.256719e+002
4.160110e+003, 2.254813e+002
4.189407e+003, 2.256975e+002
4.218703e+003, 2.259900e+002
4.248000e+003, 2.261299e+002
4.277297e+003, 2.261427e+002
4.306593e+003, 2.261555e+002
4.335890e+003, 2.263717e+002
4.365186e+003, 2.261810e+002
4.394483e+003, 2.257869e+002
4.423779e+003, 2.252910e+002
4.453076e+003, 2.247952e+002
4.482372e+003, 2.256218e+002
4.511669e+003, 2.258380e+002
4.540965e+003, 2.261305e+002
4.570262e+003, 2.256346e+002
4.599559e+003, 2.248590e+002
4.628855e+003, 2.246684e+002
4.658152e+003, 2.248846e+002
