File name = 3_1_center_slice.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.163702e+002
2.929655e+001, 2.162322e+002
5.859310e+001, 2.188153e+002
8.788965e+001, 2.188298e+002
1.171862e+002, 2.186409e+002
1.464828e+002, 2.188590e+002
1.757793e+002, 2.192804e+002
2.050759e+002, 2.188881e+002
2.343724e+002, 2.186992e+002
2.636690e+002, 2.189172e+002
2.929655e+002, 2.189318e+002
3.222621e+002, 2.187429e+002
3.515586e+002, 2.189609e+002
3.808552e+002, 2.187720e+002
4.101517e+002, 2.187865e+002
4.394483e+002, 2.181908e+002
4.687448e+002, 2.180019e+002
4.980414e+002, 2.180164e+002
5.273379e+002, 2.182344e+002
5.566345e+002, 2.185287e+002
5.859310e+002, 2.186705e+002
6.152276e+002, 2.186850e+002
6.445241e+002, 2.182672e+002
6.738207e+002, 2.174934e+002
7.031172e+002, 2.171011e+002
7.324138e+002, 2.175226e+002
7.617103e+002, 2.179440e+002
7.910069e+002, 2.186452e+002
8.203034e+002, 2.186598e+002
8.496000e+002, 2.179877e+002
8.788965e+002, 2.175954e+002
9.081931e+002, 2.178897e+002
9.374896e+002, 2.180314e+002
9.667862e+002, 2.184528e+002
9.960828e+002, 2.190778e+002
1.025379e+003, 2.188634e+002
1.054676e+003, 2.180896e+002
1.083972e+003, 2.174938e+002
1.113269e+003, 2.171778e+002
1.142566e+003, 2.173195e+002
1.171862e+003, 2.175375e+002
1.201159e+003, 2.177301e+002
1.230455e+003, 2.177701e+002
1.259752e+003, 2.177846e+002
1.289048e+003, 2.177992e+002
1.318345e+003, 2.178138e+002
1.347641e+003, 2.181081e+002
1.376938e+003, 2.181226e+002
1.406234e+003, 2.178574e+002
1.435531e+003, 2.182789e+002
1.464828e+003, 2.184969e+002
1.494124e+003, 2.185115e+002
1.523421e+003, 2.181954e+002
1.552717e+003, 2.177268e+002
1.582014e+003, 2.171310e+002
1.611310e+003, 2.174253e+002
1.640607e+003, 2.174399e+002
1.669903e+003, 2.175816e+002
1.699200e+003, 2.175961e+002
1.728497e+003, 2.178142e+002
1.757793e+003, 2.176253e+002
1.787090e+003, 2.172329e+002
1.816386e+003, 2.175272e+002
1.845683e+003, 2.175418e+002
1.874979e+003, 2.176835e+002
1.904276e+003, 2.179015e+002
1.933572e+003, 2.181195e+002
1.962869e+003, 2.181341e+002
1.992166e+003, 2.181486e+002
2.021462e+003, 2.177563e+002
2.050759e+003, 2.176437e+002
2.080055e+003, 2.175820e+002
2.109352e+003, 2.173931e+002
2.138648e+003, 2.174076e+002
2.167945e+003, 2.174222e+002
2.197241e+003, 2.172333e+002
2.226538e+003, 2.170190e+002
2.255834e+003, 2.166521e+002
2.285131e+003, 2.170735e+002
2.314428e+003, 2.174950e+002
2.343724e+003, 2.171027e+002
2.373021e+003, 2.167103e+002
2.402317e+003, 2.167249e+002
2.431614e+003, 2.167394e+002
2.460910e+003, 2.171609e+002
2.490207e+003, 2.173789e+002
2.519503e+003, 2.173935e+002
2.548800e+003, 2.167977e+002
2.578097e+003, 2.167868e+002
2.607393e+003, 2.168268e+002
2.636690e+003, 2.170448e+002
2.665986e+003, 2.174663e+002
2.695283e+003, 2.172774e+002
2.724579e+003, 2.168850e+002
2.753876e+003, 2.168996e+002
2.783172e+003, 2.169142e+002
2.812469e+003, 2.169287e+002
2.841765e+003, 2.173248e+002
2.871062e+003, 2.172376e+002
2.900359e+003, 2.167690e+002
2.929655e+003, 2.161732e+002
2.958952e+003, 2.161877e+002
2.988248e+003, 2.166092e+002
3.017545e+003, 2.174121e+002
3.046841e+003, 2.174267e+002
3.076138e+003, 2.170598e+002
3.105434e+003, 2.166420e+002
3.134731e+003, 2.166820e+002
3.164028e+003, 2.166965e+002
3.193324e+003, 2.171180e+002
3.222621e+003, 2.171326e+002
3.251917e+003, 2.175286e+002
3.281214e+003, 2.171617e+002
3.310510e+003, 2.171762e+002
3.339807e+003, 2.173943e+002
3.369103e+003, 2.176123e+002
3.398400e+003, 2.174997e+002
3.427697e+003, 2.170310e+002
3.456993e+003, 2.168421e+002
3.486290e+003, 2.164498e+002
3.515586e+003, 2.164644e+002
3.544883e+003, 2.162755e+002
3.574179e+003, 2.162900e+002
3.603476e+003, 2.163046e+002
3.632772e+003, 2.161157e+002
3.662069e+003, 2.161303e+002
3.691365e+003, 2.161448e+002
3.720662e+003, 2.161340e+002
3.749959e+003, 2.163774e+002
3.779255e+003, 2.165954e+002
3.808552e+003, 2.170169e+002
3.837848e+003, 2.170060e+002
3.867145e+003, 2.166391e+002
3.896441e+003, 2.162467e+002
3.925738e+003, 2.164648e+002
3.955034e+003, 2.166828e+002
3.984331e+003, 2.171042e+002
4.013628e+003, 2.171188e+002
4.042924e+003, 2.171334e+002
4.072221e+003, 2.170208e+002
4.101517e+003, 2.167556e+002
4.130814e+003, 2.165667e+002
4.160110e+003, 2.167847e+002
4.189407e+003, 2.165958e+002
4.218703e+003, 2.160000e+002
4.248000e+003, 2.158111e+002
4.277297e+003, 2.164360e+002
4.306593e+003, 2.168575e+002
4.335890e+003, 2.168721e+002
4.365186e+003, 2.171664e+002
4.394483e+003, 2.171809e+002
4.423779e+003, 2.165088e+002
4.453076e+003, 2.165234e+002
4.482372e+003, 2.167414e+002
4.511669e+003, 2.169594e+002
4.540965e+003, 2.169740e+002
4.570262e+003, 2.169885e+002
4.599559e+003, 2.163927e+002
4.628855e+003, 2.157970e+002
4.658152e+003, 2.156844e+002
4.687448e+003, 2.158261e+002
4.716745e+003, 2.166544e+002
4.746041e+003, 2.168724e+002
4.775338e+003, 2.165818e+002
4.804634e+003, 2.157572e+002
4.833931e+003, 2.157717e+002
4.863228e+003, 2.157100e+002
4.892524e+003, 2.159280e+002
4.921821e+003, 2.163495e+002
4.951117e+003, 2.167709e+002
4.980414e+003, 2.167855e+002
5.009710e+003, 2.168000e+002
5.039007e+003, 2.164077e+002
5.068303e+003, 2.164223e+002
5.097600e+003, 2.164114e+002
5.126897e+003, 2.164514e+002
5.156193e+003, 2.164659e+002
5.185490e+003, 2.168874e+002
5.214786e+003, 2.164951e+002
5.244083e+003, 2.161027e+002
5.273379e+003, 2.159901e+002
5.302676e+003, 2.160047e+002
5.331972e+003, 2.161464e+002
5.361269e+003, 2.161610e+002
5.390565e+003, 2.163790e+002
5.419862e+003, 2.165970e+002
5.449159e+003, 2.166115e+002
5.478455e+003, 2.164226e+002
5.507752e+003, 2.161066e+002
5.537048e+003, 2.158414e+002
5.566345e+003, 2.162374e+002
5.595641e+003, 2.162774e+002
5.624938e+003, 2.162666e+002
5.654234e+003, 2.158997e+002
5.683531e+003, 2.157108e+002
5.712828e+003, 2.155219e+002
5.742124e+003, 2.162231e+002
5.771421e+003, 2.163648e+002
5.800717e+003, 2.167863e+002
5.830014e+003, 2.168008e+002
5.859310e+003, 2.163830e+002
5.888607e+003, 2.156092e+002
5.917903e+003, 2.154966e+002
5.947200e+003, 2.155112e+002
5.976497e+003, 2.155258e+002
6.005793e+003, 2.155403e+002
6.035090e+003, 2.156820e+002
6.064386e+003, 2.155694e+002
6.093683e+003, 2.153043e+002
6.122979e+003, 2.151154e+002
6.152276e+003, 2.153334e+002
6.181572e+003, 2.157548e+002
6.210869e+003, 2.159729e+002
6.240165e+003, 2.158348e+002
6.269462e+003, 2.157985e+002
6.298759e+003, 2.158131e+002
6.328055e+003, 2.158276e+002
6.357352e+003, 2.158168e+002
6.386648e+003, 2.154244e+002
6.415945e+003, 2.150575e+002
6.445241e+003, 2.150721e+002
6.474538e+003, 2.152901e+002
6.503834e+003, 2.153046e+002
6.533131e+003, 2.154972e+002
6.562428e+003, 2.153338e+002
6.591724e+003, 2.151957e+002
6.621021e+003, 2.150577e+002
6.650317e+003, 2.151740e+002
6.679614e+003, 2.151886e+002
6.708910e+003, 2.154066e+002
6.738207e+003, 2.155992e+002
6.767503e+003, 2.156137e+002
6.796800e+003, 2.154503e+002
6.826096e+003, 2.154648e+002
6.855393e+003, 2.152759e+002
6.884690e+003, 2.151633e+002
6.913986e+003, 2.151779e+002
6.943283e+003, 2.152942e+002
6.972579e+003, 2.149273e+002
7.001876e+003, 2.145349e+002
7.031172e+003, 2.147529e+002
7.060469e+003, 2.147675e+002
7.089765e+003, 2.145786e+002
7.119062e+003, 2.147966e+002
7.148359e+003, 2.153961e+002
7.177655e+003, 2.154361e+002
7.206952e+003, 2.148403e+002
7.236248e+003, 2.142445e+002
7.265545e+003, 2.142336e+002
7.294841e+003, 2.138667e+002
7.324138e+003, 2.142882e+002
7.353434e+003, 2.151165e+002
7.382731e+003, 2.157415e+002
7.412028e+003, 2.155526e+002
7.441324e+003, 2.151602e+002
7.470621e+003, 2.143610e+002
7.499917e+003, 2.141721e+002
7.529214e+003, 2.139832e+002
7.558510e+003, 2.142012e+002
7.587807e+003, 2.144192e+002
7.617103e+003, 2.148407e+002
7.646400e+003, 2.144483e+002
7.675696e+003, 2.140560e+002
7.704993e+003, 2.140706e+002
7.734290e+003, 2.140597e+002
7.763586e+003, 2.140997e+002
7.792883e+003, 2.143177e+002
7.822179e+003, 2.141288e+002
7.851476e+003, 2.143468e+002
7.880772e+003, 2.140308e+002
7.910069e+003, 2.135621e+002
7.939365e+003, 2.133732e+002
7.968662e+003, 2.133878e+002
7.997959e+003, 2.134024e+002
8.027255e+003, 2.136204e+002
8.056552e+003, 2.138384e+002
8.085848e+003, 2.138529e+002
8.115145e+003, 2.136641e+002
8.144441e+003, 2.133734e+002
8.173738e+003, 2.130828e+002
8.203034e+003, 2.126905e+002
8.232331e+003, 2.131119e+002
8.261628e+003, 2.134062e+002
8.290924e+003, 2.131411e+002
8.320221e+003, 2.129522e+002
8.349517e+003, 2.129667e+002
8.378814e+003, 2.127778e+002
8.408110e+003, 2.129959e+002
8.437407e+003, 2.128070e+002
8.466703e+003, 2.132284e+002
8.496000e+003, 2.132176e+002
8.525296e+003, 2.130541e+002
8.554593e+003, 2.128398e+002
8.583890e+003, 2.128798e+002
8.613186e+003, 2.130978e+002
8.642483e+003, 2.131123e+002
8.671779e+003, 2.132032e+002
8.701076e+003, 2.133195e+002
8.730372e+003, 2.131560e+002
8.759669e+003, 2.129671e+002
8.788965e+003, 2.129817e+002
8.818262e+003, 2.129962e+002
8.847559e+003, 2.128836e+002
8.876855e+003, 2.128982e+002
8.906152e+003, 2.129128e+002
8.935448e+003, 2.130545e+002
8.964745e+003, 2.130690e+002
8.994041e+003, 2.130582e+002
9.023338e+003, 2.129710e+002
9.052634e+003, 2.127058e+002
9.081931e+003, 2.126950e+002
