File name = 1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.195484e+002
2.901829e+000, 4.164461e+002
5.803659e+000, 4.190149e+002
8.705488e+000, 4.203376e+002
1.160732e+001, 4.195495e+002
1.450915e+001, 4.183036e+002
1.741098e+001, 4.177952e+002
2.031281e+001, 4.179480e+002
2.321464e+001, 4.179737e+002
2.611646e+001, 4.178723e+002
2.901829e+001, 4.178979e+002
3.192012e+001, 4.180508e+002
3.482195e+001, 4.182799e+002
3.772378e+001, 4.185091e+002
4.062561e+001, 4.188145e+002
4.352744e+001, 4.189673e+002
4.642927e+001, 4.193745e+002
4.933110e+001, 4.190187e+002
5.223293e+001, 4.190444e+002
5.513476e+001, 4.194770e+002
5.803659e+001, 4.195027e+002
6.093842e+001, 4.195029e+002
6.384025e+001, 4.198338e+002
6.674208e+001, 4.203681e+002
6.964391e+001, 4.208007e+002
7.254573e+001, 4.204449e+002
7.544756e+001, 4.208520e+002
7.834939e+001, 4.208777e+002
8.125122e+001, 4.201659e+002
8.415305e+001, 4.193015e+002
8.705488e+001, 4.185388e+002
8.995671e+001, 4.193529e+002
9.285854e+001, 4.194040e+002
9.576037e+001, 4.194042e+002
9.866220e+001, 4.190484e+002
1.015640e+002, 4.193539e+002
1.044659e+002, 4.186675e+002
1.073677e+002, 4.183117e+002
1.102695e+002, 4.187188e+002
1.131713e+002, 4.188208e+002
1.160732e+002, 4.187956e+002
1.189750e+002, 4.184144e+002
1.218768e+002, 4.180332e+002
1.247787e+002, 4.184658e+002
1.276805e+002, 4.188730e+002
1.305823e+002, 4.187969e+002
1.334842e+002, 4.181868e+002
1.363860e+002, 4.181362e+002
1.392878e+002, 4.180602e+002
1.421896e+002, 4.178061e+002
1.450915e+002, 4.182387e+002
1.479933e+002, 4.190782e+002
1.508951e+002, 4.182901e+002
1.537970e+002, 4.170950e+002
1.566988e+002, 4.165867e+002
1.596006e+002, 4.167395e+002
1.625024e+002, 4.175536e+002
1.654043e+002, 4.178081e+002
1.683061e+002, 4.176304e+002
1.712079e+002, 4.172491e+002
