File name = c1_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.655911e+002
9.765517e+000, 3.627002e+002
1.953103e+001, 3.637258e+002
2.929655e+001, 3.641919e+002
3.906207e+001, 3.659295e+002
4.882759e+001, 3.675146e+002
5.859310e+001, 3.660988e+002
6.835862e+001, 3.644286e+002
7.812414e+001, 3.642080e+002
8.788965e+001, 3.654116e+002
9.765517e+001, 3.660049e+002
1.074207e+002, 3.657589e+002
1.171862e+002, 3.649788e+002
1.269517e+002, 3.634104e+002
1.367172e+002, 3.609519e+002
1.464828e+002, 3.582899e+002
1.562483e+002, 3.579676e+002
1.660138e+002, 3.600868e+002
1.757793e+002, 3.626128e+002
1.855448e+002, 3.646302e+002
1.953103e+002, 3.652234e+002
2.050759e+002, 3.657149e+002
2.148414e+002, 3.650112e+002
2.246069e+002, 3.642566e+002
2.343724e+002, 3.639597e+002
2.441379e+002, 3.643241e+002
2.539034e+002, 3.641289e+002
2.636690e+002, 3.638067e+002
2.734345e+002, 3.634589e+002
2.832000e+002, 3.630349e+002
2.929655e+002, 3.624838e+002
3.027310e+002, 3.628990e+002
3.124965e+002, 3.634159e+002
3.222621e+002, 3.643143e+002
3.320276e+002, 3.652128e+002
3.417931e+002, 3.660857e+002
3.515586e+002, 3.660686e+002
3.613241e+002, 3.662804e+002
3.710897e+002, 3.667719e+002
3.808552e+002, 3.664242e+002
3.906207e+002, 3.657205e+002
4.003862e+002, 3.674072e+002
4.101517e+002, 3.699587e+002
4.199172e+002, 3.728916e+002
4.296828e+002, 3.740698e+002
4.394483e+002, 3.734678e+002
4.492138e+002, 3.723062e+002
4.589793e+002, 3.718822e+002
4.687448e+002, 3.719668e+002
4.785103e+002, 3.720514e+002
4.882759e+002, 3.729499e+002
4.980414e+002, 3.746621e+002
5.078069e+002, 3.760946e+002
5.175724e+002, 3.773745e+002
5.273379e+002, 3.774845e+002
5.371034e+002, 3.775437e+002
5.468690e+002, 3.783404e+002
5.566345e+002, 3.794168e+002
5.664000e+002, 3.817648e+002
5.761655e+002, 3.827904e+002
5.859310e+002, 3.835616e+002
5.956965e+002, 3.833665e+002
6.054621e+002, 3.837309e+002
6.152276e+002, 3.839427e+002
6.249931e+002, 3.840781e+002
6.347586e+002, 3.847985e+002
6.445241e+002, 3.853918e+002
6.542896e+002, 3.866971e+002
6.640552e+002, 3.876209e+002
6.738207e+002, 3.877564e+002
6.835862e+002, 3.885785e+002
6.933517e+002, 3.903162e+002
7.031172e+002, 3.928422e+002
7.128828e+002, 3.952411e+002
7.226483e+002, 3.958343e+002
7.324138e+002, 3.962241e+002
7.421793e+002, 3.971225e+002
7.519448e+002, 3.981227e+002
7.617103e+002, 3.994280e+002
7.714759e+002, 4.008096e+002
7.812414e+002, 4.024455e+002
7.910069e+002, 4.033439e+002
8.007724e+002, 4.042678e+002
8.105379e+002, 4.051662e+002
8.203034e+002, 4.056577e+002
8.300690e+002, 4.061238e+002
8.398345e+002, 4.074291e+002
8.496000e+002, 4.094465e+002
8.593655e+002, 4.104721e+002
8.691310e+002, 4.113451e+002
8.788965e+002, 4.114551e+002
8.886621e+002, 4.123281e+002
8.984276e+002, 4.124127e+002
9.081931e+002, 4.133112e+002
9.179586e+002, 4.158372e+002
9.277241e+002, 4.183886e+002
9.374896e+002, 4.201009e+002
9.472552e+002, 4.208721e+002
9.570207e+002, 4.217705e+002
9.667862e+002, 4.219823e+002
9.765517e+002, 4.228553e+002
9.863172e+002, 4.237537e+002
9.960828e+002, 4.246521e+002
1.005848e+003, 4.255505e+002
1.015614e+003, 4.266778e+002
1.025379e+003, 4.277543e+002
1.035145e+003, 4.283221e+002
1.044910e+003, 4.295765e+002
1.054676e+003, 4.308564e+002
1.064441e+003, 4.317803e+002
1.074207e+003, 4.330602e+002
1.083972e+003, 4.337806e+002
1.093738e+003, 4.348570e+002
1.103503e+003, 4.353485e+002
1.113269e+003, 4.361452e+002
1.123034e+003, 4.370436e+002
1.132800e+003, 4.379929e+002
1.142566e+003, 4.397560e+002
1.152331e+003, 4.414937e+002
1.162097e+003, 4.431804e+002
1.171862e+003, 4.436720e+002
1.181628e+003, 4.440617e+002
1.191393e+003, 4.446804e+002
1.201159e+003, 4.467741e+002
1.210924e+003, 4.484863e+002
1.220690e+003, 4.493847e+002
1.230455e+003, 4.493676e+002
1.240221e+003, 4.487910e+002
1.249986e+003, 4.492317e+002
1.259752e+003, 4.504353e+002
1.269517e+003, 4.521475e+002
1.279283e+003, 4.530459e+002
1.289048e+003, 4.531305e+002
1.298814e+003, 4.524522e+002
1.308579e+003, 4.517993e+002
1.318345e+003, 4.526214e+002
1.328110e+003, 4.534690e+002
1.337876e+003, 4.544691e+002
1.347641e+003, 4.560796e+002
1.357407e+003, 4.570798e+002
1.367172e+003, 4.583851e+002
1.376938e+003, 4.593089e+002
1.386703e+003, 4.601819e+002
1.396469e+003, 4.606735e+002
1.406234e+003, 4.607835e+002
1.416000e+003, 4.612750e+002
1.425766e+003, 4.625549e+002
1.435531e+003, 4.634788e+002
1.445297e+003, 4.634362e+002
1.455062e+003, 4.620204e+002
1.464828e+003, 4.616981e+002
1.474593e+003, 4.628763e+002
1.484359e+003, 4.638764e+002
1.494124e+003, 4.655886e+002
1.503890e+003, 4.664870e+002
1.513655e+003, 4.666479e+002
1.523421e+003, 4.666563e+002
1.533186e+003, 4.667409e+002
1.542952e+003, 4.675884e+002
1.552717e+003, 4.681308e+002
1.562483e+003, 4.685206e+002
1.572248e+003, 4.687324e+002
1.582014e+003, 4.695036e+002
1.591779e+003, 4.688762e+002
1.601545e+003, 4.669263e+002
1.611310e+003, 4.665023e+002
1.621076e+003, 4.674007e+002
1.630841e+003, 4.684008e+002
1.640607e+003, 4.693247e+002
1.650372e+003, 4.702231e+002
1.660138e+003, 4.709944e+002
1.669903e+003, 4.711807e+002
1.679669e+003, 4.708584e+002
1.689434e+003, 4.704344e+002
1.699200e+003, 4.690186e+002
1.708966e+003, 4.682639e+002
1.718731e+003, 4.683486e+002
1.728497e+003, 4.692978e+002
1.738262e+003, 4.701454e+002
1.748028e+003, 4.710438e+002
1.757793e+003, 4.715353e+002
1.767559e+003, 4.712385e+002
1.777324e+003, 4.711959e+002
1.787090e+003, 4.713823e+002
1.796855e+003, 4.718738e+002
1.806621e+003, 4.719838e+002
1.816386e+003, 4.724499e+002
1.826152e+003, 4.733483e+002
1.835917e+003, 4.738399e+002
1.845683e+003, 4.734158e+002
1.855448e+003, 4.723815e+002
1.865214e+003, 4.720592e+002
1.874979e+003, 4.721438e+002
1.884745e+003, 4.730422e+002
1.894510e+003, 4.739406e+002
1.904276e+003, 4.747373e+002
1.914041e+003, 4.740082e+002
1.923807e+003, 4.725669e+002
1.933572e+003, 4.725498e+002
1.943338e+003, 4.727361e+002
1.953103e+003, 4.732276e+002
1.962869e+003, 4.729308e+002
1.972634e+003, 4.722525e+002
1.982400e+003, 4.722862e+002
1.992166e+003, 4.723708e+002
2.001931e+003, 4.731421e+002
2.011697e+003, 4.725400e+002
2.021462e+003, 4.718363e+002
2.031228e+003, 4.710562e+002
2.040993e+003, 4.711409e+002
2.050759e+003, 4.713018e+002
2.060524e+003, 4.720222e+002
2.070290e+003, 4.722339e+002
2.080055e+003, 4.731069e+002
2.089821e+003, 4.740053e+002
2.099586e+003, 4.749038e+002
2.109352e+003, 4.749884e+002
2.119117e+003, 4.742592e+002
2.128883e+003, 4.735300e+002
2.138648e+003, 4.735129e+002
2.148414e+003, 4.736992e+002
2.158179e+003, 4.737838e+002
2.167945e+003, 4.729529e+002
2.177710e+003, 4.719186e+002
2.187476e+003, 4.714946e+002
2.197241e+003, 4.715792e+002
2.207007e+003, 4.717655e+002
2.216772e+003, 4.725622e+002
2.226538e+003, 4.734606e+002
2.236303e+003, 4.744608e+002
2.246069e+003, 4.753592e+002
2.255834e+003, 4.754692e+002
2.265600e+003, 4.747146e+002
2.275365e+003, 4.738837e+002
2.285131e+003, 4.740192e+002
2.294897e+003, 4.741801e+002
2.304662e+003, 4.742393e+002
2.314428e+003, 4.735101e+002
2.324193e+003, 4.723740e+002
2.333959e+003, 4.711362e+002
2.343724e+003, 4.705087e+002
2.353490e+003, 4.714071e+002
2.363255e+003, 4.715172e+002
2.373021e+003, 4.715764e+002
2.382786e+003, 4.720679e+002
2.392552e+003, 4.732715e+002
2.402317e+003, 4.734578e+002
2.412083e+003, 4.739493e+002
2.421848e+003, 4.740339e+002
2.431614e+003, 4.741186e+002
2.441379e+003, 4.745083e+002
2.451145e+003, 4.754576e+002
2.460910e+003, 4.763052e+002
2.470676e+003, 4.756777e+002
2.480441e+003, 4.741602e+002
2.490207e+003, 4.734310e+002
2.499972e+003, 4.734902e+002
2.509738e+003, 4.735748e+002
2.519503e+003, 4.744732e+002
2.529269e+003, 4.760837e+002
2.539034e+003, 4.761683e+002
2.548800e+003, 4.755408e+002
2.558565e+003, 4.756509e+002
2.568331e+003, 4.757101e+002
2.578097e+003, 4.749809e+002
2.587862e+003, 4.746586e+002
2.597628e+003, 4.750484e+002
2.607393e+003, 4.756416e+002
2.617159e+003, 4.752176e+002
2.626924e+003, 4.745902e+002
2.636690e+003, 4.741661e+002
2.646455e+003, 4.730301e+002
2.656221e+003, 4.728095e+002
2.665986e+003, 4.737333e+002
2.675752e+003, 4.750387e+002
2.685517e+003, 4.758099e+002
2.695283e+003, 4.747756e+002
2.705048e+003, 4.736649e+002
2.714814e+003, 4.745379e+002
2.724579e+003, 4.746225e+002
2.734345e+003, 4.737916e+002
2.744110e+003, 4.727572e+002
2.753876e+003, 4.732487e+002
2.763641e+003, 4.745795e+002
2.773407e+003, 4.754525e+002
2.783172e+003, 4.751556e+002
2.792938e+003, 4.744010e+002
2.802703e+003, 4.740787e+002
2.812469e+003, 4.737564e+002
2.822234e+003, 4.738665e+002
2.832000e+003, 4.747395e+002
2.841765e+003, 4.748495e+002
2.851531e+003, 4.749087e+002
2.861297e+003, 4.737980e+002
2.871062e+003, 4.734503e+002
2.880828e+003, 4.727466e+002
2.890593e+003, 4.728312e+002
2.900359e+003, 4.725089e+002
2.910124e+003, 4.721612e+002
2.919890e+003, 4.726781e+002
2.929655e+003, 4.739580e+002
2.939421e+003, 4.739409e+002
2.949186e+003, 4.724996e+002
2.958952e+003, 4.721773e+002
2.968717e+003, 4.718805e+002
2.978483e+003, 4.719397e+002
2.988248e+003, 4.719226e+002
2.998014e+003, 4.717020e+002
3.007779e+003, 4.720918e+002
3.017545e+003, 4.722781e+002
3.027310e+003, 4.723628e+002
3.037076e+003, 4.724474e+002
3.046841e+003, 4.732441e+002
3.056607e+003, 4.742442e+002
3.066372e+003, 4.743288e+002
3.076138e+003, 4.732182e+002
3.085903e+003, 4.716497e+002
3.095669e+003, 4.707425e+002
3.105434e+003, 4.722259e+002
3.115200e+003, 4.735566e+002
3.124965e+003, 4.732089e+002
3.134731e+003, 4.716659e+002
3.144497e+003, 4.701484e+002
3.154262e+003, 4.702075e+002
3.164028e+003, 4.694783e+002
3.173793e+003, 4.686474e+002
3.183559e+003, 4.687321e+002
3.193324e+003, 4.697322e+002
3.203090e+003, 4.713427e+002
3.212855e+003, 4.715545e+002
3.222621e+003, 4.712067e+002
3.232386e+003, 4.707827e+002
3.242152e+003, 4.701553e+002
3.251917e+003, 4.709520e+002
3.261683e+003, 4.711383e+002
3.271448e+003, 4.711212e+002
3.281214e+003, 4.696799e+002
3.290979e+003, 4.680352e+002
3.300745e+003, 4.662125e+002
3.310510e+003, 4.660936e+002
3.320276e+003, 4.667632e+002
3.330041e+003, 4.668478e+002
3.339807e+003, 4.657117e+002
3.349572e+003, 4.637872e+002
3.359338e+003, 4.630326e+002
