File name = cl1_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.191668e+002
9.765517e+000, 4.165730e+002
1.953103e+001, 4.187857e+002
2.929655e+001, 4.184807e+002
3.906207e+001, 4.179469e+002
4.882759e+001, 4.165992e+002
5.859310e+001, 4.150481e+002
6.835862e+001, 4.143108e+002
7.812414e+001, 4.137770e+002
8.788965e+001, 4.136500e+002
9.765517e+001, 4.137265e+002
1.074207e+002, 4.138030e+002
1.171862e+002, 4.130657e+002
1.269517e+002, 4.119215e+002
1.367172e+002, 4.099635e+002
1.464828e+002, 4.084124e+002
1.562483e+002, 4.076496e+002
1.660138e+002, 4.073192e+002
1.757793e+002, 4.070143e+002
1.855448e+002, 4.062515e+002
1.953103e+002, 4.047004e+002
2.050759e+002, 4.031747e+002
2.148414e+002, 4.024374e+002
2.246069e+002, 4.017001e+002
2.343724e+002, 4.019801e+002
2.441379e+002, 4.026669e+002
2.539034e+002, 4.027434e+002
2.636690e+002, 4.020061e+002
2.734345e+002, 4.012688e+002
2.832000e+002, 4.001246e+002
2.929655e+002, 3.997942e+002
3.027310e+002, 3.998707e+002
3.124965e+002, 3.991334e+002
3.222621e+002, 3.983961e+002
3.320276e+002, 3.972519e+002
3.417931e+002, 3.961077e+002
3.515586e+002, 3.960570e+002
3.613241e+002, 3.954469e+002
3.710897e+002, 3.954979e+002
3.808552e+002, 3.946589e+002
3.906207e+002, 3.932350e+002
4.003862e+002, 3.924977e+002
4.101517e+002, 3.917604e+002
4.199172e+002, 3.918368e+002
4.296828e+002, 3.915064e+002
4.394483e+002, 3.899553e+002
4.492138e+002, 3.879973e+002
4.589793e+002, 3.872346e+002
4.687448e+002, 3.865227e+002
4.785103e+002, 3.864721e+002
4.882759e+002, 3.866503e+002
4.980414e+002, 3.867268e+002
5.078069e+002, 3.858878e+002
5.175724e+002, 3.844638e+002
5.273379e+002, 3.829127e+002
5.371034e+002, 3.813616e+002
5.468690e+002, 3.814381e+002
5.566345e+002, 3.815146e+002
5.664000e+002, 3.815911e+002
5.761655e+002, 3.800400e+002
5.859310e+002, 3.780820e+002
5.956965e+002, 3.765309e+002
6.054621e+002, 3.755901e+002
6.152276e+002, 3.754377e+002
6.249931e+002, 3.747258e+002
6.347586e+002, 3.739885e+002
6.445241e+002, 3.739379e+002
6.542896e+002, 3.733277e+002
6.640552e+002, 3.732771e+002
6.738207e+002, 3.726415e+002
6.835862e+002, 3.719296e+002
6.933517e+002, 3.707854e+002
7.031172e+002, 3.696412e+002
7.128828e+002, 3.680901e+002
7.226483e+002, 3.673528e+002
7.324138e+002, 3.674293e+002
7.421793e+002, 3.675058e+002
7.519448e+002, 3.674551e+002
7.617103e+002, 3.668450e+002
7.714759e+002, 3.661077e+002
7.812414e+002, 3.659807e+002
7.910069e+002, 3.654469e+002
8.007724e+002, 3.646841e+002
8.105379e+002, 3.631585e+002
8.203034e+002, 3.624212e+002
8.300690e+002, 3.624977e+002
8.398345e+002, 3.624470e+002
