File name = cr1_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.711471e+002
9.765517e+000, 3.684541e+002
1.953103e+001, 3.710762e+002
2.929655e+001, 3.707737e+002
3.906207e+001, 3.692251e+002
4.882759e+001, 3.672696e+002
5.859310e+001, 3.661279e+002
6.835862e+001, 3.661814e+002
7.812414e+001, 3.654721e+002
8.788965e+001, 3.659325e+002
9.765517e+001, 3.660115e+002
1.074207e+002, 3.655819e+002
1.171862e+002, 3.645673e+002
1.269517e+002, 3.625863e+002
1.367172e+002, 3.602494e+002
1.464828e+002, 3.578869e+002
1.562483e+002, 3.578388e+002
1.660138e+002, 3.584518e+002
1.757793e+002, 3.597261e+002
1.855448e+002, 3.600339e+002
1.953103e+002, 3.599603e+002
2.050759e+002, 3.606751e+002
2.148414e+002, 3.607541e+002
2.246069e+002, 3.600193e+002
2.343724e+002, 3.594116e+002
2.441379e+002, 3.594652e+002
2.539034e+002, 3.578148e+002
2.636690e+002, 3.555541e+002
2.734345e+002, 3.555314e+002
2.832000e+002, 3.565514e+002
2.929655e+002, 3.565032e+002
3.027310e+002, 3.549546e+002
3.124965e+002, 3.543215e+002
3.222621e+002, 3.540190e+002
3.320276e+002, 3.536657e+002
3.417931e+002, 3.529563e+002
3.515586e+002, 3.530353e+002
3.613241e+002, 3.538009e+002
3.710897e+002, 3.544139e+002
3.808552e+002, 3.548998e+002
3.906207e+002, 3.556655e+002
4.003862e+002, 3.546509e+002
4.101517e+002, 3.537126e+002
4.199172e+002, 3.535882e+002
4.296828e+002, 3.544810e+002
4.394483e+002, 3.557552e+002
4.492138e+002, 3.566480e+002
4.589793e+002, 3.567270e+002
4.687448e+002, 3.562974e+002
4.785103e+002, 3.560966e+002
4.882759e+002, 3.561502e+002
4.980414e+002, 3.565343e+002
5.078069e+002, 3.563336e+002
5.175724e+002, 3.551919e+002
5.273379e+002, 3.544316e+002
5.371034e+002, 3.541037e+002
5.468690e+002, 3.541827e+002
5.566345e+002, 3.538548e+002
5.664000e+002, 3.535523e+002
5.761655e+002, 3.536313e+002
5.859310e+002, 3.533034e+002
5.956965e+002, 3.534332e+002
6.054621e+002, 3.538682e+002
6.152276e+002, 3.544050e+002
6.249931e+002, 3.560353e+002
6.347586e+002, 3.577673e+002
6.445241e+002, 3.594739e+002
6.542896e+002, 3.612314e+002
6.640552e+002, 3.624548e+002
6.738207e+002, 3.628389e+002
6.835862e+002, 3.629179e+002
6.933517e+002, 3.630986e+002
7.031172e+002, 3.627961e+002
7.128828e+002, 3.624682e+002
7.226483e+002, 3.625981e+002
7.324138e+002, 3.626771e+002
7.421793e+002, 3.622729e+002
7.519448e+002, 3.618432e+002
7.617103e+002, 3.627360e+002
7.714759e+002, 3.633491e+002
7.812414e+002, 3.638349e+002
7.910069e+002, 3.654144e+002
8.007724e+002, 3.671210e+002
8.105379e+002, 3.683444e+002
8.203034e+002, 3.705342e+002
8.300690e+002, 3.714270e+002
8.398345e+002, 3.728284e+002
8.496000e+002, 3.741535e+002
8.593655e+002, 3.757329e+002
8.691310e+002, 3.759391e+002
8.788965e+002, 3.763995e+002
8.886621e+002, 3.769617e+002
8.984276e+002, 3.782105e+002
9.081931e+002, 3.798917e+002
9.179586e+002, 3.816237e+002
9.277241e+002, 3.837372e+002
9.374896e+002, 3.854438e+002
9.472552e+002, 3.870233e+002
9.570207e+002, 3.876109e+002
9.667862e+002, 3.888088e+002
9.765517e+002, 3.898033e+002
9.863172e+002, 3.906961e+002
9.960828e+002, 3.908514e+002
1.005848e+003, 3.915662e+002
1.015614e+003, 3.917723e+002
1.025379e+003, 3.922582e+002
1.035145e+003, 3.927441e+002
1.044910e+003, 3.936369e+002
1.054676e+003, 3.953181e+002
1.064441e+003, 3.970501e+002
1.074207e+003, 3.995705e+002
1.083972e+003, 4.012771e+002
1.093738e+003, 4.028565e+002
1.103503e+003, 4.037493e+002
1.113269e+003, 4.047693e+002
1.123034e+003, 4.072642e+002
1.132800e+003, 4.096829e+002
1.142566e+003, 4.115166e+002
1.152331e+003, 4.124094e+002
1.162097e+003, 4.128699e+002
1.171862e+003, 4.129743e+002
1.181628e+003, 4.141468e+002
1.191393e+003, 4.151414e+002
1.201159e+003, 4.159324e+002
1.210924e+003, 4.153248e+002
1.220690e+003, 4.162176e+002
1.230455e+003, 4.187125e+002
1.240221e+003, 4.211312e+002
1.249986e+003, 4.205235e+002
1.259752e+003, 4.212892e+002
1.269517e+003, 4.230975e+002
1.279283e+003, 4.263300e+002
1.289048e+003, 4.285452e+002
1.298814e+003, 4.297431e+002
1.308579e+003, 4.298221e+002
1.318345e+003, 4.304097e+002
1.328110e+003, 4.309211e+002
1.337876e+003, 4.325005e+002
1.347641e+003, 4.339019e+002
1.357407e+003, 4.360408e+002
1.367172e+003, 4.381543e+002
1.376938e+003, 4.390217e+002
1.386703e+003, 4.394059e+002
1.396469e+003, 4.396120e+002
1.406234e+003, 4.403776e+002
1.416000e+003, 4.404566e+002
1.425766e+003, 4.398235e+002
1.435531e+003, 4.399280e+002
1.445297e+003, 4.408207e+002
1.455062e+003, 4.415864e+002
1.464828e+003, 4.425809e+002
1.474593e+003, 4.426853e+002
1.484359e+003, 4.419505e+002
1.494124e+003, 4.435299e+002
1.503890e+003, 4.461521e+002
1.513655e+003, 4.478841e+002
1.523421e+003, 4.483700e+002
1.533186e+003, 4.472791e+002
1.542952e+003, 4.480956e+002
1.552717e+003, 4.486069e+002
1.562483e+003, 4.499066e+002
1.572248e+003, 4.516132e+002
1.582014e+003, 4.525060e+002
1.591779e+003, 4.525596e+002
1.601545e+003, 4.514179e+002
1.611310e+003, 4.518020e+002
1.621076e+003, 4.520082e+002
1.630841e+003, 4.520871e+002
1.640607e+003, 4.521407e+002
1.650372e+003, 4.530589e+002
1.660138e+003, 4.547655e+002
1.669903e+003, 4.564721e+002
1.679669e+003, 4.576446e+002
1.689434e+003, 4.582323e+002
1.699200e+003, 4.583367e+002
1.708966e+003, 4.591023e+002
1.718731e+003, 4.599951e+002
1.728497e+003, 4.602012e+002
1.738262e+003, 4.604837e+002
1.748028e+003, 4.611730e+002
1.757793e+003, 4.620658e+002
1.767559e+003, 4.628315e+002
1.777324e+003, 4.622747e+002
1.787090e+003, 4.623028e+002
1.796855e+003, 4.623818e+002
1.806621e+003, 4.625116e+002
1.816386e+003, 4.633535e+002
1.826152e+003, 4.649330e+002
1.835917e+003, 4.659275e+002
1.845683e+003, 4.667186e+002
1.855448e+003, 4.669247e+002
1.865214e+003, 4.677921e+002
1.874979e+003, 4.670573e+002
1.884745e+003, 4.659155e+002
1.894510e+003, 4.647738e+002
1.904276e+003, 4.648528e+002
1.914041e+003, 4.656439e+002
1.923807e+003, 4.662315e+002
1.933572e+003, 4.671497e+002
1.943338e+003, 4.668727e+002
1.953103e+003, 4.660615e+002
1.962869e+003, 4.653267e+002
1.972634e+003, 4.666264e+002
1.982400e+003, 4.679515e+002
1.992166e+003, 4.688443e+002
2.001931e+003, 4.697117e+002
2.011697e+003, 4.705028e+002
2.021462e+003, 4.707089e+002
2.031228e+003, 4.707625e+002
2.040993e+003, 4.692138e+002
2.050759e+003, 4.683773e+002
2.060524e+003, 4.685580e+002
2.070290e+003, 4.694508e+002
2.080055e+003, 4.696061e+002
2.089821e+003, 4.700411e+002
2.099586e+003, 4.705270e+002
2.109352e+003, 4.714198e+002
2.119117e+003, 4.710665e+002
2.128883e+003, 4.706368e+002
2.138648e+003, 4.712244e+002
2.148414e+003, 4.724224e+002
2.158179e+003, 4.730100e+002
2.167945e+003, 4.730890e+002
2.177710e+003, 4.727865e+002
2.187476e+003, 4.728655e+002
2.197241e+003, 4.736311e+002
2.207007e+003, 4.738373e+002
2.216772e+003, 4.739163e+002
2.226538e+003, 4.739953e+002
2.236303e+003, 4.747609e+002
2.246069e+003, 4.749416e+002
2.255834e+003, 4.750206e+002
2.265600e+003, 4.741841e+002
2.275365e+003, 4.735764e+002
2.285131e+003, 4.736554e+002
2.294897e+003, 4.737344e+002
2.304662e+003, 4.736862e+002
2.314428e+003, 4.737652e+002
2.324193e+003, 4.743528e+002
2.333959e+003, 4.748641e+002
2.343724e+003, 4.748160e+002
2.353490e+003, 4.738014e+002
2.363255e+003, 4.738804e+002
2.373021e+003, 4.747477e+002
2.382786e+003, 4.752591e+002
2.392552e+003, 4.761264e+002
2.402317e+003, 4.762054e+002
2.412083e+003, 4.746822e+002
2.421848e+003, 4.730064e+002
2.431614e+003, 4.723734e+002
2.441379e+003, 4.732916e+002
2.451145e+003, 4.749982e+002
2.460910e+003, 4.770862e+002
2.470676e+003, 4.775721e+002
2.480441e+003, 4.772442e+002
2.490207e+003, 4.776284e+002
2.499972e+003, 4.778091e+002
2.509738e+003, 4.777863e+002
2.519503e+003, 4.767718e+002
2.529269e+003, 4.772322e+002
2.539034e+003, 4.780233e+002
2.548800e+003, 4.773902e+002
2.558565e+003, 4.757399e+002
2.568331e+003, 4.742930e+002
2.578097e+003, 4.743974e+002
2.587862e+003, 4.761040e+002
2.597628e+003, 4.774037e+002
2.607393e+003, 4.778896e+002
2.617159e+003, 4.783500e+002
2.626924e+003, 4.780221e+002
2.636690e+003, 4.773127e+002
2.646455e+003, 4.773663e+002
2.656221e+003, 4.781574e+002
2.665986e+003, 4.774225e+002
2.675752e+003, 4.758739e+002
2.685517e+003, 4.752663e+002
2.695283e+003, 4.769729e+002
2.705048e+003, 4.778657e+002
2.714814e+003, 4.763679e+002
2.724579e+003, 4.746413e+002
2.734345e+003, 4.740336e+002
2.744110e+003, 4.757148e+002
2.753876e+003, 4.773196e+002
2.763641e+003, 4.775258e+002
2.773407e+003, 4.771979e+002
2.783172e+003, 4.775566e+002
2.792938e+003, 4.776356e+002
2.802703e+003, 4.778163e+002
2.812469e+003, 4.775138e+002
2.822234e+003, 4.778725e+002
2.832000e+003, 4.780533e+002
2.841765e+003, 4.785392e+002
2.851531e+003, 4.790250e+002
2.861297e+003, 4.791803e+002
2.871062e+003, 4.795899e+002
2.880828e+003, 4.788805e+002
2.890593e+003, 4.785272e+002
