File name = cu1_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.758916e+002
9.765517e+000, 3.732193e+002
1.953103e+001, 3.762691e+002
2.929655e+001, 3.763434e+002
3.906207e+001, 3.763923e+002
4.882759e+001, 3.748390e+002
5.859310e+001, 3.716836e+002
6.835862e+001, 3.693165e+002
7.812414e+001, 3.689839e+002
8.788965e+001, 3.686514e+002
9.765517e+001, 3.687257e+002
1.074207e+002, 3.686729e+002
1.171862e+002, 3.687472e+002
1.269517e+002, 3.689487e+002
1.367172e+002, 3.702183e+002
1.464828e+002, 3.707249e+002
1.562483e+002, 3.707993e+002
1.660138e+002, 3.704667e+002
1.757793e+002, 3.701341e+002
1.855448e+002, 3.708951e+002
1.953103e+002, 3.710711e+002
2.050759e+002, 3.707386e+002
2.148414e+002, 3.696176e+002
2.246069e+002, 3.688527e+002
2.343724e+002, 3.689270e+002
2.441379e+002, 3.698406e+002
2.539034e+002, 3.714154e+002
2.636690e+002, 3.724052e+002
2.734345e+002, 3.725050e+002
2.832000e+002, 3.725539e+002
2.929655e+002, 3.725265e+002
3.027310e+002, 3.726008e+002
3.124965e+002, 3.728023e+002
3.222621e+002, 3.736904e+002
3.320276e+002, 3.744514e+002
3.417931e+002, 3.738391e+002
3.515586e+002, 3.746001e+002
3.613241e+002, 3.751830e+002
3.710897e+002, 3.757405e+002
3.808552e+002, 3.765778e+002
3.906207e+002, 3.774405e+002
4.003862e+002, 3.765993e+002
4.101517e+002, 3.751732e+002
4.199172e+002, 3.744337e+002
4.296828e+002, 3.744826e+002
4.394483e+002, 3.744552e+002
4.492138e+002, 3.742244e+002
4.589793e+002, 3.747056e+002
4.687448e+002, 3.739915e+002
4.785103e+002, 3.732266e+002
4.882759e+002, 3.725126e+002
4.980414e+002, 3.734007e+002
5.078069e+002, 3.749755e+002
5.175724e+002, 3.751515e+002
5.273379e+002, 3.743103e+002
5.371034e+002, 3.736980e+002
5.468690e+002, 3.737724e+002
5.566345e+002, 3.740501e+002
5.664000e+002, 3.735141e+002
5.761655e+002, 3.727746e+002
5.859310e+002, 3.723149e+002
5.956965e+002, 3.716772e+002
6.054621e+002, 3.713700e+002
6.152276e+002, 3.718258e+002
6.249931e+002, 3.719256e+002
6.347586e+002, 3.719999e+002
6.445241e+002, 3.728626e+002
6.542896e+002, 3.729369e+002
6.640552e+002, 3.730367e+002
6.738207e+002, 3.729839e+002
6.835862e+002, 3.727530e+002
6.933517e+002, 3.732597e+002
7.031172e+002, 3.732068e+002
7.128828e+002, 3.725945e+002
7.226483e+002, 3.730503e+002
7.324138e+002, 3.735315e+002
7.421793e+002, 3.736313e+002
7.519448e+002, 3.741125e+002
7.617103e+002, 3.749752e+002
7.714759e+002, 3.754565e+002
7.812414e+002, 3.751239e+002
7.910069e+002, 3.740029e+002
8.007724e+002, 3.732635e+002
8.105379e+002, 3.729309e+002
8.203034e+002, 3.734121e+002
8.300690e+002, 3.734864e+002
8.398345e+002, 3.727215e+002
8.496000e+002, 3.696169e+002
8.593655e+002, 3.670718e+002
8.691310e+002, 3.660272e+002
8.788965e+002, 3.664067e+002
8.886621e+002, 3.666082e+002
8.984276e+002, 3.658687e+002
9.081931e+002, 3.658159e+002
9.179586e+002, 3.663988e+002
9.277241e+002, 3.675921e+002
9.374896e+002, 3.686074e+002
9.472552e+002, 3.694956e+002
9.570207e+002, 3.695699e+002
9.667862e+002, 3.696442e+002
9.765517e+002, 3.705323e+002
9.863172e+002, 3.722088e+002
9.960828e+002, 3.731224e+002
1.005848e+003, 3.739851e+002
1.015614e+003, 3.740849e+002
1.025379e+003, 3.741592e+002
1.035145e+003, 3.750219e+002
1.044910e+003, 3.747147e+002
1.054676e+003, 3.745856e+002
1.064441e+003, 3.744565e+002
1.074207e+003, 3.741239e+002
1.083972e+003, 3.737913e+002
1.093738e+003, 3.738402e+002
1.103503e+003, 3.738128e+002
1.113269e+003, 3.739889e+002
1.123034e+003, 3.740632e+002
1.132800e+003, 3.741630e+002
1.142566e+003, 3.734235e+002
1.152331e+003, 3.730655e+002
1.162097e+003, 3.721480e+002
1.171862e+003, 3.719935e+002
1.181628e+003, 3.716863e+002
1.191393e+003, 3.713283e+002
1.201159e+003, 3.706143e+002
1.210924e+003, 3.689338e+002
1.220690e+003, 3.674823e+002
1.230455e+003, 3.667428e+002
1.240221e+003, 3.668426e+002
1.249986e+003, 3.669169e+002
1.259752e+003, 3.676779e+002
1.269517e+003, 3.678793e+002
