File name = cd_dark_2_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.716952e+002
9.765517e+000, 4.694662e+002
1.953103e+001, 4.699329e+002
2.929655e+001, 4.709082e+002
3.906207e+001, 4.709934e+002
4.882759e+001, 4.694256e+002
5.859310e+001, 4.670186e+002
6.835862e+001, 4.658577e+002
7.812414e+001, 4.655105e+002
8.788965e+001, 4.662824e+002
9.765517e+001, 4.664439e+002
1.074207e+002, 4.657153e+002
1.171862e+002, 4.641221e+002
1.269517e+002, 4.613336e+002
1.367172e+002, 4.589519e+002
1.464828e+002, 4.577910e+002
1.562483e+002, 4.570370e+002
1.660138e+002, 4.563084e+002
1.757793e+002, 4.563682e+002
1.855448e+002, 4.572164e+002
1.953103e+002, 4.572762e+002
2.050759e+002, 4.557846e+002
2.148414e+002, 4.540388e+002
2.246069e+002, 4.521658e+002
2.343724e+002, 4.518187e+002
2.441379e+002, 4.514970e+002
2.539034e+002, 4.511499e+002
2.636690e+002, 4.502687e+002
2.734345e+002, 4.479888e+002
2.832000e+002, 4.448188e+002
2.929655e+002, 4.424118e+002
3.027310e+002, 4.412509e+002
3.124965e+002, 4.408020e+002
3.222621e+002, 4.401752e+002
3.320276e+002, 4.386074e+002
3.417931e+002, 4.362003e+002
3.515586e+002, 4.345308e+002
3.613241e+002, 4.330647e+002
3.710897e+002, 4.319038e+002
3.808552e+002, 4.299290e+002
3.906207e+002, 4.267590e+002
4.003862e+002, 4.243774e+002
4.101517e+002, 4.244118e+002
4.199172e+002, 4.251836e+002
4.296828e+002, 4.241245e+002
4.394483e+002, 4.205221e+002
4.492138e+002, 4.144784e+002
4.589793e+002, 4.084601e+002
4.687448e+002, 4.052392e+002
4.785103e+002, 4.044852e+002
4.882759e+002, 4.044433e+002
4.980414e+002, 4.020617e+002
5.078069e+002, 3.973404e+002
5.175724e+002, 3.925173e+002
5.273379e+002, 3.877706e+002
5.371034e+002, 3.836851e+002
5.468690e+002, 3.797013e+002
5.566345e+002, 3.772942e+002
5.664000e+002, 3.745312e+002
5.761655e+002, 3.708017e+002
5.859310e+002, 3.644528e+002
5.956965e+002, 3.579004e+002
6.054621e+002, 3.523907e+002
6.152276e+002, 3.487630e+002
