File name = cu_light_2_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.792621e+002
9.765517e+000, 3.765834e+002
1.953103e+001, 3.794996e+002
2.929655e+001, 3.796691e+002
3.906207e+001, 3.793555e+002
4.882759e+001, 3.789910e+002
5.859310e+001, 3.786520e+002
6.835862e+001, 3.783130e+002
7.812414e+001, 3.782791e+002
8.788965e+001, 3.780418e+002
9.765517e+001, 3.777027e+002
1.074207e+002, 3.776688e+002
1.171862e+002, 3.770246e+002
1.269517e+002, 3.763041e+002
1.367172e+002, 3.755581e+002
1.464828e+002, 3.756006e+002
1.562483e+002, 3.756684e+002
1.660138e+002, 3.749225e+002
1.757793e+002, 3.737951e+002
1.855448e+002, 3.734306e+002
1.953103e+002, 3.735747e+002
2.050759e+002, 3.731594e+002
2.148414e+002, 3.716251e+002
2.246069e+002, 3.704468e+002
2.343724e+002, 3.705146e+002
2.441379e+002, 3.714217e+002
2.539034e+002, 3.722780e+002
2.636690e+002, 3.715574e+002
2.734345e+002, 3.704046e+002
2.832000e+002, 3.692263e+002
2.929655e+002, 3.691924e+002
3.027310e+002, 3.685482e+002
3.124965e+002, 3.682346e+002
3.222621e+002, 3.681753e+002
3.320276e+002, 3.686500e+002
3.417931e+002, 3.688196e+002
3.515586e+002, 3.687857e+002
3.613241e+002, 3.681924e+002
3.710897e+002, 3.681077e+002
3.808552e+002, 3.678703e+002
3.906207e+002, 3.675313e+002
4.003862e+002, 3.666836e+002
4.101517e+002, 3.660394e+002
4.199172e+002, 3.665396e+002
4.296828e+002, 3.673958e+002
4.394483e+002, 3.666753e+002
4.492138e+002, 3.646832e+002
4.589793e+002, 3.623096e+002
4.687448e+002, 3.611822e+002
4.785103e+002, 3.615298e+002
4.882759e+002, 3.625132e+002
4.980414e+002, 3.626574e+002
5.078069e+002, 3.619114e+002
5.175724e+002, 3.611400e+002
5.273379e+002, 3.618691e+002
5.371034e+002, 3.619369e+002
5.468690e+002, 3.612927e+002
5.566345e+002, 3.605976e+002
5.664000e+002, 3.606401e+002
5.761655e+002, 3.603010e+002
5.859310e+002, 3.591227e+002
5.956965e+002, 3.575630e+002
6.054621e+002, 3.568170e+002
6.152276e+002, 3.556896e+002
6.249931e+002, 3.553251e+002
6.347586e+002, 3.562068e+002
6.445241e+002, 3.575208e+002
6.542896e+002, 3.591908e+002
6.640552e+002, 3.595638e+002
6.738207e+002, 3.589196e+002
6.835862e+002, 3.589875e+002
6.933517e+002, 3.593605e+002
7.031172e+002, 3.590214e+002
7.128828e+002, 3.583772e+002
7.226483e+002, 3.580382e+002
7.324138e+002, 3.581315e+002
7.421793e+002, 3.584791e+002
7.519448e+002, 3.579111e+002
7.617103e+002, 3.570889e+002
7.714759e+002, 3.567753e+002
7.812414e+002, 3.564108e+002
7.910069e+002, 3.560972e+002
8.007724e+002, 3.558090e+002
8.105379e+002, 3.558005e+002
8.203034e+002, 3.554615e+002
8.300690e+002, 3.551225e+002
8.398345e+002, 3.542748e+002
8.496000e+002, 3.524353e+002
8.593655e+002, 3.508501e+002
8.691310e+002, 3.501296e+002
8.788965e+002, 3.499940e+002
8.886621e+002, 3.506722e+002
8.984276e+002, 3.511469e+002
9.081931e+002, 3.512148e+002
9.179586e+002, 3.515624e+002
9.277241e+002, 3.517828e+002
9.374896e+002, 3.522067e+002
9.472552e+002, 3.527069e+002
9.570207e+002, 3.535886e+002
9.667862e+002, 3.543431e+002
9.765517e+002, 3.545635e+002
9.863172e+002, 3.554706e+002
9.960828e+002, 3.570898e+002
1.005848e+003, 3.578697e+002
1.015614e+003, 3.573018e+002
1.025379e+003, 3.568864e+002
1.035145e+003, 3.569543e+002
1.044910e+003, 3.574290e+002
1.054676e+003, 3.574969e+002
1.064441e+003, 3.574630e+002
1.074207e+003, 3.568188e+002
1.083972e+003, 3.552082e+002
1.093738e+003, 3.537247e+002
1.103503e+003, 3.541740e+002
1.113269e+003, 3.547251e+002
1.123034e+003, 3.547421e+002
1.132800e+003, 3.533858e+002
1.142566e+003, 3.514954e+002
1.152331e+003, 3.499357e+002
1.162097e+003, 3.496984e+002
1.171862e+003, 3.494356e+002
1.181628e+003, 3.501392e+002
1.191393e+003, 3.511481e+002
1.201159e+003, 3.528181e+002
1.210924e+003, 3.528859e+002
1.220690e+003, 3.523689e+002
1.230455e+003, 3.522333e+002
1.240221e+003, 3.530895e+002
1.249986e+003, 3.531828e+002
1.259752e+003, 3.526403e+002
1.269517e+003, 3.520978e+002
1.279283e+003, 3.532592e+002
1.289048e+003, 3.546749e+002
1.298814e+003, 3.559380e+002
1.308579e+003, 3.567688e+002
1.318345e+003, 3.572944e+002
1.328110e+003, 3.573877e+002
1.337876e+003, 3.579133e+002
1.347641e+003, 3.595325e+002
1.357407e+003, 3.603124e+002
1.367172e+003, 3.592867e+002
1.376938e+003, 3.581339e+002
1.386703e+003, 3.580746e+002
1.396469e+003, 3.582442e+002
1.406234e+003, 3.591513e+002
1.416000e+003, 3.607196e+002
1.425766e+003, 3.619318e+002
1.435531e+003, 3.626100e+002
1.445297e+003, 3.626779e+002
1.455062e+003, 3.626186e+002
1.464828e+003, 3.627882e+002
1.474593e+003, 3.632629e+002
1.484359e+003, 3.637377e+002
1.494124e+003, 3.646193e+002
1.503890e+003, 3.662131e+002
1.513655e+003, 3.671964e+002
1.523421e+003, 3.673406e+002
1.533186e+003, 3.673576e+002
1.542952e+003, 3.681121e+002
1.552717e+003, 3.682817e+002
1.562483e+003, 3.691633e+002
1.572248e+003, 3.708842e+002
1.582014e+003, 3.729866e+002
1.591779e+003, 3.742497e+002
1.601545e+003, 3.750296e+002
1.611310e+003, 3.760130e+002
1.621076e+003, 3.768947e+002
1.630841e+003, 3.778526e+002
1.640607e+003, 3.795481e+002
1.650372e+003, 3.811672e+002
1.660138e+003, 3.816420e+002
1.669903e+003, 3.813029e+002
1.679669e+003, 3.805570e+002
1.689434e+003, 3.810572e+002
1.699200e+003, 3.827526e+002
1.708966e+003, 3.844481e+002
1.718731e+003, 3.848974e+002
1.728497e+003, 3.844566e+002
1.738262e+003, 3.849314e+002
1.748028e+003, 3.859911e+002
1.757793e+003, 3.876357e+002
1.767559e+003, 3.893057e+002
1.777324e+003, 3.905943e+002
1.787090e+003, 3.918828e+002
1.796855e+003, 3.927899e+002
1.806621e+003, 3.937224e+002
1.816386e+003, 3.949601e+002
1.826152e+003, 3.966301e+002
1.835917e+003, 3.979696e+002
1.845683e+003, 3.996396e+002
1.855448e+003, 4.009282e+002
1.865214e+003, 4.020896e+002
1.874979e+003, 4.022591e+002
1.884745e+003, 4.035731e+002
1.894510e+003, 4.056755e+002
1.904276e+003, 4.080576e+002
1.914041e+003, 4.097530e+002
1.923807e+003, 4.103295e+002
1.933572e+003, 4.108043e+002
1.943338e+003, 4.124997e+002
1.953103e+003, 4.138137e+002
1.962869e+003, 4.150769e+002
1.972634e+003, 4.155770e+002
1.982400e+003, 4.160264e+002
1.992166e+003, 4.168063e+002
2.001931e+003, 4.178151e+002
2.011697e+003, 4.193834e+002
