 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+02 eV = 2.57245E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: analytical DHFS model
 #                   A1 =  1.53676D-01 ,   ALPHA1 = 8.04043D+00
 #                   A2 =  8.46324D-01 ,   ALPHA2 = 1.49129D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 6.83118E-17 cm**2 = 2.43946E+00 a0**2
 # 1st transport cross section = 7.18966E-18 cm**2 = 2.56747E-01 a0**2
 # 2nd transport cross section = 1.42704E-17 cm**2 = 5.09606E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.10378E-16  1.82259E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  5.10378E-16  1.82259E+01  1.46077E-10  1.0E-07
  1.250E-04  1.18994E-12  5.10378E-16  1.82259E+01  1.82596E-10  1.0E-07
  1.500E-04  1.71346E-12  5.10378E-16  1.82259E+01  2.19116E-10  1.0E-07
  1.750E-04  2.33225E-12  5.10378E-16  1.82259E+01  2.55635E-10  1.0E-07
  2.000E-04  3.04617E-12  5.10378E-16  1.82259E+01  2.92154E-10  1.0E-07
  2.250E-04  3.85530E-12  5.10378E-16  1.82259E+01  3.28674E-10  1.0E-07
  2.500E-04  4.75964E-12  5.10378E-16  1.82259E+01  3.65193E-10  1.0E-07
  2.750E-04  5.75917E-12  5.10378E-16  1.82259E+01  4.01712E-10  1.0E-07
  3.000E-04  6.85391E-12  5.10378E-16  1.82259E+01  4.38232E-10  1.0E-07
  3.250E-04  8.04379E-12  5.10378E-16  1.82259E+01  4.74751E-10  1.0E-07
  3.500E-04  9.32893E-12  5.10378E-16  1.82259E+01  5.11270E-10  1.0E-07
  3.750E-04  1.07092E-11  5.10378E-16  1.82259E+01  5.47789E-10  1.0E-07
  4.000E-04  1.21847E-11  5.10378E-16  1.82259E+01  5.84309E-10  1.0E-07
  4.250E-04  1.37554E-11  5.10378E-16  1.82259E+01  6.20828E-10  1.0E-07
  4.500E-04  1.54213E-11  5.10378E-16  1.82259E+01  6.57347E-10  1.0E-07
  4.750E-04  1.71823E-11  5.10378E-16  1.82259E+01  6.93867E-10  1.0E-07
  5.000E-04  1.90386E-11  5.10378E-16  1.82259E+01  7.30386E-10  1.0E-07
  5.250E-04  2.09900E-11  5.10378E-16  1.82259E+01  7.66905E-10  1.0E-07
  5.500E-04  2.30367E-11  5.10378E-16  1.82259E+01  8.03425E-10  1.0E-07
  5.750E-04  2.51785E-11  5.10378E-16  1.82259E+01  8.39944E-10  1.0E-07
  6.000E-04  2.74156E-11  5.10378E-16  1.82259E+01  8.76463E-10  1.0E-07
  6.250E-04  2.97478E-11  5.10378E-16  1.82259E+01  9.12982E-10  1.0E-07
  6.500E-04  3.21752E-11  5.10378E-16  1.82259E+01  9.49502E-10  1.0E-07
  6.750E-04  3.46979E-11  5.10378E-16  1.82259E+01  9.86021E-10  1.0E-07
  7.000E-04  3.73157E-11  5.10378E-16  1.82259E+01  1.02254E-09  1.0E-07
  7.250E-04  4.00286E-11  5.10378E-16  1.82259E+01  1.05906E-09  1.0E-07
  7.500E-04  4.28368E-11  5.10378E-16  1.82259E+01  1.09558E-09  1.0E-07
  7.750E-04  4.57402E-11  5.10378E-16  1.82259E+01  1.13210E-09  1.0E-07
  8.000E-04  4.87388E-11  5.10378E-16  1.82259E+01  1.16862E-09  1.0E-07
  8.250E-04  5.18325E-11  5.10378E-16  1.82259E+01  1.20514E-09  1.0E-07
  8.500E-04  5.50215E-11  5.10378E-16  1.82259E+01  1.24166E-09  1.0E-07
  8.750E-04  5.83057E-11  5.10378E-16  1.82259E+01  1.27818E-09  1.0E-07
  9.000E-04  6.16850E-11  5.10378E-16  1.82259E+01  1.31469E-09  1.0E-07
  9.250E-04  6.51595E-11  5.10378E-16  1.82259E+01  1.35121E-09  1.0E-07
  9.500E-04  6.87293E-11  5.10378E-16  1.82259E+01  1.38773E-09  1.0E-07
  9.750E-04  7.23943E-11  5.10378E-16  1.82259E+01  1.42425E-09  1.0E-07
  1.000E-03  7.61544E-11  5.10378E-16  1.82259E+01  1.46077E-09  1.0E-07
  1.250E-03  1.18991E-10  5.10378E-16  1.82259E+01  1.82596E-09  1.0E-07
  1.500E-03  1.71347E-10  5.10378E-16  1.82259E+01  2.19116E-09  1.0E-07
  1.750E-03  2.33223E-10  5.10378E-16  1.82259E+01  2.55635E-09  1.0E-07
  2.000E-03  3.04617E-10  5.10378E-16  1.82259E+01  2.92154E-09  1.0E-07
  2.250E-03  3.85531E-10  5.10378E-16  1.82259E+01  3.28674E-09  1.0E-07
  2.500E-03  4.75965E-10  5.10377E-16  1.82259E+01  3.65193E-09  1.0E-07
  2.750E-03  5.75917E-10  5.10377E-16  1.82259E+01  4.01712E-09  1.0E-07
  3.000E-03  6.85389E-10  5.10377E-16  1.82259E+01  4.38232E-09  1.0E-07
  3.250E-03  8.04380E-10  5.10377E-16  1.82259E+01  4.74751E-09  1.0E-07
  3.500E-03  9.32891E-10  5.10377E-16  1.82259E+01  5.11270E-09  1.0E-07
  3.750E-03  1.07092E-09  5.10377E-16  1.82259E+01  5.47790E-09  1.0E-07
  4.000E-03  1.21847E-09  5.10377E-16  1.82259E+01  5.84309E-09  1.0E-07
  4.250E-03  1.37554E-09  5.10377E-16  1.82259E+01  6.20828E-09  1.0E-07
  4.500E-03  1.54213E-09  5.10377E-16  1.82259E+01  6.57347E-09  1.0E-07
  4.750E-03  1.71823E-09  5.10377E-16  1.82259E+01  6.93867E-09  1.0E-07
  5.000E-03  1.90386E-09  5.10377E-16  1.82259E+01  7.30386E-09  1.0E-07
  5.250E-03  2.09900E-09  5.10377E-16  1.82259E+01  7.66905E-09  1.0E-07
  5.500E-03  2.30367E-09  5.10377E-16  1.82259E+01  8.03425E-09  1.0E-07
  5.750E-03  2.51785E-09  5.10377E-16  1.82259E+01  8.39944E-09  1.0E-07
  6.000E-03  2.74156E-09  5.10377E-16  1.82259E+01  8.76463E-09  1.0E-07
  6.250E-03  2.97478E-09  5.10377E-16  1.82259E+01  9.12983E-09  1.0E-07
  6.500E-03  3.21752E-09  5.10377E-16  1.82259E+01  9.49502E-09  1.0E-07
  6.750E-03  3.46978E-09  5.10377E-16  1.82259E+01  9.86021E-09  1.0E-07
  7.000E-03  3.73156E-09  5.10377E-16  1.82259E+01  1.02254E-08  1.0E-07
  7.250E-03  4.00286E-09  5.10377E-16  1.82259E+01  1.05906E-08  1.0E-07
  7.500E-03  4.28368E-09  5.10377E-16  1.82259E+01  1.09558E-08  1.0E-07
  7.750E-03  4.57402E-09  5.10377E-16  1.82259E+01  1.13210E-08  1.0E-07
  8.000E-03  4.87388E-09  5.10377E-16  1.82259E+01  1.16862E-08  1.0E-07
  8.250E-03  5.18326E-09  5.10377E-16  1.82259E+01  1.20514E-08  1.0E-07
  8.500E-03  5.50215E-09  5.10377E-16  1.82259E+01  1.24166E-08  1.0E-07
  8.750E-03  5.83057E-09  5.10377E-16  1.82259E+01  1.27818E-08  1.0E-07
  9.000E-03  6.16850E-09  5.10377E-16  1.82259E+01  1.31470E-08  1.0E-07
  9.250E-03  6.51596E-09  5.10377E-16  1.82259E+01  1.35121E-08  1.0E-07
  9.500E-03  6.87293E-09  5.10377E-16  1.82259E+01  1.38773E-08  1.0E-07
  9.750E-03  7.23942E-09  5.10377E-16  1.82259E+01  1.42425E-08  1.0E-07
  1.000E-02  7.61544E-09  5.10377E-16  1.82259E+01  1.46077E-08  1.0E-07
  1.250E-02  1.18991E-08  5.10376E-16  1.82259E+01  1.82597E-08  1.0E-07
  1.500E-02  1.71347E-08  5.10376E-16  1.82259E+01  2.19116E-08  1.0E-07
  1.750E-02  2.33223E-08  5.10375E-16  1.82258E+01  2.55636E-08  1.0E-07
  2.000E-02  3.04617E-08  5.10375E-16  1.82258E+01  2.92155E-08  1.0E-07
  2.250E-02  3.85531E-08  5.10374E-16  1.82258E+01  3.28675E-08  1.0E-07
  2.500E-02  4.75965E-08  5.10373E-16  1.82257E+01  3.65194E-08  1.0E-07
  2.750E-02  5.75917E-08  5.10372E-16  1.82257E+01  4.01714E-08  1.0E-07
  3.000E-02  6.85389E-08  5.10371E-16  1.82257E+01  4.38234E-08  1.0E-07
