

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.53070389E-01      0.00000000E+00
       1      4.09638797E-01      4.15417239E-01
       2      3.38611050E-01      3.41585108E-01
       3      2.92135373E-01      2.94122520E-01
       4      2.58033921E-01      2.59510966E-01
       5      2.31386541E-01      2.32550994E-01
       6      2.09713913E-01      2.10667157E-01
       7      1.91590486E-01      1.92391632E-01
       8      1.76121121E-01      1.76807690E-01
       9      1.62707161E-01      1.63304466E-01
      10      1.50928808E-01      1.51454725E-01
      11      1.40480614E-01      1.40948227E-01
      12      1.31133646E-01      1.31552812E-01
      13      1.22712094E-01      1.23090417E-01
      14      1.15078156E-01      1.15421618E-01
      15      1.08121927E-01      1.08435316E-01
      16      1.01754421E-01      1.02041626E-01
      17      9.59026324E-02      9.61668543E-02
      18      9.05059657E-02      9.07498668E-02
      19      8.55135969E-02      8.57394160E-02
      20      8.08824975E-02      8.10921343E-02
      21      7.65759287E-02      7.67710086E-02
      22      7.25622791E-02      7.27442033E-02
      23      6.88141563E-02      6.89841412E-02
      24      6.53076704E-02      6.54667787E-02
      25      6.20218618E-02      6.21710272E-02
      26      5.89382407E-02      5.90782881E-02
      27      5.60404135E-02      5.61720752E-02
      28      5.33137768E-02      5.34377062E-02
      29      5.07452656E-02      5.08620478E-02
      30      4.83231442E-02      4.84333053E-02
      31      4.60368311E-02      4.61408462E-02
      32      4.38767531E-02      4.39750521E-02
      33      4.18342204E-02      4.19271941E-02
      34      3.99013222E-02      3.99893266E-02
      35      3.80708361E-02      3.81541965E-02
      36      3.63361511E-02      3.64151655E-02
      37      3.46912014E-02      3.47661434E-02
      38      3.31304085E-02      3.32015299E-02
      39      3.16486312E-02      3.17161641E-02
      40      3.02411220E-02      3.03052810E-02
      41      2.89034886E-02      2.89644722E-02
      42      2.76316604E-02      2.76896529E-02
      43      2.64218589E-02      2.64770311E-02
      44      2.52705708E-02      2.53230819E-02
      45      2.41745254E-02      2.42245234E-02
      46      2.31306729E-02      2.31782962E-02
      47      2.21361668E-02      2.21815442E-02
      48      2.11883460E-02      2.12315984E-02
      49      2.02847211E-02      2.03259613E-02
      50      1.94229598E-02      1.94622936E-02
      51      1.86008752E-02      1.86384019E-02
      52      1.78164149E-02      1.78522276E-02
      53      1.70676506E-02      1.71018370E-02
      54      1.63527693E-02      1.63854118E-02
      55      1.56700649E-02      1.57012409E-02
      56      1.50179307E-02      1.50477133E-02
      57      1.43948523E-02      1.44233103E-02
      58      1.37994015E-02      1.38265998E-02
      59      1.32302304E-02      1.32562303E-02
      60      1.26860660E-02      1.27109255E-02
      61      1.21657054E-02      1.21894792E-02
      62      1.16680112E-02      1.16907511E-02
      63      1.11919074E-02      1.12136623E-02
      64      1.07363755E-02      1.07571918E-02
      65      1.03004508E-02      1.03203724E-02
      66      9.88321938E-03      9.90228789E-03
      67      9.48381480E-03      9.50206969E-03
      68      9.10141528E-03      9.11889399E-03
      69      8.73524117E-03      8.75197922E-03
      70      8.38455237E-03      8.40058348E-03
      71      8.04864608E-03      8.06400228E-03
      72      7.72685470E-03      7.74156641E-03
      73      7.41854373E-03      7.43263987E-03
      74      7.12311002E-03      7.13661809E-03
      75      6.83997996E-03      6.85292611E-03
      76      6.56860784E-03      6.58101695E-03
      77      6.30847440E-03      6.32037015E-03
      78      6.05908529E-03      6.07049023E-03
      79      5.81996981E-03      5.83090541E-03
      80      5.59067964E-03      5.60116635E-03
      81      5.37078761E-03      5.38084493E-03
      82      5.15988665E-03      5.16953313E-03
      83      4.95758871E-03      4.96684207E-03
      84      4.76352375E-03      4.77240088E-03
      85      4.57733890E-03      4.58585590E-03
      86      4.39869749E-03      4.40686973E-03
      87      4.22727830E-03      4.23512043E-03
      88      4.06277473E-03      4.07030076E-03
      89      3.90489414E-03      3.91211743E-03
      90      3.75335706E-03      3.76029036E-03
      91      3.60789664E-03      3.61455214E-03
      92      3.46825797E-03      3.47464731E-03
      93      3.33419748E-03      3.34033179E-03
      94      3.20548249E-03      3.21137239E-03
      95      3.08189058E-03      3.08754623E-03  i
      96      2.96320913E-03      2.96864023E-03  i
      97      2.84923489E-03      2.85445074E-03  i
      98      2.73977348E-03      2.74478296E-03  i
      99      2.63463902E-03      2.63945061E-03  i
     100      2.53365370E-03      2.53827554E-03  i
     105      2.08526053E-03      2.08904368E-03  i
     110      1.71796141E-03      1.72106260E-03  i
     115      1.41667101E-03      1.41921654E-03  i
     120      1.16921468E-03      1.17130662E-03  i
     125      9.65739864E-04      9.67460938E-04  i
     130      7.98253841E-04      7.99671216E-04  i
     135      6.60258408E-04      6.61426751E-04  i
     140      5.46460111E-04      5.47423998E-04  i
     145      4.52539196E-04      4.53335031E-04  i
     150      3.74964871E-04      3.75622435E-04  i
     155      3.10846951E-04      3.11390635E-04  i
     160      2.57816487E-04      2.58266298E-04  i
     165      2.13929375E-04      2.14301741E-04  i
     170      1.77588363E-04      1.77896789E-04  i
     175      1.47479814E-04      1.47735412E-04  i
     180      1.22522306E-04      1.22734227E-04  i
     185      1.01824782E-04      1.02000572E-04  i
     190      8.46524453E-05      8.47983260E-05  i
     195      7.03988838E-05      7.05199941E-05  i
     200      5.85632792E-05      5.86638641E-05  i
     205      4.87317430E-05      4.88153118E-05  i
     210      4.05620125E-05      4.06314680E-05  i
     215      3.37708894E-05      3.38286342E-05  i
     220      2.81239162E-05      2.81719399E-05  i
     225      2.34268858E-05      2.34668369E-05  i
     230      1.95188523E-05      1.95520973E-05  i
     235      1.62663724E-05      1.62940445E-05  i
     240      1.35587575E-05      1.35817969E-05  i
     245      1.13041546E-05      1.13233417E-05  i
     250      9.42631154E-06      9.44229429E-06  i
     255      7.86190317E-06      7.87521976E-06  i
     260      6.55832111E-06      6.56941871E-06  i
     265      5.47184524E-06      5.48109556E-06  i
     270      4.56613028E-06      4.57384238E-06  i
     275      3.81095239E-06      3.81738331E-06  i
     280      3.18117072E-06      3.18653431E-06  i
     285      2.65586686E-06      2.66034106E-06  i
     290      2.21763086E-06      2.22136380E-06  i
     295      1.85196905E-06      1.85508405E-06  i
     300      1.54681243E-06      1.54941222E-06  i
     310      1.07948426E-06      1.08129598E-06  i
     320      7.53721457E-07      7.54984763E-07  i
     330      5.26512073E-07      5.27393428E-07  i
     340      3.67956597E-07      3.68571813E-07  i
     350      2.57255554E-07      2.57685203E-07  i
     360      1.79930084E-07      1.80230266E-07  i
     370      1.25893358E-07      1.26103183E-07  i
     380      8.81158180E-08      8.82625318E-08  i
     390      6.16948266E-08      6.17974634E-08  i
     400      4.32095561E-08      4.32813828E-08  i
     410      3.02719163E-08      3.03221926E-08  i
     420      2.12140181E-08      2.12492126E-08  i
     430      1.48703292E-08      1.48949891E-08  i
     440      1.04261255E-08      1.04433974E-08  i
     450      7.31223281E-09      7.32433157E-09  i
     460      5.12931870E-09      5.13781654E-09  i
     470      3.59867877E-09      3.60465210E-09  i
     480      2.52534537E-09      2.52951176E-09  i
     490      1.77233128E-09      1.77526291E-09  i
     500      1.24395464E-09      1.24601794E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.036E-15, 6.620E-17)  1.00E-07
