 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.53884E-08  1.61588E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  2.53884E-08  1.61588E-09  1.03555E-15  6.61993E-17
  1.250E-04  1.18994E-12  2.53884E-08  1.61588E-09  1.29444E-15  8.27492E-17
  1.500E-04  1.71346E-12  2.53884E-08  1.61588E-09  1.55333E-15  9.92990E-17
  1.750E-04  2.33225E-12  2.53884E-08  1.61588E-09  1.81221E-15  1.15849E-16
  2.000E-04  3.04617E-12  2.53884E-08  1.61588E-09  2.07110E-15  1.32399E-16
  2.250E-04  3.85530E-12  2.53884E-08  1.61588E-09  2.32999E-15  1.48949E-16
  2.500E-04  4.75964E-12  2.53884E-08  1.61588E-09  2.58888E-15  1.65498E-16
  2.750E-04  5.75917E-12  2.53884E-08  1.61588E-09  2.84776E-15  1.82048E-16
  3.000E-04  6.85391E-12  2.53884E-08  1.61588E-09  3.10665E-15  1.98598E-16
  3.250E-04  8.04379E-12  2.53884E-08  1.61588E-09  3.36554E-15  2.15148E-16
  3.500E-04  9.32893E-12  2.53884E-08  1.61588E-09  3.62443E-15  2.31698E-16
  3.750E-04  1.07092E-11  2.53884E-08  1.61588E-09  3.88331E-15  2.48248E-16
  4.000E-04  1.21847E-11  2.53884E-08  1.61588E-09  4.14220E-15  2.64797E-16
  4.250E-04  1.37554E-11  2.53884E-08  1.61588E-09  4.40109E-15  2.81347E-16
  4.500E-04  1.54213E-11  2.53884E-08  1.61588E-09  4.65998E-15  2.97897E-16
  4.750E-04  1.71823E-11  2.53884E-08  1.61588E-09  4.91887E-15  3.14447E-16
  5.000E-04  1.90386E-11  2.53884E-08  1.61588E-09  5.17775E-15  3.30997E-16
  5.250E-04  2.09900E-11  2.53884E-08  1.61588E-09  5.43664E-15  3.47547E-16
  5.500E-04  2.30367E-11  2.53884E-08  1.61588E-09  5.69553E-15  3.64096E-16
  5.750E-04  2.51785E-11  2.53884E-08  1.61588E-09  5.95442E-15  3.80646E-16
  6.000E-04  2.74156E-11  2.53884E-08  1.61588E-09  6.21330E-15  3.97196E-16
  6.250E-04  2.97478E-11  2.53884E-08  1.61588E-09  6.47219E-15  4.13746E-16
  6.500E-04  3.21752E-11  2.53884E-08  1.61588E-09  6.73108E-15  4.30296E-16
  6.750E-04  3.46979E-11  2.53884E-08  1.61588E-09  6.98997E-15  4.46846E-16
  7.000E-04  3.73157E-11  2.53884E-08  1.61588E-09  7.24885E-15  4.63395E-16
  7.250E-04  4.00286E-11  2.53884E-08  1.61588E-09  7.50774E-15  4.79945E-16
  7.500E-04  4.28368E-11  2.53884E-08  1.61588E-09  7.76663E-15  4.96495E-16
  7.750E-04  4.57402E-11  2.53884E-08  1.61588E-09  8.02552E-15  5.13045E-16
  8.000E-04  4.87388E-11  2.53884E-08  1.61588E-09  8.28440E-15  5.29595E-16
  8.250E-04  5.18325E-11  2.53884E-08  1.61588E-09  8.54329E-15  5.46145E-16
  8.500E-04  5.50215E-11  2.53884E-08  1.61588E-09  8.80218E-15  5.62694E-16
  8.750E-04  5.83057E-11  2.53884E-08  1.61588E-09  9.06107E-15  5.79244E-16
  9.000E-04  6.16850E-11  2.53884E-08  1.61588E-09  9.31995E-15  5.95794E-16
  9.250E-04  6.51595E-11  2.53884E-08  1.61588E-09  9.57884E-15  6.12344E-16
  9.500E-04  6.87293E-11  2.53884E-08  1.61588E-09  9.83773E-15  6.28894E-16
  9.750E-04  7.23943E-11  2.53884E-08  1.61588E-09  1.00966E-14  6.45444E-16
  1.000E-03  7.61544E-11  2.53884E-08  1.61588E-09  1.03555E-14  6.61993E-16
  1.250E-03  1.18991E-10  2.53884E-08  1.61588E-09  1.29444E-14  8.27492E-16
  1.500E-03  1.71347E-10  2.53884E-08  1.61588E-09  1.55333E-14  9.92990E-16
  1.750E-03  2.33223E-10  2.53884E-08  1.61588E-09  1.81221E-14  1.15849E-15
  2.000E-03  3.04617E-10  2.53884E-08  1.61588E-09  2.07110E-14  1.32399E-15
  2.250E-03  3.85531E-10  2.53884E-08  1.61588E-09  2.32999E-14  1.48948E-15
  2.500E-03  4.75965E-10  2.53884E-08  1.61588E-09  2.58887E-14  1.65498E-15
  2.750E-03  5.75917E-10  2.53884E-08  1.61588E-09  2.84776E-14  1.82048E-15
  3.000E-03  6.85389E-10  2.53884E-08  1.61588E-09  3.10664E-14  1.98598E-15
  3.250E-03  8.04380E-10  2.53883E-08  1.61588E-09  3.36553E-14  2.15148E-15
  3.500E-03  9.32891E-10  2.53883E-08  1.61588E-09  3.62442E-14  2.31698E-15
  3.750E-03  1.07092E-09  2.53883E-08  1.61588E-09  3.88330E-14  2.48247E-15
  4.000E-03  1.21847E-09  2.53883E-08  1.61588E-09  4.14219E-14  2.64797E-15
  4.250E-03  1.37554E-09  2.53883E-08  1.61588E-09  4.40107E-14  2.81347E-15
  4.500E-03  1.54213E-09  2.53883E-08  1.61588E-09  4.65995E-14  2.97897E-15
  4.750E-03  1.71823E-09  2.53883E-08  1.61588E-09  4.91884E-14  3.14447E-15
  5.000E-03  1.90386E-09  2.53882E-08  1.61588E-09  5.17772E-14  3.30996E-15
  5.250E-03  2.09900E-09  2.53882E-08  1.61588E-09  5.43660E-14  3.47546E-15
  5.500E-03  2.30367E-09  2.53882E-08  1.61588E-09  5.69548E-14  3.64096E-15
  5.750E-03  2.51785E-09  2.53882E-08  1.61588E-09  5.95437E-14  3.80646E-15
  6.000E-03  2.74156E-09  2.53882E-08  1.61588E-09  6.21325E-14  3.97195E-15
  6.250E-03  2.97478E-09  2.53882E-08  1.61588E-09  6.47213E-14  4.13745E-15
  6.500E-03  3.21752E-09  2.53881E-08  1.61588E-09  6.73101E-14  4.30295E-15
  6.750E-03  3.46978E-09  2.53881E-08  1.61588E-09  6.98988E-14  4.46845E-15
  7.000E-03  3.73156E-09  2.53881E-08  1.61588E-09  7.24876E-14  4.63394E-15
  7.250E-03  4.00286E-09  2.53881E-08  1.61588E-09  7.50764E-14  4.79944E-15
  7.500E-03  4.28368E-09  2.53880E-08  1.61588E-09  7.76652E-14  4.96494E-15
  7.750E-03  4.57402E-09  2.53880E-08  1.61588E-09  8.02539E-14  5.13044E-15
  8.000E-03  4.87388E-09  2.53880E-08  1.61588E-09  8.28427E-14  5.29593E-15
  8.250E-03  5.18326E-09  2.53880E-08  1.61588E-09  8.54314E-14  5.46143E-15
  8.500E-03  5.50215E-09  2.53879E-08  1.61588E-09  8.80202E-14  5.62693E-15
  8.750E-03  5.83057E-09  2.53879E-08  1.61588E-09  9.06089E-14  5.79242E-15
  9.000E-03  6.16850E-09  2.53879E-08  1.61587E-09  9.31976E-14  5.95792E-15
  9.250E-03  6.51596E-09  2.53879E-08  1.61587E-09  9.57863E-14  6.12342E-15
  9.500E-03  6.87293E-09  2.53878E-08  1.61587E-09  9.83750E-14  6.28891E-15
  9.750E-03  7.23942E-09  2.53878E-08  1.61587E-09  1.00964E-13  6.45441E-15
  1.000E-02  7.61544E-09  2.53878E-08  1.61587E-09  1.03552E-13  6.61991E-15
