

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      1.02750097E-01      0.00000000E+00
       1      7.88396134E-02      7.97051087E-02
       2      6.68587155E-02      6.73338350E-02
       3      5.88779285E-02      5.92080789E-02
       4      5.29076389E-02      5.31606866E-02
       5      4.81500250E-02      4.83548616E-02
       6      4.42053721E-02      4.43770721E-02
       7      4.08448461E-02      4.09922967E-02
       8      3.79251526E-02      3.80540442E-02
       9      3.53505635E-02      3.54647649E-02
      10      3.30539122E-02      3.31561764E-02
      11      3.09862200E-02      3.10785778E-02
      12      2.91106407E-02      2.91946353E-02
      13      2.73987335E-02      2.74755657E-02
      14      2.58280653E-02      2.58986893E-02
      15      2.43806122E-02      2.44457994E-02
      16      2.30416602E-02      2.31020439E-02
      17      2.17990294E-02      2.18551363E-02
      18      2.06425129E-02      2.06947863E-02
      19      1.95634643E-02      1.96122813E-02
      20      1.85544874E-02      1.86001716E-02
      21      1.76092003E-02      1.76520320E-02
      22      1.67220531E-02      1.67622766E-02
      23      1.58881848E-02      1.59260146E-02
      24      1.51033102E-02      1.51389361E-02
      25      1.43636295E-02      1.43972200E-02
      26      1.36657554E-02      1.36974609E-02
      27      1.30066527E-02      1.30366085E-02
      28      1.23835902E-02      1.24119181E-02
      29      1.17940995E-02      1.18209097E-02
      30      1.12359412E-02      1.12613340E-02
      31      1.07070766E-02      1.07311432E-02
      32      1.02056436E-02      1.02284676E-02
      33      9.72993610E-03      9.75159418E-03
      34      9.27838685E-03      9.29894942E-03
      35      8.84955214E-03      8.86908418E-03
      36      8.44209896E-03      8.46066051E-03
      37      8.05479381E-03      8.07244049E-03
      38      7.68649280E-03      7.70327622E-03
      39      7.33613317E-03      7.35210133E-03
      40      7.00272573E-03      7.01792331E-03
      41      6.68534820E-03      6.69981691E-03
      42      6.38313940E-03      6.39691821E-03
      43      6.09529397E-03      6.10841934E-03
      44      5.82105779E-03      5.83356387E-03
      45      5.55972375E-03      5.57164260E-03
      46      5.31062813E-03      5.32198982E-03
      47      5.07314714E-03      5.08397997E-03
      48      4.84669398E-03      4.85702459E-03
      49      4.63071613E-03      4.64056959E-03
      50      4.42469278E-03      4.43409274E-03
      51      4.22813270E-03      4.23710147E-03
      52      4.04057211E-03      4.04913078E-03
      53      3.86157288E-03      3.86974134E-03
      54      3.69072076E-03      3.69851786E-03
      55      3.52762387E-03      3.53506743E-03
      56      3.37191124E-03      3.37901813E-03
      57      3.22323150E-03      3.23001771E-03
      58      3.08125163E-03      3.08773231E-03
      59      2.94565590E-03      2.95184543E-03
      60      2.81614476E-03      2.82205677E-03
      61      2.69243394E-03      2.69808138E-03
      62      2.57425351E-03      2.57964866E-03
      63      2.46134706E-03      2.46650162E-03
      64      2.35347098E-03      2.35839603E-03
      65      2.25039365E-03      2.25509976E-03
      66      2.15189486E-03      2.15639205E-03
      67      2.05776512E-03      2.06206294E-03
      68      1.96780511E-03      1.97191264E-03
      69      1.88182511E-03      1.88575101E-03
      70      1.79964453E-03      1.80339703E-03
      71      1.72109136E-03      1.72467830E-03
      72      1.64600180E-03      1.64943065E-03
      73      1.57421976E-03      1.57749764E-03
      74      1.50559651E-03      1.50873020E-03
      75      1.43999031E-03      1.44298627E-03
      76      1.37726600E-03      1.38013040E-03
      77      1.31729473E-03      1.32003346E-03
      78      1.25995363E-03      1.26257228E-03
      79      1.20512548E-03      1.20762941E-03
      80      1.15269848E-03      1.15509278E-03
      81      1.10256595E-03      1.10485549E-03
      82      1.05462609E-03      1.05681552E-03
      83      1.00878176E-03      1.01087550E-03
      84      9.64940210E-04      9.66942504E-04
      85      9.23012932E-04      9.24927818E-04
      86      8.82915415E-04      8.84746750E-04
      87      8.44566967E-04      8.46318433E-04
      88      8.07890527E-04      8.09565642E-04
      89      7.72812513E-04      7.74414636E-04
      90      7.39262640E-04      7.40794979E-04
      91      7.07173770E-04      7.08639390E-04
      92      6.76481776E-04      6.77883605E-04
      93      6.47125392E-04      6.48466226E-04
      94      6.19046076E-04      6.20328589E-04
      95      5.92187907E-04      5.93414651E-04  i
      96      5.66497437E-04      5.67670852E-04  i
      97      5.41923593E-04      5.43046012E-04  i
      98      5.18417572E-04      5.19491223E-04  i
      99      4.95932726E-04      4.96959738E-04  i
     100      4.74424467E-04      4.75406877E-04  i
     105      3.80104552E-04      3.80891477E-04  i
     110      3.04545981E-04      3.05176428E-04  i
     115      2.44008402E-04      2.44513543E-04  i
     120      1.95501185E-04      1.95905955E-04  i
     125      1.56631530E-04      1.56955884E-04  i
     130      1.25483935E-04      1.25743850E-04  i
     135      1.00524378E-04      1.00732655E-04  i
     140      8.05239640E-05      8.06908557E-05  i
     145      6.44980174E-05      6.46317412E-05  i
     150      5.16574155E-05      5.17645567E-05  i
     155      4.13696879E-05      4.14555251E-05  i
     160      3.31278850E-05      3.31966490E-05  i
     165      2.65256503E-05      2.65807326E-05  i
     170      2.12372622E-05      2.12813811E-05  i
     175      1.70016367E-05      1.70369711E-05  i
     180      1.36095068E-05      1.36378034E-05  i
     185      1.08931481E-05      1.09158064E-05  i
     190      8.71814051E-06      8.73628228E-06  i
     195      6.97676250E-06      6.99128664E-06  i
     200      5.58269508E-06      5.59432185E-06  i
     205      4.46677537E-06      4.47608190E-06  i
     210      3.57359198E-06      3.58104057E-06  i
     215      2.85875496E-06      2.86471597E-06  i
     220      2.28670698E-06      2.29147705E-06  i
     225      1.82896864E-06      1.83278535E-06  i
     230      1.46273192E-06      1.46578553E-06  i
     235      1.16973243E-06      1.17217528E-06  i
     240      9.35345814E-07      9.37299896E-07  i
     245      7.47863527E-07      7.49426490E-07  i
