 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+01 eV = 7.34987E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.19189E-16 cm**2 = 2.56827E+01 a0**2
 # 1st transport cross section = 5.13393E-16 cm**2 = 1.83336E+01 a0**2
 # 2nd transport cross section = 5.15886E-16 cm**2 = 1.84226E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.72259E-16  6.15148E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.72259E-16  6.15148E+00  5.21631E-10  1.0E-07
  1.250E-04  1.18994E-12  1.72259E-16  6.15148E+00  6.52038E-10  1.0E-07
  1.500E-04  1.71346E-12  1.72259E-16  6.15148E+00  7.82446E-10  1.0E-07
  1.750E-04  2.33225E-12  1.72259E-16  6.15148E+00  9.12854E-10  1.0E-07
  2.000E-04  3.04617E-12  1.72259E-16  6.15148E+00  1.04326E-09  1.0E-07
  2.250E-04  3.85530E-12  1.72259E-16  6.15148E+00  1.17367E-09  1.0E-07
  2.500E-04  4.75964E-12  1.72259E-16  6.15148E+00  1.30408E-09  1.0E-07
  2.750E-04  5.75917E-12  1.72259E-16  6.15148E+00  1.43448E-09  1.0E-07
  3.000E-04  6.85391E-12  1.72259E-16  6.15148E+00  1.56489E-09  1.0E-07
  3.250E-04  8.04379E-12  1.72259E-16  6.15148E+00  1.69530E-09  1.0E-07
  3.500E-04  9.32893E-12  1.72259E-16  6.15148E+00  1.82571E-09  1.0E-07
  3.750E-04  1.07092E-11  1.72259E-16  6.15148E+00  1.95611E-09  1.0E-07
