 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.10000E+04 eV = 7.71736E+02 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 3.25507E-18 cm**2 = 1.16241E-01 a0**2
 # 1st transport cross section = 2.94887E-20 cm**2 = 1.05306E-03 a0**2
 # 2nd transport cross section = 7.40013E-20 cm**2 = 2.64263E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.90004E-16  1.39273E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.90004E-16  1.39273E+01  6.93229E-11  1.0E-07
  1.250E-04  1.18994E-12  3.90004E-16  1.39273E+01  8.66537E-11  1.0E-07
  1.500E-04  1.71346E-12  3.90004E-16  1.39273E+01  1.03984E-10  1.0E-07
  1.750E-04  2.33225E-12  3.90004E-16  1.39273E+01  1.21315E-10  1.0E-07
  2.000E-04  3.04617E-12  3.90004E-16  1.39273E+01  1.38646E-10  1.0E-07
  2.250E-04  3.85530E-12  3.90004E-16  1.39273E+01  1.55977E-10  1.0E-07
  2.500E-04  4.75964E-12  3.90004E-16  1.39273E+01  1.73307E-10  1.0E-07
  2.750E-04  5.75917E-12  3.90004E-16  1.39273E+01  1.90638E-10  1.0E-07
  3.000E-04  6.85391E-12  3.90004E-16  1.39273E+01  2.07969E-10  1.0E-07
  3.250E-04  8.04379E-12  3.90004E-16  1.39273E+01  2.25299E-10  1.0E-07
  3.500E-04  9.32893E-12  3.90004E-16  1.39273E+01  2.42630E-10  1.0E-07
  3.750E-04  1.07092E-11  3.90004E-16  1.39273E+01  2.59961E-10  1.0E-07
  4.000E-04  1.21847E-11  3.90004E-16  1.39273E+01  2.77292E-10  1.0E-07
  4.250E-04  1.37554E-11  3.90004E-16  1.39273E+01  2.94622E-10  1.0E-07
  4.500E-04  1.54213E-11  3.90004E-16  1.39273E+01  3.11953E-10  1.0E-07
  4.750E-04  1.71823E-11  3.90004E-16  1.39273E+01  3.29284E-10  1.0E-07
  5.000E-04  1.90386E-11  3.90004E-16  1.39273E+01  3.46615E-10  1.0E-07
  5.250E-04  2.09900E-11  3.90004E-16  1.39273E+01  3.63945E-10  1.0E-07
  5.500E-04  2.30367E-11  3.90004E-16  1.39273E+01  3.81276E-10  1.0E-07
  5.750E-04  2.51785E-11  3.90004E-16  1.39273E+01  3.98607E-10  1.0E-07
