 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+02 eV = 1.28623E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.06094E-16 cm**2 = 3.78867E+00 a0**2
 # 1st transport cross section = 3.06306E-17 cm**2 = 1.09384E+00 a0**2
 # 2nd transport cross section = 4.48948E-17 cm**2 = 1.60322E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.44581E-16  8.73416E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.44581E-16  8.73416E+00  4.04699E-10  1.0E-07
  1.250E-04  1.18994E-12  2.44581E-16  8.73416E+00  5.05874E-10  1.0E-07
  1.500E-04  1.71346E-12  2.44581E-16  8.73416E+00  6.07048E-10  1.0E-07
  1.750E-04  2.33225E-12  2.44581E-16  8.73416E+00  7.08223E-10  1.0E-07
  2.000E-04  3.04617E-12  2.44581E-16  8.73416E+00  8.09398E-10  1.0E-07
  2.250E-04  3.85530E-12  2.44581E-16  8.73416E+00  9.10573E-10  1.0E-07
  2.500E-04  4.75964E-12  2.44581E-16  8.73416E+00  1.01175E-09  1.0E-07
  2.750E-04  5.75917E-12  2.44581E-16  8.73416E+00  1.11292E-09  1.0E-07
  3.000E-04  6.85391E-12  2.44581E-16  8.73416E+00  1.21410E-09  1.0E-07
  3.250E-04  8.04379E-12  2.44581E-16  8.73416E+00  1.31527E-09  1.0E-07
  3.500E-04  9.32893E-12  2.44581E-16  8.73416E+00  1.41645E-09  1.0E-07
  3.750E-04  1.07092E-11  2.44581E-16  8.73416E+00  1.51762E-09  1.0E-07
  4.000E-04  1.21847E-11  2.44581E-16  8.73416E+00  1.61880E-09  1.0E-07
  4.250E-04  1.37554E-11  2.44581E-16  8.73416E+00  1.71997E-09  1.0E-07
  4.500E-04  1.54213E-11  2.44581E-16  8.73416E+00  1.82115E-09  1.0E-07
  4.750E-04  1.71823E-11  2.44581E-16  8.73416E+00  1.92232E-09  1.0E-07
  5.000E-04  1.90386E-11  2.44581E-16  8.73416E+00  2.02349E-09  1.0E-07
  5.250E-04  2.09900E-11  2.44581E-16  8.73416E+00  2.12467E-09  1.0E-07
  5.500E-04  2.30367E-11  2.44581E-16  8.73416E+00  2.22584E-09  1.0E-07
  5.750E-04  2.51785E-11  2.44581E-16  8.73416E+00  2.32702E-09  1.0E-07
  6.000E-04  2.74156E-11  2.44581E-16  8.73416E+00  2.42819E-09  1.0E-07
  6.250E-04  2.97478E-11  2.44581E-16  8.73416E+00  2.52937E-09  1.0E-07
  6.500E-04  3.21752E-11  2.44581E-16  8.73416E+00  2.63054E-09  1.0E-07
  6.750E-04  3.46979E-11  2.44581E-16  8.73416E+00  2.73172E-09  1.0E-07
  7.000E-04  3.73157E-11  2.44581E-16  8.73416E+00  2.83289E-09  1.0E-07
  7.250E-04  4.00286E-11  2.44581E-16  8.73416E+00  2.93407E-09  1.0E-07
  7.500E-04  4.28368E-11  2.44581E-16  8.73416E+00  3.03524E-09  1.0E-07
  7.750E-04  4.57402E-11  2.44581E-16  8.73416E+00  3.13642E-09  1.0E-07
  8.000E-04  4.87388E-11  2.44581E-16  8.73416E+00  3.23759E-09  1.0E-07
  8.250E-04  5.18325E-11  2.44581E-16  8.73416E+00  3.33877E-09  1.0E-07
  8.500E-04  5.50215E-11  2.44581E-16  8.73416E+00  3.43994E-09  1.0E-07
  8.750E-04  5.83057E-11  2.44581E-16  8.73416E+00  3.54112E-09  1.0E-07
  9.000E-04  6.16850E-11  2.44581E-16  8.73416E+00  3.64229E-09  1.0E-07
  9.250E-04  6.51595E-11  2.44581E-16  8.73416E+00  3.74347E-09  1.0E-07
  9.500E-04  6.87293E-11  2.44581E-16  8.73416E+00  3.84464E-09  1.0E-07
  9.750E-04  7.23943E-11  2.44581E-16  8.73416E+00  3.94582E-09  1.0E-07
  1.000E-03  7.61544E-11  2.44581E-16  8.73416E+00  4.04699E-09  1.0E-07
  1.250E-03  1.18991E-10  2.44581E-16  8.73415E+00  5.05874E-09  1.0E-07
  1.500E-03  1.71347E-10  2.44581E-16  8.73415E+00  6.07048E-09  1.0E-07
  1.750E-03  2.33223E-10  2.44581E-16  8.73415E+00  7.08223E-09  1.0E-07
  2.000E-03  3.04617E-10  2.44581E-16  8.73415E+00  8.09398E-09  1.0E-07
  2.250E-03  3.85531E-10  2.44581E-16  8.73415E+00  9.10573E-09  1.0E-07
  2.500E-03  4.75965E-10  2.44581E-16  8.73415E+00  1.01175E-08  1.0E-07
  2.750E-03  5.75917E-10  2.44581E-16  8.73415E+00  1.11292E-08  1.0E-07
  3.000E-03  6.85389E-10  2.44581E-16  8.73415E+00  1.21410E-08  1.0E-07
  3.250E-03  8.04380E-10  2.44581E-16  8.73415E+00  1.31527E-08  1.0E-07
  3.500E-03  9.32891E-10  2.44581E-16  8.73415E+00  1.41645E-08  1.0E-07
  3.750E-03  1.07092E-09  2.44581E-16  8.73415E+00  1.51762E-08  1.0E-07
  4.000E-03  1.21847E-09  2.44581E-16  8.73415E+00  1.61880E-08  1.0E-07
  4.250E-03  1.37554E-09  2.44581E-16  8.73415E+00  1.71997E-08  1.0E-07
  4.500E-03  1.54213E-09  2.44581E-16  8.73415E+00  1.82115E-08  1.0E-07
  4.750E-03  1.71823E-09  2.44581E-16  8.73415E+00  1.92232E-08  1.0E-07
  5.000E-03  1.90386E-09  2.44581E-16  8.73415E+00  2.02350E-08  1.0E-07
  5.250E-03  2.09900E-09  2.44581E-16  8.73415E+00  2.12467E-08  1.0E-07
  5.500E-03  2.30367E-09  2.44581E-16  8.73415E+00  2.22584E-08  1.0E-07
  5.750E-03  2.51785E-09  2.44581E-16  8.73415E+00  2.32702E-08  1.0E-07
