 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+01 eV = 2.57245E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 3.04952E-16 cm**2 = 1.08900E+01 a0**2
 # 1st transport cross section = 2.21998E-16 cm**2 = 7.92769E+00 a0**2
 # 2nd transport cross section = 1.60216E-16 cm**2 = 5.72143E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.83311E-16  6.54614E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.83311E-16  6.54614E+00  2.00242E-10  1.0E-07
  1.250E-04  1.18994E-12  1.83311E-16  6.54614E+00  2.50302E-10  1.0E-07
  1.500E-04  1.71346E-12  1.83311E-16  6.54614E+00  3.00363E-10  1.0E-07
  1.750E-04  2.33225E-12  1.83311E-16  6.54614E+00  3.50423E-10  1.0E-07
  2.000E-04  3.04617E-12  1.83311E-16  6.54614E+00  4.00484E-10  1.0E-07
  2.250E-04  3.85530E-12  1.83311E-16  6.54614E+00  4.50544E-10  1.0E-07
  2.500E-04  4.75964E-12  1.83311E-16  6.54614E+00  5.00605E-10  1.0E-07
  2.750E-04  5.75917E-12  1.83311E-16  6.54614E+00  5.50665E-10  1.0E-07
  3.000E-04  6.85391E-12  1.83311E-16  6.54614E+00  6.00726E-10  1.0E-07
  3.250E-04  8.04379E-12  1.83311E-16  6.54614E+00  6.50786E-10  1.0E-07
  3.500E-04  9.32893E-12  1.83311E-16  6.54614E+00  7.00847E-10  1.0E-07
  3.750E-04  1.07092E-11  1.83311E-16  6.54614E+00  7.50907E-10  1.0E-07
  4.000E-04  1.21847E-11  1.83311E-16  6.54614E+00  8.00968E-10  1.0E-07
  4.250E-04  1.37554E-11  1.83311E-16  6.54614E+00  8.51028E-10  1.0E-07
  4.500E-04  1.54213E-11  1.83311E-16  6.54614E+00  9.01089E-10  1.0E-07
  4.750E-04  1.71823E-11  1.83311E-16  6.54614E+00  9.51149E-10  1.0E-07
  5.000E-04  1.90386E-11  1.83311E-16  6.54614E+00  1.00121E-09  1.0E-07
  5.250E-04  2.09900E-11  1.83311E-16  6.54614E+00  1.05127E-09  1.0E-07
  5.500E-04  2.30367E-11  1.83311E-16  6.54614E+00  1.10133E-09  1.0E-07
  5.750E-04  2.51785E-11  1.83311E-16  6.54614E+00  1.15139E-09  1.0E-07
  6.000E-04  2.74156E-11  1.83311E-16  6.54614E+00  1.20145E-09  1.0E-07
  6.250E-04  2.97478E-11  1.83311E-16  6.54614E+00  1.25151E-09  1.0E-07
  6.500E-04  3.21752E-11  1.83311E-16  6.54614E+00  1.30157E-09  1.0E-07
  6.750E-04  3.46979E-11  1.83311E-16  6.54614E+00  1.35163E-09  1.0E-07
  7.000E-04  3.73157E-11  1.83311E-16  6.54614E+00  1.40169E-09  1.0E-07
  7.250E-04  4.00286E-11  1.83311E-16  6.54614E+00  1.45175E-09  1.0E-07
  7.500E-04  4.28368E-11  1.83311E-16  6.54614E+00  1.50181E-09  1.0E-07
  7.750E-04  4.57402E-11  1.83311E-16  6.54614E+00  1.55188E-09  1.0E-07
  8.000E-04  4.87388E-11  1.83311E-16  6.54614E+00  1.60194E-09  1.0E-07
  8.250E-04  5.18325E-11  1.83311E-16  6.54614E+00  1.65200E-09  1.0E-07
  8.500E-04  5.50215E-11  1.83311E-16  6.54614E+00  1.70206E-09  1.0E-07
  8.750E-04  5.83057E-11  1.83311E-16  6.54614E+00  1.75212E-09  1.0E-07
  9.000E-04  6.16850E-11  1.83311E-16  6.54614E+00  1.80218E-09  1.0E-07
  9.250E-04  6.51595E-11  1.83311E-16  6.54614E+00  1.85224E-09  1.0E-07
  9.500E-04  6.87293E-11  1.83311E-16  6.54614E+00  1.90230E-09  1.0E-07
  9.750E-04  7.23943E-11  1.83311E-16  6.54614E+00  1.95236E-09  1.0E-07
  1.000E-03  7.61544E-11  1.83311E-16  6.54614E+00  2.00242E-09  1.0E-07
  1.250E-03  1.18991E-10  1.83311E-16  6.54614E+00  2.50302E-09  1.0E-07
  1.500E-03  1.71347E-10  1.83311E-16  6.54614E+00  3.00363E-09  1.0E-07
  1.750E-03  2.33223E-10  1.83311E-16  6.54614E+00  3.50423E-09  1.0E-07
  2.000E-03  3.04617E-10  1.83311E-16  6.54614E+00  4.00484E-09  1.0E-07
  2.250E-03  3.85531E-10  1.83311E-16  6.54614E+00  4.50544E-09  1.0E-07
  2.500E-03  4.75965E-10  1.83311E-16  6.54614E+00  5.00605E-09  1.0E-07
  2.750E-03  5.75917E-10  1.83311E-16  6.54614E+00  5.50665E-09  1.0E-07
  3.000E-03  6.85389E-10  1.83311E-16  6.54614E+00  6.00726E-09  1.0E-07
  3.250E-03  8.04380E-10  1.83311E-16  6.54614E+00  6.50786E-09  1.0E-07
  3.500E-03  9.32891E-10  1.83311E-16  6.54614E+00  7.00847E-09  1.0E-07
  3.750E-03  1.07092E-09  1.83311E-16  6.54614E+00  7.50907E-09  1.0E-07
  4.000E-03  1.21847E-09  1.83311E-16  6.54614E+00  8.00968E-09  1.0E-07
  4.250E-03  1.37554E-09  1.83311E-16  6.54614E+00  8.51028E-09  1.0E-07
  4.500E-03  1.54213E-09  1.83311E-16  6.54614E+00  9.01089E-09  1.0E-07
  4.750E-03  1.71823E-09  1.83311E-16  6.54614E+00  9.51149E-09  1.0E-07
  5.000E-03  1.90386E-09  1.83311E-16  6.54614E+00  1.00121E-08  1.0E-07
  5.250E-03  2.09900E-09  1.83311E-16  6.54614E+00  1.05127E-08  1.0E-07
  5.500E-03  2.30367E-09  1.83311E-16  6.54614E+00  1.10133E-08  1.0E-07
  5.750E-03  2.51785E-09  1.83311E-16  6.54614E+00  1.15139E-08  1.0E-07
  6.000E-03  2.74156E-09  1.83311E-16  6.54614E+00  1.20145E-08  1.0E-07
  6.250E-03  2.97478E-09  1.83311E-16  6.54614E+00  1.25151E-08  1.0E-07
  6.500E-03  3.21752E-09  1.83311E-16  6.54614E+00  1.30157E-08  1.0E-07
  6.750E-03  3.46978E-09  1.83311E-16  6.54614E+00  1.35163E-08  1.0E-07
  7.000E-03  3.73156E-09  1.83311E-16  6.54614E+00  1.40169E-08  1.0E-07
  7.250E-03  4.00286E-09  1.83311E-16  6.54614E+00  1.45175E-08  1.0E-07
  7.500E-03  4.28368E-09  1.83311E-16  6.54614E+00  1.50181E-08  1.0E-07
  7.750E-03  4.57402E-09  1.83311E-16  6.54614E+00  1.55188E-08  1.0E-07
  8.000E-03  4.87388E-09  1.83311E-16  6.54614E+00  1.60194E-08  1.0E-07
  8.250E-03  5.18326E-09  1.83311E-16  6.54614E+00  1.65200E-08  1.0E-07
  8.500E-03  5.50215E-09  1.83311E-16  6.54614E+00  1.70206E-08  1.0E-07
  8.750E-03  5.83057E-09  1.83311E-16  6.54614E+00  1.75212E-08  1.0E-07
  9.000E-03  6.16850E-09  1.83311E-16  6.54614E+00  1.80218E-08  1.0E-07
  9.250E-03  6.51596E-09  1.83311E-16  6.54614E+00  1.85224E-08  1.0E-07
  9.500E-03  6.87293E-09  1.83311E-16  6.54614E+00  1.90230E-08  1.0E-07
  9.750E-03  7.23942E-09  1.83311E-16  6.54614E+00  1.95236E-08  1.0E-07
  1.000E-02  7.61544E-09  1.83311E-16  6.54614E+00  2.00242E-08  1.0E-07
  1.250E-02  1.18991E-08  1.83311E-16  6.54614E+00  2.50303E-08  1.0E-07
  1.500E-02  1.71347E-08  1.83311E-16  6.54614E+00  3.00363E-08  1.0E-07
  1.750E-02  2.33223E-08  1.83311E-16  6.54614E+00  3.50424E-08  1.0E-07
  2.000E-02  3.04617E-08  1.83311E-16  6.54614E+00  4.00484E-08  1.0E-07
  2.250E-02  3.85531E-08  1.83311E-16  6.54614E+00  4.50545E-08  1.0E-07
  2.500E-02  4.75965E-08  1.83311E-16  6.54614E+00  5.00606E-08  1.0E-07
  2.750E-02  5.75917E-08  1.83311E-16  6.54614E+00  5.50666E-08  1.0E-07
  3.000E-02  6.85389E-08  1.83311E-16  6.54614E+00  6.00727E-08  1.0E-07
  3.250E-02  8.04380E-08  1.83310E-16  6.54614E+00  6.50788E-08  1.0E-07
  3.500E-02  9.32891E-08  1.83310E-16  6.54613E+00  7.00849E-08  1.0E-07
  3.750E-02  1.07092E-07  1.83310E-16  6.54613E+00  7.50910E-08  1.0E-07
  4.000E-02  1.21847E-07  1.83310E-16  6.54613E+00  8.00971E-08  1.0E-07
  4.250E-02  1.37554E-07  1.83310E-16  6.54613E+00  8.51032E-08  1.0E-07
  4.500E-02  1.54213E-07  1.83310E-16  6.54613E+00  9.01093E-08  1.0E-07
  4.750E-02  1.71823E-07  1.83310E-16  6.54613E+00  9.51154E-08  1.0E-07
  5.000E-02  1.90386E-07  1.83310E-16  6.54613E+00  1.00122E-07  1.0E-07
  5.250E-02  2.09900E-07  1.83310E-16  6.54612E+00  1.05128E-07  1.0E-07
  5.500E-02  2.30367E-07  1.83310E-16  6.54612E+00  1.10134E-07  1.0E-07
  5.750E-02  2.51785E-07  1.83310E-16  6.54612E+00  1.15140E-07  1.0E-07
  6.000E-02  2.74156E-07  1.83310E-16  6.54612E+00  1.20146E-07  1.0E-07
  6.250E-02  2.97478E-07  1.83310E-16  6.54611E+00  1.25152E-07  1.0E-07
  6.500E-02  3.21752E-07  1.83310E-16  6.54611E+00  1.30159E-07  1.0E-07
  6.750E-02  3.46978E-07  1.83310E-16  6.54611E+00  1.35165E-07  1.0E-07
  7.000E-02  3.73156E-07  1.83310E-16  6.54611E+00  1.40171E-07  1.0E-07
  7.250E-02  4.00286E-07  1.83310E-16  6.54610E+00  1.45177E-07  1.0E-07
  7.500E-02  4.28368E-07  1.83310E-16  6.54610E+00  1.50184E-07  1.0E-07
  7.750E-02  4.57402E-07  1.83309E-16  6.54610E+00  1.55190E-07  1.0E-07
  8.000E-02  4.87388E-07  1.83309E-16  6.54610E+00  1.60196E-07  1.0E-07
  8.250E-02  5.18325E-07  1.83309E-16  6.54609E+00  1.65202E-07  1.0E-07
  8.500E-02  5.50215E-07  1.83309E-16  6.54609E+00  1.70209E-07  1.0E-07
  8.750E-02  5.83057E-07  1.83309E-16  6.54609E+00  1.75215E-07  1.0E-07
  9.000E-02  6.16850E-07  1.83309E-16  6.54608E+00  1.80221E-07  1.0E-07
  9.250E-02  6.51596E-07  1.83309E-16  6.54608E+00  1.85228E-07  1.0E-07
  9.500E-02  6.87293E-07  1.83309E-16  6.54608E+00  1.90234E-07  1.0E-07
  9.750E-02  7.23942E-07  1.83309E-16  6.54607E+00  1.95240E-07  1.0E-07
  1.000E-01  7.61543E-07  1.83309E-16  6.54607E+00  2.00247E-07  1.0E-07
