 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.90000E+01 eV = 6.98237E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.58827E-15 cm**2 = 5.67182E+01 a0**2
 # 1st transport cross section = 4.92297E-16 cm**2 = 1.75803E+01 a0**2
 # 2nd transport cross section = 7.80095E-16 cm**2 = 2.78577E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.62350E-15  5.79763E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.62350E-15  5.79763E+01  2.86391E-09  1.0E-07
  1.250E-04  1.18994E-12  1.62350E-15  5.79763E+01  3.57989E-09  1.0E-07
  1.500E-04  1.71346E-12  1.62350E-15  5.79763E+01  4.29587E-09  1.0E-07
  1.750E-04  2.33225E-12  1.62350E-15  5.79763E+01  5.01185E-09  1.0E-07
  2.000E-04  3.04617E-12  1.62350E-15  5.79763E+01  5.72783E-09  1.0E-07
  2.250E-04  3.85530E-12  1.62350E-15  5.79763E+01  6.44381E-09  1.0E-07
  2.500E-04  4.75964E-12  1.62350E-15  5.79763E+01  7.15979E-09  1.0E-07
  2.750E-04  5.75917E-12  1.62350E-15  5.79763E+01  7.87576E-09  1.0E-07
  3.000E-04  6.85391E-12  1.62350E-15  5.79763E+01  8.59174E-09  1.0E-07
  3.250E-04  8.04379E-12  1.62350E-15  5.79763E+01  9.30772E-09  1.0E-07
  3.500E-04  9.32893E-12  1.62350E-15  5.79763E+01  1.00237E-08  1.0E-07
  3.750E-04  1.07092E-11  1.62350E-15  5.79763E+01  1.07397E-08  1.0E-07
  4.000E-04  1.21847E-11  1.62350E-15  5.79763E+01  1.14557E-08  1.0E-07
  4.250E-04  1.37554E-11  1.62350E-15  5.79763E+01  1.21716E-08  1.0E-07
  4.500E-04  1.54213E-11  1.62350E-15  5.79763E+01  1.28876E-08  1.0E-07
  4.750E-04  1.71823E-11  1.62350E-15  5.79763E+01  1.36036E-08  1.0E-07
  5.000E-04  1.90386E-11  1.62350E-15  5.79763E+01  1.43196E-08  1.0E-07
  5.250E-04  2.09900E-11  1.62350E-15  5.79763E+01  1.50355E-08  1.0E-07
  5.500E-04  2.30367E-11  1.62350E-15  5.79763E+01  1.57515E-08  1.0E-07
  5.750E-04  2.51785E-11  1.62350E-15  5.79763E+01  1.64675E-08  1.0E-07
  6.000E-04  2.74156E-11  1.62350E-15  5.79763E+01  1.71835E-08  1.0E-07
  6.250E-04  2.97478E-11  1.62350E-15  5.79763E+01  1.78995E-08  1.0E-07
  6.500E-04  3.21752E-11  1.62350E-15  5.79763E+01  1.86154E-08  1.0E-07
  6.750E-04  3.46979E-11  1.62350E-15  5.79763E+01  1.93314E-08  1.0E-07
  7.000E-04  3.73157E-11  1.62350E-15  5.79763E+01  2.00474E-08  1.0E-07
  7.250E-04  4.00286E-11  1.62350E-15  5.79763E+01  2.07634E-08  1.0E-07
  7.500E-04  4.28368E-11  1.62350E-15  5.79763E+01  2.14794E-08  1.0E-07
  7.750E-04  4.57402E-11  1.62350E-15  5.79763E+01  2.21953E-08  1.0E-07
  8.000E-04  4.87388E-11  1.62350E-15  5.79763E+01  2.29113E-08  1.0E-07
  8.250E-04  5.18325E-11  1.62350E-15  5.79763E+01  2.36273E-08  1.0E-07
  8.500E-04  5.50215E-11  1.62350E-15  5.79763E+01  2.43433E-08  1.0E-07
  8.750E-04  5.83057E-11  1.62350E-15  5.79763E+01  2.50592E-08  1.0E-07
  9.000E-04  6.16850E-11  1.62350E-15  5.79763E+01  2.57752E-08  1.0E-07
  9.250E-04  6.51595E-11  1.62350E-15  5.79763E+01  2.64912E-08  1.0E-07
  9.500E-04  6.87293E-11  1.62350E-15  5.79763E+01  2.72072E-08  1.0E-07
  9.750E-04  7.23943E-11  1.62350E-15  5.79763E+01  2.79232E-08  1.0E-07
  1.000E-03  7.61544E-11  1.62350E-15  5.79763E+01  2.86391E-08  1.0E-07
  1.250E-03  1.18991E-10  1.62350E-15  5.79763E+01  3.57989E-08  1.0E-07
  1.500E-03  1.71347E-10  1.62350E-15  5.79763E+01  4.29587E-08  1.0E-07
