 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.30000E+04 eV = 8.45234E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 9.48994E-18 cm**2 = 3.38892E-01 a0**2
 # 1st transport cross section = 6.97488E-20 cm**2 = 2.49078E-03 a0**2
 # 2nd transport cross section = 1.71208E-19 cm**2 = 6.11394E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.13981E-15  1.12125E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.13981E-15  1.12125E+02  1.46982E-10  1.0E-07
  1.250E-04  1.18994E-12  3.13981E-15  1.12125E+02  1.83727E-10  1.0E-07
  1.500E-04  1.71346E-12  3.13981E-15  1.12125E+02  2.20473E-10  1.0E-07
  1.750E-04  2.33225E-12  3.13981E-15  1.12125E+02  2.57218E-10  1.0E-07
  2.000E-04  3.04617E-12  3.13981E-15  1.12125E+02  2.93964E-10  1.0E-07
  2.250E-04  3.85530E-12  3.13981E-15  1.12125E+02  3.30709E-10  1.0E-07
  2.500E-04  4.75964E-12  3.13981E-15  1.12125E+02  3.67455E-10  1.0E-07
  2.750E-04  5.75917E-12  3.13981E-15  1.12125E+02  4.04200E-10  1.0E-07
  3.000E-04  6.85391E-12  3.13981E-15  1.12125E+02  4.40946E-10  1.0E-07
  3.250E-04  8.04379E-12  3.13981E-15  1.12125E+02  4.77691E-10  1.0E-07
  3.500E-04  9.32893E-12  3.13981E-15  1.12125E+02  5.14437E-10  1.0E-07
  3.750E-04  1.07092E-11  3.13981E-15  1.12125E+02  5.51182E-10  1.0E-07
  4.000E-04  1.21847E-11  3.13981E-15  1.12125E+02  5.87928E-10  1.0E-07
  4.250E-04  1.37554E-11  3.13981E-15  1.12125E+02  6.24673E-10  1.0E-07
  4.500E-04  1.54213E-11  3.13981E-15  1.12125E+02  6.61419E-10  1.0E-07
  4.750E-04  1.71823E-11  3.13981E-15  1.12125E+02  6.98164E-10  1.0E-07
  5.000E-04  1.90386E-11  3.13981E-15  1.12125E+02  7.34910E-10  1.0E-07
  5.250E-04  2.09900E-11  3.13981E-15  1.12125E+02  7.71655E-10  1.0E-07
  5.500E-04  2.30367E-11  3.13981E-15  1.12125E+02  8.08401E-10  1.0E-07
  5.750E-04  2.51785E-11  3.13981E-15  1.12125E+02  8.45146E-10  1.0E-07
  6.000E-04  2.74156E-11  3.13981E-15  1.12125E+02  8.81892E-10  1.0E-07
  6.250E-04  2.97478E-11  3.13981E-15  1.12125E+02  9.18637E-10  1.0E-07
  6.500E-04  3.21752E-11  3.13981E-15  1.12125E+02  9.55383E-10  1.0E-07
  6.750E-04  3.46979E-11  3.13981E-15  1.12125E+02  9.92128E-10  1.0E-07
  7.000E-04  3.73157E-11  3.13981E-15  1.12125E+02  1.02887E-09  1.0E-07
  7.250E-04  4.00286E-11  3.13981E-15  1.12125E+02  1.06562E-09  1.0E-07
  7.500E-04  4.28368E-11  3.13981E-15  1.12125E+02  1.10236E-09  1.0E-07
  7.750E-04  4.57402E-11  3.13981E-15  1.12125E+02  1.13911E-09  1.0E-07
  8.000E-04  4.87388E-11  3.13981E-15  1.12125E+02  1.17586E-09  1.0E-07
  8.250E-04  5.18325E-11  3.13981E-15  1.12125E+02  1.21260E-09  1.0E-07
  8.500E-04  5.50215E-11  3.13981E-15  1.12125E+02  1.24935E-09  1.0E-07
  8.750E-04  5.83057E-11  3.13981E-15  1.12125E+02  1.28609E-09  1.0E-07
  9.000E-04  6.16850E-11  3.13981E-15  1.12125E+02  1.32284E-09  1.0E-07
  9.250E-04  6.51595E-11  3.13981E-15  1.12125E+02  1.35958E-09  1.0E-07
  9.500E-04  6.87293E-11  3.13981E-15  1.12125E+02  1.39633E-09  1.0E-07
  9.750E-04  7.23943E-11  3.13981E-15  1.12125E+02  1.43307E-09  1.0E-07
  1.000E-03  7.61544E-11  3.13981E-15  1.12125E+02  1.46982E-09  1.0E-07
  1.250E-03  1.18991E-10  3.13981E-15  1.12125E+02  1.83727E-09  1.0E-07
  1.500E-03  1.71347E-10  3.13981E-15  1.12125E+02  2.20473E-09  1.0E-07
  1.750E-03  2.33223E-10  3.13980E-15  1.12124E+02  2.57219E-09  1.0E-07
  2.000E-03  3.04617E-10  3.13980E-15  1.12124E+02  2.93964E-09  1.0E-07
  2.250E-03  3.85531E-10  3.13980E-15  1.12124E+02  3.30710E-09  1.0E-07
  2.500E-03  4.75965E-10  3.13980E-15  1.12124E+02  3.67456E-09  1.0E-07
  2.750E-03  5.75917E-10  3.13979E-15  1.12124E+02  4.04201E-09  1.0E-07
  3.000E-03  6.85389E-10  3.13979E-15  1.12124E+02  4.40947E-09  1.0E-07
  3.250E-03  8.04380E-10  3.13979E-15  1.12124E+02  4.77693E-09  1.0E-07
  3.500E-03  9.32891E-10  3.13978E-15  1.12124E+02  5.14439E-09  1.0E-07
  3.750E-03  1.07092E-09  3.13978E-15  1.12124E+02  5.51185E-09  1.0E-07
  4.000E-03  1.21847E-09  3.13977E-15  1.12123E+02  5.87931E-09  1.0E-07
  4.250E-03  1.37554E-09  3.13977E-15  1.12123E+02  6.24677E-09  1.0E-07
  4.500E-03  1.54213E-09  3.13976E-15  1.12123E+02  6.61423E-09  1.0E-07
  4.750E-03  1.71823E-09  3.13976E-15  1.12123E+02  6.98169E-09  1.0E-07
  5.000E-03  1.90386E-09  3.13975E-15  1.12123E+02  7.34915E-09  1.0E-07
  5.250E-03  2.09900E-09  3.13975E-15  1.12122E+02  7.71662E-09  1.0E-07
  5.500E-03  2.30367E-09  3.13974E-15  1.12122E+02  8.08408E-09  1.0E-07
  5.750E-03  2.51785E-09  3.13973E-15  1.12122E+02  8.45155E-09  1.0E-07
  6.000E-03  2.74156E-09  3.13973E-15  1.12122E+02  8.81901E-09  1.0E-07
  6.250E-03  2.97478E-09  3.13972E-15  1.12121E+02  9.18648E-09  1.0E-07
  6.500E-03  3.21752E-09  3.13971E-15  1.12121E+02  9.55395E-09  1.0E-07
  6.750E-03  3.46978E-09  3.13971E-15  1.12121E+02  9.92142E-09  1.0E-07
  7.000E-03  3.73156E-09  3.13970E-15  1.12121E+02  1.02889E-08  1.0E-07
  7.250E-03  4.00286E-09  3.13969E-15  1.12120E+02  1.06564E-08  1.0E-07
  7.500E-03  4.28368E-09  3.13968E-15  1.12120E+02  1.10238E-08  1.0E-07
  7.750E-03  4.57402E-09  3.13967E-15  1.12120E+02  1.13913E-08  1.0E-07
  8.000E-03  4.87388E-09  3.13966E-15  1.12119E+02  1.17588E-08  1.0E-07
  8.250E-03  5.18326E-09  3.13965E-15  1.12119E+02  1.21263E-08  1.0E-07
  8.500E-03  5.50215E-09  3.13964E-15  1.12119E+02  1.24937E-08  1.0E-07
  8.750E-03  5.83057E-09  3.13963E-15  1.12118E+02  1.28612E-08  1.0E-07
  9.000E-03  6.16850E-09  3.13962E-15  1.12118E+02  1.32287E-08  1.0E-07
  9.250E-03  6.51596E-09  3.13961E-15  1.12118E+02  1.35962E-08  1.0E-07
  9.500E-03  6.87293E-09  3.13960E-15  1.12117E+02  1.39637E-08  1.0E-07
  9.750E-03  7.23942E-09  3.13959E-15  1.12117E+02  1.43312E-08  1.0E-07
  1.000E-02  7.61544E-09  3.13958E-15  1.12116E+02  1.46986E-08  1.0E-07
  1.250E-02  1.18991E-08  3.13945E-15  1.12112E+02  1.83736E-08  1.0E-07
  1.500E-02  1.71347E-08  3.13929E-15  1.12106E+02  2.20488E-08  1.0E-07
  1.750E-02  2.33223E-08  3.13910E-15  1.12099E+02  2.57243E-08  1.0E-07
  2.000E-02  3.04617E-08  3.13888E-15  1.12091E+02  2.94000E-08  1.0E-07
  2.250E-02  3.85531E-08  3.13863E-15  1.12083E+02  3.30761E-08  1.0E-07
  2.500E-02  4.75965E-08  3.13836E-15  1.12073E+02  3.67526E-08  1.0E-07
  2.750E-02  5.75917E-08  3.13805E-15  1.12062E+02  4.04296E-08  1.0E-07
  3.000E-02  6.85389E-08  3.13772E-15  1.12050E+02  4.41069E-08  1.0E-07
  3.250E-02  8.04380E-08  3.13735E-15  1.12037E+02  4.77848E-08  1.0E-07
  3.500E-02  9.32891E-08  3.13696E-15  1.12023E+02  5.14633E-08  1.0E-07
  3.750E-02  1.07092E-07  3.13654E-15  1.12008E+02  5.51424E-08  1.0E-07
  4.000E-02  1.21847E-07  3.13609E-15  1.11992E+02  5.88221E-08  1.0E-07
  4.250E-02  1.37554E-07  3.13561E-15  1.11975E+02  6.25025E-08  1.0E-07
  4.500E-02  1.54213E-07  3.13510E-15  1.11956E+02  6.61836E-08  1.0E-07
  4.750E-02  1.71823E-07  3.13456E-15  1.11937E+02  6.98655E-08  1.0E-07
  5.000E-02  1.90386E-07  3.13400E-15  1.11917E+02  7.35482E-08  1.0E-07
  5.250E-02  2.09900E-07  3.13340E-15  1.11896E+02  7.72318E-08  1.0E-07
  5.500E-02  2.30367E-07  3.13278E-15  1.11873E+02  8.09163E-08  1.0E-07
  5.750E-02  2.51785E-07  3.13212E-15  1.11850E+02  8.46017E-08  1.0E-07
  6.000E-02  2.74156E-07  3.13144E-15  1.11826E+02  8.82881E-08  1.0E-07
  6.250E-02  2.97478E-07  3.13073E-15  1.11800E+02  9.19755E-08  1.0E-07
  6.500E-02  3.21752E-07  3.12999E-15  1.11774E+02  9.56640E-08  1.0E-07
  6.750E-02  3.46978E-07  3.12922E-15  1.11747E+02  9.93536E-08  1.0E-07
  7.000E-02  3.73156E-07  3.12843E-15  1.11718E+02  1.03044E-07  1.0E-07
  7.250E-02  4.00286E-07  3.12760E-15  1.11689E+02  1.06736E-07  1.0E-07
  7.500E-02  4.28368E-07  3.12675E-15  1.11658E+02  1.10430E-07  1.0E-07
  7.750E-02  4.57402E-07  3.12587E-15  1.11627E+02  1.14124E-07  1.0E-07
  8.000E-02  4.87388E-07  3.12496E-15  1.11594E+02  1.17820E-07  1.0E-07
  8.250E-02  5.18325E-07  3.12402E-15  1.11561E+02  1.21517E-07  1.0E-07
  8.500E-02  5.50215E-07  3.12305E-15  1.11526E+02  1.25216E-07  1.0E-07
  8.750E-02  5.83057E-07  3.12205E-15  1.11491E+02  1.28916E-07  1.0E-07
  9.000E-02  6.16850E-07  3.12103E-15  1.11454E+02  1.32618E-07  1.0E-07
  9.250E-02  6.51596E-07  3.11998E-15  1.11416E+02  1.36321E-07  1.0E-07
  9.500E-02  6.87293E-07  3.11889E-15  1.11378E+02  1.40025E-07  1.0E-07
  9.750E-02  7.23942E-07  3.11778E-15  1.11338E+02  1.43732E-07  1.0E-07
  1.000E-01  7.61543E-07  3.11665E-15  1.11297E+02  1.47440E-07  1.0E-07
  1.250E-01  1.18991E-06  3.10373E-15  1.10836E+02  1.84621E-07  1.0E-07
  1.500E-01  1.71347E-06  3.08806E-15  1.10277E+02  2.22017E-07  1.0E-07
  1.750E-01  2.33223E-06  3.06969E-15  1.09621E+02  2.59669E-07  1.0E-07
  2.000E-01  3.04617E-06  3.04870E-15  1.08871E+02  2.97619E-07  1.0E-07
  2.250E-01  3.85531E-06  3.02519E-15  1.08031E+02  3.35910E-07  1.0E-07
  2.500E-01  4.75964E-06  2.99923E-15  1.07104E+02  3.74584E-07  1.0E-07
  2.750E-01  5.75916E-06  2.97093E-15  1.06094E+02  4.13681E-07  1.0E-07
  3.000E-01  6.85388E-06  2.94041E-15  1.05004E+02  4.53243E-07  1.0E-07
  3.250E-01  8.04378E-06  2.90777E-15  1.03838E+02  4.93310E-07  1.0E-07
  3.500E-01  9.32888E-06  2.87315E-15  1.02602E+02  5.33922E-07  1.0E-07
  3.750E-01  1.07092E-05  2.83666E-15  1.01299E+02  5.75120E-07  1.0E-07
  4.000E-01  1.21846E-05  2.79843E-15  9.99337E+01  6.16941E-07  1.0E-07
  4.250E-01  1.37553E-05  2.75860E-15  9.85113E+01  6.59426E-07  1.0E-07
  4.500E-01  1.54212E-05  2.71730E-15  9.70364E+01  7.02612E-07  1.0E-07
  4.750E-01  1.71822E-05  2.67466E-15  9.55138E+01  7.46536E-07  1.0E-07
  5.000E-01  1.90385E-05  2.63082E-15  9.39482E+01  7.91235E-07  1.0E-07
  5.250E-01  2.09899E-05  2.58591E-15  9.23445E+01  8.36745E-07  1.0E-07
  5.500E-01  2.30365E-05  2.54006E-15  9.07073E+01  8.83103E-07  1.0E-07
  5.750E-01  2.51783E-05  2.49341E-15  8.90412E+01  9.30341E-07  1.0E-07
  6.000E-01  2.74153E-05  2.44607E-15  8.73508E+01  9.78495E-07  1.0E-07
  6.250E-01  2.97475E-05  2.39818E-15  8.56405E+01  1.02760E-06  1.0E-07
  6.500E-01  3.21749E-05  2.34984E-15  8.39144E+01  1.07768E-06  1.0E-07
  6.750E-01  3.46974E-05  2.30118E-15  8.21768E+01  1.12878E-06  1.0E-07
  7.000E-01  3.73152E-05  2.25231E-15  8.04314E+01  1.18092E-06  1.0E-07
  7.250E-01  4.00281E-05  2.20332E-15  7.86821E+01  1.23413E-06  1.0E-07
  7.500E-01  4.28362E-05  2.15432E-15  7.69323E+01  1.28845E-06  1.0E-07
  7.750E-01  4.57395E-05  2.10541E-15  7.51855E+01  1.34389E-06  1.0E-07
  8.000E-01  4.87380E-05  2.05666E-15  7.34447E+01  1.40050E-06  1.0E-07
  8.250E-01  5.18317E-05  2.00817E-15  7.17130E+01  1.45829E-06  1.0E-07
  8.500E-01  5.50205E-05  1.96000E-15  6.99930E+01  1.51729E-06  1.0E-07
  8.750E-01  5.83045E-05  1.91224E-15  6.82872E+01  1.57752E-06  1.0E-07
  9.000E-01  6.16838E-05  1.86494E-15  6.65981E+01  1.63902E-06  1.0E-07
