 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+02 eV = 3.30744E+01 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.38489E-16 cm**2 = 4.94555E+00 a0**2
 # 1st transport cross section = 1.52324E-17 cm**2 = 5.43960E-01 a0**2
 # 2nd transport cross section = 2.43818E-17 cm**2 = 8.70692E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.11571E-15  7.55534E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.11571E-15  7.55534E+01  6.30777E-11  1.0E-07
  1.250E-04  1.18994E-12  2.11571E-15  7.55534E+01  7.88472E-11  1.0E-07
  1.500E-04  1.71346E-12  2.11571E-15  7.55534E+01  9.46166E-11  1.0E-07
  1.750E-04  2.33225E-12  2.11571E-15  7.55534E+01  1.10386E-10  1.0E-07
  2.000E-04  3.04617E-12  2.11571E-15  7.55534E+01  1.26155E-10  1.0E-07
  2.250E-04  3.85530E-12  2.11571E-15  7.55534E+01  1.41925E-10  1.0E-07
  2.500E-04  4.75964E-12  2.11571E-15  7.55534E+01  1.57694E-10  1.0E-07
  2.750E-04  5.75917E-12  2.11571E-15  7.55534E+01  1.73464E-10  1.0E-07
  3.000E-04  6.85391E-12  2.11571E-15  7.55534E+01  1.89233E-10  1.0E-07
  3.250E-04  8.04379E-12  2.11571E-15  7.55534E+01  2.05003E-10  1.0E-07
  3.500E-04  9.32893E-12  2.11571E-15  7.55534E+01  2.20772E-10  1.0E-07
  3.750E-04  1.07092E-11  2.11571E-15  7.55534E+01  2.36542E-10  1.0E-07
  4.000E-04  1.21847E-11  2.11571E-15  7.55534E+01  2.52311E-10  1.0E-07
  4.250E-04  1.37554E-11  2.11571E-15  7.55534E+01  2.68080E-10  1.0E-07
  4.500E-04  1.54213E-11  2.11571E-15  7.55534E+01  2.83850E-10  1.0E-07
  4.750E-04  1.71823E-11  2.11571E-15  7.55534E+01  2.99619E-10  1.0E-07
  5.000E-04  1.90386E-11  2.11571E-15  7.55534E+01  3.15389E-10  1.0E-07
  5.250E-04  2.09900E-11  2.11571E-15  7.55534E+01  3.31158E-10  1.0E-07
  5.500E-04  2.30367E-11  2.11571E-15  7.55534E+01  3.46928E-10  1.0E-07
  5.750E-04  2.51785E-11  2.11571E-15  7.55534E+01  3.62697E-10  1.0E-07
  6.000E-04  2.74156E-11  2.11571E-15  7.55534E+01  3.78466E-10  1.0E-07
  6.250E-04  2.97478E-11  2.11571E-15  7.55534E+01  3.94236E-10  1.0E-07
  6.500E-04  3.21752E-11  2.11571E-15  7.55534E+01  4.10005E-10  1.0E-07
  6.750E-04  3.46979E-11  2.11571E-15  7.55534E+01  4.25775E-10  1.0E-07
  7.000E-04  3.73157E-11  2.11571E-15  7.55534E+01  4.41544E-10  1.0E-07
  7.250E-04  4.00286E-11  2.11571E-15  7.55534E+01  4.57314E-10  1.0E-07
  7.500E-04  4.28368E-11  2.11571E-15  7.55534E+01  4.73083E-10  1.0E-07
  7.750E-04  4.57402E-11  2.11571E-15  7.55534E+01  4.88852E-10  1.0E-07
  8.000E-04  4.87388E-11  2.11571E-15  7.55534E+01  5.04622E-10  1.0E-07
  8.250E-04  5.18325E-11  2.11571E-15  7.55534E+01  5.20391E-10  1.0E-07
  8.500E-04  5.50215E-11  2.11571E-15  7.55534E+01  5.36161E-10  1.0E-07
  8.750E-04  5.83057E-11  2.11571E-15  7.55534E+01  5.51930E-10  1.0E-07
  9.000E-04  6.16850E-11  2.11571E-15  7.55534E+01  5.67700E-10  1.0E-07
  9.250E-04  6.51595E-11  2.11571E-15  7.55534E+01  5.83469E-10  1.0E-07
  9.500E-04  6.87293E-11  2.11571E-15  7.55534E+01  5.99239E-10  1.0E-07
  9.750E-04  7.23943E-11  2.11571E-15  7.55534E+01  6.15008E-10  1.0E-07
  1.000E-03  7.61544E-11  2.11571E-15  7.55534E+01  6.30777E-10  1.0E-07
  1.250E-03  1.18991E-10  2.11571E-15  7.55534E+01  7.88472E-10  1.0E-07
  1.500E-03  1.71347E-10  2.11571E-15  7.55534E+01  9.46166E-10  1.0E-07
  1.750E-03  2.33223E-10  2.11571E-15  7.55534E+01  1.10386E-09  1.0E-07
  2.000E-03  3.04617E-10  2.11571E-15  7.55534E+01  1.26155E-09  1.0E-07
  2.250E-03  3.85531E-10  2.11571E-15  7.55534E+01  1.41925E-09  1.0E-07
  2.500E-03  4.75965E-10  2.11571E-15  7.55534E+01  1.57694E-09  1.0E-07
  2.750E-03  5.75917E-10  2.11571E-15  7.55534E+01  1.73464E-09  1.0E-07
  3.000E-03  6.85389E-10  2.11571E-15  7.55534E+01  1.89233E-09  1.0E-07
  3.250E-03  8.04380E-10  2.11571E-15  7.55534E+01  2.05003E-09  1.0E-07
  3.500E-03  9.32891E-10  2.11571E-15  7.55534E+01  2.20772E-09  1.0E-07
  3.750E-03  1.07092E-09  2.11571E-15  7.55534E+01  2.36542E-09  1.0E-07
  4.000E-03  1.21847E-09  2.11571E-15  7.55534E+01  2.52311E-09  1.0E-07
  4.250E-03  1.37554E-09  2.11571E-15  7.55533E+01  2.68081E-09  1.0E-07
  4.500E-03  1.54213E-09  2.11571E-15  7.55533E+01  2.83850E-09  1.0E-07
  4.750E-03  1.71823E-09  2.11571E-15  7.55533E+01  2.99619E-09  1.0E-07
  5.000E-03  1.90386E-09  2.11571E-15  7.55533E+01  3.15389E-09  1.0E-07
  5.250E-03  2.09900E-09  2.11571E-15  7.55533E+01  3.31158E-09  1.0E-07
  5.500E-03  2.30367E-09  2.11571E-15  7.55533E+01  3.46928E-09  1.0E-07
  5.750E-03  2.51785E-09  2.11571E-15  7.55533E+01  3.62697E-09  1.0E-07
  6.000E-03  2.74156E-09  2.11571E-15  7.55533E+01  3.78467E-09  1.0E-07
  6.250E-03  2.97478E-09  2.11571E-15  7.55533E+01  3.94236E-09  1.0E-07
  6.500E-03  3.21752E-09  2.11571E-15  7.55533E+01  4.10006E-09  1.0E-07
  6.750E-03  3.46978E-09  2.11571E-15  7.55533E+01  4.25775E-09  1.0E-07
  7.000E-03  3.73156E-09  2.11571E-15  7.55533E+01  4.41545E-09  1.0E-07
  7.250E-03  4.00286E-09  2.11571E-15  7.55533E+01  4.57314E-09  1.0E-07
  7.500E-03  4.28368E-09  2.11571E-15  7.55533E+01  4.73084E-09  1.0E-07
  7.750E-03  4.57402E-09  2.11571E-15  7.55532E+01  4.88853E-09  1.0E-07
  8.000E-03  4.87388E-09  2.11571E-15  7.55532E+01  5.04623E-09  1.0E-07
  8.250E-03  5.18326E-09  2.11571E-15  7.55532E+01  5.20392E-09  1.0E-07
  8.500E-03  5.50215E-09  2.11571E-15  7.55532E+01  5.36162E-09  1.0E-07
  8.750E-03  5.83057E-09  2.11571E-15  7.55532E+01  5.51931E-09  1.0E-07
  9.000E-03  6.16850E-09  2.11570E-15  7.55532E+01  5.67701E-09  1.0E-07
  9.250E-03  6.51596E-09  2.11570E-15  7.55532E+01  5.83471E-09  1.0E-07
  9.500E-03  6.87293E-09  2.11570E-15  7.55532E+01  5.99240E-09  1.0E-07
  9.750E-03  7.23942E-09  2.11570E-15  7.55532E+01  6.15010E-09  1.0E-07
  1.000E-02  7.61544E-09  2.11570E-15  7.55531E+01  6.30779E-09  1.0E-07
  1.250E-02  1.18991E-08  2.11570E-15  7.55530E+01  7.88475E-09  1.0E-07
  1.500E-02  1.71347E-08  2.11570E-15  7.55528E+01  9.46173E-09  1.0E-07
  1.750E-02  2.33223E-08  2.11569E-15  7.55527E+01  1.10387E-08  1.0E-07
  2.000E-02  3.04617E-08  2.11568E-15  7.55524E+01  1.26157E-08  1.0E-07
  2.250E-02  3.85531E-08  2.11568E-15  7.55522E+01  1.41927E-08  1.0E-07
  2.500E-02  4.75965E-08  2.11567E-15  7.55519E+01  1.57697E-08  1.0E-07
  2.750E-02  5.75917E-08  2.11566E-15  7.55516E+01  1.73468E-08  1.0E-07
  3.000E-02  6.85389E-08  2.11565E-15  7.55512E+01  1.89238E-08  1.0E-07
  3.250E-02  8.04380E-08  2.11564E-15  7.55508E+01  2.05009E-08  1.0E-07
  3.500E-02  9.32891E-08  2.11563E-15  7.55504E+01  2.20780E-08  1.0E-07
  3.750E-02  1.07092E-07  2.11562E-15  7.55500E+01  2.36552E-08  1.0E-07
  4.000E-02  1.21847E-07  2.11560E-15  7.55495E+01  2.52323E-08  1.0E-07
  4.250E-02  1.37554E-07  2.11559E-15  7.55490E+01  2.68095E-08  1.0E-07
  4.500E-02  1.54213E-07  2.11557E-15  7.55485E+01  2.83867E-08  1.0E-07
  4.750E-02  1.71823E-07  2.11556E-15  7.55479E+01  2.99640E-08  1.0E-07
  5.000E-02  1.90386E-07  2.11554E-15  7.55474E+01  3.15413E-08  1.0E-07
  5.250E-02  2.09900E-07  2.11552E-15  7.55467E+01  3.31186E-08  1.0E-07
  5.500E-02  2.30367E-07  2.11551E-15  7.55461E+01  3.46960E-08  1.0E-07
  5.750E-02  2.51785E-07  2.11549E-15  7.55454E+01  3.62734E-08  1.0E-07
  6.000E-02  2.74156E-07  2.11547E-15  7.55447E+01  3.78508E-08  1.0E-07
  6.250E-02  2.97478E-07  2.11545E-15  7.55440E+01  3.94283E-08  1.0E-07
  6.500E-02  3.21752E-07  2.11542E-15  7.55432E+01  4.10058E-08  1.0E-07
  6.750E-02  3.46978E-07  2.11540E-15  7.55424E+01  4.25834E-08  1.0E-07
  7.000E-02  3.73156E-07  2.11538E-15  7.55416E+01  4.41611E-08  1.0E-07
  7.250E-02  4.00286E-07  2.11536E-15  7.55407E+01  4.57387E-08  1.0E-07
  7.500E-02  4.28368E-07  2.11533E-15  7.55398E+01  4.73165E-08  1.0E-07
  7.750E-02  4.57402E-07  2.11530E-15  7.55389E+01  4.88943E-08  1.0E-07
  8.000E-02  4.87388E-07  2.11528E-15  7.55379E+01  5.04721E-08  1.0E-07
  8.250E-02  5.18325E-07  2.11525E-15  7.55370E+01  5.20500E-08  1.0E-07
  8.500E-02  5.50215E-07  2.11522E-15  7.55360E+01  5.36280E-08  1.0E-07
  8.750E-02  5.83057E-07  2.11519E-15  7.55349E+01  5.52060E-08  1.0E-07
  9.000E-02  6.16850E-07  2.11516E-15  7.55338E+01  5.67841E-08  1.0E-07
  9.250E-02  6.51596E-07  2.11513E-15  7.55327E+01  5.83622E-08  1.0E-07
  9.500E-02  6.87293E-07  2.11510E-15  7.55316E+01  5.99404E-08  1.0E-07
  9.750E-02  7.23942E-07  2.11507E-15  7.55304E+01  6.15187E-08  1.0E-07
  1.000E-01  7.61543E-07  2.11503E-15  7.55293E+01  6.30971E-08  1.0E-07
  1.250E-01  1.18991E-06  2.11465E-15  7.55157E+01  7.88850E-08  1.0E-07
  1.500E-01  1.71347E-06  2.11419E-15  7.54991E+01  9.46819E-08  1.0E-07
  1.750E-01  2.33223E-06  2.11364E-15  7.54795E+01  1.10490E-07  1.0E-07
  2.000E-01  3.04617E-06  2.11301E-15  7.54569E+01  1.26310E-07  1.0E-07
  2.250E-01  3.85531E-06  2.11229E-15  7.54313E+01  1.42145E-07  1.0E-07
  2.500E-01  4.75964E-06  2.11149E-15  7.54027E+01  1.57997E-07  1.0E-07
  2.750E-01  5.75916E-06  2.11061E-15  7.53711E+01  1.73866E-07  1.0E-07
  3.000E-01  6.85388E-06  2.10964E-15  7.53366E+01  1.89756E-07  1.0E-07
  3.250E-01  8.04378E-06  2.10859E-15  7.52990E+01  2.05667E-07  1.0E-07
  3.500E-01  9.32888E-06  2.10745E-15  7.52585E+01  2.21602E-07  1.0E-07
  3.750E-01  1.07092E-05  2.10623E-15  7.52150E+01  2.37563E-07  1.0E-07
  4.000E-01  1.21846E-05  2.10493E-15  7.51685E+01  2.53550E-07  1.0E-07
  4.250E-01  1.37553E-05  2.10355E-15  7.51191E+01  2.69567E-07  1.0E-07
  4.500E-01  1.54212E-05  2.10208E-15  7.50668E+01  2.85615E-07  1.0E-07
  4.750E-01  1.71822E-05  2.10054E-15  7.50115E+01  3.01696E-07  1.0E-07
  5.000E-01  1.90385E-05  2.09891E-15  7.49533E+01  3.17811E-07  1.0E-07
  5.250E-01  2.09899E-05  2.09720E-15  7.48922E+01  3.33963E-07  1.0E-07
  5.500E-01  2.30365E-05  2.09540E-15  7.48282E+01  3.50153E-07  1.0E-07
  5.750E-01  2.51783E-05  2.09353E-15  7.47613E+01  3.66384E-07  1.0E-07
