 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+01 eV = 3.67493E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.55454E-15 cm**2 = 5.55135E+01 a0**2
 # 1st transport cross section = 1.03128E-15 cm**2 = 3.68275E+01 a0**2
 # 2nd transport cross section = 1.10075E-15 cm**2 = 3.93085E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.04061E-16  1.44293E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.04061E-16  1.44293E+01  4.77118E-10  1.0E-07
  1.250E-04  1.18994E-12  4.04061E-16  1.44293E+01  5.96398E-10  1.0E-07
  1.500E-04  1.71346E-12  4.04061E-16  1.44293E+01  7.15678E-10  1.0E-07
  1.750E-04  2.33225E-12  4.04061E-16  1.44293E+01  8.34957E-10  1.0E-07
  2.000E-04  3.04617E-12  4.04061E-16  1.44293E+01  9.54237E-10  1.0E-07
  2.250E-04  3.85530E-12  4.04061E-16  1.44293E+01  1.07352E-09  1.0E-07
  2.500E-04  4.75964E-12  4.04061E-16  1.44293E+01  1.19280E-09  1.0E-07
  2.750E-04  5.75917E-12  4.04061E-16  1.44293E+01  1.31208E-09  1.0E-07
  3.000E-04  6.85391E-12  4.04061E-16  1.44293E+01  1.43136E-09  1.0E-07
  3.250E-04  8.04379E-12  4.04061E-16  1.44293E+01  1.55063E-09  1.0E-07
  3.500E-04  9.32893E-12  4.04061E-16  1.44293E+01  1.66991E-09  1.0E-07
  3.750E-04  1.07092E-11  4.04061E-16  1.44293E+01  1.78919E-09  1.0E-07
  4.000E-04  1.21847E-11  4.04061E-16  1.44293E+01  1.90847E-09  1.0E-07
  4.250E-04  1.37554E-11  4.04061E-16  1.44293E+01  2.02775E-09  1.0E-07
  4.500E-04  1.54213E-11  4.04061E-16  1.44293E+01  2.14703E-09  1.0E-07
  4.750E-04  1.71823E-11  4.04061E-16  1.44293E+01  2.26631E-09  1.0E-07
  5.000E-04  1.90386E-11  4.04061E-16  1.44293E+01  2.38559E-09  1.0E-07
  5.250E-04  2.09900E-11  4.04061E-16  1.44293E+01  2.50487E-09  1.0E-07
