 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+01 eV = 1.46997E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 5.50406E-16 cm**2 = 1.96554E+01 a0**2
 # 1st transport cross section = 3.74035E-16 cm**2 = 1.33570E+01 a0**2
 # 2nd transport cross section = 2.88495E-16 cm**2 = 1.03023E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.45840E-16  1.23502E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.45840E-16  1.23502E+01  2.13692E-10  1.0E-07
  1.250E-04  1.18994E-12  3.45840E-16  1.23502E+01  2.67115E-10  1.0E-07
  1.500E-04  1.71346E-12  3.45840E-16  1.23502E+01  3.20537E-10  1.0E-07
  1.750E-04  2.33225E-12  3.45840E-16  1.23502E+01  3.73960E-10  1.0E-07
  2.000E-04  3.04617E-12  3.45840E-16  1.23502E+01  4.27383E-10  1.0E-07
  2.250E-04  3.85530E-12  3.45840E-16  1.23502E+01  4.80806E-10  1.0E-07
  2.500E-04  4.75964E-12  3.45840E-16  1.23502E+01  5.34229E-10  1.0E-07
  2.750E-04  5.75917E-12  3.45840E-16  1.23502E+01  5.87652E-10  1.0E-07
  3.000E-04  6.85391E-12  3.45840E-16  1.23502E+01  6.41075E-10  1.0E-07
  3.250E-04  8.04379E-12  3.45840E-16  1.23502E+01  6.94498E-10  1.0E-07
  3.500E-04  9.32893E-12  3.45840E-16  1.23502E+01  7.47921E-10  1.0E-07
  3.750E-04  1.07092E-11  3.45840E-16  1.23502E+01  8.01344E-10  1.0E-07
  4.000E-04  1.21847E-11  3.45840E-16  1.23502E+01  8.54767E-10  1.0E-07
  4.250E-04  1.37554E-11  3.45840E-16  1.23502E+01  9.08189E-10  1.0E-07
  4.500E-04  1.54213E-11  3.45840E-16  1.23502E+01  9.61612E-10  1.0E-07
  4.750E-04  1.71823E-11  3.45840E-16  1.23502E+01  1.01504E-09  1.0E-07
  5.000E-04  1.90386E-11  3.45840E-16  1.23502E+01  1.06846E-09  1.0E-07
  5.250E-04  2.09900E-11  3.45840E-16  1.23502E+01  1.12188E-09  1.0E-07
  5.500E-04  2.30367E-11  3.45840E-16  1.23502E+01  1.17530E-09  1.0E-07
  5.750E-04  2.51785E-11  3.45840E-16  1.23502E+01  1.22873E-09  1.0E-07
  6.000E-04  2.74156E-11  3.45840E-16  1.23502E+01  1.28215E-09  1.0E-07
  6.250E-04  2.97478E-11  3.45840E-16  1.23502E+01  1.33557E-09  1.0E-07
  6.500E-04  3.21752E-11  3.45840E-16  1.23502E+01  1.38900E-09  1.0E-07
  6.750E-04  3.46979E-11  3.45840E-16  1.23502E+01  1.44242E-09  1.0E-07
  7.000E-04  3.73157E-11  3.45840E-16  1.23502E+01  1.49584E-09  1.0E-07
  7.250E-04  4.00286E-11  3.45840E-16  1.23502E+01  1.54926E-09  1.0E-07
  7.500E-04  4.28368E-11  3.45840E-16  1.23502E+01  1.60269E-09  1.0E-07
  7.750E-04  4.57402E-11  3.45840E-16  1.23502E+01  1.65611E-09  1.0E-07
  8.000E-04  4.87388E-11  3.45840E-16  1.23502E+01  1.70953E-09  1.0E-07
  8.250E-04  5.18325E-11  3.45840E-16  1.23502E+01  1.76296E-09  1.0E-07
  8.500E-04  5.50215E-11  3.45840E-16  1.23502E+01  1.81638E-09  1.0E-07
  8.750E-04  5.83057E-11  3.45840E-16  1.23502E+01  1.86980E-09  1.0E-07
  9.000E-04  6.16850E-11  3.45840E-16  1.23502E+01  1.92322E-09  1.0E-07
  9.250E-04  6.51595E-11  3.45840E-16  1.23502E+01  1.97665E-09  1.0E-07
  9.500E-04  6.87293E-11  3.45840E-16  1.23502E+01  2.03007E-09  1.0E-07
  9.750E-04  7.23943E-11  3.45840E-16  1.23502E+01  2.08349E-09  1.0E-07
  1.000E-03  7.61544E-11  3.45840E-16  1.23502E+01  2.13692E-09  1.0E-07
  1.250E-03  1.18991E-10  3.45840E-16  1.23502E+01  2.67115E-09  1.0E-07
  1.500E-03  1.71347E-10  3.45840E-16  1.23502E+01  3.20537E-09  1.0E-07
  1.750E-03  2.33223E-10  3.45840E-16  1.23502E+01  3.73960E-09  1.0E-07
  2.000E-03  3.04617E-10  3.45840E-16  1.23502E+01  4.27383E-09  1.0E-07
  2.250E-03  3.85531E-10  3.45840E-16  1.23502E+01  4.80806E-09  1.0E-07
