 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.78257E-18 cm**2 = 2.77921E-01 a0**2
 # 1st transport cross section = 9.79662E-20 cm**2 = 3.49844E-03 a0**2
 # 2nd transport cross section = 2.38092E-19 cm**2 = 8.50242E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.23646E-16  2.22708E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  6.23646E-16  2.22708E+01  3.99214E-11  1.0E-07
  1.250E-04  1.18994E-12  6.23646E-16  2.22708E+01  4.99017E-11  1.0E-07
  1.500E-04  1.71346E-12  6.23646E-16  2.22708E+01  5.98820E-11  1.0E-07
  1.750E-04  2.33225E-12  6.23646E-16  2.22708E+01  6.98624E-11  1.0E-07
  2.000E-04  3.04617E-12  6.23646E-16  2.22708E+01  7.98427E-11  1.0E-07
  2.250E-04  3.85530E-12  6.23646E-16  2.22708E+01  8.98231E-11  1.0E-07
  2.500E-04  4.75964E-12  6.23646E-16  2.22708E+01  9.98034E-11  1.0E-07
  2.750E-04  5.75917E-12  6.23646E-16  2.22708E+01  1.09784E-10  1.0E-07
  3.000E-04  6.85391E-12  6.23646E-16  2.22708E+01  1.19764E-10  1.0E-07
  3.250E-04  8.04379E-12  6.23646E-16  2.22708E+01  1.29744E-10  1.0E-07
  3.500E-04  9.32893E-12  6.23646E-16  2.22708E+01  1.39725E-10  1.0E-07
  3.750E-04  1.07092E-11  6.23646E-16  2.22708E+01  1.49705E-10  1.0E-07
  4.000E-04  1.21847E-11  6.23646E-16  2.22708E+01  1.59685E-10  1.0E-07
  4.250E-04  1.37554E-11  6.23646E-16  2.22708E+01  1.69666E-10  1.0E-07
  4.500E-04  1.54213E-11  6.23646E-16  2.22708E+01  1.79646E-10  1.0E-07
  4.750E-04  1.71823E-11  6.23646E-16  2.22708E+01  1.89626E-10  1.0E-07
  5.000E-04  1.90386E-11  6.23646E-16  2.22708E+01  1.99607E-10  1.0E-07
  5.250E-04  2.09900E-11  6.23646E-16  2.22708E+01  2.09587E-10  1.0E-07
  5.500E-04  2.30367E-11  6.23646E-16  2.22708E+01  2.19567E-10  1.0E-07
  5.750E-04  2.51785E-11  6.23646E-16  2.22708E+01  2.29548E-10  1.0E-07
  6.000E-04  2.74156E-11  6.23646E-16  2.22708E+01  2.39528E-10  1.0E-07
  6.250E-04  2.97478E-11  6.23646E-16  2.22708E+01  2.49508E-10  1.0E-07
  6.500E-04  3.21752E-11  6.23646E-16  2.22708E+01  2.59489E-10  1.0E-07
  6.750E-04  3.46979E-11  6.23646E-16  2.22708E+01  2.69469E-10  1.0E-07
  7.000E-04  3.73157E-11  6.23646E-16  2.22708E+01  2.79450E-10  1.0E-07
  7.250E-04  4.00286E-11  6.23646E-16  2.22708E+01  2.89430E-10  1.0E-07
  7.500E-04  4.28368E-11  6.23646E-16  2.22708E+01  2.99410E-10  1.0E-07
  7.750E-04  4.57402E-11  6.23646E-16  2.22708E+01  3.09391E-10  1.0E-07
  8.000E-04  4.87388E-11  6.23646E-16  2.22708E+01  3.19371E-10  1.0E-07
  8.250E-04  5.18325E-11  6.23646E-16  2.22708E+01  3.29351E-10  1.0E-07
  8.500E-04  5.50215E-11  6.23646E-16  2.22708E+01  3.39332E-10  1.0E-07
  8.750E-04  5.83057E-11  6.23646E-16  2.22708E+01  3.49312E-10  1.0E-07
  9.000E-04  6.16850E-11  6.23646E-16  2.22708E+01  3.59292E-10  1.0E-07
  9.250E-04  6.51595E-11  6.23646E-16  2.22708E+01  3.69273E-10  1.0E-07
  9.500E-04  6.87293E-11  6.23646E-16  2.22708E+01  3.79253E-10  1.0E-07
  9.750E-04  7.23943E-11  6.23646E-16  2.22708E+01  3.89233E-10  1.0E-07
  1.000E-03  7.61544E-11  6.23646E-16  2.22708E+01  3.99214E-10  1.0E-07
  1.250E-03  1.18991E-10  6.23646E-16  2.22708E+01  4.99017E-10  1.0E-07
  1.500E-03  1.71347E-10  6.23646E-16  2.22708E+01  5.98820E-10  1.0E-07
  1.750E-03  2.33223E-10  6.23646E-16  2.22708E+01  6.98624E-10  1.0E-07
  2.000E-03  3.04617E-10  6.23646E-16  2.22708E+01  7.98427E-10  1.0E-07
  2.250E-03  3.85531E-10  6.23645E-16  2.22708E+01  8.98231E-10  1.0E-07
  2.500E-03  4.75965E-10  6.23645E-16  2.22708E+01  9.98034E-10  1.0E-07
  2.750E-03  5.75917E-10  6.23645E-16  2.22708E+01  1.09784E-09  1.0E-07
  3.000E-03  6.85389E-10  6.23645E-16  2.22708E+01  1.19764E-09  1.0E-07
  3.250E-03  8.04380E-10  6.23645E-16  2.22708E+01  1.29744E-09  1.0E-07
  3.500E-03  9.32891E-10  6.23645E-16  2.22708E+01  1.39725E-09  1.0E-07
  3.750E-03  1.07092E-09  6.23645E-16  2.22708E+01  1.49705E-09  1.0E-07
  4.000E-03  1.21847E-09  6.23645E-16  2.22707E+01  1.59686E-09  1.0E-07
  4.250E-03  1.37554E-09  6.23644E-16  2.22707E+01  1.69666E-09  1.0E-07
  4.500E-03  1.54213E-09  6.23644E-16  2.22707E+01  1.79646E-09  1.0E-07
  4.750E-03  1.71823E-09  6.23644E-16  2.22707E+01  1.89627E-09  1.0E-07
  5.000E-03  1.90386E-09  6.23644E-16  2.22707E+01  1.99607E-09  1.0E-07
  5.250E-03  2.09900E-09  6.23644E-16  2.22707E+01  2.09587E-09  1.0E-07
  5.500E-03  2.30367E-09  6.23643E-16  2.22707E+01  2.19568E-09  1.0E-07
  5.750E-03  2.51785E-09  6.23643E-16  2.22707E+01  2.29548E-09  1.0E-07
  6.000E-03  2.74156E-09  6.23643E-16  2.22707E+01  2.39529E-09  1.0E-07
  6.250E-03  2.97478E-09  6.23643E-16  2.22707E+01  2.49509E-09  1.0E-07
  6.500E-03  3.21752E-09  6.23642E-16  2.22707E+01  2.59489E-09  1.0E-07
  6.750E-03  3.46978E-09  6.23642E-16  2.22707E+01  2.69470E-09  1.0E-07
  7.000E-03  3.73156E-09  6.23642E-16  2.22706E+01  2.79450E-09  1.0E-07
  7.250E-03  4.00286E-09  6.23641E-16  2.22706E+01  2.89430E-09  1.0E-07
  7.500E-03  4.28368E-09  6.23641E-16  2.22706E+01  2.99411E-09  1.0E-07
  7.750E-03  4.57402E-09  6.23641E-16  2.22706E+01  3.09391E-09  1.0E-07
  8.000E-03  4.87388E-09  6.23640E-16  2.22706E+01  3.19372E-09  1.0E-07
  8.250E-03  5.18326E-09  6.23640E-16  2.22706E+01  3.29352E-09  1.0E-07
  8.500E-03  5.50215E-09  6.23640E-16  2.22706E+01  3.39333E-09  1.0E-07
  8.750E-03  5.83057E-09  6.23639E-16  2.22706E+01  3.49313E-09  1.0E-07
  9.000E-03  6.16850E-09  6.23639E-16  2.22706E+01  3.59293E-09  1.0E-07
  9.250E-03  6.51596E-09  6.23639E-16  2.22705E+01  3.69274E-09  1.0E-07
  9.500E-03  6.87293E-09  6.23638E-16  2.22705E+01  3.79254E-09  1.0E-07
  9.750E-03  7.23942E-09  6.23638E-16  2.22705E+01  3.89235E-09  1.0E-07
  1.000E-02  7.61544E-09  6.23637E-16  2.22705E+01  3.99215E-09  1.0E-07
  1.250E-02  1.18991E-08  6.23632E-16  2.22703E+01  4.99020E-09  1.0E-07
  1.500E-02  1.71347E-08  6.23627E-16  2.22701E+01  5.98826E-09  1.0E-07
  1.750E-02  2.33223E-08  6.23620E-16  2.22699E+01  6.98633E-09  1.0E-07
  2.000E-02  3.04617E-08  6.23612E-16  2.22696E+01  7.98441E-09  1.0E-07
  2.250E-02  3.85531E-08  6.23603E-16  2.22692E+01  8.98250E-09  1.0E-07
  2.500E-02  4.75965E-08  6.23592E-16  2.22689E+01  9.98061E-09  1.0E-07
  2.750E-02  5.75917E-08  6.23581E-16  2.22685E+01  1.09787E-08  1.0E-07
  3.000E-02  6.85389E-08  6.23569E-16  2.22680E+01  1.19769E-08  1.0E-07
  3.250E-02  8.04380E-08  6.23555E-16  2.22676E+01  1.29750E-08  1.0E-07
  3.500E-02  9.32891E-08  6.23541E-16  2.22671E+01  1.39732E-08  1.0E-07
  3.750E-02  1.07092E-07  6.23525E-16  2.22665E+01  1.49714E-08  1.0E-07
  4.000E-02  1.21847E-07  6.23509E-16  2.22659E+01  1.59696E-08  1.0E-07
  4.250E-02  1.37554E-07  6.23491E-16  2.22653E+01  1.69679E-08  1.0E-07
  4.500E-02  1.54213E-07  6.23472E-16  2.22646E+01  1.79662E-08  1.0E-07
  4.750E-02  1.71823E-07  6.23453E-16  2.22639E+01  1.89645E-08  1.0E-07
  5.000E-02  1.90386E-07  6.23432E-16  2.22632E+01  1.99628E-08  1.0E-07
  5.250E-02  2.09900E-07  6.23410E-16  2.22624E+01  2.09612E-08  1.0E-07
  5.500E-02  2.30367E-07  6.23387E-16  2.22615E+01  2.19596E-08  1.0E-07
  5.750E-02  2.51785E-07  6.23363E-16  2.22607E+01  2.29581E-08  1.0E-07
  6.000E-02  2.74156E-07  6.23338E-16  2.22598E+01  2.39565E-08  1.0E-07
  6.250E-02  2.97478E-07  6.23311E-16  2.22589E+01  2.49551E-08  1.0E-07
  6.500E-02  3.21752E-07  6.23284E-16  2.22579E+01  2.59536E-08  1.0E-07
  6.750E-02  3.46978E-07  6.23256E-16  2.22569E+01  2.69522E-08  1.0E-07
  7.000E-02  3.73156E-07  6.23226E-16  2.22558E+01  2.79509E-08  1.0E-07
  7.250E-02  4.00286E-07  6.23196E-16  2.22547E+01  2.89495E-08  1.0E-07
  7.500E-02  4.28368E-07  6.23164E-16  2.22536E+01  2.99483E-08  1.0E-07
  7.750E-02  4.57402E-07  6.23132E-16  2.22524E+01  3.09471E-08  1.0E-07
  8.000E-02  4.87388E-07  6.23098E-16  2.22512E+01  3.19459E-08  1.0E-07
  8.250E-02  5.18325E-07  6.23063E-16  2.22500E+01  3.29448E-08  1.0E-07
  8.500E-02  5.50215E-07  6.23027E-16  2.22487E+01  3.39437E-08  1.0E-07
  8.750E-02  5.83057E-07  6.22990E-16  2.22474E+01  3.49427E-08  1.0E-07
  9.000E-02  6.16850E-07  6.22952E-16  2.22460E+01  3.59418E-08  1.0E-07
  9.250E-02  6.51596E-07  6.22913E-16  2.22446E+01  3.69409E-08  1.0E-07
  9.500E-02  6.87293E-07  6.22873E-16  2.22432E+01  3.79400E-08  1.0E-07
  9.750E-02  7.23942E-07  6.22832E-16  2.22417E+01  3.89393E-08  1.0E-07
  1.000E-01  7.61543E-07  6.22790E-16  2.22402E+01  3.99386E-08  1.0E-07
  1.250E-01  1.18991E-06  6.22309E-16  2.22231E+01  4.99353E-08  1.0E-07
  1.500E-01  1.71347E-06  6.21722E-16  2.22021E+01  5.99401E-08  1.0E-07
  1.750E-01  2.33223E-06  6.21030E-16  2.21774E+01  6.99546E-08  1.0E-07
  2.000E-01  3.04617E-06  6.20232E-16  2.21489E+01  7.99803E-08  1.0E-07
  2.250E-01  3.85531E-06  6.19329E-16  2.21166E+01  9.00190E-08  1.0E-07
  2.500E-01  4.75964E-06  6.18323E-16  2.20807E+01  1.00072E-07  1.0E-07
  2.750E-01  5.75916E-06  6.17213E-16  2.20411E+01  1.10141E-07  1.0E-07
  3.000E-01  6.85388E-06  6.16001E-16  2.19978E+01  1.20228E-07  1.0E-07
  3.250E-01  8.04378E-06  6.14687E-16  2.19509E+01  1.30334E-07  1.0E-07
  3.500E-01  9.32888E-06  6.13273E-16  2.19004E+01  1.40461E-07  1.0E-07
  3.750E-01  1.07092E-05  6.11759E-16  2.18463E+01  1.50610E-07  1.0E-07
  4.000E-01  1.21846E-05  6.10147E-16  2.17887E+01  1.60783E-07  1.0E-07
  4.250E-01  1.37553E-05  6.08437E-16  2.17277E+01  1.70982E-07  1.0E-07
  4.500E-01  1.54212E-05  6.06630E-16  2.16632E+01  1.81208E-07  1.0E-07
  4.750E-01  1.71822E-05  6.04729E-16  2.15953E+01  1.91462E-07  1.0E-07
  5.000E-01  1.90385E-05  6.02734E-16  2.15240E+01  2.01747E-07  1.0E-07
  5.250E-01  2.09899E-05  6.00647E-16  2.14495E+01  2.12063E-07  1.0E-07
  5.500E-01  2.30365E-05  5.98469E-16  2.13717E+01  2.22412E-07  1.0E-07
  5.750E-01  2.51783E-05  5.96202E-16  2.12908E+01  2.32796E-07  1.0E-07
  6.000E-01  2.74153E-05  5.93847E-16  2.12067E+01  2.43216E-07  1.0E-07
  6.250E-01  2.97475E-05  5.91406E-16  2.11195E+01  2.53674E-07  1.0E-07
  6.500E-01  3.21749E-05  5.88880E-16  2.10293E+01  2.64171E-07  1.0E-07
  6.750E-01  3.46974E-05  5.86271E-16  2.09361E+01  2.74708E-07  1.0E-07
  7.000E-01  3.73152E-05  5.83581E-16  2.08401E+01  2.85288E-07  1.0E-07
  7.250E-01  4.00281E-05  5.80812E-16  2.07412E+01  2.95911E-07  1.0E-07
  7.500E-01  4.28362E-05  5.77965E-16  2.06395E+01  3.06579E-07  1.0E-07
  7.750E-01  4.57395E-05  5.75043E-16  2.05351E+01  3.17293E-07  1.0E-07
  8.000E-01  4.87380E-05  5.72046E-16  2.04281E+01  3.28054E-07  1.0E-07
  8.250E-01  5.18317E-05  5.68977E-16  2.03185E+01  3.38865E-07  1.0E-07
  8.500E-01  5.50205E-05  5.65838E-16  2.02065E+01  3.49727E-07  1.0E-07
  8.750E-01  5.83045E-05  5.62632E-16  2.00919E+01  3.60640E-07  1.0E-07
  9.000E-01  6.16838E-05  5.59359E-16  1.99751E+01  3.71606E-07  1.0E-07
  9.250E-01  6.51582E-05  5.56021E-16  1.98559E+01  3.82626E-07  1.0E-07
  9.500E-01  6.87277E-05  5.52622E-16  1.97345E+01  3.93702E-07  1.0E-07
  9.750E-01  7.23925E-05  5.49162E-16  1.96109E+01  4.04835E-07  1.0E-07
  1.000E+00  7.61524E-05  5.45645E-16  1.94853E+01  4.16026E-07  1.0E-07
  1.100E+00  9.21439E-05  5.31035E-16  1.89636E+01  4.61398E-07  1.0E-07
  1.200E+00  1.09658E-04  5.15660E-16  1.84145E+01  5.07795E-07  1.0E-07
  1.300E+00  1.28695E-04  4.99653E-16  1.78429E+01  5.55288E-07  1.0E-07
  1.400E+00  1.49255E-04  4.83143E-16  1.72533E+01  6.03942E-07  1.0E-07
  1.500E+00  1.71338E-04  4.66256E-16  1.66503E+01  6.53814E-07  1.0E-07
  1.600E+00  1.94942E-04  4.49112E-16  1.60381E+01  7.04955E-07  1.0E-07
  1.700E+00  2.20070E-04  4.31825E-16  1.54208E+01  7.57407E-07  1.0E-07
  1.800E+00  2.46720E-04  4.14500E-16  1.48021E+01  8.11208E-07  1.0E-07
  1.900E+00  2.74892E-04  3.97233E-16  1.41855E+01  8.66384E-07  1.0E-07
  2.000E+00  3.04586E-04  3.80112E-16  1.35741E+01  9.22956E-07  1.0E-07
  2.100E+00  3.35803E-04  3.63215E-16  1.29707E+01  9.80933E-07  1.0E-07
  2.200E+00  3.68542E-04  3.46611E-16  1.23777E+01  1.04032E-06  1.0E-07
  2.300E+00  4.02802E-04  3.30359E-16  1.17973E+01  1.10110E-06  1.0E-07
  2.400E+00  4.38585E-04  3.14510E-16  1.12314E+01  1.16326E-06  1.0E-07
  2.500E+00  4.75889E-04  2.99105E-16  1.06812E+01  1.22678E-06  1.0E-07
  2.600E+00  5.14715E-04  2.84178E-16  1.01482E+01  1.29161E-06  1.0E-07
  2.700E+00  5.55063E-04  2.69756E-16  9.63315E+00  1.35770E-06  1.0E-07
  2.800E+00  5.96931E-04  2.55858E-16  9.13684E+00  1.42499E-06  1.0E-07
  2.900E+00  6.40321E-04  2.42497E-16  8.65972E+00  1.49342E-06  1.0E-07
  3.000E+00  6.85233E-04  2.29682E-16  8.20208E+00  1.56289E-06  1.0E-07
  3.100E+00  7.31665E-04  2.17415E-16  7.76402E+00  1.63332E-06  1.0E-07
  3.200E+00  7.79618E-04  2.05695E-16  7.34549E+00  1.70459E-06  1.0E-07
  3.300E+00  8.29092E-04  1.94517E-16  6.94632E+00  1.77659E-06  1.0E-07
  3.400E+00  8.80086E-04  1.83873E-16  6.56621E+00  1.84919E-06  1.0E-07
  3.500E+00  9.32601E-04  1.73751E-16  6.20477E+00  1.92225E-06  1.0E-07
  3.600E+00  9.86636E-04  1.64140E-16  5.86155E+00  1.99562E-06  1.0E-07
  3.700E+00  1.04219E-03  1.55024E-16  5.53601E+00  2.06914E-06  1.0E-07
  3.800E+00  1.09927E-03  1.46388E-16  5.22759E+00  2.14263E-06  1.0E-07
  3.900E+00  1.15786E-03  1.38213E-16  4.93568E+00  2.21592E-06  1.0E-07
  4.000E+00  1.21797E-03  1.30483E-16  4.65964E+00  2.28880E-06  1.0E-07
  4.100E+00  1.27961E-03  1.23179E-16  4.39881E+00  2.36107E-06  1.0E-07
  4.200E+00  1.34276E-03  1.16283E-16  4.15254E+00  2.43252E-06  1.0E-07
  4.300E+00  1.40743E-03  1.09776E-16  3.92016E+00  2.50293E-06  1.0E-07
  4.400E+00  1.47362E-03  1.03639E-16  3.70102E+00  2.57206E-06  1.0E-07
  4.500E+00  1.54133E-03  9.78548E-17  3.49446E+00  2.63967E-06  1.0E-07
  4.600E+00  1.61056E-03  9.24050E-17  3.29984E+00  2.70552E-06  1.0E-07
  4.700E+00  1.68131E-03  8.72723E-17  3.11655E+00  2.76935E-06  1.0E-07
  4.800E+00  1.75357E-03  8.24397E-17  2.94398E+00  2.83089E-06  1.0E-07
  4.900E+00  1.82735E-03  7.78909E-17  2.78153E+00  2.88989E-06  1.0E-07
  5.000E+00  1.90265E-03  7.36101E-17  2.62866E+00  2.94607E-06  1.0E-07
  5.100E+00  1.97947E-03  6.95822E-17  2.48483E+00  2.99916E-06  1.0E-07
  5.200E+00  2.05780E-03  6.57927E-17  2.34950E+00  3.04887E-06  1.0E-07
  5.300E+00  2.13765E-03  6.22278E-17  2.22220E+00  3.09492E-06  1.0E-07
  5.400E+00  2.21902E-03  5.88743E-17  2.10244E+00  3.13702E-06  1.0E-07
  5.500E+00  2.30190E-03  5.57198E-17  1.98979E+00  3.17490E-06  1.0E-07
  5.600E+00  2.38630E-03  5.27522E-17  1.88381E+00  3.20825E-06  1.0E-07
  5.700E+00  2.47222E-03  4.99604E-17  1.78412E+00  3.23678E-06  1.0E-07
  5.800E+00  2.55965E-03  4.73337E-17  1.69032E+00  3.26022E-06  1.0E-07
  5.900E+00  2.64859E-03  4.48621E-17  1.60205E+00  3.27827E-06  1.0E-07
  6.000E+00  2.73905E-03  4.25360E-17  1.51899E+00  3.29065E-06  1.0E-07
  6.100E+00  2.83103E-03  4.03467E-17  1.44081E+00  3.29706E-06  1.0E-07
  6.200E+00  2.92452E-03  3.82855E-17  1.36720E+00  3.29724E-06  1.0E-07
  6.300E+00  3.01952E-03  3.63447E-17  1.29789E+00  3.29090E-06  1.0E-07
  6.400E+00  3.11604E-03  3.45167E-17  1.23262E+00  3.27777E-06  1.0E-07
  6.500E+00  3.21407E-03  3.27947E-17  1.17112E+00  3.25757E-06  1.0E-07
  6.600E+00  3.31362E-03  3.11720E-17  1.11317E+00  3.23006E-06  1.0E-07
  6.700E+00  3.41468E-03  2.96425E-17  1.05855E+00  3.19496E-06  1.0E-07
  6.800E+00  3.51725E-03  2.82004E-17  1.00705E+00  3.15202E-06  1.0E-07
  6.900E+00  3.62133E-03  2.68403E-17  9.58484E-01  3.10100E-06  1.0E-07
  7.000E+00  3.72692E-03  2.55571E-17  9.12662E-01  3.04166E-06  1.0E-07
  7.100E+00  3.83403E-03  2.43462E-17  8.69417E-01  2.97376E-06  1.0E-07
  7.200E+00  3.94265E-03  2.32030E-17  8.28592E-01  2.89708E-06  1.0E-07
  7.300E+00  4.05278E-03  2.21233E-17  7.90038E-01  2.81140E-06  1.0E-07
  7.400E+00  4.16442E-03  2.11034E-17  7.53615E-01  2.71650E-06  1.0E-07
  7.500E+00  4.27757E-03  2.01395E-17  7.19194E-01  2.61219E-06  1.0E-07
  7.600E+00  4.39223E-03  1.92282E-17  6.86651E-01  2.49826E-06  1.0E-07
  7.700E+00  4.50840E-03  1.83663E-17  6.55874E-01  2.37453E-06  1.0E-07
  7.800E+00  4.62608E-03  1.75509E-17  6.26755E-01  2.24082E-06  1.0E-07
  7.900E+00  4.74527E-03  1.67791E-17  5.99194E-01  2.09695E-06  1.0E-07
  8.000E+00  4.86597E-03  1.60484E-17  5.73099E-01  1.94276E-06  1.0E-07
  8.100E+00  4.98817E-03  1.53562E-17  5.48380E-01  1.77810E-06  1.0E-07
  8.200E+00  5.11188E-03  1.47003E-17  5.24957E-01  1.60282E-06  1.0E-07
  8.300E+00  5.23711E-03  1.40785E-17  5.02752E-01  1.41676E-06  1.0E-07
  8.400E+00  5.36383E-03  1.34888E-17  4.81694E-01  1.21981E-06  1.0E-07
  8.500E+00  5.49207E-03  1.29293E-17  4.61715E-01  0.00000E+00  1.0E-07
  8.600E+00  5.62181E-03  1.23983E-17  4.42753E-01  0.00000E+00  1.0E-07
  8.700E+00  5.75306E-03  1.18942E-17  4.24748E-01  0.00000E+00  1.0E-07
  8.800E+00  5.88581E-03  1.14152E-17  4.07645E-01  0.00000E+00  1.0E-07
  8.900E+00  6.02007E-03  1.09601E-17  3.91393E-01  0.00000E+00  1.0E-07
  9.000E+00  6.15583E-03  1.05275E-17  3.75942E-01  0.00000E+00  1.0E-07
