 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.58624E-08  1.72484E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  2.58624E-08  1.72484E-09  1.05487E-15  7.06291E-17
  1.250E-04  1.18994E-12  2.58624E-08  1.72484E-09  1.31859E-15  8.82864E-17
  1.500E-04  1.71346E-12  2.58624E-08  1.72484E-09  1.58231E-15  1.05944E-16
  1.750E-04  2.33225E-12  2.58624E-08  1.72484E-09  1.84602E-15  1.23601E-16
  2.000E-04  3.04617E-12  2.58624E-08  1.72484E-09  2.10974E-15  1.41258E-16
  2.250E-04  3.85530E-12  2.58624E-08  1.72484E-09  2.37346E-15  1.58915E-16
  2.500E-04  4.75964E-12  2.58624E-08  1.72484E-09  2.63718E-15  1.76573E-16
  2.750E-04  5.75917E-12  2.58624E-08  1.72484E-09  2.90089E-15  1.94230E-16
  3.000E-04  6.85391E-12  2.58624E-08  1.72484E-09  3.16461E-15  2.11887E-16
  3.250E-04  8.04379E-12  2.58624E-08  1.72484E-09  3.42833E-15  2.29545E-16
  3.500E-04  9.32893E-12  2.58624E-08  1.72484E-09  3.69205E-15  2.47202E-16
  3.750E-04  1.07092E-11  2.58624E-08  1.72484E-09  3.95576E-15  2.64859E-16
  4.000E-04  1.21847E-11  2.58624E-08  1.72484E-09  4.21948E-15  2.82516E-16
  4.250E-04  1.37554E-11  2.58624E-08  1.72484E-09  4.48320E-15  3.00174E-16
  4.500E-04  1.54213E-11  2.58624E-08  1.72484E-09  4.74692E-15  3.17831E-16
  4.750E-04  1.71823E-11  2.58624E-08  1.72484E-09  5.01063E-15  3.35488E-16
  5.000E-04  1.90386E-11  2.58624E-08  1.72484E-09  5.27435E-15  3.53145E-16
  5.250E-04  2.09900E-11  2.58624E-08  1.72484E-09  5.53807E-15  3.70803E-16
  5.500E-04  2.30367E-11  2.58624E-08  1.72484E-09  5.80179E-15  3.88460E-16
  5.750E-04  2.51785E-11  2.58624E-08  1.72484E-09  6.06550E-15  4.06117E-16
  6.000E-04  2.74156E-11  2.58624E-08  1.72484E-09  6.32922E-15  4.23774E-16
  6.250E-04  2.97478E-11  2.58624E-08  1.72484E-09  6.59294E-15  4.41432E-16
  6.500E-04  3.21752E-11  2.58624E-08  1.72484E-09  6.85666E-15  4.59089E-16
  6.750E-04  3.46979E-11  2.58624E-08  1.72484E-09  7.12038E-15  4.76746E-16
  7.000E-04  3.73157E-11  2.58624E-08  1.72484E-09  7.38409E-15  4.94404E-16
  7.250E-04  4.00286E-11  2.58624E-08  1.72484E-09  7.64781E-15  5.12061E-16
  7.500E-04  4.28368E-11  2.58624E-08  1.72484E-09  7.91153E-15  5.29718E-16
  7.750E-04  4.57402E-11  2.58624E-08  1.72484E-09  8.17525E-15  5.47375E-16
  8.000E-04  4.87388E-11  2.58624E-08  1.72484E-09  8.43896E-15  5.65033E-16
  8.250E-04  5.18325E-11  2.58624E-08  1.72484E-09  8.70268E-15  5.82690E-16
  8.500E-04  5.50215E-11  2.58624E-08  1.72484E-09  8.96640E-15  6.00347E-16
  8.750E-04  5.83057E-11  2.58624E-08  1.72484E-09  9.23012E-15  6.18004E-16
  9.000E-04  6.16850E-11  2.58624E-08  1.72484E-09  9.49383E-15  6.35662E-16
  9.250E-04  6.51595E-11  2.58624E-08  1.72484E-09  9.75755E-15  6.53319E-16
  9.500E-04  6.87293E-11  2.58624E-08  1.72484E-09  1.00213E-14  6.70976E-16
  9.750E-04  7.23943E-11  2.58624E-08  1.72484E-09  1.02850E-14  6.88634E-16
  1.000E-03  7.61544E-11  2.58624E-08  1.72484E-09  1.05487E-14  7.06291E-16
  1.250E-03  1.18991E-10  2.58624E-08  1.72484E-09  1.31859E-14  8.82863E-16
  1.500E-03  1.71347E-10  2.58624E-08  1.72484E-09  1.58230E-14  1.05944E-15
  1.750E-03  2.33223E-10  2.58624E-08  1.72484E-09  1.84602E-14  1.23601E-15
  2.000E-03  3.04617E-10  2.58624E-08  1.72484E-09  2.10974E-14  1.41258E-15
  2.250E-03  3.85531E-10  2.58624E-08  1.72484E-09  2.37346E-14  1.58915E-15
  2.500E-03  4.75965E-10  2.58623E-08  1.72484E-09  2.63717E-14  1.76573E-15
  2.750E-03  5.75917E-10  2.58623E-08  1.72484E-09  2.90089E-14  1.94230E-15
  3.000E-03  6.85389E-10  2.58623E-08  1.72484E-09  3.16461E-14  2.11887E-15
  3.250E-03  8.04380E-10  2.58623E-08  1.72484E-09  3.42832E-14  2.29544E-15
  3.500E-03  9.32891E-10  2.58623E-08  1.72484E-09  3.69204E-14  2.47202E-15
  3.750E-03  1.07092E-09  2.58623E-08  1.72484E-09  3.95575E-14  2.64859E-15
  4.000E-03  1.21847E-09  2.58623E-08  1.72484E-09  4.21947E-14  2.82516E-15
  4.250E-03  1.37554E-09  2.58623E-08  1.72484E-09  4.48318E-14  3.00173E-15
  4.500E-03  1.54213E-09  2.58623E-08  1.72484E-09  4.74690E-14  3.17831E-15
  4.750E-03  1.71823E-09  2.58623E-08  1.72484E-09  5.01061E-14  3.35488E-15
  5.000E-03  1.90386E-09  2.58622E-08  1.72484E-09  5.27432E-14  3.53145E-15
  5.250E-03  2.09900E-09  2.58622E-08  1.72484E-09  5.53804E-14  3.70802E-15
  5.500E-03  2.30367E-09  2.58622E-08  1.72484E-09  5.80175E-14  3.88459E-15
  5.750E-03  2.51785E-09  2.58622E-08  1.72484E-09  6.06546E-14  4.06117E-15
  6.000E-03  2.74156E-09  2.58622E-08  1.72484E-09  6.32917E-14  4.23774E-15
  6.250E-03  2.97478E-09  2.58622E-08  1.72484E-09  6.59288E-14  4.41431E-15
  6.500E-03  3.21752E-09  2.58621E-08  1.72484E-09  6.85660E-14  4.59088E-15
  6.750E-03  3.46978E-09  2.58621E-08  1.72484E-09  7.12031E-14  4.76745E-15
  7.000E-03  3.73156E-09  2.58621E-08  1.72484E-09  7.38401E-14  4.94403E-15
  7.250E-03  4.00286E-09  2.58621E-08  1.72484E-09  7.64772E-14  5.12060E-15
  7.500E-03  4.28368E-09  2.58621E-08  1.72484E-09  7.91143E-14  5.29717E-15
  7.750E-03  4.57402E-09  2.58620E-08  1.72484E-09  8.17514E-14  5.47374E-15
  8.000E-03  4.87388E-09  2.58620E-08  1.72484E-09  8.43885E-14  5.65031E-15
  8.250E-03  5.18326E-09  2.58620E-08  1.72484E-09  8.70255E-14  5.82688E-15
  8.500E-03  5.50215E-09  2.58620E-08  1.72484E-09  8.96626E-14  6.00345E-15
  8.750E-03  5.83057E-09  2.58619E-08  1.72484E-09  9.22996E-14  6.18002E-15
  9.000E-03  6.16850E-09  2.58619E-08  1.72484E-09  9.49367E-14  6.35660E-15
  9.250E-03  6.51596E-09  2.58619E-08  1.72483E-09  9.75737E-14  6.53317E-15
  9.500E-03  6.87293E-09  2.58619E-08  1.72483E-09  1.00211E-13  6.70974E-15
  9.750E-03  7.23942E-09  2.58618E-08  1.72483E-09  1.02848E-13  6.88631E-15
  1.000E-02  7.61544E-09  2.58618E-08  1.72483E-09  1.05485E-13  7.06288E-15
  1.250E-02  1.18991E-08  2.58615E-08  1.72483E-09  1.31854E-13  8.82858E-15
  1.500E-02  1.71347E-08  2.58611E-08  1.72482E-09  1.58223E-13  1.05943E-14
  1.750E-02  2.33223E-08  2.58607E-08  1.72482E-09  1.84590E-13  1.23599E-14
  2.000E-02  3.04617E-08  2.58601E-08  1.72481E-09  2.10956E-13  1.41256E-14
  2.250E-02  3.85531E-08  2.58595E-08  1.72480E-09  2.37320E-13  1.58912E-14
  2.500E-02  4.75965E-08  2.58589E-08  1.72480E-09  2.63682E-13  1.76568E-14
  2.750E-02  5.75917E-08  2.58581E-08  1.72479E-09  2.90042E-13  1.94224E-14
  3.000E-02  6.85389E-08  2.58573E-08  1.72477E-09  3.16399E-13  2.11879E-14
  3.250E-02  8.04380E-08  2.58564E-08  1.72476E-09  3.42754E-13  2.29534E-14
  3.500E-02  9.32891E-08  2.58555E-08  1.72475E-09  3.69106E-13  2.47189E-14
  3.750E-02  1.07092E-07  2.58544E-08  1.72474E-09  3.95455E-13  2.64843E-14
  4.000E-02  1.21847E-07  2.58534E-08  1.72472E-09  4.21801E-13  2.82497E-14
  4.250E-02  1.37554E-07  2.58522E-08  1.72471E-09  4.48144E-13  3.00151E-14
  4.500E-02  1.54213E-07  2.58510E-08  1.72469E-09  4.74482E-13  3.17803E-14
  4.750E-02  1.71823E-07  2.58497E-08  1.72467E-09  5.00817E-13  3.35456E-14
  5.000E-02  1.90386E-07  2.58483E-08  1.72466E-09  5.27148E-13  3.53108E-14
  5.250E-02  2.09900E-07  2.58468E-08  1.72464E-09  5.53475E-13  3.70759E-14
  5.500E-02  2.30367E-07  2.58453E-08  1.72462E-09  5.79797E-13  3.88410E-14
  5.750E-02  2.51785E-07  2.58437E-08  1.72460E-09  6.06114E-13  4.06060E-14
  6.000E-02  2.74156E-07  2.58421E-08  1.72458E-09  6.32426E-13  4.23710E-14
  6.250E-02  2.97478E-07  2.58404E-08  1.72455E-09  6.58734E-13  4.41358E-14
  6.500E-02  3.21752E-07  2.58386E-08  1.72453E-09  6.85035E-13  4.59006E-14
  6.750E-02  3.46978E-07  2.58367E-08  1.72451E-09  7.11332E-13  4.76654E-14
  7.000E-02  3.73156E-07  2.58348E-08  1.72448E-09  7.37622E-13  4.94300E-14
  7.250E-02  4.00286E-07  2.58328E-08  1.72445E-09  7.63906E-13  5.11946E-14
  7.500E-02  4.28368E-07  2.58307E-08  1.72443E-09  7.90185E-13  5.29591E-14
  7.750E-02  4.57402E-07  2.58285E-08  1.72440E-09  8.16456E-13  5.47235E-14
  8.000E-02  4.87388E-07  2.58263E-08  1.72437E-09  8.42722E-13  5.64879E-14
  8.250E-02  5.18325E-07  2.58240E-08  1.72434E-09  8.68980E-13  5.82521E-14
  8.500E-02  5.50215E-07  2.58217E-08  1.72431E-09  8.95231E-13  6.00163E-14
  8.750E-02  5.83057E-07  2.58192E-08  1.72428E-09  9.21475E-13  6.17803E-14
  9.000E-02  6.16850E-07  2.58168E-08  1.72424E-09  9.47711E-13  6.35443E-14
  9.250E-02  6.51596E-07  2.58142E-08  1.72421E-09  9.73940E-13  6.53081E-14
  9.500E-02  6.87293E-07  2.58115E-08  1.72418E-09  1.00016E-12  6.70719E-14
  9.750E-02  7.23942E-07  2.58088E-08  1.72414E-09  1.02637E-12  6.88355E-14
  1.000E-01  7.61543E-07  2.58061E-08  1.72410E-09  1.05258E-12  7.05990E-14
  1.250E-01  1.18991E-06  2.57745E-08  1.72369E-09  1.31411E-12  8.82276E-14
  1.500E-01  1.71347E-06  2.57360E-08  1.72318E-09  1.57459E-12  1.05842E-13
  1.750E-01  2.33223E-06  2.56906E-08  1.72258E-09  1.83378E-12  1.23440E-13
  2.000E-01  3.04617E-06  2.56385E-08  1.72189E-09  2.09151E-12  1.41018E-13
  2.250E-01  3.85531E-06  2.55796E-08  1.72111E-09  2.34755E-12  1.58574E-13
  2.500E-01  4.75964E-06  2.55141E-08  1.72024E-09  2.60172E-12  1.76104E-13
  2.750E-01  5.75916E-06  2.54420E-08  1.71928E-09  2.85382E-12  1.93607E-13
  3.000E-01  6.85388E-06  2.53635E-08  1.71823E-09  3.10367E-12  2.11078E-13
  3.250E-01  8.04378E-06  2.52787E-08  1.71708E-09  3.35108E-12  2.28517E-13
