 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.10000E+04 eV = 4.04243E+02 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 6.42442E-18 cm**2 = 2.29420E-01 a0**2
 # 1st transport cross section = 9.36497E-20 cm**2 = 3.34429E-03 a0**2
 # 2nd transport cross section = 2.28094E-19 cm**2 = 8.14539E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.02209E-16  1.43631E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.02209E-16  1.43631E+01  9.28538E-11  1.0E-07
  1.250E-04  1.18994E-12  4.02209E-16  1.43631E+01  1.16067E-10  1.0E-07
  1.500E-04  1.71346E-12  4.02209E-16  1.43631E+01  1.39281E-10  1.0E-07
  1.750E-04  2.33225E-12  4.02209E-16  1.43631E+01  1.62494E-10  1.0E-07
  2.000E-04  3.04617E-12  4.02209E-16  1.43631E+01  1.85708E-10  1.0E-07
  2.250E-04  3.85530E-12  4.02209E-16  1.43631E+01  2.08921E-10  1.0E-07
  2.500E-04  4.75964E-12  4.02209E-16  1.43631E+01  2.32134E-10  1.0E-07
  2.750E-04  5.75917E-12  4.02209E-16  1.43631E+01  2.55348E-10  1.0E-07
  3.000E-04  6.85391E-12  4.02209E-16  1.43631E+01  2.78561E-10  1.0E-07
  3.250E-04  8.04379E-12  4.02209E-16  1.43631E+01  3.01775E-10  1.0E-07
  3.500E-04  9.32893E-12  4.02209E-16  1.43631E+01  3.24988E-10  1.0E-07
  3.750E-04  1.07092E-11  4.02209E-16  1.43631E+01  3.48202E-10  1.0E-07
  4.000E-04  1.21847E-11  4.02209E-16  1.43631E+01  3.71415E-10  1.0E-07
  4.250E-04  1.37554E-11  4.02209E-16  1.43631E+01  3.94629E-10  1.0E-07
  4.500E-04  1.54213E-11  4.02209E-16  1.43631E+01  4.17842E-10  1.0E-07
  4.750E-04  1.71823E-11  4.02209E-16  1.43631E+01  4.41055E-10  1.0E-07
  5.000E-04  1.90386E-11  4.02209E-16  1.43631E+01  4.64269E-10  1.0E-07
  5.250E-04  2.09900E-11  4.02209E-16  1.43631E+01  4.87482E-10  1.0E-07
  5.500E-04  2.30367E-11  4.02209E-16  1.43631E+01  5.10696E-10  1.0E-07
  5.750E-04  2.51785E-11  4.02209E-16  1.43631E+01  5.33909E-10  1.0E-07
  6.000E-04  2.74156E-11  4.02209E-16  1.43631E+01  5.57123E-10  1.0E-07
  6.250E-04  2.97478E-11  4.02209E-16  1.43631E+01  5.80336E-10  1.0E-07
  6.500E-04  3.21752E-11  4.02209E-16  1.43631E+01  6.03550E-10  1.0E-07
  6.750E-04  3.46979E-11  4.02209E-16  1.43631E+01  6.26763E-10  1.0E-07
  7.000E-04  3.73157E-11  4.02209E-16  1.43631E+01  6.49976E-10  1.0E-07
  7.250E-04  4.00286E-11  4.02209E-16  1.43631E+01  6.73190E-10  1.0E-07
  7.500E-04  4.28368E-11  4.02209E-16  1.43631E+01  6.96403E-10  1.0E-07
  7.750E-04  4.57402E-11  4.02209E-16  1.43631E+01  7.19617E-10  1.0E-07
  8.000E-04  4.87388E-11  4.02209E-16  1.43631E+01  7.42830E-10  1.0E-07
  8.250E-04  5.18325E-11  4.02209E-16  1.43631E+01  7.66044E-10  1.0E-07
  8.500E-04  5.50215E-11  4.02209E-16  1.43631E+01  7.89257E-10  1.0E-07
  8.750E-04  5.83057E-11  4.02209E-16  1.43631E+01  8.12471E-10  1.0E-07
  9.000E-04  6.16850E-11  4.02209E-16  1.43631E+01  8.35684E-10  1.0E-07
  9.250E-04  6.51595E-11  4.02209E-16  1.43631E+01  8.58897E-10  1.0E-07
  9.500E-04  6.87293E-11  4.02209E-16  1.43631E+01  8.82111E-10  1.0E-07
  9.750E-04  7.23943E-11  4.02209E-16  1.43631E+01  9.05324E-10  1.0E-07
  1.000E-03  7.61544E-11  4.02209E-16  1.43631E+01  9.28538E-10  1.0E-07
  1.250E-03  1.18991E-10  4.02209E-16  1.43631E+01  1.16067E-09  1.0E-07
  1.500E-03  1.71347E-10  4.02209E-16  1.43631E+01  1.39281E-09  1.0E-07
  1.750E-03  2.33223E-10  4.02209E-16  1.43631E+01  1.62494E-09  1.0E-07
