 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.20000E+01 eV = 4.40992E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 8.27211E-16 cm**2 = 2.95402E+01 a0**2
 # 1st transport cross section = 5.37745E-16 cm**2 = 1.92032E+01 a0**2
 # 2nd transport cross section = 6.68465E-16 cm**2 = 2.38713E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.71226E-16  6.11459E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.71226E-16  6.11459E+00  4.40623E-10  1.0E-07
  1.250E-04  1.18994E-12  1.71226E-16  6.11459E+00  5.50779E-10  1.0E-07
  1.500E-04  1.71346E-12  1.71226E-16  6.11459E+00  6.60935E-10  1.0E-07
  1.750E-04  2.33225E-12  1.71226E-16  6.11459E+00  7.71090E-10  1.0E-07
  2.000E-04  3.04617E-12  1.71226E-16  6.11459E+00  8.81246E-10  1.0E-07
  2.250E-04  3.85530E-12  1.71226E-16  6.11459E+00  9.91402E-10  1.0E-07
  2.500E-04  4.75964E-12  1.71226E-16  6.11459E+00  1.10156E-09  1.0E-07
  2.750E-04  5.75917E-12  1.71226E-16  6.11459E+00  1.21171E-09  1.0E-07
  3.000E-04  6.85391E-12  1.71226E-16  6.11459E+00  1.32187E-09  1.0E-07
  3.250E-04  8.04379E-12  1.71226E-16  6.11459E+00  1.43203E-09  1.0E-07
  3.500E-04  9.32893E-12  1.71226E-16  6.11459E+00  1.54218E-09  1.0E-07
  3.750E-04  1.07092E-11  1.71226E-16  6.11459E+00  1.65234E-09  1.0E-07
  4.000E-04  1.21847E-11  1.71226E-16  6.11459E+00  1.76249E-09  1.0E-07
  4.250E-04  1.37554E-11  1.71226E-16  6.11459E+00  1.87265E-09  1.0E-07
  4.500E-04  1.54213E-11  1.71226E-16  6.11459E+00  1.98280E-09  1.0E-07
  4.750E-04  1.71823E-11  1.71226E-16  6.11459E+00  2.09296E-09  1.0E-07
  5.000E-04  1.90386E-11  1.71226E-16  6.11459E+00  2.20312E-09  1.0E-07
  5.250E-04  2.09900E-11  1.71226E-16  6.11459E+00  2.31327E-09  1.0E-07
  5.500E-04  2.30367E-11  1.71226E-16  6.11459E+00  2.42343E-09  1.0E-07
  5.750E-04  2.51785E-11  1.71226E-16  6.11459E+00  2.53358E-09  1.0E-07
  6.000E-04  2.74156E-11  1.71226E-16  6.11459E+00  2.64374E-09  1.0E-07
  6.250E-04  2.97478E-11  1.71226E-16  6.11459E+00  2.75389E-09  1.0E-07
  6.500E-04  3.21752E-11  1.71226E-16  6.11459E+00  2.86405E-09  1.0E-07
  6.750E-04  3.46979E-11  1.71226E-16  6.11459E+00  2.97421E-09  1.0E-07
  7.000E-04  3.73157E-11  1.71226E-16  6.11459E+00  3.08436E-09  1.0E-07
  7.250E-04  4.00286E-11  1.71226E-16  6.11459E+00  3.19452E-09  1.0E-07
  7.500E-04  4.28368E-11  1.71226E-16  6.11459E+00  3.30467E-09  1.0E-07
  7.750E-04  4.57402E-11  1.71226E-16  6.11459E+00  3.41483E-09  1.0E-07
  8.000E-04  4.87388E-11  1.71226E-16  6.11459E+00  3.52499E-09  1.0E-07
  8.250E-04  5.18325E-11  1.71226E-16  6.11459E+00  3.63514E-09  1.0E-07
  8.500E-04  5.50215E-11  1.71226E-16  6.11459E+00  3.74530E-09  1.0E-07
  8.750E-04  5.83057E-11  1.71226E-16  6.11459E+00  3.85545E-09  1.0E-07
  9.000E-04  6.16850E-11  1.71226E-16  6.11459E+00  3.96561E-09  1.0E-07
  9.250E-04  6.51595E-11  1.71226E-16  6.11459E+00  4.07576E-09  1.0E-07
  9.500E-04  6.87293E-11  1.71226E-16  6.11459E+00  4.18592E-09  1.0E-07
  9.750E-04  7.23943E-11  1.71226E-16  6.11459E+00  4.29608E-09  1.0E-07
  1.000E-03  7.61544E-11  1.71226E-16  6.11459E+00  4.40623E-09  1.0E-07
  1.250E-03  1.18991E-10  1.71226E-16  6.11459E+00  5.50779E-09  1.0E-07
  1.500E-03  1.71347E-10  1.71226E-16  6.11459E+00  6.60935E-09  1.0E-07
  1.750E-03  2.33223E-10  1.71226E-16  6.11459E+00  7.71090E-09  1.0E-07
  2.000E-03  3.04617E-10  1.71226E-16  6.11459E+00  8.81246E-09  1.0E-07
  2.250E-03  3.85531E-10  1.71226E-16  6.11459E+00  9.91402E-09  1.0E-07
  2.500E-03  4.75965E-10  1.71226E-16  6.11459E+00  1.10156E-08  1.0E-07
  2.750E-03  5.75917E-10  1.71226E-16  6.11459E+00  1.21171E-08  1.0E-07
  3.000E-03  6.85389E-10  1.71226E-16  6.11459E+00  1.32187E-08  1.0E-07
  3.250E-03  8.04380E-10  1.71226E-16  6.11459E+00  1.43203E-08  1.0E-07
  3.500E-03  9.32891E-10  1.71226E-16  6.11459E+00  1.54218E-08  1.0E-07
  3.750E-03  1.07092E-09  1.71226E-16  6.11459E+00  1.65234E-08  1.0E-07
  4.000E-03  1.21847E-09  1.71226E-16  6.11459E+00  1.76249E-08  1.0E-07
  4.250E-03  1.37554E-09  1.71226E-16  6.11459E+00  1.87265E-08  1.0E-07
  4.500E-03  1.54213E-09  1.71226E-16  6.11459E+00  1.98280E-08  1.0E-07
  4.750E-03  1.71823E-09  1.71226E-16  6.11459E+00  2.09296E-08  1.0E-07
  5.000E-03  1.90386E-09  1.71226E-16  6.11459E+00  2.20312E-08  1.0E-07
  5.250E-03  2.09900E-09  1.71226E-16  6.11459E+00  2.31327E-08  1.0E-07
  5.500E-03  2.30367E-09  1.71226E-16  6.11459E+00  2.42343E-08  1.0E-07
  5.750E-03  2.51785E-09  1.71226E-16  6.11459E+00  2.53358E-08  1.0E-07
  6.000E-03  2.74156E-09  1.71226E-16  6.11459E+00  2.64374E-08  1.0E-07
  6.250E-03  2.97478E-09  1.71226E-16  6.11459E+00  2.75389E-08  1.0E-07
  6.500E-03  3.21752E-09  1.71226E-16  6.11459E+00  2.86405E-08  1.0E-07
  6.750E-03  3.46978E-09  1.71226E-16  6.11459E+00  2.97421E-08  1.0E-07
  7.000E-03  3.73156E-09  1.71226E-16  6.11459E+00  3.08436E-08  1.0E-07
  7.250E-03  4.00286E-09  1.71226E-16  6.11459E+00  3.19452E-08  1.0E-07
  7.500E-03  4.28368E-09  1.71226E-16  6.11459E+00  3.30467E-08  1.0E-07
  7.750E-03  4.57402E-09  1.71226E-16  6.11459E+00  3.41483E-08  1.0E-07
  8.000E-03  4.87388E-09  1.71226E-16  6.11459E+00  3.52499E-08  1.0E-07
  8.250E-03  5.18326E-09  1.71226E-16  6.11459E+00  3.63514E-08  1.0E-07
  8.500E-03  5.50215E-09  1.71226E-16  6.11459E+00  3.74530E-08  1.0E-07
  8.750E-03  5.83057E-09  1.71226E-16  6.11459E+00  3.85545E-08  1.0E-07
  9.000E-03  6.16850E-09  1.71226E-16  6.11459E+00  3.96561E-08  1.0E-07
  9.250E-03  6.51596E-09  1.71226E-16  6.11459E+00  4.07576E-08  1.0E-07
  9.500E-03  6.87293E-09  1.71226E-16  6.11459E+00  4.18592E-08  1.0E-07
  9.750E-03  7.23942E-09  1.71226E-16  6.11459E+00  4.29608E-08  1.0E-07
  1.000E-02  7.61544E-09  1.71226E-16  6.11459E+00  4.40623E-08  1.0E-07
  1.250E-02  1.18991E-08  1.71226E-16  6.11459E+00  5.50779E-08  1.0E-07
  1.500E-02  1.71347E-08  1.71226E-16  6.11459E+00  6.60935E-08  1.0E-07
  1.750E-02  2.33223E-08  1.71226E-16  6.11459E+00  7.71091E-08  1.0E-07
  2.000E-02  3.04617E-08  1.71226E-16  6.11459E+00  8.81246E-08  1.0E-07
  2.250E-02  3.85531E-08  1.71226E-16  6.11459E+00  9.91402E-08  1.0E-07
  2.500E-02  4.75965E-08  1.71226E-16  6.11459E+00  1.10156E-07  1.0E-07
  2.750E-02  5.75917E-08  1.71226E-16  6.11459E+00  1.21171E-07  1.0E-07
  3.000E-02  6.85389E-08  1.71226E-16  6.11459E+00  1.32187E-07  1.0E-07
  3.250E-02  8.04380E-08  1.71226E-16  6.11459E+00  1.43203E-07  1.0E-07
  3.500E-02  9.32891E-08  1.71226E-16  6.11459E+00  1.54218E-07  1.0E-07
  3.750E-02  1.07092E-07  1.71226E-16  6.11459E+00  1.65234E-07  1.0E-07
  4.000E-02  1.21847E-07  1.71226E-16  6.11459E+00  1.76249E-07  1.0E-07
  4.250E-02  1.37554E-07  1.71226E-16  6.11459E+00  1.87265E-07  1.0E-07
  4.500E-02  1.54213E-07  1.71226E-16  6.11459E+00  1.98281E-07  1.0E-07
  4.750E-02  1.71823E-07  1.71226E-16  6.11459E+00  2.09296E-07  1.0E-07
  5.000E-02  1.90386E-07  1.71226E-16  6.11459E+00  2.20312E-07  1.0E-07
  5.250E-02  2.09900E-07  1.71226E-16  6.11458E+00  2.31328E-07  1.0E-07
  5.500E-02  2.30367E-07  1.71226E-16  6.11458E+00  2.42343E-07  1.0E-07
  5.750E-02  2.51785E-07  1.71226E-16  6.11458E+00  2.53359E-07  1.0E-07
  6.000E-02  2.74156E-07  1.71226E-16  6.11458E+00  2.64374E-07  1.0E-07
