

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      7.04297658E-01      0.00000000E+00
       1      5.13065274E-01      5.21108018E-01
       2      4.18453262E-01      4.22493296E-01
       3      3.57025014E-01      3.59678268E-01
       4      3.12421376E-01      3.14363984E-01
       5      2.77946458E-01      2.79457893E-01
       6      2.50185223E-01      2.51409111E-01
       7      2.27158432E-01      2.28178466E-01
       8      2.07620859E-01      2.08489910E-01
       9      1.90743537E-01      1.91496919E-01
      10      1.75951357E-01      1.76613649E-01
      11      1.62832413E-01      1.63421272E-01
      12      1.51083943E-01      1.51612392E-01
      13      1.40478439E-01      1.40956297E-01
      14      1.30841552E-01      1.31276373E-01
      15      1.22037251E-01      1.22434951E-01
      16      1.13957603E-01      1.14322895E-01
      17      1.06515597E-01      1.06852296E-01
      18      9.96400199E-02      9.99512627E-02
      19      9.32717482E-02      9.35601478E-02
      20      8.73610276E-02      8.76287917E-02
      21      8.18654575E-02      8.21144742E-02
      22      7.67484814E-02      7.69803837E-02
      23      7.19782446E-02      7.21944596E-02
      24      6.75267224E-02      6.77285085E-02
      25      6.33690474E-02      6.35575239E-02
      26      5.94829864E-02      5.96591557E-02
      27      5.58485293E-02      5.60132949E-02
      28      5.24475625E-02      5.26017434E-02
      29      4.92636074E-02      4.94079493E-02
      30      4.62816087E-02      4.64167934E-02
      31      4.34877604E-02      4.36144136E-02
      32      4.08693633E-02      4.09880607E-02
      33      3.84147046E-02      3.85259773E-02
      34      3.61129567E-02      3.62172960E-02
      35      3.39540916E-02      3.40519524E-02
      36      3.19288061E-02      3.20206105E-02
      37      3.00284579E-02      3.01145980E-02
      38      2.82450087E-02      2.83258492E-02
      39      2.65709749E-02      2.66468553E-02
      40      2.49993828E-02      2.50706195E-02
      41      2.35237297E-02      2.35906177E-02
      42      2.21379475E-02      2.22007621E-02
      43      2.08363713E-02      2.08953694E-02
      44      1.96137095E-02      1.96691310E-02
      45      1.84650174E-02      1.85170865E-02
      46      1.73856725E-02      1.74345989E-02
      47      1.63713527E-02      1.64173323E-02
      48      1.54180149E-02      1.54612309E-02
      49      1.45218764E-02      1.45625004E-02
      50      1.36793973E-02      1.37175897E-02
      51      1.28872640E-02      1.29231749E-02
      52      1.21423742E-02      1.21761443E-02
      53      1.14418231E-02      1.14735840E-02
      54      1.07828900E-02      1.08127649E-02
      55      1.01630263E-02      1.01911308E-02
      56      9.57984460E-03      9.60628684E-03
      57      9.03110763E-03      9.05598896E-03
      58      8.51471888E-03      8.53813429E-03
      59      8.02871330E-03      8.05075180E-03
      60      7.57124887E-03      7.59199391E-03
      61      7.14059862E-03      7.16012845E-03
      62      6.73514327E-03      6.75353124E-03
      63      6.35336430E-03      6.37067921E-03
      64      5.99383746E-03      6.01014382E-03
      65      5.65522682E-03      5.67058515E-03
      66      5.33627905E-03      5.35074614E-03
      67      5.03581823E-03      5.04944734E-03
      68      4.75274089E-03      4.76558202E-03
      69      4.48601143E-03      4.49811149E-03
      70      4.23465782E-03      4.24606084E-03
      71      3.99776758E-03      4.00851491E-03
      72      3.77448402E-03      3.78461447E-03
      73      3.56400275E-03      3.57355277E-03
      74      3.36556838E-03      3.37457219E-03
      75      3.17847141E-03      3.18696116E-03
      76      3.00204543E-03      3.01005131E-03
      77      2.83566436E-03      2.84321475E-03
      78      2.67873998E-03      2.68586153E-03
      79      2.53071955E-03      2.53743731E-03
      80      2.39108360E-03      2.39742110E-03
      81      2.25934388E-03      2.26532326E-03
      82      2.13504144E-03      2.14068350E-03
      83      2.01774477E-03      2.02306906E-03
      84      1.90704817E-03      1.91207308E-03
      85      1.80257012E-03      1.80731294E-03
      86      1.70395180E-03      1.70842880E-03
      87      1.61085570E-03      1.61508219E-03
      88      1.52296435E-03      1.52695471E-03
      89      1.43997903E-03      1.44374679E-03
      90      1.36161867E-03      1.36517659E-03
      91      1.28761879E-03      1.29097886E-03
      92      1.21773043E-03      1.22090394E-03
      93      1.15171930E-03      1.15471686E-03
      94      1.08936479E-03      1.09219642E-03
