 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.06314E-08  1.94780E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  2.06314E-08  1.94780E-09  8.42940E-16  8.02030E-17
  1.250E-04  1.18994E-12  2.06314E-08  1.94780E-09  1.05368E-15  1.00254E-16
  1.500E-04  1.71346E-12  2.06314E-08  1.94780E-09  1.26441E-15  1.20305E-16
  1.750E-04  2.33225E-12  2.06314E-08  1.94780E-09  1.47515E-15  1.40355E-16
  2.000E-04  3.04617E-12  2.06314E-08  1.94780E-09  1.68588E-15  1.60406E-16
  2.250E-04  3.85530E-12  2.06314E-08  1.94780E-09  1.89662E-15  1.80457E-16
  2.500E-04  4.75964E-12  2.06314E-08  1.94780E-09  2.10735E-15  2.00508E-16
  2.750E-04  5.75917E-12  2.06314E-08  1.94780E-09  2.31809E-15  2.20558E-16
  3.000E-04  6.85391E-12  2.06314E-08  1.94780E-09  2.52882E-15  2.40609E-16
  3.250E-04  8.04379E-12  2.06314E-08  1.94780E-09  2.73956E-15  2.60660E-16
  3.500E-04  9.32893E-12  2.06314E-08  1.94780E-09  2.95029E-15  2.80711E-16
  3.750E-04  1.07092E-11  2.06314E-08  1.94780E-09  3.16103E-15  3.00761E-16
  4.000E-04  1.21847E-11  2.06314E-08  1.94780E-09  3.37176E-15  3.20812E-16
  4.250E-04  1.37554E-11  2.06314E-08  1.94780E-09  3.58250E-15  3.40863E-16
  4.500E-04  1.54213E-11  2.06314E-08  1.94780E-09  3.79323E-15  3.60914E-16
  4.750E-04  1.71823E-11  2.06314E-08  1.94780E-09  4.00397E-15  3.80964E-16
  5.000E-04  1.90386E-11  2.06314E-08  1.94780E-09  4.21470E-15  4.01015E-16
  5.250E-04  2.09900E-11  2.06314E-08  1.94780E-09  4.42544E-15  4.21066E-16
  5.500E-04  2.30367E-11  2.06314E-08  1.94780E-09  4.63617E-15  4.41117E-16
  5.750E-04  2.51785E-11  2.06314E-08  1.94780E-09  4.84691E-15  4.61167E-16
  6.000E-04  2.74156E-11  2.06314E-08  1.94780E-09  5.05764E-15  4.81218E-16
  6.250E-04  2.97478E-11  2.06314E-08  1.94780E-09  5.26838E-15  5.01269E-16
  6.500E-04  3.21752E-11  2.06314E-08  1.94780E-09  5.47911E-15  5.21320E-16
  6.750E-04  3.46979E-11  2.06314E-08  1.94780E-09  5.68985E-15  5.41370E-16
  7.000E-04  3.73157E-11  2.06314E-08  1.94780E-09  5.90058E-15  5.61421E-16
  7.250E-04  4.00286E-11  2.06314E-08  1.94780E-09  6.11132E-15  5.81472E-16
  7.500E-04  4.28368E-11  2.06314E-08  1.94780E-09  6.32205E-15  6.01523E-16
  7.750E-04  4.57402E-11  2.06314E-08  1.94780E-09  6.53279E-15  6.21573E-16
  8.000E-04  4.87388E-11  2.06314E-08  1.94780E-09  6.74352E-15  6.41624E-16
  8.250E-04  5.18325E-11  2.06314E-08  1.94780E-09  6.95426E-15  6.61675E-16
  8.500E-04  5.50215E-11  2.06314E-08  1.94780E-09  7.16499E-15  6.81726E-16
  8.750E-04  5.83057E-11  2.06314E-08  1.94780E-09  7.37573E-15  7.01776E-16
  9.000E-04  6.16850E-11  2.06314E-08  1.94780E-09  7.58646E-15  7.21827E-16
  9.250E-04  6.51595E-11  2.06314E-08  1.94780E-09  7.79720E-15  7.41878E-16
  9.500E-04  6.87293E-11  2.06314E-08  1.94780E-09  8.00793E-15  7.61929E-16
  9.750E-04  7.23943E-11  2.06314E-08  1.94780E-09  8.21867E-15  7.81979E-16
  1.000E-03  7.61544E-11  2.06314E-08  1.94780E-09  8.42940E-15  8.02030E-16
  1.250E-03  1.18991E-10  2.06314E-08  1.94780E-09  1.05368E-14  1.00254E-15
  1.500E-03  1.71347E-10  2.06314E-08  1.94780E-09  1.26441E-14  1.20305E-15
  1.750E-03  2.33223E-10  2.06314E-08  1.94780E-09  1.47515E-14  1.40355E-15
  2.000E-03  3.04617E-10  2.06314E-08  1.94780E-09  1.68588E-14  1.60406E-15
  2.250E-03  3.85531E-10  2.06314E-08  1.94780E-09  1.89661E-14  1.80457E-15
  2.500E-03  4.75965E-10  2.06314E-08  1.94780E-09  2.10735E-14  2.00507E-15
  2.750E-03  5.75917E-10  2.06314E-08  1.94780E-09  2.31808E-14  2.20558E-15
  3.000E-03  6.85389E-10  2.06314E-08  1.94780E-09  2.52882E-14  2.40609E-15
  3.250E-03  8.04380E-10  2.06314E-08  1.94780E-09  2.73955E-14  2.60660E-15
  3.500E-03  9.32891E-10  2.06314E-08  1.94780E-09  2.95029E-14  2.80710E-15
  3.750E-03  1.07092E-09  2.06314E-08  1.94780E-09  3.16102E-14  3.00761E-15
  4.000E-03  1.21847E-09  2.06314E-08  1.94780E-09  3.37176E-14  3.20812E-15
  4.250E-03  1.37554E-09  2.06314E-08  1.94780E-09  3.58249E-14  3.40863E-15
  4.500E-03  1.54213E-09  2.06314E-08  1.94780E-09  3.79322E-14  3.60913E-15
  4.750E-03  1.71823E-09  2.06314E-08  1.94780E-09  4.00396E-14  3.80964E-15
  5.000E-03  1.90386E-09  2.06314E-08  1.94780E-09  4.21469E-14  4.01015E-15
  5.250E-03  2.09900E-09  2.06314E-08  1.94780E-09  4.42542E-14  4.21066E-15
  5.500E-03  2.30367E-09  2.06313E-08  1.94780E-09  4.63615E-14  4.41116E-15
  5.750E-03  2.51785E-09  2.06313E-08  1.94780E-09  4.84689E-14  4.61167E-15
  6.000E-03  2.74156E-09  2.06313E-08  1.94780E-09  5.05762E-14  4.81218E-15
  6.250E-03  2.97478E-09  2.06313E-08  1.94780E-09  5.26835E-14  5.01268E-15
  6.500E-03  3.21752E-09  2.06313E-08  1.94780E-09  5.47908E-14  5.21319E-15
  6.750E-03  3.46978E-09  2.06313E-08  1.94780E-09  5.68982E-14  5.41370E-15
  7.000E-03  3.73156E-09  2.06313E-08  1.94780E-09  5.90055E-14  5.61420E-15
  7.250E-03  4.00286E-09  2.06313E-08  1.94780E-09  6.11128E-14  5.81471E-15
  7.500E-03  4.28368E-09  2.06313E-08  1.94780E-09  6.32201E-14  6.01522E-15
  7.750E-03  4.57402E-09  2.06313E-08  1.94780E-09  6.53274E-14  6.21572E-15
  8.000E-03  4.87388E-09  2.06313E-08  1.94780E-09  6.74347E-14  6.41623E-15
  8.250E-03  5.18326E-09  2.06312E-08  1.94780E-09  6.95420E-14  6.61674E-15
  8.500E-03  5.50215E-09  2.06312E-08  1.94780E-09  7.16493E-14  6.81724E-15
  8.750E-03  5.83057E-09  2.06312E-08  1.94780E-09  7.37566E-14  7.01775E-15
  9.000E-03  6.16850E-09  2.06312E-08  1.94780E-09  7.58639E-14  7.21826E-15
  9.250E-03  6.51596E-09  2.06312E-08  1.94780E-09  7.79711E-14  7.41876E-15
  9.500E-03  6.87293E-09  2.06312E-08  1.94780E-09  8.00784E-14  7.61927E-15
  9.750E-03  7.23942E-09  2.06312E-08  1.94780E-09  8.21857E-14  7.81978E-15
  1.000E-02  7.61544E-09  2.06312E-08  1.94780E-09  8.42930E-14  8.02028E-15
  1.250E-02  1.18991E-08  2.06310E-08  1.94779E-09  1.05365E-13  1.00253E-14
  1.500E-02  1.71347E-08  2.06308E-08  1.94779E-09  1.26437E-13  1.20304E-14
  1.750E-02  2.33223E-08  2.06306E-08  1.94779E-09  1.47509E-13  1.40354E-14
  2.000E-02  3.04617E-08  2.06304E-08  1.94778E-09  1.68580E-13  1.60404E-14
  2.250E-02  3.85531E-08  2.06301E-08  1.94778E-09  1.89649E-13  1.80455E-14
  2.500E-02  4.75965E-08  2.06298E-08  1.94777E-09  2.10718E-13  2.00505E-14
  2.750E-02  5.75917E-08  2.06294E-08  1.94777E-09  2.31786E-13  2.20554E-14
  3.000E-02  6.85389E-08  2.06291E-08  1.94776E-09  2.52853E-13  2.40604E-14
  3.250E-02  8.04380E-08  2.06286E-08  1.94775E-09  2.73919E-13  2.60653E-14
  3.500E-02  9.32891E-08  2.06282E-08  1.94774E-09  2.94983E-13  2.80702E-14
  3.750E-02  1.07092E-07  2.06277E-08  1.94774E-09  3.16046E-13  3.00751E-14
  4.000E-02  1.21847E-07  2.06272E-08  1.94773E-09  3.37108E-13  3.20800E-14
  4.250E-02  1.37554E-07  2.06267E-08  1.94772E-09  3.58167E-13  3.40848E-14
  4.500E-02  1.54213E-07  2.06261E-08  1.94771E-09  3.79226E-13  3.60896E-14
  4.750E-02  1.71823E-07  2.06255E-08  1.94770E-09  4.00282E-13  3.80944E-14
  5.000E-02  1.90386E-07  2.06248E-08  1.94768E-09  4.21336E-13  4.00991E-14
  5.250E-02  2.09900E-07  2.06242E-08  1.94767E-09  4.42389E-13  4.21038E-14
  5.500E-02  2.30367E-07  2.06235E-08  1.94766E-09  4.63439E-13  4.41085E-14
  5.750E-02  2.51785E-07  2.06227E-08  1.94765E-09  4.84487E-13  4.61131E-14
  6.000E-02  2.74156E-07  2.06220E-08  1.94763E-09  5.05533E-13  4.81177E-14
  6.250E-02  2.97478E-07  2.06211E-08  1.94762E-09  5.26576E-13  5.01222E-14
  6.500E-02  3.21752E-07  2.06203E-08  1.94760E-09  5.47617E-13  5.21267E-14
  6.750E-02  3.46978E-07  2.06194E-08  1.94759E-09  5.68655E-13  5.41311E-14
  7.000E-02  3.73156E-07  2.06185E-08  1.94757E-09  5.89691E-13  5.61355E-14
  7.250E-02  4.00286E-07  2.06176E-08  1.94755E-09  6.10724E-13  5.81399E-14
  7.500E-02  4.28368E-07  2.06166E-08  1.94754E-09  6.31753E-13  6.01442E-14
  7.750E-02  4.57402E-07  2.06156E-08  1.94752E-09  6.52780E-13  6.21484E-14
  8.000E-02  4.87388E-07  2.06146E-08  1.94750E-09  6.73804E-13  6.41526E-14
  8.250E-02  5.18325E-07  2.06135E-08  1.94748E-09  6.94824E-13  6.61567E-14
  8.500E-02  5.50215E-07  2.06124E-08  1.94746E-09  7.15842E-13  6.81608E-14
  8.750E-02  5.83057E-07  2.06113E-08  1.94744E-09  7.36855E-13  7.01648E-14
  9.000E-02  6.16850E-07  2.06101E-08  1.94742E-09  7.57866E-13  7.21687E-14
  9.250E-02  6.51596E-07  2.06089E-08  1.94740E-09  7.78872E-13  7.41726E-14
  9.500E-02  6.87293E-07  2.06077E-08  1.94738E-09  7.99875E-13  7.61764E-14
  9.750E-02  7.23942E-07  2.06064E-08  1.94736E-09  8.20874E-13  7.81802E-14
  1.000E-01  7.61543E-07  2.06051E-08  1.94733E-09  8.41870E-13  8.01839E-14
  1.250E-01  1.18991E-06  2.05904E-08  1.94707E-09  1.05159E-12  1.00216E-13
  1.500E-01  1.71347E-06  2.05724E-08  1.94675E-09  1.26080E-12  1.20240E-13
  1.750E-01  2.33223E-06  2.05511E-08  1.94636E-09  1.46942E-12  1.40253E-13
  2.000E-01  3.04617E-06  2.05267E-08  1.94592E-09  1.67735E-12  1.60253E-13
  2.250E-01  3.85531E-06  2.04990E-08  1.94543E-09  1.88448E-12  1.80239E-13
  2.500E-01  4.75964E-06  2.04682E-08  1.94487E-09  2.09073E-12  2.00209E-13
  2.750E-01  5.75916E-06  2.04342E-08  1.94426E-09  2.29599E-12  2.20160E-13
  3.000E-01  6.85388E-06  2.03971E-08  1.94358E-09  2.50019E-12  2.40093E-13
  3.250E-01  8.04378E-06  2.03569E-08  1.94285E-09  2.70322E-12  2.60004E-13
  3.500E-01  9.32888E-06  2.03137E-08  1.94207E-09  2.90500E-12  2.79891E-13
  3.750E-01  1.07092E-05  2.02675E-08  1.94122E-09  3.10544E-12  2.99754E-13
  4.000E-01  1.21846E-05  2.02183E-08  1.94032E-09  3.30445E-12  3.19591E-13
  4.250E-01  1.37553E-05  2.01662E-08  1.93936E-09  3.50196E-12  3.39398E-13
  4.500E-01  1.54212E-05  2.01112E-08  1.93834E-09  3.69787E-12  3.59176E-13
  4.750E-01  1.71822E-05  2.00534E-08  1.93727E-09  3.89212E-12  3.78922E-13
  5.000E-01  1.90385E-05  1.99927E-08  1.93614E-09  4.08462E-12  3.98635E-13
  5.250E-01  2.09899E-05  1.99294E-08  1.93495E-09  4.27531E-12  4.18312E-13
  5.500E-01  2.30365E-05  1.98634E-08  1.93370E-09  4.46410E-12  4.37952E-13
  5.750E-01  2.51783E-05  1.97947E-08  1.93240E-09  4.65093E-12  4.57554E-13
  6.000E-01  2.74153E-05  1.97235E-08  1.93105E-09  4.83573E-12  4.77116E-13
  6.250E-01  2.97475E-05  1.96497E-08  1.92964E-09  5.01845E-12  4.96636E-13
