 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.80000E+01 eV = 6.61488E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.93210E-15 cm**2 = 6.89967E+01 a0**2
 # 1st transport cross section = 6.09361E-16 cm**2 = 2.17607E+01 a0**2
 # 2nd transport cross section = 9.55884E-16 cm**2 = 3.41352E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.85513E-15  6.62479E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.85513E-15  6.62479E+01  2.70478E-09  1.0E-07
  1.250E-04  1.18994E-12  1.85513E-15  6.62479E+01  3.38098E-09  1.0E-07
  1.500E-04  1.71346E-12  1.85513E-15  6.62479E+01  4.05717E-09  1.0E-07
  1.750E-04  2.33225E-12  1.85513E-15  6.62479E+01  4.73337E-09  1.0E-07
  2.000E-04  3.04617E-12  1.85513E-15  6.62479E+01  5.40957E-09  1.0E-07
  2.250E-04  3.85530E-12  1.85513E-15  6.62479E+01  6.08576E-09  1.0E-07
  2.500E-04  4.75964E-12  1.85513E-15  6.62479E+01  6.76196E-09  1.0E-07
  2.750E-04  5.75917E-12  1.85513E-15  6.62479E+01  7.43815E-09  1.0E-07
  3.000E-04  6.85391E-12  1.85513E-15  6.62479E+01  8.11435E-09  1.0E-07
  3.250E-04  8.04379E-12  1.85513E-15  6.62479E+01  8.79054E-09  1.0E-07
  3.500E-04  9.32893E-12  1.85513E-15  6.62479E+01  9.46674E-09  1.0E-07
  3.750E-04  1.07092E-11  1.85513E-15  6.62479E+01  1.01429E-08  1.0E-07
  4.000E-04  1.21847E-11  1.85513E-15  6.62479E+01  1.08191E-08  1.0E-07
  4.250E-04  1.37554E-11  1.85513E-15  6.62479E+01  1.14953E-08  1.0E-07
  4.500E-04  1.54213E-11  1.85513E-15  6.62479E+01  1.21715E-08  1.0E-07
  4.750E-04  1.71823E-11  1.85513E-15  6.62479E+01  1.28477E-08  1.0E-07
  5.000E-04  1.90386E-11  1.85513E-15  6.62479E+01  1.35239E-08  1.0E-07
  5.250E-04  2.09900E-11  1.85513E-15  6.62479E+01  1.42001E-08  1.0E-07
  5.500E-04  2.30367E-11  1.85513E-15  6.62479E+01  1.48763E-08  1.0E-07
  5.750E-04  2.51785E-11  1.85513E-15  6.62479E+01  1.55525E-08  1.0E-07
  6.000E-04  2.74156E-11  1.85513E-15  6.62479E+01  1.62287E-08  1.0E-07
  6.250E-04  2.97478E-11  1.85513E-15  6.62479E+01  1.69049E-08  1.0E-07
  6.500E-04  3.21752E-11  1.85513E-15  6.62479E+01  1.75811E-08  1.0E-07
  6.750E-04  3.46979E-11  1.85513E-15  6.62479E+01  1.82573E-08  1.0E-07
  7.000E-04  3.73157E-11  1.85513E-15  6.62479E+01  1.89335E-08  1.0E-07
