 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+03 eV = 7.34987E+01 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 8.26971E-17 cm**2 = 2.95317E+00 a0**2
 # 1st transport cross section = 4.61916E-18 cm**2 = 1.64953E-01 a0**2
 # 2nd transport cross section = 8.98656E-18 cm**2 = 3.20916E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.73328E-15  9.76072E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.73328E-15  9.76072E+01  2.17998E-10  1.0E-07
  1.250E-04  1.18994E-12  2.73328E-15  9.76072E+01  2.72498E-10  1.0E-07
  1.500E-04  1.71346E-12  2.73328E-15  9.76072E+01  3.26997E-10  1.0E-07
  1.750E-04  2.33225E-12  2.73328E-15  9.76072E+01  3.81497E-10  1.0E-07
  2.000E-04  3.04617E-12  2.73328E-15  9.76072E+01  4.35996E-10  1.0E-07
  2.250E-04  3.85530E-12  2.73328E-15  9.76072E+01  4.90496E-10  1.0E-07
  2.500E-04  4.75964E-12  2.73328E-15  9.76072E+01  5.44995E-10  1.0E-07
  2.750E-04  5.75917E-12  2.73328E-15  9.76072E+01  5.99495E-10  1.0E-07
  3.000E-04  6.85391E-12  2.73328E-15  9.76072E+01  6.53994E-10  1.0E-07
  3.250E-04  8.04379E-12  2.73328E-15  9.76072E+01  7.08494E-10  1.0E-07
  3.500E-04  9.32893E-12  2.73328E-15  9.76072E+01  7.62993E-10  1.0E-07
  3.750E-04  1.07092E-11  2.73328E-15  9.76072E+01  8.17493E-10  1.0E-07
  4.000E-04  1.21847E-11  2.73328E-15  9.76072E+01  8.71993E-10  1.0E-07
  4.250E-04  1.37554E-11  2.73328E-15  9.76072E+01  9.26492E-10  1.0E-07
  4.500E-04  1.54213E-11  2.73328E-15  9.76072E+01  9.80992E-10  1.0E-07
  4.750E-04  1.71823E-11  2.73328E-15  9.76072E+01  1.03549E-09  1.0E-07
  5.000E-04  1.90386E-11  2.73328E-15  9.76072E+01  1.08999E-09  1.0E-07
  5.250E-04  2.09900E-11  2.73328E-15  9.76072E+01  1.14449E-09  1.0E-07
  5.500E-04  2.30367E-11  2.73328E-15  9.76072E+01  1.19899E-09  1.0E-07
  5.750E-04  2.51785E-11  2.73328E-15  9.76072E+01  1.25349E-09  1.0E-07
  6.000E-04  2.74156E-11  2.73328E-15  9.76072E+01  1.30799E-09  1.0E-07
  6.250E-04  2.97478E-11  2.73328E-15  9.76072E+01  1.36249E-09  1.0E-07
  6.500E-04  3.21752E-11  2.73328E-15  9.76072E+01  1.41699E-09  1.0E-07
  6.750E-04  3.46979E-11  2.73328E-15  9.76072E+01  1.47149E-09  1.0E-07
  7.000E-04  3.73157E-11  2.73328E-15  9.76072E+01  1.52599E-09  1.0E-07
  7.250E-04  4.00286E-11  2.73328E-15  9.76072E+01  1.58049E-09  1.0E-07
  7.500E-04  4.28368E-11  2.73328E-15  9.76072E+01  1.63499E-09  1.0E-07
  7.750E-04  4.57402E-11  2.73328E-15  9.76072E+01  1.68949E-09  1.0E-07
  8.000E-04  4.87388E-11  2.73328E-15  9.76072E+01  1.74399E-09  1.0E-07
  8.250E-04  5.18325E-11  2.73328E-15  9.76072E+01  1.79848E-09  1.0E-07
  8.500E-04  5.50215E-11  2.73328E-15  9.76072E+01  1.85298E-09  1.0E-07
  8.750E-04  5.83057E-11  2.73328E-15  9.76072E+01  1.90748E-09  1.0E-07
  9.000E-04  6.16850E-11  2.73328E-15  9.76072E+01  1.96198E-09  1.0E-07
  9.250E-04  6.51595E-11  2.73328E-15  9.76072E+01  2.01648E-09  1.0E-07
  9.500E-04  6.87293E-11  2.73328E-15  9.76072E+01  2.07098E-09  1.0E-07
  9.750E-04  7.23943E-11  2.73328E-15  9.76072E+01  2.12548E-09  1.0E-07
  1.000E-03  7.61544E-11  2.73328E-15  9.76072E+01  2.17998E-09  1.0E-07
  1.250E-03  1.18991E-10  2.73328E-15  9.76072E+01  2.72498E-09  1.0E-07
  1.500E-03  1.71347E-10  2.73328E-15  9.76072E+01  3.26997E-09  1.0E-07
  1.750E-03  2.33223E-10  2.73328E-15  9.76072E+01  3.81497E-09  1.0E-07
  2.000E-03  3.04617E-10  2.73328E-15  9.76072E+01  4.35996E-09  1.0E-07
  2.250E-03  3.85531E-10  2.73328E-15  9.76072E+01  4.90496E-09  1.0E-07
  2.500E-03  4.75965E-10  2.73328E-15  9.76072E+01  5.44995E-09  1.0E-07
  2.750E-03  5.75917E-10  2.73328E-15  9.76072E+01  5.99495E-09  1.0E-07
  3.000E-03  6.85389E-10  2.73328E-15  9.76072E+01  6.53995E-09  1.0E-07
  3.250E-03  8.04380E-10  2.73328E-15  9.76072E+01  7.08494E-09  1.0E-07
  3.500E-03  9.32891E-10  2.73328E-15  9.76072E+01  7.62994E-09  1.0E-07
  3.750E-03  1.07092E-09  2.73328E-15  9.76071E+01  8.17493E-09  1.0E-07
