 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+01 eV = 1.10248E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.26083E-15 cm**2 = 4.50252E+01 a0**2
 # 1st transport cross section = 4.69490E-16 cm**2 = 1.67658E+01 a0**2
 # 2nd transport cross section = 6.35135E-16 cm**2 = 2.26811E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.52320E-15  5.43944E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.52320E-15  5.43944E+01  2.20592E-09  1.0E-07
  1.250E-04  1.18994E-12  1.52320E-15  5.43944E+01  2.75740E-09  1.0E-07
  1.500E-04  1.71346E-12  1.52320E-15  5.43944E+01  3.30888E-09  1.0E-07
  1.750E-04  2.33225E-12  1.52320E-15  5.43944E+01  3.86036E-09  1.0E-07
  2.000E-04  3.04617E-12  1.52320E-15  5.43944E+01  4.41183E-09  1.0E-07
  2.250E-04  3.85530E-12  1.52320E-15  5.43944E+01  4.96331E-09  1.0E-07
  2.500E-04  4.75964E-12  1.52320E-15  5.43944E+01  5.51479E-09  1.0E-07
  2.750E-04  5.75917E-12  1.52320E-15  5.43944E+01  6.06627E-09  1.0E-07
  3.000E-04  6.85391E-12  1.52320E-15  5.43944E+01  6.61775E-09  1.0E-07
  3.250E-04  8.04379E-12  1.52320E-15  5.43944E+01  7.16923E-09  1.0E-07
  3.500E-04  9.32893E-12  1.52320E-15  5.43944E+01  7.72071E-09  1.0E-07
  3.750E-04  1.07092E-11  1.52320E-15  5.43944E+01  8.27219E-09  1.0E-07
  4.000E-04  1.21847E-11  1.52320E-15  5.43944E+01  8.82367E-09  1.0E-07
