 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.60787E-16 cm**2 = 5.74181E+00 a0**2
 # 1st transport cross section = 1.85642E-17 cm**2 = 6.62938E-01 a0**2
 # 2nd transport cross section = 2.88303E-17 cm**2 = 1.02955E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.33343E-15  8.33284E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.33343E-15  8.33284E+01  6.17903E-12  1.0E-07
  1.250E-04  1.18994E-12  2.33343E-15  8.33284E+01  7.72378E-12  1.0E-07
  1.500E-04  1.71346E-12  2.33343E-15  8.33284E+01  9.26854E-12  1.0E-07
  1.750E-04  2.33225E-12  2.33343E-15  8.33284E+01  1.08133E-11  1.0E-07
  2.000E-04  3.04617E-12  2.33343E-15  8.33284E+01  1.23581E-11  1.0E-07
  2.250E-04  3.85530E-12  2.33343E-15  8.33284E+01  1.39028E-11  1.0E-07
  2.500E-04  4.75964E-12  2.33343E-15  8.33284E+01  1.54476E-11  1.0E-07
  2.750E-04  5.75917E-12  2.33343E-15  8.33284E+01  1.69923E-11  1.0E-07
  3.000E-04  6.85391E-12  2.33343E-15  8.33284E+01  1.85371E-11  1.0E-07
  3.250E-04  8.04379E-12  2.33343E-15  8.33284E+01  2.00818E-11  1.0E-07
  3.500E-04  9.32893E-12  2.33343E-15  8.33284E+01  2.16266E-11  1.0E-07
  3.750E-04  1.07092E-11  2.33343E-15  8.33284E+01  2.31714E-11  1.0E-07
  4.000E-04  1.21847E-11  2.33343E-15  8.33284E+01  2.47161E-11  1.0E-07
  4.250E-04  1.37554E-11  2.33343E-15  8.33284E+01  2.62609E-11  1.0E-07
  4.500E-04  1.54213E-11  2.33343E-15  8.33284E+01  2.78056E-11  1.0E-07
  4.750E-04  1.71823E-11  2.33343E-15  8.33284E+01  2.93504E-11  1.0E-07
  5.000E-04  1.90386E-11  2.33343E-15  8.33284E+01  3.08951E-11  1.0E-07
  5.250E-04  2.09900E-11  2.33343E-15  8.33284E+01  3.24399E-11  1.0E-07
  5.500E-04  2.30367E-11  2.33343E-15  8.33284E+01  3.39846E-11  1.0E-07
  5.750E-04  2.51785E-11  2.33343E-15  8.33284E+01  3.55294E-11  1.0E-07
  6.000E-04  2.74156E-11  2.33343E-15  8.33284E+01  3.70742E-11  1.0E-07
