 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: analytical DHFS model
 #                   A1 =  1.53676D-01 ,   ALPHA1 = 8.04043D+00
 #                   A2 =  8.46324D-01 ,   ALPHA2 = 1.49129D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 6.00000E+00
 #
 # Muffin-tin model: Rmt = 3.22000E-08 cm
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.06093E-16 cm**2 = 3.78865E+00 a0**2
 # 1st transport cross section = 1.76566E-17 cm**2 = 6.30528E-01 a0**2
 # 2nd transport cross section = 3.14794E-17 cm**2 = 1.12415E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.63298E-16  1.65447E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.63298E-16  1.65447E+01  1.84926E-10  1.0E-07
  1.250E-04  1.18994E-12  4.63298E-16  1.65447E+01  2.31157E-10  1.0E-07
  1.500E-04  1.71346E-12  4.63298E-16  1.65447E+01  2.77389E-10  1.0E-07
  1.750E-04  2.33225E-12  4.63298E-16  1.65447E+01  3.23620E-10  1.0E-07
  2.000E-04  3.04617E-12  4.63298E-16  1.65447E+01  3.69852E-10  1.0E-07
  2.250E-04  3.85530E-12  4.63298E-16  1.65447E+01  4.16083E-10  1.0E-07
  2.500E-04  4.75964E-12  4.63298E-16  1.65447E+01  4.62315E-10  1.0E-07
  2.750E-04  5.75917E-12  4.63298E-16  1.65447E+01  5.08546E-10  1.0E-07
  3.000E-04  6.85391E-12  4.63298E-16  1.65447E+01  5.54778E-10  1.0E-07
  3.250E-04  8.04379E-12  4.63298E-16  1.65447E+01  6.01009E-10  1.0E-07
  3.500E-04  9.32893E-12  4.63298E-16  1.65447E+01  6.47241E-10  1.0E-07
  3.750E-04  1.07092E-11  4.63298E-16  1.65447E+01  6.93472E-10  1.0E-07
  4.000E-04  1.21847E-11  4.63298E-16  1.65447E+01  7.39703E-10  1.0E-07
  4.250E-04  1.37554E-11  4.63298E-16  1.65447E+01  7.85935E-10  1.0E-07
  4.500E-04  1.54213E-11  4.63298E-16  1.65447E+01  8.32166E-10  1.0E-07
  4.750E-04  1.71823E-11  4.63298E-16  1.65447E+01  8.78398E-10  1.0E-07
  5.000E-04  1.90386E-11  4.63298E-16  1.65447E+01  9.24629E-10  1.0E-07
  5.250E-04  2.09900E-11  4.63298E-16  1.65447E+01  9.70861E-10  1.0E-07
  5.500E-04  2.30367E-11  4.63298E-16  1.65447E+01  1.01709E-09  1.0E-07
  5.750E-04  2.51785E-11  4.63298E-16  1.65447E+01  1.06332E-09  1.0E-07
  6.000E-04  2.74156E-11  4.63298E-16  1.65447E+01  1.10956E-09  1.0E-07
  6.250E-04  2.97478E-11  4.63298E-16  1.65447E+01  1.15579E-09  1.0E-07
  6.500E-04  3.21752E-11  4.63298E-16  1.65447E+01  1.20202E-09  1.0E-07
  6.750E-04  3.46979E-11  4.63298E-16  1.65447E+01  1.24825E-09  1.0E-07
  7.000E-04  3.73157E-11  4.63298E-16  1.65447E+01  1.29448E-09  1.0E-07
  7.250E-04  4.00286E-11  4.63298E-16  1.65447E+01  1.34071E-09  1.0E-07
  7.500E-04  4.28368E-11  4.63298E-16  1.65447E+01  1.38694E-09  1.0E-07
  7.750E-04  4.57402E-11  4.63298E-16  1.65447E+01  1.43318E-09  1.0E-07
  8.000E-04  4.87388E-11  4.63298E-16  1.65447E+01  1.47941E-09  1.0E-07
  8.250E-04  5.18325E-11  4.63298E-16  1.65447E+01  1.52564E-09  1.0E-07
  8.500E-04  5.50215E-11  4.63298E-16  1.65447E+01  1.57187E-09  1.0E-07
  8.750E-04  5.83057E-11  4.63298E-16  1.65447E+01  1.61810E-09  1.0E-07
  9.000E-04  6.16850E-11  4.63298E-16  1.65447E+01  1.66433E-09  1.0E-07
  9.250E-04  6.51595E-11  4.63298E-16  1.65447E+01  1.71056E-09  1.0E-07
  9.500E-04  6.87293E-11  4.63298E-16  1.65447E+01  1.75680E-09  1.0E-07
  9.750E-04  7.23943E-11  4.63298E-16  1.65447E+01  1.80303E-09  1.0E-07
  1.000E-03  7.61544E-11  4.63298E-16  1.65447E+01  1.84926E-09  1.0E-07
  1.250E-03  1.18991E-10  4.63298E-16  1.65447E+01  2.31157E-09  1.0E-07
  1.500E-03  1.71347E-10  4.63298E-16  1.65447E+01  2.77389E-09  1.0E-07
  1.750E-03  2.33223E-10  4.63298E-16  1.65447E+01  3.23620E-09  1.0E-07
  2.000E-03  3.04617E-10  4.63298E-16  1.65447E+01  3.69852E-09  1.0E-07
  2.250E-03  3.85531E-10  4.63298E-16  1.65447E+01  4.16083E-09  1.0E-07
  2.500E-03  4.75965E-10  4.63298E-16  1.65447E+01  4.62315E-09  1.0E-07
  2.750E-03  5.75917E-10  4.63298E-16  1.65447E+01  5.08546E-09  1.0E-07
  3.000E-03  6.85389E-10  4.63298E-16  1.65447E+01  5.54778E-09  1.0E-07
  3.250E-03  8.04380E-10  4.63298E-16  1.65447E+01  6.01009E-09  1.0E-07
  3.500E-03  9.32891E-10  4.63298E-16  1.65447E+01  6.47241E-09  1.0E-07
  3.750E-03  1.07092E-09  4.63298E-16  1.65447E+01  6.93472E-09  1.0E-07
  4.000E-03  1.21847E-09  4.63298E-16  1.65447E+01  7.39704E-09  1.0E-07
  4.250E-03  1.37554E-09  4.63298E-16  1.65447E+01  7.85935E-09  1.0E-07
  4.500E-03  1.54213E-09  4.63298E-16  1.65447E+01  8.32166E-09  1.0E-07
  4.750E-03  1.71823E-09  4.63298E-16  1.65447E+01  8.78398E-09  1.0E-07
  5.000E-03  1.90386E-09  4.63298E-16  1.65447E+01  9.24629E-09  1.0E-07
  5.250E-03  2.09900E-09  4.63298E-16  1.65447E+01  9.70861E-09  1.0E-07
  5.500E-03  2.30367E-09  4.63298E-16  1.65447E+01  1.01709E-08  1.0E-07
  5.750E-03  2.51785E-09  4.63298E-16  1.65447E+01  1.06332E-08  1.0E-07
  6.000E-03  2.74156E-09  4.63298E-16  1.65447E+01  1.10956E-08  1.0E-07
  6.250E-03  2.97478E-09  4.63298E-16  1.65447E+01  1.15579E-08  1.0E-07
  6.500E-03  3.21752E-09  4.63298E-16  1.65447E+01  1.20202E-08  1.0E-07
  6.750E-03  3.46978E-09  4.63298E-16  1.65447E+01  1.24825E-08  1.0E-07
  7.000E-03  3.73156E-09  4.63298E-16  1.65447E+01  1.29448E-08  1.0E-07
  7.250E-03  4.00286E-09  4.63298E-16  1.65447E+01  1.34071E-08  1.0E-07
  7.500E-03  4.28368E-09  4.63298E-16  1.65447E+01  1.38694E-08  1.0E-07
  7.750E-03  4.57402E-09  4.63298E-16  1.65447E+01  1.43318E-08  1.0E-07
  8.000E-03  4.87388E-09  4.63298E-16  1.65447E+01  1.47941E-08  1.0E-07
  8.250E-03  5.18326E-09  4.63298E-16  1.65447E+01  1.52564E-08  1.0E-07
  8.500E-03  5.50215E-09  4.63298E-16  1.65447E+01  1.57187E-08  1.0E-07
  8.750E-03  5.83057E-09  4.63298E-16  1.65447E+01  1.61810E-08  1.0E-07
  9.000E-03  6.16850E-09  4.63298E-16  1.65447E+01  1.66433E-08  1.0E-07
  9.250E-03  6.51596E-09  4.63298E-16  1.65447E+01  1.71056E-08  1.0E-07
  9.500E-03  6.87293E-09  4.63298E-16  1.65447E+01  1.75680E-08  1.0E-07
  9.750E-03  7.23942E-09  4.63298E-16  1.65447E+01  1.80303E-08  1.0E-07
  1.000E-02  7.61544E-09  4.63298E-16  1.65447E+01  1.84926E-08  1.0E-07
  1.250E-02  1.18991E-08  4.63298E-16  1.65447E+01  2.31157E-08  1.0E-07
  1.500E-02  1.71347E-08  4.63297E-16  1.65447E+01  2.77389E-08  1.0E-07
  1.750E-02  2.33223E-08  4.63297E-16  1.65446E+01  3.23621E-08  1.0E-07
  2.000E-02  3.04617E-08  4.63297E-16  1.65446E+01  3.69852E-08  1.0E-07
  2.250E-02  3.85531E-08  4.63296E-16  1.65446E+01  4.16084E-08  1.0E-07
