 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+01 eV = 1.65372E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: analytical DHFS model
 #                   A1 =  1.53676D-01 ,   ALPHA1 = 8.04043D+00
 #                   A2 =  8.46324D-01 ,   ALPHA2 = 1.49129D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 6.00000E+00
 #
 # Muffin-tin model: Rmt = 3.22000E-08 cm
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 4.82913E-16 cm**2 = 1.72451E+01 a0**2
 # 1st transport cross section = 3.22250E-16 cm**2 = 1.15078E+01 a0**2
 # 2nd transport cross section = 2.51083E-16 cm**2 = 8.96633E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.34822E-16  1.19567E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.34822E-16  1.19567E+01  2.51581E-10  1.0E-07
  1.250E-04  1.18994E-12  3.34822E-16  1.19567E+01  3.14476E-10  1.0E-07
  1.500E-04  1.71346E-12  3.34822E-16  1.19567E+01  3.77371E-10  1.0E-07
  1.750E-04  2.33225E-12  3.34822E-16  1.19567E+01  4.40266E-10  1.0E-07
  2.000E-04  3.04617E-12  3.34822E-16  1.19567E+01  5.03161E-10  1.0E-07
  2.250E-04  3.85530E-12  3.34822E-16  1.19567E+01  5.66056E-10  1.0E-07
  2.500E-04  4.75964E-12  3.34822E-16  1.19567E+01  6.28952E-10  1.0E-07
  2.750E-04  5.75917E-12  3.34822E-16  1.19567E+01  6.91847E-10  1.0E-07
  3.000E-04  6.85391E-12  3.34822E-16  1.19567E+01  7.54742E-10  1.0E-07
  3.250E-04  8.04379E-12  3.34822E-16  1.19567E+01  8.17637E-10  1.0E-07
  3.500E-04  9.32893E-12  3.34822E-16  1.19567E+01  8.80532E-10  1.0E-07
  3.750E-04  1.07092E-11  3.34822E-16  1.19567E+01  9.43427E-10  1.0E-07
  4.000E-04  1.21847E-11  3.34822E-16  1.19567E+01  1.00632E-09  1.0E-07
  4.250E-04  1.37554E-11  3.34822E-16  1.19567E+01  1.06922E-09  1.0E-07
  4.500E-04  1.54213E-11  3.34822E-16  1.19567E+01  1.13211E-09  1.0E-07
  4.750E-04  1.71823E-11  3.34822E-16  1.19567E+01  1.19501E-09  1.0E-07
  5.000E-04  1.90386E-11  3.34822E-16  1.19567E+01  1.25790E-09  1.0E-07
  5.250E-04  2.09900E-11  3.34822E-16  1.19567E+01  1.32080E-09  1.0E-07
  5.500E-04  2.30367E-11  3.34822E-16  1.19567E+01  1.38369E-09  1.0E-07
  5.750E-04  2.51785E-11  3.34822E-16  1.19567E+01  1.44659E-09  1.0E-07
  6.000E-04  2.74156E-11  3.34822E-16  1.19567E+01  1.50948E-09  1.0E-07
  6.250E-04  2.97478E-11  3.34822E-16  1.19567E+01  1.57238E-09  1.0E-07
  6.500E-04  3.21752E-11  3.34822E-16  1.19567E+01  1.63527E-09  1.0E-07
  6.750E-04  3.46979E-11  3.34822E-16  1.19567E+01  1.69817E-09  1.0E-07
  7.000E-04  3.73157E-11  3.34822E-16  1.19567E+01  1.76106E-09  1.0E-07
  7.250E-04  4.00286E-11  3.34822E-16  1.19567E+01  1.82396E-09  1.0E-07
  7.500E-04  4.28368E-11  3.34822E-16  1.19567E+01  1.88685E-09  1.0E-07
  7.750E-04  4.57402E-11  3.34822E-16  1.19567E+01  1.94975E-09  1.0E-07
  8.000E-04  4.87388E-11  3.34822E-16  1.19567E+01  2.01264E-09  1.0E-07
  8.250E-04  5.18325E-11  3.34822E-16  1.19567E+01  2.07554E-09  1.0E-07
  8.500E-04  5.50215E-11  3.34822E-16  1.19567E+01  2.13844E-09  1.0E-07
  8.750E-04  5.83057E-11  3.34822E-16  1.19567E+01  2.20133E-09  1.0E-07
  9.000E-04  6.16850E-11  3.34822E-16  1.19567E+01  2.26423E-09  1.0E-07
  9.250E-04  6.51595E-11  3.34822E-16  1.19567E+01  2.32712E-09  1.0E-07
  9.500E-04  6.87293E-11  3.34822E-16  1.19567E+01  2.39002E-09  1.0E-07
  9.750E-04  7.23943E-11  3.34822E-16  1.19567E+01  2.45291E-09  1.0E-07
  1.000E-03  7.61544E-11  3.34822E-16  1.19567E+01  2.51581E-09  1.0E-07
  1.250E-03  1.18991E-10  3.34822E-16  1.19567E+01  3.14476E-09  1.0E-07
  1.500E-03  1.71347E-10  3.34822E-16  1.19567E+01  3.77371E-09  1.0E-07
  1.750E-03  2.33223E-10  3.34822E-16  1.19567E+01  4.40266E-09  1.0E-07
  2.000E-03  3.04617E-10  3.34822E-16  1.19567E+01  5.03161E-09  1.0E-07
  2.250E-03  3.85531E-10  3.34822E-16  1.19567E+01  5.66056E-09  1.0E-07
  2.500E-03  4.75965E-10  3.34822E-16  1.19567E+01  6.28952E-09  1.0E-07
  2.750E-03  5.75917E-10  3.34822E-16  1.19567E+01  6.91847E-09  1.0E-07
  3.000E-03  6.85389E-10  3.34822E-16  1.19567E+01  7.54742E-09  1.0E-07
  3.250E-03  8.04380E-10  3.34822E-16  1.19567E+01  8.17637E-09  1.0E-07
  3.500E-03  9.32891E-10  3.34822E-16  1.19567E+01  8.80532E-09  1.0E-07
  3.750E-03  1.07092E-09  3.34822E-16  1.19567E+01  9.43427E-09  1.0E-07
  4.000E-03  1.21847E-09  3.34822E-16  1.19567E+01  1.00632E-08  1.0E-07
  4.250E-03  1.37554E-09  3.34822E-16  1.19567E+01  1.06922E-08  1.0E-07
  4.500E-03  1.54213E-09  3.34822E-16  1.19567E+01  1.13211E-08  1.0E-07
