 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: analytical DHFS model
 #                   A1 =  1.53676D-01 ,   ALPHA1 = 8.04043D+00
 #                   A2 =  8.46324D-01 ,   ALPHA2 = 1.49129D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 6.00000E+00
 #
 # Muffin-tin model: Rmt = 3.22000E-08 cm
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 6.10662E-17 cm**2 = 2.18071E+00 a0**2
 # 1st transport cross section = 5.76143E-18 cm**2 = 2.05744E-01 a0**2
 # 2nd transport cross section = 1.16703E-17 cm**2 = 4.16752E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.11666E-16  1.82719E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  5.11666E-16  1.82719E+01  1.38177E-10  1.0E-07
  1.250E-04  1.18994E-12  5.11666E-16  1.82719E+01  1.72721E-10  1.0E-07
  1.500E-04  1.71346E-12  5.11666E-16  1.82719E+01  2.07265E-10  1.0E-07
  1.750E-04  2.33225E-12  5.11666E-16  1.82719E+01  2.41810E-10  1.0E-07
  2.000E-04  3.04617E-12  5.11666E-16  1.82719E+01  2.76354E-10  1.0E-07
  2.250E-04  3.85530E-12  5.11666E-16  1.82719E+01  3.10898E-10  1.0E-07
  2.500E-04  4.75964E-12  5.11666E-16  1.82719E+01  3.45442E-10  1.0E-07
  2.750E-04  5.75917E-12  5.11666E-16  1.82719E+01  3.79987E-10  1.0E-07
  3.000E-04  6.85391E-12  5.11666E-16  1.82719E+01  4.14531E-10  1.0E-07
  3.250E-04  8.04379E-12  5.11666E-16  1.82719E+01  4.49075E-10  1.0E-07
  3.500E-04  9.32893E-12  5.11666E-16  1.82719E+01  4.83619E-10  1.0E-07
  3.750E-04  1.07092E-11  5.11666E-16  1.82719E+01  5.18164E-10  1.0E-07
  4.000E-04  1.21847E-11  5.11666E-16  1.82719E+01  5.52708E-10  1.0E-07
  4.250E-04  1.37554E-11  5.11666E-16  1.82719E+01  5.87252E-10  1.0E-07
  4.500E-04  1.54213E-11  5.11666E-16  1.82719E+01  6.21796E-10  1.0E-07
  4.750E-04  1.71823E-11  5.11666E-16  1.82719E+01  6.56341E-10  1.0E-07
  5.000E-04  1.90386E-11  5.11666E-16  1.82719E+01  6.90885E-10  1.0E-07
  5.250E-04  2.09900E-11  5.11666E-16  1.82719E+01  7.25429E-10  1.0E-07
  5.500E-04  2.30367E-11  5.11666E-16  1.82719E+01  7.59973E-10  1.0E-07
  5.750E-04  2.51785E-11  5.11666E-16  1.82719E+01  7.94518E-10  1.0E-07
  6.000E-04  2.74156E-11  5.11666E-16  1.82719E+01  8.29062E-10  1.0E-07
  6.250E-04  2.97478E-11  5.11666E-16  1.82719E+01  8.63606E-10  1.0E-07
  6.500E-04  3.21752E-11  5.11666E-16  1.82719E+01  8.98150E-10  1.0E-07
