 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.52193E-08  1.61449E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  2.52193E-08  1.61449E-09  1.02861E-15  6.61427E-17
  1.250E-04  1.18994E-12  2.52193E-08  1.61449E-09  1.28577E-15  8.26784E-17
  1.500E-04  1.71346E-12  2.52193E-08  1.61449E-09  1.54292E-15  9.92141E-17
  1.750E-04  2.33225E-12  2.52193E-08  1.61449E-09  1.80008E-15  1.15750E-16
  2.000E-04  3.04617E-12  2.52193E-08  1.61449E-09  2.05723E-15  1.32285E-16
  2.250E-04  3.85530E-12  2.52193E-08  1.61449E-09  2.31438E-15  1.48821E-16
  2.500E-04  4.75964E-12  2.52193E-08  1.61449E-09  2.57154E-15  1.65357E-16
  2.750E-04  5.75917E-12  2.52193E-08  1.61449E-09  2.82869E-15  1.81892E-16
  3.000E-04  6.85391E-12  2.52193E-08  1.61449E-09  3.08584E-15  1.98428E-16
  3.250E-04  8.04379E-12  2.52193E-08  1.61449E-09  3.34300E-15  2.14964E-16
  3.500E-04  9.32893E-12  2.52193E-08  1.61449E-09  3.60015E-15  2.31500E-16
  3.750E-04  1.07092E-11  2.52193E-08  1.61449E-09  3.85730E-15  2.48035E-16
  4.000E-04  1.21847E-11  2.52193E-08  1.61449E-09  4.11446E-15  2.64571E-16
  4.250E-04  1.37554E-11  2.52193E-08  1.61449E-09  4.37161E-15  2.81107E-16
  4.500E-04  1.54213E-11  2.52193E-08  1.61449E-09  4.62876E-15  2.97642E-16
  4.750E-04  1.71823E-11  2.52193E-08  1.61449E-09  4.88592E-15  3.14178E-16
  5.000E-04  1.90386E-11  2.52193E-08  1.61449E-09  5.14307E-15  3.30714E-16
  5.250E-04  2.09900E-11  2.52193E-08  1.61449E-09  5.40022E-15  3.47249E-16
  5.500E-04  2.30367E-11  2.52193E-08  1.61449E-09  5.65738E-15  3.63785E-16
  5.750E-04  2.51785E-11  2.52193E-08  1.61449E-09  5.91453E-15  3.80321E-16
  6.000E-04  2.74156E-11  2.52193E-08  1.61449E-09  6.17169E-15  3.96856E-16
