 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.80000E+01 eV = 6.61488E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Muffin-tin model: Rmt = 3.22000E-08 cm
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.65965E-16 cm**2 = 2.73531E+01 a0**2
 # 1st transport cross section = 5.32906E-16 cm**2 = 1.90304E+01 a0**2
 # 2nd transport cross section = 5.62514E-16 cm**2 = 2.00878E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.78335E-16  6.36846E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.78335E-16  6.36846E+00  6.17610E-10  1.0E-07
  1.250E-04  1.18994E-12  1.78335E-16  6.36846E+00  7.72013E-10  1.0E-07
  1.500E-04  1.71346E-12  1.78335E-16  6.36846E+00  9.26415E-10  1.0E-07
  1.750E-04  2.33225E-12  1.78335E-16  6.36846E+00  1.08082E-09  1.0E-07
  2.000E-04  3.04617E-12  1.78335E-16  6.36846E+00  1.23522E-09  1.0E-07
  2.250E-04  3.85530E-12  1.78335E-16  6.36846E+00  1.38962E-09  1.0E-07
  2.500E-04  4.75964E-12  1.78335E-16  6.36846E+00  1.54403E-09  1.0E-07
  2.750E-04  5.75917E-12  1.78335E-16  6.36846E+00  1.69843E-09  1.0E-07
  3.000E-04  6.85391E-12  1.78335E-16  6.36846E+00  1.85283E-09  1.0E-07
  3.250E-04  8.04379E-12  1.78335E-16  6.36846E+00  2.00723E-09  1.0E-07
  3.500E-04  9.32893E-12  1.78335E-16  6.36846E+00  2.16164E-09  1.0E-07
  3.750E-04  1.07092E-11  1.78335E-16  6.36846E+00  2.31604E-09  1.0E-07
  4.000E-04  1.21847E-11  1.78335E-16  6.36846E+00  2.47044E-09  1.0E-07
  4.250E-04  1.37554E-11  1.78335E-16  6.36846E+00  2.62484E-09  1.0E-07
  4.500E-04  1.54213E-11  1.78335E-16  6.36846E+00  2.77925E-09  1.0E-07
  4.750E-04  1.71823E-11  1.78335E-16  6.36846E+00  2.93365E-09  1.0E-07
  5.000E-04  1.90386E-11  1.78335E-16  6.36846E+00  3.08805E-09  1.0E-07
  5.250E-04  2.09900E-11  1.78335E-16  6.36846E+00  3.24245E-09  1.0E-07
  5.500E-04  2.30367E-11  1.78335E-16  6.36846E+00  3.39686E-09  1.0E-07
  5.750E-04  2.51785E-11  1.78335E-16  6.36846E+00  3.55126E-09  1.0E-07
  6.000E-04  2.74156E-11  1.78335E-16  6.36846E+00  3.70566E-09  1.0E-07
  6.250E-04  2.97478E-11  1.78335E-16  6.36846E+00  3.86006E-09  1.0E-07
  6.500E-04  3.21752E-11  1.78335E-16  6.36846E+00  4.01447E-09  1.0E-07
  6.750E-04  3.46979E-11  1.78335E-16  6.36846E+00  4.16887E-09  1.0E-07
  7.000E-04  3.73157E-11  1.78335E-16  6.36846E+00  4.32327E-09  1.0E-07
  7.250E-04  4.00286E-11  1.78335E-16  6.36846E+00  4.47767E-09  1.0E-07
  7.500E-04  4.28368E-11  1.78335E-16  6.36846E+00  4.63208E-09  1.0E-07
  7.750E-04  4.57402E-11  1.78335E-16  6.36846E+00  4.78648E-09  1.0E-07
  8.000E-04  4.87388E-11  1.78335E-16  6.36846E+00  4.94088E-09  1.0E-07
  8.250E-04  5.18325E-11  1.78335E-16  6.36846E+00  5.09528E-09  1.0E-07
  8.500E-04  5.50215E-11  1.78335E-16  6.36846E+00  5.24969E-09  1.0E-07
  8.750E-04  5.83057E-11  1.78335E-16  6.36846E+00  5.40409E-09  1.0E-07
  9.000E-04  6.16850E-11  1.78335E-16  6.36846E+00  5.55849E-09  1.0E-07
  9.250E-04  6.51595E-11  1.78335E-16  6.36846E+00  5.71289E-09  1.0E-07
  9.500E-04  6.87293E-11  1.78335E-16  6.36846E+00  5.86730E-09  1.0E-07
  9.750E-04  7.23943E-11  1.78335E-16  6.36846E+00  6.02170E-09  1.0E-07
  1.000E-03  7.61544E-11  1.78335E-16  6.36846E+00  6.17610E-09  1.0E-07
  1.250E-03  1.18991E-10  1.78335E-16  6.36846E+00  7.72013E-09  1.0E-07
  1.500E-03  1.71347E-10  1.78335E-16  6.36846E+00  9.26415E-09  1.0E-07
  1.750E-03  2.33223E-10  1.78335E-16  6.36846E+00  1.08082E-08  1.0E-07
  2.000E-03  3.04617E-10  1.78335E-16  6.36846E+00  1.23522E-08  1.0E-07
  2.250E-03  3.85531E-10  1.78335E-16  6.36846E+00  1.38962E-08  1.0E-07
  2.500E-03  4.75965E-10  1.78335E-16  6.36846E+00  1.54403E-08  1.0E-07
  2.750E-03  5.75917E-10  1.78335E-16  6.36846E+00  1.69843E-08  1.0E-07
  3.000E-03  6.85389E-10  1.78335E-16  6.36846E+00  1.85283E-08  1.0E-07
  3.250E-03  8.04380E-10  1.78335E-16  6.36846E+00  2.00723E-08  1.0E-07
  3.500E-03  9.32891E-10  1.78335E-16  6.36846E+00  2.16164E-08  1.0E-07
  3.750E-03  1.07092E-09  1.78335E-16  6.36846E+00  2.31604E-08  1.0E-07
  4.000E-03  1.21847E-09  1.78335E-16  6.36846E+00  2.47044E-08  1.0E-07
  4.250E-03  1.37554E-09  1.78335E-16  6.36846E+00  2.62484E-08  1.0E-07
  4.500E-03  1.54213E-09  1.78335E-16  6.36846E+00  2.77925E-08  1.0E-07
  4.750E-03  1.71823E-09  1.78335E-16  6.36846E+00  2.93365E-08  1.0E-07
  5.000E-03  1.90386E-09  1.78335E-16  6.36846E+00  3.08805E-08  1.0E-07
  5.250E-03  2.09900E-09  1.78335E-16  6.36846E+00  3.24245E-08  1.0E-07
