 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Muffin-tin model: Rmt = 3.22000E-08 cm
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 5.95468E-17 cm**2 = 2.12645E+00 a0**2
 # 1st transport cross section = 8.78714E-18 cm**2 = 3.13794E-01 a0**2
 # 2nd transport cross section = 1.63633E-17 cm**2 = 5.84344E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.87361E-16  1.02618E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.87361E-16  1.02618E+01  3.31377E-10  1.0E-07
  1.250E-04  1.18994E-12  2.87361E-16  1.02618E+01  4.14222E-10  1.0E-07
  1.500E-04  1.71346E-12  2.87361E-16  1.02618E+01  4.97066E-10  1.0E-07
  1.750E-04  2.33225E-12  2.87361E-16  1.02618E+01  5.79910E-10  1.0E-07
  2.000E-04  3.04617E-12  2.87361E-16  1.02618E+01  6.62754E-10  1.0E-07
  2.250E-04  3.85530E-12  2.87361E-16  1.02618E+01  7.45599E-10  1.0E-07
  2.500E-04  4.75964E-12  2.87361E-16  1.02618E+01  8.28443E-10  1.0E-07
  2.750E-04  5.75917E-12  2.87361E-16  1.02618E+01  9.11287E-10  1.0E-07
  3.000E-04  6.85391E-12  2.87361E-16  1.02618E+01  9.94132E-10  1.0E-07
  3.250E-04  8.04379E-12  2.87361E-16  1.02618E+01  1.07698E-09  1.0E-07
  3.500E-04  9.32893E-12  2.87361E-16  1.02618E+01  1.15982E-09  1.0E-07
  3.750E-04  1.07092E-11  2.87361E-16  1.02618E+01  1.24266E-09  1.0E-07
  4.000E-04  1.21847E-11  2.87361E-16  1.02618E+01  1.32551E-09  1.0E-07
  4.250E-04  1.37554E-11  2.87361E-16  1.02618E+01  1.40835E-09  1.0E-07
  4.500E-04  1.54213E-11  2.87361E-16  1.02618E+01  1.49120E-09  1.0E-07
  4.750E-04  1.71823E-11  2.87361E-16  1.02618E+01  1.57404E-09  1.0E-07
  5.000E-04  1.90386E-11  2.87361E-16  1.02618E+01  1.65689E-09  1.0E-07
  5.250E-04  2.09900E-11  2.87361E-16  1.02618E+01  1.73973E-09  1.0E-07
  5.500E-04  2.30367E-11  2.87361E-16  1.02618E+01  1.82257E-09  1.0E-07
  5.750E-04  2.51785E-11  2.87361E-16  1.02618E+01  1.90542E-09  1.0E-07
  6.000E-04  2.74156E-11  2.87361E-16  1.02618E+01  1.98826E-09  1.0E-07
  6.250E-04  2.97478E-11  2.87361E-16  1.02618E+01  2.07111E-09  1.0E-07
  6.500E-04  3.21752E-11  2.87361E-16  1.02618E+01  2.15395E-09  1.0E-07
  6.750E-04  3.46979E-11  2.87361E-16  1.02618E+01  2.23680E-09  1.0E-07
  7.000E-04  3.73157E-11  2.87361E-16  1.02618E+01  2.31964E-09  1.0E-07
  7.250E-04  4.00286E-11  2.87361E-16  1.02618E+01  2.40248E-09  1.0E-07
  7.500E-04  4.28368E-11  2.87361E-16  1.02618E+01  2.48533E-09  1.0E-07
  7.750E-04  4.57402E-11  2.87361E-16  1.02618E+01  2.56817E-09  1.0E-07
  8.000E-04  4.87388E-11  2.87361E-16  1.02618E+01  2.65102E-09  1.0E-07
  8.250E-04  5.18325E-11  2.87361E-16  1.02618E+01  2.73386E-09  1.0E-07
  8.500E-04  5.50215E-11  2.87361E-16  1.02618E+01  2.81671E-09  1.0E-07
  8.750E-04  5.83057E-11  2.87361E-16  1.02618E+01  2.89955E-09  1.0E-07
  9.000E-04  6.16850E-11  2.87361E-16  1.02618E+01  2.98239E-09  1.0E-07
  9.250E-04  6.51595E-11  2.87361E-16  1.02618E+01  3.06524E-09  1.0E-07
  9.500E-04  6.87293E-11  2.87361E-16  1.02618E+01  3.14808E-09  1.0E-07
  9.750E-04  7.23943E-11  2.87361E-16  1.02618E+01  3.23093E-09  1.0E-07
  1.000E-03  7.61544E-11  2.87361E-16  1.02618E+01  3.31377E-09  1.0E-07
  1.250E-03  1.18991E-10  2.87361E-16  1.02618E+01  4.14222E-09  1.0E-07
  1.500E-03  1.71347E-10  2.87361E-16  1.02618E+01  4.97066E-09  1.0E-07
  1.750E-03  2.33223E-10  2.87361E-16  1.02618E+01  5.79910E-09  1.0E-07
  2.000E-03  3.04617E-10  2.87361E-16  1.02618E+01  6.62754E-09  1.0E-07
  2.250E-03  3.85531E-10  2.87361E-16  1.02618E+01  7.45599E-09  1.0E-07
  2.500E-03  4.75965E-10  2.87361E-16  1.02618E+01  8.28443E-09  1.0E-07
  2.750E-03  5.75917E-10  2.87361E-16  1.02618E+01  9.11287E-09  1.0E-07
  3.000E-03  6.85389E-10  2.87361E-16  1.02618E+01  9.94132E-09  1.0E-07
  3.250E-03  8.04380E-10  2.87361E-16  1.02618E+01  1.07698E-08  1.0E-07
  3.500E-03  9.32891E-10  2.87361E-16  1.02618E+01  1.15982E-08  1.0E-07
  3.750E-03  1.07092E-09  2.87361E-16  1.02618E+01  1.24266E-08  1.0E-07
  4.000E-03  1.21847E-09  2.87361E-16  1.02618E+01  1.32551E-08  1.0E-07
  4.250E-03  1.37554E-09  2.87361E-16  1.02618E+01  1.40835E-08  1.0E-07
  4.500E-03  1.54213E-09  2.87361E-16  1.02618E+01  1.49120E-08  1.0E-07
  4.750E-03  1.71823E-09  2.87361E-16  1.02618E+01  1.57404E-08  1.0E-07
  5.000E-03  1.90386E-09  2.87361E-16  1.02618E+01  1.65689E-08  1.0E-07
  5.250E-03  2.09900E-09  2.87361E-16  1.02618E+01  1.73973E-08  1.0E-07
  5.500E-03  2.30367E-09  2.87361E-16  1.02618E+01  1.82257E-08  1.0E-07
  5.750E-03  2.51785E-09  2.87361E-16  1.02618E+01  1.90542E-08  1.0E-07
  6.000E-03  2.74156E-09  2.87361E-16  1.02618E+01  1.98826E-08  1.0E-07
  6.250E-03  2.97478E-09  2.87361E-16  1.02618E+01  2.07111E-08  1.0E-07
  6.500E-03  3.21752E-09  2.87361E-16  1.02618E+01  2.15395E-08  1.0E-07
  6.750E-03  3.46978E-09  2.87361E-16  1.02618E+01  2.23680E-08  1.0E-07
  7.000E-03  3.73156E-09  2.87361E-16  1.02618E+01  2.31964E-08  1.0E-07
  7.250E-03  4.00286E-09  2.87361E-16  1.02618E+01  2.40249E-08  1.0E-07
  7.500E-03  4.28368E-09  2.87361E-16  1.02618E+01  2.48533E-08  1.0E-07
  7.750E-03  4.57402E-09  2.87361E-16  1.02618E+01  2.56817E-08  1.0E-07
  8.000E-03  4.87388E-09  2.87361E-16  1.02618E+01  2.65102E-08  1.0E-07
  8.250E-03  5.18326E-09  2.87360E-16  1.02618E+01  2.73386E-08  1.0E-07
  8.500E-03  5.50215E-09  2.87360E-16  1.02618E+01  2.81671E-08  1.0E-07
  8.750E-03  5.83057E-09  2.87360E-16  1.02618E+01  2.89955E-08  1.0E-07
  9.000E-03  6.16850E-09  2.87360E-16  1.02618E+01  2.98240E-08  1.0E-07
  9.250E-03  6.51596E-09  2.87360E-16  1.02618E+01  3.06524E-08  1.0E-07
  9.500E-03  6.87293E-09  2.87360E-16  1.02618E+01  3.14808E-08  1.0E-07
  9.750E-03  7.23942E-09  2.87360E-16  1.02618E+01  3.23093E-08  1.0E-07
  1.000E-02  7.61544E-09  2.87360E-16  1.02618E+01  3.31377E-08  1.0E-07
  1.250E-02  1.18991E-08  2.87360E-16  1.02618E+01  4.14222E-08  1.0E-07
  1.500E-02  1.71347E-08  2.87360E-16  1.02618E+01  4.97066E-08  1.0E-07
  1.750E-02  2.33223E-08  2.87360E-16  1.02618E+01  5.79911E-08  1.0E-07
  2.000E-02  3.04617E-08  2.87360E-16  1.02618E+01  6.62755E-08  1.0E-07
  2.250E-02  3.85531E-08  2.87359E-16  1.02618E+01  7.45600E-08  1.0E-07
  2.500E-02  4.75965E-08  2.87359E-16  1.02618E+01  8.28445E-08  1.0E-07
  2.750E-02  5.75917E-08  2.87359E-16  1.02618E+01  9.11290E-08  1.0E-07
  3.000E-02  6.85389E-08  2.87358E-16  1.02617E+01  9.94135E-08  1.0E-07
  3.250E-02  8.04380E-08  2.87358E-16  1.02617E+01  1.07698E-07  1.0E-07
  3.500E-02  9.32891E-08  2.87357E-16  1.02617E+01  1.15983E-07  1.0E-07
  3.750E-02  1.07092E-07  2.87357E-16  1.02617E+01  1.24267E-07  1.0E-07
  4.000E-02  1.21847E-07  2.87356E-16  1.02617E+01  1.32552E-07  1.0E-07
  4.250E-02  1.37554E-07  2.87356E-16  1.02617E+01  1.40836E-07  1.0E-07
  4.500E-02  1.54213E-07  2.87355E-16  1.02616E+01  1.49121E-07  1.0E-07
  4.750E-02  1.71823E-07  2.87355E-16  1.02616E+01  1.57406E-07  1.0E-07
  5.000E-02  1.90386E-07  2.87354E-16  1.02616E+01  1.65690E-07  1.0E-07
  5.250E-02  2.09900E-07  2.87353E-16  1.02616E+01  1.73975E-07  1.0E-07
  5.500E-02  2.30367E-07  2.87352E-16  1.02615E+01  1.82260E-07  1.0E-07
  5.750E-02  2.51785E-07  2.87352E-16  1.02615E+01  1.90544E-07  1.0E-07
  6.000E-02  2.74156E-07  2.87351E-16  1.02615E+01  1.98829E-07  1.0E-07
  6.250E-02  2.97478E-07  2.87350E-16  1.02615E+01  2.07114E-07  1.0E-07
  6.500E-02  3.21752E-07  2.87349E-16  1.02614E+01  2.15399E-07  1.0E-07
  6.750E-02  3.46978E-07  2.87348E-16  1.02614E+01  2.23684E-07  1.0E-07
  7.000E-02  3.73156E-07  2.87347E-16  1.02614E+01  2.31969E-07  1.0E-07
  7.250E-02  4.00286E-07  2.87346E-16  1.02613E+01  2.40253E-07  1.0E-07
  7.500E-02  4.28368E-07  2.87345E-16  1.02613E+01  2.48538E-07  1.0E-07
  7.750E-02  4.57402E-07  2.87344E-16  1.02613E+01  2.56823E-07  1.0E-07
  8.000E-02  4.87388E-07  2.87343E-16  1.02612E+01  2.65108E-07  1.0E-07
  8.250E-02  5.18325E-07  2.87342E-16  1.02612E+01  2.73394E-07  1.0E-07
  8.500E-02  5.50215E-07  2.87341E-16  1.02611E+01  2.81679E-07  1.0E-07
  8.750E-02  5.83057E-07  2.87340E-16  1.02611E+01  2.89964E-07  1.0E-07
  9.000E-02  6.16850E-07  2.87339E-16  1.02611E+01  2.98249E-07  1.0E-07
  9.250E-02  6.51596E-07  2.87338E-16  1.02610E+01  3.06534E-07  1.0E-07
  9.500E-02  6.87293E-07  2.87336E-16  1.02610E+01  3.14820E-07  1.0E-07
  9.750E-02  7.23942E-07  2.87335E-16  1.02609E+01  3.23105E-07  1.0E-07
  1.000E-01  7.61543E-07  2.87334E-16  1.02609E+01  3.31390E-07  1.0E-07
  1.250E-01  1.18991E-06  2.87318E-16  1.02603E+01  4.14247E-07  1.0E-07
  1.500E-01  1.71347E-06  2.87300E-16  1.02597E+01  4.97110E-07  1.0E-07
  1.750E-01  2.33223E-06  2.87278E-16  1.02589E+01  5.79981E-07  1.0E-07
  2.000E-01  3.04617E-06  2.87252E-16  1.02580E+01  6.62860E-07  1.0E-07
  2.250E-01  3.85531E-06  2.87224E-16  1.02569E+01  7.45748E-07  1.0E-07
  2.500E-01  4.75964E-06  2.87191E-16  1.02558E+01  8.28648E-07  1.0E-07
  2.750E-01  5.75916E-06  2.87156E-16  1.02545E+01  9.11561E-07  1.0E-07
  3.000E-01  6.85388E-06  2.87117E-16  1.02531E+01  9.94487E-07  1.0E-07
  3.250E-01  8.04378E-06  2.87075E-16  1.02516E+01  1.07743E-06  1.0E-07
  3.500E-01  9.32888E-06  2.87029E-16  1.02500E+01  1.16038E-06  1.0E-07
  3.750E-01  1.07092E-05  2.86980E-16  1.02482E+01  1.24336E-06  1.0E-07
  4.000E-01  1.21846E-05  2.86928E-16  1.02464E+01  1.32635E-06  1.0E-07
  4.250E-01  1.37553E-05  2.86872E-16  1.02444E+01  1.40936E-06  1.0E-07
  4.500E-01  1.54212E-05  2.86813E-16  1.02423E+01  1.49240E-06  1.0E-07
  4.750E-01  1.71822E-05  2.86750E-16  1.02400E+01  1.57545E-06  1.0E-07
  5.000E-01  1.90385E-05  2.86685E-16  1.02377E+01  1.65853E-06  1.0E-07
  5.250E-01  2.09899E-05  2.86615E-16  1.02352E+01  1.74163E-06  1.0E-07
  5.500E-01  2.30365E-05  2.86543E-16  1.02326E+01  1.82476E-06  1.0E-07
  5.750E-01  2.51783E-05  2.86467E-16  1.02299E+01  1.90792E-06  1.0E-07
  6.000E-01  2.74153E-05  2.86388E-16  1.02271E+01  1.99110E-06  1.0E-07
  6.250E-01  2.97475E-05  2.86305E-16  1.02241E+01  2.07432E-06  1.0E-07
  6.500E-01  3.21749E-05  2.86219E-16  1.02211E+01  2.15756E-06  1.0E-07
