 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.10000E+04 eV = 4.04243E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Muffin-tin model: Rmt = 1.68000E-08 cm
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.62573E-17 cm**2 = 5.80560E-01 a0**2
 # 1st transport cross section = 2.56882E-19 cm**2 = 9.17341E-03 a0**2
 # 2nd transport cross section = 6.03382E-19 cm**2 = 2.15472E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.51255E-15  5.40142E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.51255E-15  5.40142E+01  2.61850E-10  1.0E-07
  1.250E-04  1.18994E-12  1.51255E-15  5.40142E+01  3.27313E-10  1.0E-07
  1.500E-04  1.71346E-12  1.51255E-15  5.40142E+01  3.92776E-10  1.0E-07
  1.750E-04  2.33225E-12  1.51255E-15  5.40142E+01  4.58238E-10  1.0E-07
  2.000E-04  3.04617E-12  1.51255E-15  5.40142E+01  5.23701E-10  1.0E-07
  2.250E-04  3.85530E-12  1.51255E-15  5.40142E+01  5.89164E-10  1.0E-07
  2.500E-04  4.75964E-12  1.51255E-15  5.40142E+01  6.54626E-10  1.0E-07
  2.750E-04  5.75917E-12  1.51255E-15  5.40142E+01  7.20089E-10  1.0E-07
  3.000E-04  6.85391E-12  1.51255E-15  5.40142E+01  7.85551E-10  1.0E-07
  3.250E-04  8.04379E-12  1.51255E-15  5.40142E+01  8.51014E-10  1.0E-07
  3.500E-04  9.32893E-12  1.51255E-15  5.40142E+01  9.16477E-10  1.0E-07
  3.750E-04  1.07092E-11  1.51255E-15  5.40142E+01  9.81939E-10  1.0E-07
  4.000E-04  1.21847E-11  1.51255E-15  5.40142E+01  1.04740E-09  1.0E-07
  4.250E-04  1.37554E-11  1.51255E-15  5.40142E+01  1.11286E-09  1.0E-07
  4.500E-04  1.54213E-11  1.51255E-15  5.40142E+01  1.17833E-09  1.0E-07
  4.750E-04  1.71823E-11  1.51255E-15  5.40142E+01  1.24379E-09  1.0E-07
  5.000E-04  1.90386E-11  1.51255E-15  5.40142E+01  1.30925E-09  1.0E-07
  5.250E-04  2.09900E-11  1.51255E-15  5.40142E+01  1.37471E-09  1.0E-07
  5.500E-04  2.30367E-11  1.51255E-15  5.40142E+01  1.44018E-09  1.0E-07
  5.750E-04  2.51785E-11  1.51255E-15  5.40142E+01  1.50564E-09  1.0E-07
  6.000E-04  2.74156E-11  1.51255E-15  5.40142E+01  1.57110E-09  1.0E-07
  6.250E-04  2.97478E-11  1.51255E-15  5.40142E+01  1.63657E-09  1.0E-07
  6.500E-04  3.21752E-11  1.51255E-15  5.40142E+01  1.70203E-09  1.0E-07
  6.750E-04  3.46979E-11  1.51255E-15  5.40142E+01  1.76749E-09  1.0E-07
  7.000E-04  3.73157E-11  1.51255E-15  5.40142E+01  1.83295E-09  1.0E-07
  7.250E-04  4.00286E-11  1.51255E-15  5.40142E+01  1.89842E-09  1.0E-07
  7.500E-04  4.28368E-11  1.51255E-15  5.40142E+01  1.96388E-09  1.0E-07
  7.750E-04  4.57402E-11  1.51255E-15  5.40142E+01  2.02934E-09  1.0E-07
  8.000E-04  4.87388E-11  1.51255E-15  5.40142E+01  2.09480E-09  1.0E-07
  8.250E-04  5.18325E-11  1.51255E-15  5.40142E+01  2.16027E-09  1.0E-07
  8.500E-04  5.50215E-11  1.51255E-15  5.40142E+01  2.22573E-09  1.0E-07
  8.750E-04  5.83057E-11  1.51255E-15  5.40142E+01  2.29119E-09  1.0E-07
  9.000E-04  6.16850E-11  1.51255E-15  5.40142E+01  2.35665E-09  1.0E-07
  9.250E-04  6.51595E-11  1.51255E-15  5.40142E+01  2.42212E-09  1.0E-07
  9.500E-04  6.87293E-11  1.51255E-15  5.40142E+01  2.48758E-09  1.0E-07
  9.750E-04  7.23943E-11  1.51255E-15  5.40142E+01  2.55304E-09  1.0E-07
  1.000E-03  7.61544E-11  1.51255E-15  5.40142E+01  2.61850E-09  1.0E-07
  1.250E-03  1.18991E-10  1.51255E-15  5.40142E+01  3.27313E-09  1.0E-07
  1.500E-03  1.71347E-10  1.51255E-15  5.40142E+01  3.92776E-09  1.0E-07
  1.750E-03  2.33223E-10  1.51255E-15  5.40142E+01  4.58238E-09  1.0E-07
  2.000E-03  3.04617E-10  1.51255E-15  5.40141E+01  5.23701E-09  1.0E-07
  2.250E-03  3.85531E-10  1.51255E-15  5.40141E+01  5.89164E-09  1.0E-07
  2.500E-03  4.75965E-10  1.51255E-15  5.40141E+01  6.54626E-09  1.0E-07
  2.750E-03  5.75917E-10  1.51255E-15  5.40141E+01  7.20089E-09  1.0E-07
  3.000E-03  6.85389E-10  1.51255E-15  5.40141E+01  7.85552E-09  1.0E-07
  3.250E-03  8.04380E-10  1.51255E-15  5.40141E+01  8.51014E-09  1.0E-07
  3.500E-03  9.32891E-10  1.51255E-15  5.40141E+01  9.16477E-09  1.0E-07
  3.750E-03  1.07092E-09  1.51255E-15  5.40141E+01  9.81940E-09  1.0E-07
  4.000E-03  1.21847E-09  1.51255E-15  5.40141E+01  1.04740E-08  1.0E-07
  4.250E-03  1.37554E-09  1.51255E-15  5.40140E+01  1.11287E-08  1.0E-07
  4.500E-03  1.54213E-09  1.51255E-15  5.40140E+01  1.17833E-08  1.0E-07
  4.750E-03  1.71823E-09  1.51255E-15  5.40140E+01  1.24379E-08  1.0E-07
  5.000E-03  1.90386E-09  1.51255E-15  5.40140E+01  1.30925E-08  1.0E-07
  5.250E-03  2.09900E-09  1.51255E-15  5.40140E+01  1.37472E-08  1.0E-07
  5.500E-03  2.30367E-09  1.51254E-15  5.40139E+01  1.44018E-08  1.0E-07
  5.750E-03  2.51785E-09  1.51254E-15  5.40139E+01  1.50564E-08  1.0E-07
  6.000E-03  2.74156E-09  1.51254E-15  5.40139E+01  1.57111E-08  1.0E-07
  6.250E-03  2.97478E-09  1.51254E-15  5.40139E+01  1.63657E-08  1.0E-07
  6.500E-03  3.21752E-09  1.51254E-15  5.40139E+01  1.70203E-08  1.0E-07
  6.750E-03  3.46978E-09  1.51254E-15  5.40138E+01  1.76750E-08  1.0E-07
  7.000E-03  3.73156E-09  1.51254E-15  5.40138E+01  1.83296E-08  1.0E-07
  7.250E-03  4.00286E-09  1.51254E-15  5.40138E+01  1.89842E-08  1.0E-07
  7.500E-03  4.28368E-09  1.51254E-15  5.40137E+01  1.96388E-08  1.0E-07
  7.750E-03  4.57402E-09  1.51254E-15  5.40137E+01  2.02935E-08  1.0E-07
  8.000E-03  4.87388E-09  1.51254E-15  5.40137E+01  2.09481E-08  1.0E-07
  8.250E-03  5.18326E-09  1.51254E-15  5.40137E+01  2.16027E-08  1.0E-07
  8.500E-03  5.50215E-09  1.51254E-15  5.40136E+01  2.22574E-08  1.0E-07
  8.750E-03  5.83057E-09  1.51253E-15  5.40136E+01  2.29120E-08  1.0E-07
  9.000E-03  6.16850E-09  1.51253E-15  5.40136E+01  2.35667E-08  1.0E-07
  9.250E-03  6.51596E-09  1.51253E-15  5.40135E+01  2.42213E-08  1.0E-07
  9.500E-03  6.87293E-09  1.51253E-15  5.40135E+01  2.48759E-08  1.0E-07
