

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      1.18025212E+00      0.00000000E+00
       1      8.47583810E-01      8.63602435E-01
       2      6.81846784E-01      6.89414468E-01
       3      5.74725561E-01      5.79547958E-01
       4      4.97422802E-01      5.00883669E-01
       5      4.38133154E-01      4.40781462E-01
       6      3.90854247E-01      3.92964401E-01
       7      3.52111123E-01      3.53840344E-01
       8      3.19709822E-01      3.21156700E-01
       9      2.92176859E-01      2.93407298E-01
      10      2.68476044E-01      2.69536235E-01
      11      2.47852348E-01      2.48775868E-01
      12      2.29739973E-01      2.30551942E-01
      13      2.13705141E-01      2.14424797E-01
      14      1.99409021E-01      2.00051378E-01
      15      1.86582722E-01      1.87159692E-01
      16      1.75010000E-01      1.75531159E-01
      17      1.64514912E-01      1.64988052E-01
      18      1.54952851E-01      1.55384377E-01
      19      1.46203910E-01      1.46599136E-01
      20      1.38167842E-01      1.38531211E-01
      21      1.30760260E-01      1.31095514E-01
      22      1.23909620E-01      1.24219934E-01
      23      1.17554943E-01      1.17843026E-01
      24      1.11643916E-01      1.11912091E-01
      25      1.06131468E-01      1.06381740E-01
      26      1.00978542E-01      1.01212648E-01
      27      9.61511553E-02      9.63706093E-02
      28      9.16196053E-02      9.18257317E-02
      29      8.73578107E-02      8.75517729E-02
      30      8.33428016E-02      8.35256258E-02
      31      7.95542356E-02      7.97268304E-02
      32      7.59740710E-02      7.61372440E-02
      33      7.25862099E-02      7.27406817E-02
      34      6.93762705E-02      6.95226856E-02
      35      6.63313452E-02      6.64702829E-02
      36      6.34398104E-02      6.35717921E-02
      37      6.06911857E-02      6.08166828E-02
      38      5.80759619E-02      5.81954017E-02
      39      5.55855211E-02      5.56992918E-02
      40      5.32120030E-02      5.33204587E-02
      41      5.09482335E-02      5.10516975E-02
      42      4.87876514E-02      4.88864201E-02
      43      4.67242223E-02      4.68185677E-02
      44      4.47524104E-02      4.48425830E-02
      45      4.28671002E-02      4.29533313E-02
      46      4.10635696E-02      4.11460727E-02
      47      3.93374505E-02      3.94164237E-02
      48      3.76846804E-02      3.77603075E-02
      49      3.61014948E-02      3.61739467E-02
      50      3.45843808E-02      3.46538167E-02
      51      3.31300625E-02      3.31966310E-02
      52      3.17354848E-02      3.17993249E-02
      53      3.03977807E-02      3.04590224E-02
      54      2.91142704E-02      2.91730357E-02
      55      2.78824364E-02      2.79388398E-02
      56      2.66999116E-02      2.67540605E-02
      57      2.55644728E-02      2.56164687E-02
      58      2.44740215E-02      2.45239598E-02
      59      2.34265820E-02      2.34745527E-02
      60      2.24202877E-02      2.24663759E-02
      61      2.14533736E-02      2.14976596E-02
      62      2.05241738E-02      2.05667337E-02
      63      1.96311057E-02      1.96720116E-02
      64      1.87726734E-02      1.88119935E-02
      65      1.79474598E-02      1.79852589E-02
      66      1.71541120E-02      1.71904516E-02
      67      1.63913541E-02      1.64262925E-02
      68      1.56579712E-02      1.56915641E-02
      69      1.49527988E-02      1.49850991E-02
      70      1.42747424E-02      1.43058001E-02
      71      1.36227544E-02      1.36526177E-02
      72      1.29958256E-02      1.30245401E-02
      73      1.23930121E-02      1.24206212E-02
      74      1.18134079E-02      1.18399532E-02
      75      1.12561321E-02      1.12816535E-02
      76      1.07203658E-02      1.07449008E-02
      77      1.02053255E-02      1.02289104E-02
      78      9.71023777E-03      9.73290746E-03
      79      9.23438515E-03      9.25617219E-03
      80      8.77709237E-03      8.79802840E-03
      81      8.33767982E-03      8.35779569E-03
      82      7.91550863E-03      7.93483286E-03
      83      7.50999719E-03      7.52855713E-03
      84      7.12055614E-03      7.13837912E-03
      85      6.74660607E-03      6.76371759E-03
      86      6.38763607E-03      6.40405962E-03
      87      6.04314986E-03      6.05890925E-03
      88      5.71262486E-03      5.72774342E-03
      89      5.39558709E-03      5.41008554E-03
      90      5.09162267E-03      5.10552098E-03
      91      4.80028959E-03      4.81360875E-03
      92      4.52113186E-03      4.53389146E-03
      93      4.25376917E-03      4.26598608E-03
      94      3.99785778E-03      4.00954928E-03
      95      3.75300009E-03      3.76418477E-03  i
      96      3.51879924E-03      3.52949360E-03  i
      97      3.29494817E-03      3.30516594E-03  i
      98      3.08116357E-03      3.09091960E-03  i
      99      2.87709166E-03      2.88640257E-03  i
     100      2.68237534E-03      2.69125557E-03  i
     105      1.84000028E-03      1.84691275E-03  i
     110      1.19280555E-03      1.19803310E-03  i
     115      7.12832025E-04      7.16617975E-04  i
     120      3.75934004E-04      3.78492722E-04  i
     125      1.60260181E-04      1.61777941E-04  i
     130      4.33367338E-05      4.40200650E-05  i
     135      5.17926338E-06      5.30822373E-06  i
     140      2.53061450E-07      2.61801771E-07  i
     145      5.45950684E-09      5.70001490E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
