 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  14,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+01  8.29372E-16  3.52721E-16  4.92558E-16  0.00000E+00  1.0E-07
   1.10000E+01  7.78737E-16  3.37297E-16  4.45379E-16  0.00000E+00  1.0E-07
   1.20000E+01  7.35344E-16  3.20778E-16  4.07887E-16  0.00000E+00  1.0E-07
   1.30000E+01  7.00055E-16  3.04434E-16  3.79857E-16  0.00000E+00  1.0E-07
   1.40000E+01  6.72940E-16  2.89478E-16  3.60706E-16  0.00000E+00  1.0E-07
   1.50000E+01  6.53508E-16  2.76863E-16  3.49555E-16  0.00000E+00  1.0E-07
   1.60000E+01  6.40889E-16  2.67218E-16  3.45291E-16  0.00000E+00  1.0E-07
   1.70000E+01  6.33979E-16  2.60857E-16  3.46649E-16  0.00000E+00  1.0E-07
   1.80000E+01  6.31561E-16  2.57803E-16  3.52289E-16  0.00000E+00  1.0E-07
   1.90000E+01  6.32405E-16  2.57839E-16  3.60883E-16  0.00000E+00  1.0E-07
   2.00000E+01  6.35358E-16  2.60574E-16  3.71190E-16  0.00000E+00  1.0E-07
   2.50000E+01  6.52798E-16  2.96546E-16  4.17509E-16  0.00000E+00  1.0E-07
   3.00000E+01  6.45261E-16  3.32411E-16  4.25017E-16  0.00000E+00  1.0E-07
   3.50000E+01  6.18185E-16  3.49778E-16  4.03177E-16  0.00000E+00  1.0E-07
   4.00000E+01  5.86332E-16  3.52199E-16  3.71549E-16  0.00000E+00  1.0E-07
   4.50000E+01  5.56902E-16  3.46169E-16  3.40413E-16  0.00000E+00  1.0E-07
   5.00000E+01  5.31664E-16  3.36046E-16  3.13095E-16  0.00000E+00  1.0E-07
   6.00000E+01  4.91849E-16  3.11700E-16  2.70213E-16  0.00000E+00  1.0E-07
   7.00000E+01  4.61265E-16  2.86886E-16  2.38650E-16  0.00000E+00  1.0E-07
   8.00000E+01  4.36276E-16  2.63421E-16  2.14413E-16  0.00000E+00  1.0E-07
   9.00000E+01  4.15185E-16  2.41822E-16  1.95302E-16  0.00000E+00  1.0E-07
   1.00000E+02  3.97047E-16  2.22263E-16  1.79936E-16  0.00000E+00  1.0E-07
   1.50000E+02  3.32238E-16  1.51922E-16  1.32501E-16  0.00000E+00  1.0E-07
   2.00000E+02  2.89329E-16  1.11141E-16  1.05890E-16  0.00000E+00  1.0E-07
   2.50000E+02  2.57856E-16  8.55008E-17  8.81745E-17  0.00000E+00  1.0E-07
   3.00000E+02  2.33457E-16  6.82918E-17  7.52943E-17  0.00000E+00  1.0E-07
   3.50000E+02  2.13907E-16  5.61009E-17  6.54707E-17  0.00000E+00  1.0E-07
   4.00000E+02  1.97831E-16  4.71110E-17  5.77229E-17  0.00000E+00  1.0E-07
   4.50000E+02  1.84339E-16  4.02634E-17  5.14503E-17  0.00000E+00  1.0E-07
   5.00000E+02  1.72835E-16  3.49052E-17  4.62733E-17  0.00000E+00  1.0E-07
   6.00000E+02  1.54191E-16  2.71342E-17  3.82447E-17  0.00000E+00  1.0E-07
   7.00000E+02  1.39660E-16  2.18342E-17  3.23230E-17  0.00000E+00  1.0E-07
   8.00000E+02  1.27961E-16  1.80316E-17  2.77939E-17  0.00000E+00  1.0E-07
   9.00000E+02  1.18299E-16  1.51960E-17  2.42297E-17  0.00000E+00  1.0E-07
   1.00000E+03  1.10160E-16  1.30160E-17  2.13619E-17  0.00000E+00  1.0E-07
   1.50000E+03  8.29223E-17  7.06224E-18  1.27913E-17  0.00000E+00  1.0E-07
   2.00000E+03  6.71180E-17  4.51012E-18  8.65947E-18  0.00000E+00  1.4E-07
   2.50000E+03  5.66237E-17  3.15938E-18  6.30835E-18  0.00000E+00  1.1E-07
   3.00000E+03  4.90855E-17  2.35020E-18  4.82797E-18  0.00000E+00  2.0E-07
   3.50000E+03  4.33822E-17  1.82391E-18  3.82917E-18  0.00000E+00  2.1E-07
   4.00000E+03  3.89045E-17  1.46085E-18  3.12041E-18  0.00000E+00  1.4E-07
   4.50000E+03  3.52893E-17  1.19904E-18  2.59763E-18  0.00000E+00  2.8E-07
   5.00000E+03  3.23062E-17  1.00358E-18  2.20005E-18  0.00000E+00  4.1E-07
   6.00000E+03  2.76654E-17  7.35642E-19  1.64331E-18  0.00000E+00  4.7E-07
   7.00000E+03  2.42174E-17  5.64406E-19  1.27910E-18  0.00000E+00  3.0E-07
   8.00000E+03  2.15521E-17  4.47949E-19  1.02693E-18  0.00000E+00  3.9E-07
   9.00000E+03  1.94289E-17  3.64950E-19  8.44610E-19  0.00000E+00  1.1E-06
   1.00000E+04  1.76971E-17  3.03593E-19  7.08236E-19  0.00000E+00  7.2E-07
   1.10000E+04  1.62573E-17  2.56882E-19  6.03382E-19  0.00000E+00  1.2E-06
   1.20000E+04  1.50413E-17  2.20451E-19  5.20910E-19  0.00000E+00  2.2E-06
   1.30000E+04  1.40004E-17  1.91459E-19  4.54792E-19  0.00000E+00  4.2E-07
   1.40000E+04  1.30993E-17  1.67987E-19  4.00916E-19  0.00000E+00  1.2E-07
   1.50000E+04  1.23116E-17  1.48702E-19  3.56395E-19  0.00000E+00  1.0E-07
   1.60000E+04  1.16172E-17  1.32653E-19  3.19152E-19  0.00000E+00  1.6E-06
   1.70000E+04  1.10003E-17  1.19145E-19  2.87660E-19  0.00000E+00  3.4E-07
   1.80000E+04  1.04487E-17  1.07662E-19  2.60777E-19  0.00000E+00  1.0E-07
   1.90000E+04  9.95249E-18  9.78143E-20  2.37631E-19  0.00000E+00  2.1E-06
   2.00000E+04  9.50375E-18  8.93012E-20  2.17551E-19  0.00000E+00  3.5E-07
   2.10000E+04  9.09596E-18  8.18890E-20  2.00009E-19  0.00000E+00  1.0E-07
   2.20000E+04  8.72376E-18  7.53932E-20  1.84590E-19  0.00000E+00  1.3E-06
   2.30000E+04  8.38269E-18  6.96668E-20  1.70957E-19  0.00000E+00  1.8E-07
   2.40000E+04  8.06900E-18  6.45913E-20  1.58842E-19  0.00000E+00  3.3E-06
   2.50000E+04  7.77952E-18  6.00703E-20  1.48024E-19  0.00000E+00  4.5E-07
