 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.70000E+01 eV = 6.24739E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical TFM model
 #                   A1 =  1.00000D-01 ,   ALPHA1 = 2.92015D+01
 #                   A2 =  5.50000D-01 ,   ALPHA2 = 5.84029D+00
 #                   A3 =  3.50000D-01 ,   ALPHA3 = 1.46007D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 3.87070E-15 cm**2 = 1.38225E+02 a0**2
 # 1st transport cross section = 1.57658E-15 cm**2 = 5.63007E+01 a0**2
 # 2nd transport cross section = 1.34273E-15 cm**2 = 4.79498E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.79254E-15  1.71145E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.79254E-15  1.71145E+02  2.01454E-07  1.0E-07
  1.250E-04  1.18994E-12  4.79254E-15  1.71145E+02  2.51817E-07  1.0E-07
  1.500E-04  1.71346E-12  4.79254E-15  1.71145E+02  3.02181E-07  1.0E-07
  1.750E-04  2.33225E-12  4.79254E-15  1.71145E+02  3.52544E-07  1.0E-07
  2.000E-04  3.04617E-12  4.79254E-15  1.71145E+02  4.02907E-07  1.0E-07
  2.250E-04  3.85530E-12  4.79254E-15  1.71145E+02  4.53271E-07  1.0E-07
  2.500E-04  4.75964E-12  4.79254E-15  1.71145E+02  5.03634E-07  1.0E-07
  2.750E-04  5.75917E-12  4.79254E-15  1.71145E+02  5.53998E-07  1.0E-07
  3.000E-04  6.85391E-12  4.79254E-15  1.71145E+02  6.04361E-07  1.0E-07
  3.250E-04  8.04379E-12  4.79254E-15  1.71145E+02  6.54724E-07  1.0E-07
  3.500E-04  9.32893E-12  4.79254E-15  1.71145E+02  7.05088E-07  1.0E-07
  3.750E-04  1.07092E-11  4.79254E-15  1.71145E+02  7.55451E-07  1.0E-07
  4.000E-04  1.21847E-11  4.79254E-15  1.71145E+02  8.05815E-07  1.0E-07
  4.250E-04  1.37554E-11  4.79254E-15  1.71145E+02  8.56178E-07  1.0E-07
  4.500E-04  1.54213E-11  4.79254E-15  1.71145E+02  9.06542E-07  1.0E-07
  4.750E-04  1.71823E-11  4.79254E-15  1.71145E+02  9.56905E-07  1.0E-07
  5.000E-04  1.90386E-11  4.79254E-15  1.71145E+02  1.00727E-06  1.0E-07
  5.250E-04  2.09900E-11  4.79254E-15  1.71145E+02  1.05763E-06  1.0E-07
  5.500E-04  2.30367E-11  4.79254E-15  1.71145E+02  1.10800E-06  1.0E-07
  5.750E-04  2.51785E-11  4.79254E-15  1.71145E+02  1.15836E-06  1.0E-07
  6.000E-04  2.74156E-11  4.79254E-15  1.71145E+02  1.20872E-06  1.0E-07
  6.250E-04  2.97478E-11  4.79254E-15  1.71145E+02  1.25909E-06  1.0E-07
  6.500E-04  3.21752E-11  4.79254E-15  1.71145E+02  1.30945E-06  1.0E-07
  6.750E-04  3.46979E-11  4.79254E-15  1.71145E+02  1.35981E-06  1.0E-07
  7.000E-04  3.73157E-11  4.79254E-15  1.71145E+02  1.41018E-06  1.0E-07
  7.250E-04  4.00286E-11  4.79254E-15  1.71145E+02  1.46054E-06  1.0E-07
  7.500E-04  4.28368E-11  4.79254E-15  1.71145E+02  1.51090E-06  1.0E-07
  7.750E-04  4.57402E-11  4.79254E-15  1.71145E+02  1.56127E-06  1.0E-07
  8.000E-04  4.87388E-11  4.79254E-15  1.71145E+02  1.61163E-06  1.0E-07
  8.250E-04  5.18325E-11  4.79254E-15  1.71145E+02  1.66199E-06  1.0E-07
  8.500E-04  5.50215E-11  4.79254E-15  1.71145E+02  1.71236E-06  1.0E-07
  8.750E-04  5.83057E-11  4.79254E-15  1.71145E+02  1.76272E-06  1.0E-07
  9.000E-04  6.16850E-11  4.79254E-15  1.71145E+02  1.81308E-06  1.0E-07
  9.250E-04  6.51595E-11  4.79254E-15  1.71145E+02  1.86345E-06  1.0E-07
  9.500E-04  6.87293E-11  4.79254E-15  1.71145E+02  1.91381E-06  1.0E-07
  9.750E-04  7.23943E-11  4.79254E-15  1.71145E+02  1.96417E-06  1.0E-07
  1.000E-03  7.61544E-11  4.79254E-15  1.71145E+02  2.01454E-06  1.0E-07
  1.250E-03  1.18991E-10  4.79254E-15  1.71145E+02  2.51817E-06  1.0E-07
  1.500E-03  1.71347E-10  4.79254E-15  1.71145E+02  3.02181E-06  1.0E-07
  1.750E-03  2.33223E-10  4.79254E-15  1.71145E+02  3.52544E-06  1.0E-07
  2.000E-03  3.04617E-10  4.79254E-15  1.71145E+02  4.02907E-06  1.0E-07
  2.250E-03  3.85531E-10  4.79254E-15  1.71145E+02  4.53271E-06  1.0E-07
  2.500E-03  4.75965E-10  4.79254E-15  1.71145E+02  5.03634E-06  1.0E-07
  2.750E-03  5.75917E-10  4.79254E-15  1.71145E+02  5.53998E-06  1.0E-07
  3.000E-03  6.85389E-10  4.79254E-15  1.71145E+02  6.04361E-06  1.0E-07
  3.250E-03  8.04380E-10  4.79254E-15  1.71145E+02  6.54724E-06  1.0E-07
  3.500E-03  9.32891E-10  4.79254E-15  1.71145E+02  7.05088E-06  1.0E-07
  3.750E-03  1.07092E-09  4.79254E-15  1.71145E+02  7.55451E-06  1.0E-07
  4.000E-03  1.21847E-09  4.79254E-15  1.71145E+02  8.05815E-06  1.0E-07
  4.250E-03  1.37554E-09  4.79254E-15  1.71145E+02  8.56178E-06  1.0E-07
  4.500E-03  1.54213E-09  4.79254E-15  1.71145E+02  9.06542E-06  1.0E-07
  4.750E-03  1.71823E-09  4.79254E-15  1.71145E+02  9.56905E-06  1.0E-07
  5.000E-03  1.90386E-09  4.79254E-15  1.71145E+02  1.00727E-05  1.0E-07
  5.250E-03  2.09900E-09  4.79254E-15  1.71145E+02  1.05763E-05  1.0E-07
  5.500E-03  2.30367E-09  4.79254E-15  1.71145E+02  1.10800E-05  1.0E-07
  5.750E-03  2.51785E-09  4.79254E-15  1.71145E+02  1.15836E-05  1.0E-07
  6.000E-03  2.74156E-09  4.79254E-15  1.71145E+02  1.20872E-05  1.0E-07
  6.250E-03  2.97478E-09  4.79254E-15  1.71145E+02  1.25909E-05  1.0E-07
  6.500E-03  3.21752E-09  4.79254E-15  1.71145E+02  1.30945E-05  1.0E-07
  6.750E-03  3.46978E-09  4.79254E-15  1.71145E+02  1.35981E-05  1.0E-07
  7.000E-03  3.73156E-09  4.79254E-15  1.71145E+02  1.41018E-05  1.0E-07
  7.250E-03  4.00286E-09  4.79254E-15  1.71145E+02  1.46054E-05  1.0E-07
  7.500E-03  4.28368E-09  4.79254E-15  1.71145E+02  1.51090E-05  1.0E-07
  7.750E-03  4.57402E-09  4.79254E-15  1.71145E+02  1.56127E-05  1.0E-07
  8.000E-03  4.87388E-09  4.79254E-15  1.71145E+02  1.61163E-05  1.0E-07
  8.250E-03  5.18326E-09  4.79254E-15  1.71145E+02  1.66199E-05  1.0E-07
  8.500E-03  5.50215E-09  4.79254E-15  1.71145E+02  1.71236E-05  1.0E-07
  8.750E-03  5.83057E-09  4.79254E-15  1.71145E+02  1.76272E-05  1.0E-07
  9.000E-03  6.16850E-09  4.79254E-15  1.71145E+02  1.81308E-05  1.0E-07
  9.250E-03  6.51596E-09  4.79254E-15  1.71145E+02  1.86345E-05  1.0E-07
  9.500E-03  6.87293E-09  4.79254E-15  1.71145E+02  1.91381E-05  1.0E-07
  9.750E-03  7.23942E-09  4.79254E-15  1.71145E+02  1.96417E-05  1.0E-07
  1.000E-02  7.61544E-09  4.79254E-15  1.71145E+02  2.01454E-05  1.0E-07
  1.250E-02  1.18991E-08  4.79254E-15  1.71145E+02  2.51817E-05  1.0E-07
  1.500E-02  1.71347E-08  4.79253E-15  1.71145E+02  3.02181E-05  1.0E-07
  1.750E-02  2.33223E-08  4.79253E-15  1.71145E+02  3.52544E-05  1.0E-07
  2.000E-02  3.04617E-08  4.79253E-15  1.71144E+02  4.02907E-05  1.0E-07
  2.250E-02  3.85531E-08  4.79253E-15  1.71144E+02  4.53271E-05  1.0E-07
  2.500E-02  4.75965E-08  4.79253E-15  1.71144E+02  5.03634E-05  1.0E-07
  2.750E-02  5.75917E-08  4.79253E-15  1.71144E+02  5.53998E-05  1.0E-07
  3.000E-02  6.85389E-08  4.79253E-15  1.71144E+02  6.04361E-05  1.0E-07
  3.250E-02  8.04380E-08  4.79253E-15  1.71144E+02  6.54725E-05  1.0E-07
  3.500E-02  9.32891E-08  4.79253E-15  1.71144E+02  7.05088E-05  1.0E-07
  3.750E-02  1.07092E-07  4.79253E-15  1.71144E+02  7.55452E-05  1.0E-07
  4.000E-02  1.21847E-07  4.79253E-15  1.71144E+02  8.05815E-05  1.0E-07
  4.250E-02  1.37554E-07  4.79253E-15  1.71144E+02  8.56179E-05  1.0E-07
  4.500E-02  1.54213E-07  4.79252E-15  1.71144E+02  9.06542E-05  1.0E-07
  4.750E-02  1.71823E-07  4.79252E-15  1.71144E+02  9.56906E-05  1.0E-07
  5.000E-02  1.90386E-07  4.79252E-15  1.71144E+02  1.00727E-04  1.0E-07
  5.250E-02  2.09900E-07  4.79252E-15  1.71144E+02  1.05763E-04  1.0E-07
  5.500E-02  2.30367E-07  4.79252E-15  1.71144E+02  1.10800E-04  1.0E-07
  5.750E-02  2.51785E-07  4.79252E-15  1.71144E+02  1.15836E-04  1.0E-07
  6.000E-02  2.74156E-07  4.79251E-15  1.71144E+02  1.20872E-04  1.0E-07
  6.250E-02  2.97478E-07  4.79251E-15  1.71144E+02  1.25909E-04  1.0E-07
  6.500E-02  3.21752E-07  4.79251E-15  1.71144E+02  1.30945E-04  1.0E-07
  6.750E-02  3.46978E-07  4.79251E-15  1.71144E+02  1.35981E-04  1.0E-07
  7.000E-02  3.73156E-07  4.79251E-15  1.71144E+02  1.41018E-04  1.0E-07
  7.250E-02  4.00286E-07  4.79250E-15  1.71143E+02  1.46054E-04  1.0E-07
  7.500E-02  4.28368E-07  4.79250E-15  1.71143E+02  1.51091E-04  1.0E-07
  7.750E-02  4.57402E-07  4.79250E-15  1.71143E+02  1.56127E-04  1.0E-07
  8.000E-02  4.87388E-07  4.79250E-15  1.71143E+02  1.61163E-04  1.0E-07
  8.250E-02  5.18325E-07  4.79250E-15  1.71143E+02  1.66200E-04  1.0E-07
  8.500E-02  5.50215E-07  4.79249E-15  1.71143E+02  1.71236E-04  1.0E-07
  8.750E-02  5.83057E-07  4.79249E-15  1.71143E+02  1.76272E-04  1.0E-07
  9.000E-02  6.16850E-07  4.79249E-15  1.71143E+02  1.81309E-04  1.0E-07
  9.250E-02  6.51596E-07  4.79248E-15  1.71143E+02  1.86345E-04  1.0E-07
  9.500E-02  6.87293E-07  4.79248E-15  1.71143E+02  1.91382E-04  1.0E-07
  9.750E-02  7.23942E-07  4.79248E-15  1.71143E+02  1.96418E-04  1.0E-07
  1.000E-01  7.61543E-07  4.79248E-15  1.71142E+02  2.01454E-04  1.0E-07
  1.250E-01  1.18991E-06  4.79244E-15  1.71141E+02  2.51819E-04  1.0E-07
  1.500E-01  1.71347E-06  4.79240E-15  1.71140E+02  3.02183E-04  1.0E-07
  1.750E-01  2.33223E-06  4.79235E-15  1.71138E+02  3.52548E-04  1.0E-07
  2.000E-01  3.04617E-06  4.79229E-15  1.71136E+02  4.02913E-04  1.0E-07
  2.250E-01  3.85531E-06  4.79223E-15  1.71134E+02  4.53279E-04  1.0E-07
  2.500E-01  4.75964E-06  4.79216E-15  1.71131E+02  5.03646E-04  1.0E-07
  2.750E-01  5.75916E-06  4.79208E-15  1.71128E+02  5.54013E-04  1.0E-07
  3.000E-01  6.85388E-06  4.79199E-15  1.71125E+02  6.04381E-04  1.0E-07
  3.250E-01  8.04378E-06  4.79190E-15  1.71122E+02  6.54750E-04  1.0E-07
  3.500E-01  9.32888E-06  4.79179E-15  1.71118E+02  7.05119E-04  1.0E-07
  3.750E-01  1.07092E-05  4.79169E-15  1.71114E+02  7.55490E-04  1.0E-07
  4.000E-01  1.21846E-05  4.79157E-15  1.71110E+02  8.05862E-04  1.0E-07
  4.250E-01  1.37553E-05  4.79144E-15  1.71106E+02  8.56235E-04  1.0E-07
  4.500E-01  1.54212E-05  4.79131E-15  1.71101E+02  9.06609E-04  1.0E-07
  4.750E-01  1.71822E-05  4.79117E-15  1.71096E+02  9.56984E-04  1.0E-07
  5.000E-01  1.90385E-05  4.79102E-15  1.71091E+02  1.00736E-03  1.0E-07
  5.250E-01  2.09899E-05  4.79087E-15  1.71085E+02  1.05774E-03  1.0E-07
  5.500E-01  2.30365E-05  4.79071E-15  1.71079E+02  1.10812E-03  1.0E-07
  5.750E-01  2.51783E-05  4.79054E-15  1.71073E+02  1.15850E-03  1.0E-07
  6.000E-01  2.74153E-05  4.79036E-15  1.71067E+02  1.20888E-03  1.0E-07
  6.250E-01  2.97475E-05  4.79017E-15  1.71060E+02  1.25927E-03  1.0E-07
  6.500E-01  3.21749E-05  4.78998E-15  1.71053E+02  1.30965E-03  1.0E-07
  6.750E-01  3.46974E-05  4.78978E-15  1.71046E+02  1.36004E-03  1.0E-07
  7.000E-01  3.73152E-05  4.78957E-15  1.71039E+02  1.41043E-03  1.0E-07
  7.250E-01  4.00281E-05  4.78936E-15  1.71031E+02  1.46082E-03  1.0E-07
  7.500E-01  4.28362E-05  4.78913E-15  1.71023E+02  1.51121E-03  1.0E-07
  7.750E-01  4.57395E-05  4.78890E-15  1.71015E+02  1.56161E-03  1.0E-07
  8.000E-01  4.87380E-05  4.78866E-15  1.71006E+02  1.61201E-03  1.0E-07
  8.250E-01  5.18317E-05  4.78842E-15  1.70998E+02  1.66241E-03  1.0E-07
  8.500E-01  5.50205E-05  4.78817E-15  1.70989E+02  1.71281E-03  1.0E-07
  8.750E-01  5.83045E-05  4.78791E-15  1.70979E+02  1.76321E-03  1.0E-07
  9.000E-01  6.16838E-05  4.78764E-15  1.70970E+02  1.81362E-03  1.0E-07
  9.250E-01  6.51582E-05  4.78736E-15  1.70960E+02  1.86403E-03  1.0E-07
  9.500E-01  6.87277E-05  4.78708E-15  1.70950E+02  1.91444E-03  1.0E-07
  9.750E-01  7.23925E-05  4.78679E-15  1.70939E+02  1.96486E-03  1.0E-07
  1.000E+00  7.61524E-05  4.78649E-15  1.70929E+02  2.01527E-03  1.0E-07
  1.100E+00  9.21439E-05  4.78522E-15  1.70883E+02  2.21697E-03  1.0E-07
  1.200E+00  1.09658E-04  4.78383E-15  1.70834E+02  2.41872E-03  1.0E-07
  1.300E+00  1.28695E-04  4.78232E-15  1.70780E+02  2.62052E-03  1.0E-07
  1.400E+00  1.49255E-04  4.78069E-15  1.70721E+02  2.82237E-03  1.0E-07
  1.500E+00  1.71338E-04  4.77894E-15  1.70659E+02  3.02429E-03  1.0E-07
  1.600E+00  1.94942E-04  4.77707E-15  1.70592E+02  3.22628E-03  1.0E-07
  1.700E+00  2.20070E-04  4.77508E-15  1.70521E+02  3.42833E-03  1.0E-07
  1.800E+00  2.46720E-04  4.77296E-15  1.70446E+02  3.63046E-03  1.0E-07
  1.900E+00  2.74892E-04  4.77073E-15  1.70366E+02  3.83267E-03  1.0E-07
  2.000E+00  3.04586E-04  4.76838E-15  1.70282E+02  4.03497E-03  1.0E-07
  2.100E+00  3.35803E-04  4.76591E-15  1.70194E+02  4.23735E-03  1.0E-07
  2.200E+00  3.68542E-04  4.76332E-15  1.70101E+02  4.43983E-03  1.0E-07
  2.300E+00  4.02802E-04  4.76062E-15  1.70005E+02  4.64241E-03  1.0E-07
  2.400E+00  4.38585E-04  4.75779E-15  1.69904E+02  4.84508E-03  1.0E-07
  2.500E+00  4.75889E-04  4.75484E-15  1.69799E+02  5.04787E-03  1.0E-07
  2.600E+00  5.14715E-04  4.75178E-15  1.69689E+02  5.25076E-03  1.0E-07
  2.700E+00  5.55063E-04  4.74859E-15  1.69575E+02  5.45377E-03  1.0E-07
  2.800E+00  5.96931E-04  4.74529E-15  1.69457E+02  5.65690E-03  1.0E-07
  2.900E+00  6.40321E-04  4.74187E-15  1.69335E+02  5.86016E-03  1.0E-07
  3.000E+00  6.85233E-04  4.73834E-15  1.69209E+02  6.06354E-03  1.0E-07
  3.100E+00  7.31665E-04  4.73468E-15  1.69079E+02  6.26706E-03  1.0E-07
  3.200E+00  7.79618E-04  4.73091E-15  1.68944E+02  6.47072E-03  1.0E-07
  3.300E+00  8.29092E-04  4.72702E-15  1.68805E+02  6.67452E-03  1.0E-07
  3.400E+00  8.80086E-04  4.72302E-15  1.68662E+02  6.87847E-03  1.0E-07
  3.500E+00  9.32601E-04  4.71889E-15  1.68515E+02  7.08257E-03  1.0E-07
  3.600E+00  9.86636E-04  4.71465E-15  1.68363E+02  7.28682E-03  1.0E-07
  3.700E+00  1.04219E-03  4.71030E-15  1.68208E+02  7.49124E-03  1.0E-07
  3.800E+00  1.09927E-03  4.70583E-15  1.68048E+02  7.69582E-03  1.0E-07
  3.900E+00  1.15786E-03  4.70124E-15  1.67884E+02  7.90058E-03  1.0E-07
  4.000E+00  1.21797E-03  4.69654E-15  1.67717E+02  8.10551E-03  1.0E-07
  4.100E+00  1.27961E-03  4.69172E-15  1.67545E+02  8.31062E-03  1.0E-07
