 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.20000E+04 eV = 8.08485E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical TFM model
 #                   A1 =  1.00000D-01 ,   ALPHA1 = 2.92015D+01
 #                   A2 =  5.50000D-01 ,   ALPHA2 = 5.84029D+00
 #                   A3 =  3.50000D-01 ,   ALPHA3 = 1.46007D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.43055E-17 cm**2 = 2.65350E+00 a0**2
 # 1st transport cross section = 1.51107E-18 cm**2 = 5.39612E-02 a0**2
 # 2nd transport cross section = 2.80710E-18 cm**2 = 1.00243E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.70509E-14  6.08900E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.70509E-14  6.08900E+02  8.35855E-10  1.0E-07
  1.250E-04  1.18994E-12  1.70509E-14  6.08900E+02  1.04482E-09  1.0E-07
  1.500E-04  1.71346E-12  1.70509E-14  6.08900E+02  1.25378E-09  1.0E-07
  1.750E-04  2.33225E-12  1.70509E-14  6.08900E+02  1.46275E-09  1.0E-07
  2.000E-04  3.04617E-12  1.70509E-14  6.08900E+02  1.67171E-09  1.0E-07
  2.250E-04  3.85530E-12  1.70509E-14  6.08900E+02  1.88067E-09  1.0E-07
  2.500E-04  4.75964E-12  1.70509E-14  6.08900E+02  2.08964E-09  1.0E-07
  2.750E-04  5.75917E-12  1.70509E-14  6.08900E+02  2.29860E-09  1.0E-07
  3.000E-04  6.85391E-12  1.70509E-14  6.08900E+02  2.50756E-09  1.0E-07
  3.250E-04  8.04379E-12  1.70509E-14  6.08900E+02  2.71653E-09  1.0E-07
  3.500E-04  9.32893E-12  1.70509E-14  6.08900E+02  2.92549E-09  1.0E-07
  3.750E-04  1.07092E-11  1.70509E-14  6.08900E+02  3.13445E-09  1.0E-07
  4.000E-04  1.21847E-11  1.70509E-14  6.08900E+02  3.34342E-09  1.0E-07
  4.250E-04  1.37554E-11  1.70509E-14  6.08900E+02  3.55238E-09  1.0E-07
  4.500E-04  1.54213E-11  1.70509E-14  6.08900E+02  3.76135E-09  1.0E-07
  4.750E-04  1.71823E-11  1.70509E-14  6.08900E+02  3.97031E-09  1.0E-07
  5.000E-04  1.90386E-11  1.70509E-14  6.08900E+02  4.17927E-09  1.0E-07
  5.250E-04  2.09900E-11  1.70509E-14  6.08900E+02  4.38824E-09  1.0E-07
  5.500E-04  2.30367E-11  1.70509E-14  6.08900E+02  4.59720E-09  1.0E-07
  5.750E-04  2.51785E-11  1.70509E-14  6.08900E+02  4.80616E-09  1.0E-07
  6.000E-04  2.74156E-11  1.70509E-14  6.08900E+02  5.01513E-09  1.0E-07
  6.250E-04  2.97478E-11  1.70509E-14  6.08900E+02  5.22409E-09  1.0E-07
  6.500E-04  3.21752E-11  1.70509E-14  6.08900E+02  5.43306E-09  1.0E-07
  6.750E-04  3.46979E-11  1.70509E-14  6.08900E+02  5.64202E-09  1.0E-07
  7.000E-04  3.73157E-11  1.70509E-14  6.08900E+02  5.85098E-09  1.0E-07
  7.250E-04  4.00286E-11  1.70509E-14  6.08900E+02  6.05995E-09  1.0E-07
  7.500E-04  4.28368E-11  1.70509E-14  6.08900E+02  6.26891E-09  1.0E-07
  7.750E-04  4.57402E-11  1.70509E-14  6.08900E+02  6.47787E-09  1.0E-07
  8.000E-04  4.87388E-11  1.70509E-14  6.08900E+02  6.68684E-09  1.0E-07
  8.250E-04  5.18325E-11  1.70509E-14  6.08900E+02  6.89580E-09  1.0E-07
  8.500E-04  5.50215E-11  1.70509E-14  6.08900E+02  7.10477E-09  1.0E-07
  8.750E-04  5.83057E-11  1.70509E-14  6.08900E+02  7.31373E-09  1.0E-07
  9.000E-04  6.16850E-11  1.70509E-14  6.08900E+02  7.52269E-09  1.0E-07
  9.250E-04  6.51595E-11  1.70509E-14  6.08900E+02  7.73166E-09  1.0E-07
  9.500E-04  6.87293E-11  1.70509E-14  6.08900E+02  7.94062E-09  1.0E-07
  9.750E-04  7.23943E-11  1.70509E-14  6.08900E+02  8.14958E-09  1.0E-07
  1.000E-03  7.61544E-11  1.70509E-14  6.08900E+02  8.35855E-09  1.0E-07
  1.250E-03  1.18991E-10  1.70509E-14  6.08900E+02  1.04482E-08  1.0E-07
  1.500E-03  1.71347E-10  1.70509E-14  6.08900E+02  1.25378E-08  1.0E-07
  1.750E-03  2.33223E-10  1.70509E-14  6.08899E+02  1.46275E-08  1.0E-07
  2.000E-03  3.04617E-10  1.70509E-14  6.08899E+02  1.67171E-08  1.0E-07
  2.250E-03  3.85531E-10  1.70509E-14  6.08899E+02  1.88068E-08  1.0E-07
  2.500E-03  4.75965E-10  1.70509E-14  6.08898E+02  2.08964E-08  1.0E-07
  2.750E-03  5.75917E-10  1.70509E-14  6.08898E+02  2.29860E-08  1.0E-07
  3.000E-03  6.85389E-10  1.70509E-14  6.08897E+02  2.50757E-08  1.0E-07
  3.250E-03  8.04380E-10  1.70509E-14  6.08897E+02  2.71654E-08  1.0E-07
  3.500E-03  9.32891E-10  1.70508E-14  6.08896E+02  2.92550E-08  1.0E-07
  3.750E-03  1.07092E-09  1.70508E-14  6.08896E+02  3.13447E-08  1.0E-07
  4.000E-03  1.21847E-09  1.70508E-14  6.08895E+02  3.34343E-08  1.0E-07
  4.250E-03  1.37554E-09  1.70508E-14  6.08895E+02  3.55240E-08  1.0E-07
  4.500E-03  1.54213E-09  1.70508E-14  6.08894E+02  3.76137E-08  1.0E-07
  4.750E-03  1.71823E-09  1.70507E-14  6.08893E+02  3.97033E-08  1.0E-07
  5.000E-03  1.90386E-09  1.70507E-14  6.08893E+02  4.17930E-08  1.0E-07
  5.250E-03  2.09900E-09  1.70507E-14  6.08892E+02  4.38827E-08  1.0E-07
  5.500E-03  2.30367E-09  1.70507E-14  6.08891E+02  4.59724E-08  1.0E-07
  5.750E-03  2.51785E-09  1.70507E-14  6.08890E+02  4.80621E-08  1.0E-07
  6.000E-03  2.74156E-09  1.70506E-14  6.08889E+02  5.01518E-08  1.0E-07
  6.250E-03  2.97478E-09  1.70506E-14  6.08888E+02  5.22415E-08  1.0E-07
  6.500E-03  3.21752E-09  1.70506E-14  6.08887E+02  5.43312E-08  1.0E-07
  6.750E-03  3.46978E-09  1.70506E-14  6.08886E+02  5.64209E-08  1.0E-07
  7.000E-03  3.73156E-09  1.70505E-14  6.08885E+02  5.85106E-08  1.0E-07
  7.250E-03  4.00286E-09  1.70505E-14  6.08884E+02  6.06003E-08  1.0E-07
  7.500E-03  4.28368E-09  1.70505E-14  6.08883E+02  6.26901E-08  1.0E-07
  7.750E-03  4.57402E-09  1.70504E-14  6.08882E+02  6.47798E-08  1.0E-07
  8.000E-03  4.87388E-09  1.70504E-14  6.08881E+02  6.68695E-08  1.0E-07
  8.250E-03  5.18326E-09  1.70504E-14  6.08879E+02  6.89593E-08  1.0E-07
  8.500E-03  5.50215E-09  1.70503E-14  6.08878E+02  7.10490E-08  1.0E-07
  8.750E-03  5.83057E-09  1.70503E-14  6.08877E+02  7.31388E-08  1.0E-07
  9.000E-03  6.16850E-09  1.70503E-14  6.08876E+02  7.52286E-08  1.0E-07
  9.250E-03  6.51596E-09  1.70502E-14  6.08874E+02  7.73184E-08  1.0E-07
  9.500E-03  6.87293E-09  1.70502E-14  6.08873E+02  7.94082E-08  1.0E-07
  9.750E-03  7.23942E-09  1.70501E-14  6.08871E+02  8.14979E-08  1.0E-07
  1.000E-02  7.61544E-09  1.70501E-14  6.08870E+02  8.35878E-08  1.0E-07
  1.250E-02  1.18991E-08  1.70496E-14  6.08853E+02  1.04486E-07  1.0E-07
  1.500E-02  1.71347E-08  1.70490E-14  6.08832E+02  1.25386E-07  1.0E-07
  1.750E-02  2.33223E-08  1.70483E-14  6.08807E+02  1.46287E-07  1.0E-07
  2.000E-02  3.04617E-08  1.70475E-14  6.08778E+02  1.67189E-07  1.0E-07
