 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+01 eV = 1.65372E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical TFM model
 #                   A1 =  1.00000D-01 ,   ALPHA1 = 2.92015D+01
 #                   A2 =  5.50000D-01 ,   ALPHA2 = 5.84029D+00
 #                   A3 =  3.50000D-01 ,   ALPHA3 = 1.46007D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.00000E+00
 #
 # Total elastic cross section = 2.52012E-15 cm**2 = 8.99952E+01 a0**2
 # 1st transport cross section = 1.05913E-15 cm**2 = 3.78221E+01 a0**2
 # 2nd transport cross section = 7.24849E-16 cm**2 = 2.58848E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.16533E-15  2.91589E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  8.16533E-15  2.91589E+02  6.32620E-08  1.0E-07
  1.250E-04  1.18994E-12  8.16533E-15  2.91589E+02  7.90775E-08  1.0E-07
  1.500E-04  1.71346E-12  8.16533E-15  2.91589E+02  9.48930E-08  1.0E-07
  1.750E-04  2.33225E-12  8.16533E-15  2.91589E+02  1.10708E-07  1.0E-07
  2.000E-04  3.04617E-12  8.16533E-15  2.91589E+02  1.26524E-07  1.0E-07
  2.250E-04  3.85530E-12  8.16533E-15  2.91589E+02  1.42339E-07  1.0E-07
  2.500E-04  4.75964E-12  8.16533E-15  2.91589E+02  1.58155E-07  1.0E-07
  2.750E-04  5.75917E-12  8.16533E-15  2.91589E+02  1.73970E-07  1.0E-07
  3.000E-04  6.85391E-12  8.16533E-15  2.91589E+02  1.89786E-07  1.0E-07
  3.250E-04  8.04379E-12  8.16533E-15  2.91589E+02  2.05601E-07  1.0E-07
  3.500E-04  9.32893E-12  8.16533E-15  2.91589E+02  2.21417E-07  1.0E-07
  3.750E-04  1.07092E-11  8.16533E-15  2.91589E+02  2.37232E-07  1.0E-07
  4.000E-04  1.21847E-11  8.16533E-15  2.91589E+02  2.53048E-07  1.0E-07
  4.250E-04  1.37554E-11  8.16533E-15  2.91589E+02  2.68863E-07  1.0E-07
  4.500E-04  1.54213E-11  8.16533E-15  2.91589E+02  2.84679E-07  1.0E-07
  4.750E-04  1.71823E-11  8.16533E-15  2.91589E+02  3.00494E-07  1.0E-07
  5.000E-04  1.90386E-11  8.16533E-15  2.91589E+02  3.16310E-07  1.0E-07
  5.250E-04  2.09900E-11  8.16533E-15  2.91589E+02  3.32125E-07  1.0E-07
  5.500E-04  2.30367E-11  8.16533E-15  2.91589E+02  3.47941E-07  1.0E-07
  5.750E-04  2.51785E-11  8.16533E-15  2.91589E+02  3.63756E-07  1.0E-07
  6.000E-04  2.74156E-11  8.16533E-15  2.91589E+02  3.79572E-07  1.0E-07
  6.250E-04  2.97478E-11  8.16533E-15  2.91589E+02  3.95387E-07  1.0E-07
  6.500E-04  3.21752E-11  8.16533E-15  2.91589E+02  4.11203E-07  1.0E-07
  6.750E-04  3.46979E-11  8.16533E-15  2.91589E+02  4.27018E-07  1.0E-07
  7.000E-04  3.73157E-11  8.16533E-15  2.91589E+02  4.42834E-07  1.0E-07
  7.250E-04  4.00286E-11  8.16533E-15  2.91589E+02  4.58649E-07  1.0E-07
  7.500E-04  4.28368E-11  8.16533E-15  2.91589E+02  4.74465E-07  1.0E-07
  7.750E-04  4.57402E-11  8.16533E-15  2.91589E+02  4.90280E-07  1.0E-07
