 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+02 eV = 2.20496E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical TFM model
 #                   A1 =  1.00000D-01 ,   ALPHA1 = 2.92015D+01
 #                   A2 =  5.50000D-01 ,   ALPHA2 = 5.84029D+00
 #                   A3 =  3.50000D-01 ,   ALPHA3 = 1.46007D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 5.86302E+00
 #
 # Total elastic cross section = 5.17320E-16 cm**2 = 1.84738E+01 a0**2
 # 1st transport cross section = 1.18040E-16 cm**2 = 4.21528E+00 a0**2
 # 2nd transport cross section = 1.33498E-16 cm**2 = 4.76728E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.01619E-14  3.62887E+02  0.00000E+00  1.6E-07
  1.000E-04  7.61557E-13  1.01619E-14  3.62887E+02  5.76970E-09  1.6E-07
  1.250E-04  1.18994E-12  1.01619E-14  3.62887E+02  7.21213E-09  1.6E-07
  1.500E-04  1.71346E-12  1.01619E-14  3.62887E+02  8.65455E-09  1.6E-07
  1.750E-04  2.33225E-12  1.01619E-14  3.62887E+02  1.00970E-08  1.6E-07
  2.000E-04  3.04617E-12  1.01619E-14  3.62887E+02  1.15394E-08  1.6E-07
  2.250E-04  3.85530E-12  1.01619E-14  3.62887E+02  1.29818E-08  1.6E-07
  2.500E-04  4.75964E-12  1.01619E-14  3.62887E+02  1.44243E-08  1.6E-07
  2.750E-04  5.75917E-12  1.01619E-14  3.62887E+02  1.58667E-08  1.6E-07
  3.000E-04  6.85391E-12  1.01619E-14  3.62887E+02  1.73091E-08  1.6E-07
  3.250E-04  8.04379E-12  1.01619E-14  3.62887E+02  1.87515E-08  1.6E-07
  3.500E-04  9.32893E-12  1.01619E-14  3.62887E+02  2.01940E-08  1.6E-07
  3.750E-04  1.07092E-11  1.01619E-14  3.62887E+02  2.16364E-08  1.6E-07
  4.000E-04  1.21847E-11  1.01619E-14  3.62887E+02  2.30788E-08  1.6E-07
  4.250E-04  1.37554E-11  1.01619E-14  3.62887E+02  2.45212E-08  1.6E-07
  4.500E-04  1.54213E-11  1.01619E-14  3.62887E+02  2.59637E-08  1.6E-07
  4.750E-04  1.71823E-11  1.01619E-14  3.62887E+02  2.74061E-08  1.6E-07
  5.000E-04  1.90386E-11  1.01619E-14  3.62887E+02  2.88485E-08  1.6E-07
  5.250E-04  2.09900E-11  1.01619E-14  3.62887E+02  3.02909E-08  1.6E-07
  5.500E-04  2.30367E-11  1.01619E-14  3.62887E+02  3.17334E-08  1.6E-07
  5.750E-04  2.51785E-11  1.01619E-14  3.62887E+02  3.31758E-08  1.6E-07
  6.000E-04  2.74156E-11  1.01619E-14  3.62887E+02  3.46182E-08  1.6E-07
  6.250E-04  2.97478E-11  1.01619E-14  3.62887E+02  3.60606E-08  1.6E-07
  6.500E-04  3.21752E-11  1.01619E-14  3.62887E+02  3.75031E-08  1.6E-07
  6.750E-04  3.46979E-11  1.01619E-14  3.62887E+02  3.89455E-08  1.6E-07
  7.000E-04  3.73157E-11  1.01619E-14  3.62887E+02  4.03879E-08  1.6E-07
  7.250E-04  4.00286E-11  1.01619E-14  3.62887E+02  4.18303E-08  1.6E-07
  7.500E-04  4.28368E-11  1.01619E-14  3.62887E+02  4.32728E-08  1.6E-07
  7.750E-04  4.57402E-11  1.01619E-14  3.62887E+02  4.47152E-08  1.6E-07
  8.000E-04  4.87388E-11  1.01619E-14  3.62887E+02  4.61576E-08  1.6E-07
  8.250E-04  5.18325E-11  1.01619E-14  3.62887E+02  4.76000E-08  1.6E-07
  8.500E-04  5.50215E-11  1.01619E-14  3.62887E+02  4.90425E-08  1.6E-07
  8.750E-04  5.83057E-11  1.01619E-14  3.62887E+02  5.04849E-08  1.6E-07
  9.000E-04  6.16850E-11  1.01619E-14  3.62887E+02  5.19273E-08  1.6E-07
  9.250E-04  6.51595E-11  1.01619E-14  3.62887E+02  5.33697E-08  1.6E-07
  9.500E-04  6.87293E-11  1.01619E-14  3.62887E+02  5.48122E-08  1.6E-07
  9.750E-04  7.23943E-11  1.01619E-14  3.62887E+02  5.62546E-08  1.6E-07
  1.000E-03  7.61544E-11  1.01619E-14  3.62887E+02  5.76970E-08  1.6E-07
  1.250E-03  1.18991E-10  1.01619E-14  3.62887E+02  7.21213E-08  1.6E-07
  1.500E-03  1.71347E-10  1.01619E-14  3.62887E+02  8.65455E-08  1.6E-07
  1.750E-03  2.33223E-10  1.01619E-14  3.62887E+02  1.00970E-07  1.6E-07
  2.000E-03  3.04617E-10  1.01619E-14  3.62887E+02  1.15394E-07  1.6E-07
  2.250E-03  3.85531E-10  1.01619E-14  3.62887E+02  1.29818E-07  1.6E-07
  2.500E-03  4.75965E-10  1.01619E-14  3.62887E+02  1.44243E-07  1.6E-07
  2.750E-03  5.75917E-10  1.01619E-14  3.62886E+02  1.58667E-07  1.6E-07
  3.000E-03  6.85389E-10  1.01618E-14  3.62886E+02  1.73091E-07  1.6E-07
  3.250E-03  8.04380E-10  1.01618E-14  3.62886E+02  1.87515E-07  1.6E-07
  3.500E-03  9.32891E-10  1.01618E-14  3.62886E+02  2.01940E-07  1.6E-07
  3.750E-03  1.07092E-09  1.01618E-14  3.62886E+02  2.16364E-07  1.6E-07
  4.000E-03  1.21847E-09  1.01618E-14  3.62885E+02  2.30788E-07  1.6E-07
  4.250E-03  1.37554E-09  1.01618E-14  3.62885E+02  2.45213E-07  1.6E-07
  4.500E-03  1.54213E-09  1.01618E-14  3.62885E+02  2.59637E-07  1.6E-07
  4.750E-03  1.71823E-09  1.01618E-14  3.62884E+02  2.74062E-07  1.6E-07
  5.000E-03  1.90386E-09  1.01618E-14  3.62884E+02  2.88486E-07  1.6E-07
  5.250E-03  2.09900E-09  1.01618E-14  3.62884E+02  3.02910E-07  1.6E-07
  5.500E-03  2.30367E-09  1.01618E-14  3.62883E+02  3.17335E-07  1.6E-07
  5.750E-03  2.51785E-09  1.01618E-14  3.62883E+02  3.31759E-07  1.6E-07
  6.000E-03  2.74156E-09  1.01618E-14  3.62883E+02  3.46184E-07  1.6E-07
  6.250E-03  2.97478E-09  1.01617E-14  3.62882E+02  3.60608E-07  1.6E-07
  6.500E-03  3.21752E-09  1.01617E-14  3.62882E+02  3.75032E-07  1.6E-07
  6.750E-03  3.46978E-09  1.01617E-14  3.62881E+02  3.89457E-07  1.6E-07
  7.000E-03  3.73156E-09  1.01617E-14  3.62881E+02  4.03881E-07  1.6E-07
  7.250E-03  4.00286E-09  1.01617E-14  3.62881E+02  4.18306E-07  1.6E-07
