 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+01 eV = 5.51240E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical TFD model
 #                   A1 =  1.19007D-01 ,   ALPHA1 = 2.60190D+01
 #                   A2 =  5.60270D-01 ,   ALPHA2 = 5.45128D+00
 #                   A3 =  3.20724D-01 ,   ALPHA3 = 1.55122D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.20207E-15 cm**2 = 4.29266E+01 a0**2
 # 1st transport cross section = 4.22737E-16 cm**2 = 1.50962E+01 a0**2
 # 2nd transport cross section = 4.40717E-16 cm**2 = 1.57383E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.29341E-15  4.61886E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.29341E-15  4.61886E+01  1.65616E-07  1.0E-07
  1.250E-04  1.18994E-12  1.29341E-15  4.61886E+01  2.07020E-07  1.0E-07
  1.500E-04  1.71346E-12  1.29341E-15  4.61886E+01  2.48424E-07  1.0E-07
  1.750E-04  2.33225E-12  1.29341E-15  4.61886E+01  2.89828E-07  1.0E-07
  2.000E-04  3.04617E-12  1.29341E-15  4.61886E+01  3.31232E-07  1.0E-07
  2.250E-04  3.85530E-12  1.29341E-15  4.61886E+01  3.72636E-07  1.0E-07
  2.500E-04  4.75964E-12  1.29341E-15  4.61886E+01  4.14040E-07  1.0E-07
  2.750E-04  5.75917E-12  1.29341E-15  4.61886E+01  4.55444E-07  1.0E-07
  3.000E-04  6.85391E-12  1.29341E-15  4.61886E+01  4.96847E-07  1.0E-07
  3.250E-04  8.04379E-12  1.29341E-15  4.61886E+01  5.38251E-07  1.0E-07
  3.500E-04  9.32893E-12  1.29341E-15  4.61886E+01  5.79655E-07  1.0E-07
  3.750E-04  1.07092E-11  1.29341E-15  4.61886E+01  6.21059E-07  1.0E-07
  4.000E-04  1.21847E-11  1.29341E-15  4.61886E+01  6.62463E-07  1.0E-07
  4.250E-04  1.37554E-11  1.29341E-15  4.61886E+01  7.03867E-07  1.0E-07
  4.500E-04  1.54213E-11  1.29341E-15  4.61886E+01  7.45271E-07  1.0E-07
  4.750E-04  1.71823E-11  1.29341E-15  4.61886E+01  7.86675E-07  1.0E-07
  5.000E-04  1.90386E-11  1.29341E-15  4.61886E+01  8.28079E-07  1.0E-07
  5.250E-04  2.09900E-11  1.29341E-15  4.61886E+01  8.69483E-07  1.0E-07
  5.500E-04  2.30367E-11  1.29341E-15  4.61886E+01  9.10887E-07  1.0E-07
  5.750E-04  2.51785E-11  1.29341E-15  4.61886E+01  9.52291E-07  1.0E-07
  6.000E-04  2.74156E-11  1.29341E-15  4.61886E+01  9.93695E-07  1.0E-07
  6.250E-04  2.97478E-11  1.29341E-15  4.61886E+01  1.03510E-06  1.0E-07
  6.500E-04  3.21752E-11  1.29341E-15  4.61886E+01  1.07650E-06  1.0E-07
  6.750E-04  3.46979E-11  1.29341E-15  4.61886E+01  1.11791E-06  1.0E-07
  7.000E-04  3.73157E-11  1.29341E-15  4.61886E+01  1.15931E-06  1.0E-07
  7.250E-04  4.00286E-11  1.29341E-15  4.61886E+01  1.20071E-06  1.0E-07
  7.500E-04  4.28368E-11  1.29341E-15  4.61886E+01  1.24212E-06  1.0E-07
  7.750E-04  4.57402E-11  1.29341E-15  4.61886E+01  1.28352E-06  1.0E-07
  8.000E-04  4.87388E-11  1.29341E-15  4.61886E+01  1.32493E-06  1.0E-07
  8.250E-04  5.18325E-11  1.29341E-15  4.61886E+01  1.36633E-06  1.0E-07
  8.500E-04  5.50215E-11  1.29341E-15  4.61886E+01  1.40773E-06  1.0E-07
