 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+04 eV = 5.51240E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical TFD model
 #                   A1 =  1.19007D-01 ,   ALPHA1 = 2.60190D+01
 #                   A2 =  5.60270D-01 ,   ALPHA2 = 5.45128D+00
 #                   A3 =  3.20724D-01 ,   ALPHA3 = 1.55122D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.87965E-17 cm**2 = 2.81387E+00 a0**2
 # 1st transport cross section = 2.63169E-18 cm**2 = 9.39795E-02 a0**2
 # 2nd transport cross section = 4.52412E-18 cm**2 = 1.61559E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.06964E-14  3.81974E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.06964E-14  3.81974E+02  4.01399E-10  1.0E-07
  1.250E-04  1.18994E-12  1.06964E-14  3.81974E+02  5.01749E-10  1.0E-07
  1.500E-04  1.71346E-12  1.06964E-14  3.81974E+02  6.02099E-10  1.0E-07
  1.750E-04  2.33225E-12  1.06964E-14  3.81974E+02  7.02449E-10  1.0E-07
  2.000E-04  3.04617E-12  1.06964E-14  3.81974E+02  8.02799E-10  1.0E-07
  2.250E-04  3.85530E-12  1.06964E-14  3.81974E+02  9.03149E-10  1.0E-07
  2.500E-04  4.75964E-12  1.06964E-14  3.81974E+02  1.00350E-09  1.0E-07
  2.750E-04  5.75917E-12  1.06964E-14  3.81974E+02  1.10385E-09  1.0E-07
  3.000E-04  6.85391E-12  1.06964E-14  3.81974E+02  1.20420E-09  1.0E-07
  3.250E-04  8.04379E-12  1.06964E-14  3.81974E+02  1.30455E-09  1.0E-07
  3.500E-04  9.32893E-12  1.06964E-14  3.81974E+02  1.40490E-09  1.0E-07
  3.750E-04  1.07092E-11  1.06964E-14  3.81974E+02  1.50525E-09  1.0E-07
  4.000E-04  1.21847E-11  1.06964E-14  3.81974E+02  1.60560E-09  1.0E-07
  4.250E-04  1.37554E-11  1.06964E-14  3.81974E+02  1.70595E-09  1.0E-07
  4.500E-04  1.54213E-11  1.06964E-14  3.81974E+02  1.80630E-09  1.0E-07
  4.750E-04  1.71823E-11  1.06964E-14  3.81974E+02  1.90665E-09  1.0E-07
  5.000E-04  1.90386E-11  1.06964E-14  3.81974E+02  2.00700E-09  1.0E-07
  5.250E-04  2.09900E-11  1.06964E-14  3.81974E+02  2.10735E-09  1.0E-07
  5.500E-04  2.30367E-11  1.06964E-14  3.81974E+02  2.20770E-09  1.0E-07
  5.750E-04  2.51785E-11  1.06964E-14  3.81974E+02  2.30805E-09  1.0E-07
  6.000E-04  2.74156E-11  1.06964E-14  3.81974E+02  2.40840E-09  1.0E-07
  6.250E-04  2.97478E-11  1.06964E-14  3.81974E+02  2.50875E-09  1.0E-07
  6.500E-04  3.21752E-11  1.06964E-14  3.81974E+02  2.60910E-09  1.0E-07
  6.750E-04  3.46979E-11  1.06964E-14  3.81974E+02  2.70945E-09  1.0E-07
  7.000E-04  3.73157E-11  1.06964E-14  3.81974E+02  2.80980E-09  1.0E-07
  7.250E-04  4.00286E-11  1.06964E-14  3.81974E+02  2.91015E-09  1.0E-07
  7.500E-04  4.28368E-11  1.06964E-14  3.81974E+02  3.01050E-09  1.0E-07
  7.750E-04  4.57402E-11  1.06964E-14  3.81974E+02  3.11085E-09  1.0E-07
  8.000E-04  4.87388E-11  1.06964E-14  3.81974E+02  3.21120E-09  1.0E-07
  8.250E-04  5.18325E-11  1.06964E-14  3.81974E+02  3.31155E-09  1.0E-07
