 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+02 eV = 2.20496E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical TFD model
 #                   A1 =  1.19007D-01 ,   ALPHA1 = 2.60190D+01
 #                   A2 =  5.60270D-01 ,   ALPHA2 = 5.45128D+00
 #                   A3 =  3.20724D-01 ,   ALPHA3 = 1.55122D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 4.03278E-16 cm**2 = 1.44013E+01 a0**2
 # 1st transport cross section = 1.05350E-16 cm**2 = 3.76213E+00 a0**2
 # 2nd transport cross section = 1.19737E-16 cm**2 = 4.27588E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.62730E-15  1.29533E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.62730E-15  1.29533E+02  4.17165E-09  1.0E-07
  1.250E-04  1.18994E-12  3.62730E-15  1.29533E+02  5.21456E-09  1.0E-07
  1.500E-04  1.71346E-12  3.62730E-15  1.29533E+02  6.25747E-09  1.0E-07
  1.750E-04  2.33225E-12  3.62730E-15  1.29533E+02  7.30039E-09  1.0E-07
  2.000E-04  3.04617E-12  3.62730E-15  1.29533E+02  8.34330E-09  1.0E-07
  2.250E-04  3.85530E-12  3.62730E-15  1.29533E+02  9.38621E-09  1.0E-07
  2.500E-04  4.75964E-12  3.62730E-15  1.29533E+02  1.04291E-08  1.0E-07
  2.750E-04  5.75917E-12  3.62730E-15  1.29533E+02  1.14720E-08  1.0E-07
  3.000E-04  6.85391E-12  3.62730E-15  1.29533E+02  1.25149E-08  1.0E-07
  3.250E-04  8.04379E-12  3.62730E-15  1.29533E+02  1.35579E-08  1.0E-07
  3.500E-04  9.32893E-12  3.62730E-15  1.29533E+02  1.46008E-08  1.0E-07
  3.750E-04  1.07092E-11  3.62730E-15  1.29533E+02  1.56437E-08  1.0E-07
  4.000E-04  1.21847E-11  3.62730E-15  1.29533E+02  1.66866E-08  1.0E-07
  4.250E-04  1.37554E-11  3.62730E-15  1.29533E+02  1.77295E-08  1.0E-07
  4.500E-04  1.54213E-11  3.62730E-15  1.29533E+02  1.87724E-08  1.0E-07
  4.750E-04  1.71823E-11  3.62730E-15  1.29533E+02  1.98153E-08  1.0E-07
  5.000E-04  1.90386E-11  3.62730E-15  1.29533E+02  2.08582E-08  1.0E-07
  5.250E-04  2.09900E-11  3.62730E-15  1.29533E+02  2.19012E-08  1.0E-07
