 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+03 eV = 7.34987E+01 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical TFD model
 #                   A1 =  1.19007D-01 ,   ALPHA1 = 2.60190D+01
 #                   A2 =  5.60270D-01 ,   ALPHA2 = 5.45128D+00
 #                   A3 =  3.20724D-01 ,   ALPHA3 = 1.55122D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.10397E+01
 #
 # Total elastic cross section = 2.36233E-16 cm**2 = 8.43605E+00 a0**2
 # 1st transport cross section = 3.78416E-17 cm**2 = 1.35135E+00 a0**2
 # 2nd transport cross section = 3.62898E-17 cm**2 = 1.29593E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  9.74263E-15  3.47916E+02  0.00000E+00  3.6E-05
  1.000E-04  7.61557E-13  9.74263E-15  3.47916E+02  7.87428E-10  3.6E-05
  1.250E-04  1.18994E-12  9.74263E-15  3.47916E+02  9.84285E-10  3.6E-05
  1.500E-04  1.71346E-12  9.74263E-15  3.47916E+02  1.18114E-09  3.6E-05
  1.750E-04  2.33225E-12  9.74263E-15  3.47916E+02  1.37800E-09  3.6E-05
  2.000E-04  3.04617E-12  9.74263E-15  3.47916E+02  1.57486E-09  3.6E-05
  2.250E-04  3.85530E-12  9.74263E-15  3.47916E+02  1.77171E-09  3.6E-05
  2.500E-04  4.75964E-12  9.74263E-15  3.47916E+02  1.96857E-09  3.6E-05
  2.750E-04  5.75917E-12  9.74263E-15  3.47916E+02  2.16543E-09  3.6E-05
  3.000E-04  6.85391E-12  9.74263E-15  3.47916E+02  2.36228E-09  3.6E-05
  3.250E-04  8.04379E-12  9.74263E-15  3.47916E+02  2.55914E-09  3.6E-05
  3.500E-04  9.32893E-12  9.74263E-15  3.47916E+02  2.75600E-09  3.6E-05
  3.750E-04  1.07092E-11  9.74263E-15  3.47916E+02  2.95285E-09  3.6E-05
  4.000E-04  1.21847E-11  9.74263E-15  3.47916E+02  3.14971E-09  3.6E-05
  4.250E-04  1.37554E-11  9.74263E-15  3.47916E+02  3.34657E-09  3.6E-05
  4.500E-04  1.54213E-11  9.74263E-15  3.47916E+02  3.54343E-09  3.6E-05
  4.750E-04  1.71823E-11  9.74263E-15  3.47916E+02  3.74028E-09  3.6E-05
  5.000E-04  1.90386E-11  9.74263E-15  3.47916E+02  3.93714E-09  3.6E-05
  5.250E-04  2.09900E-11  9.74263E-15  3.47916E+02  4.13400E-09  3.6E-05
  5.500E-04  2.30367E-11  9.74263E-15  3.47916E+02  4.33085E-09  3.6E-05
  5.750E-04  2.51785E-11  9.74263E-15  3.47916E+02  4.52771E-09  3.6E-05
  6.000E-04  2.74156E-11  9.74263E-15  3.47916E+02  4.72457E-09  3.6E-05
  6.250E-04  2.97478E-11  9.74263E-15  3.47916E+02  4.92143E-09  3.6E-05
  6.500E-04  3.21752E-11  9.74263E-15  3.47916E+02  5.11828E-09  3.6E-05
  6.750E-04  3.46979E-11  9.74263E-15  3.47916E+02  5.31514E-09  3.6E-05
  7.000E-04  3.73157E-11  9.74263E-15  3.47916E+02  5.51200E-09  3.6E-05
  7.250E-04  4.00286E-11  9.74263E-15  3.47916E+02  5.70885E-09  3.6E-05
  7.500E-04  4.28368E-11  9.74263E-15  3.47916E+02  5.90571E-09  3.6E-05
  7.750E-04  4.57402E-11  9.74263E-15  3.47916E+02  6.10257E-09  3.6E-05
  8.000E-04  4.87388E-11  9.74263E-15  3.47916E+02  6.29943E-09  3.6E-05
  8.250E-04  5.18325E-11  9.74263E-15  3.47916E+02  6.49628E-09  3.6E-05
  8.500E-04  5.50215E-11  9.74263E-15  3.47916E+02  6.69314E-09  3.6E-05
  8.750E-04  5.83057E-11  9.74263E-15  3.47916E+02  6.89000E-09  3.6E-05
  9.000E-04  6.16850E-11  9.74263E-15  3.47916E+02  7.08686E-09  3.6E-05
  9.250E-04  6.51595E-11  9.74263E-15  3.47915E+02  7.28371E-09  3.6E-05
  9.500E-04  6.87293E-11  9.74263E-15  3.47915E+02  7.48057E-09  3.6E-05
  9.750E-04  7.23943E-11  9.74262E-15  3.47915E+02  7.67743E-09  3.6E-05
  1.000E-03  7.61544E-11  9.74262E-15  3.47915E+02  7.87429E-09  3.6E-05
  1.250E-03  1.18991E-10  9.74262E-15  3.47915E+02  9.84286E-09  3.6E-05
  1.500E-03  1.71347E-10  9.74261E-15  3.47915E+02  1.18114E-08  3.6E-05
  1.750E-03  2.33223E-10  9.74260E-15  3.47915E+02  1.37800E-08  3.6E-05
  2.000E-03  3.04617E-10  9.74259E-15  3.47914E+02  1.57486E-08  3.6E-05
  2.250E-03  3.85531E-10  9.74258E-15  3.47914E+02  1.77172E-08  3.6E-05
  2.500E-03  4.75965E-10  9.74257E-15  3.47913E+02  1.96858E-08  3.6E-05
  2.750E-03  5.75917E-10  9.74255E-15  3.47913E+02  2.16544E-08  3.6E-05
  3.000E-03  6.85389E-10  9.74254E-15  3.47912E+02  2.36230E-08  3.6E-05
  3.250E-03  8.04380E-10  9.74252E-15  3.47912E+02  2.55917E-08  3.6E-05
  3.500E-03  9.32891E-10  9.74250E-15  3.47911E+02  2.75603E-08  3.6E-05
  3.750E-03  1.07092E-09  9.74249E-15  3.47910E+02  2.95290E-08  3.6E-05
  4.000E-03  1.21847E-09  9.74246E-15  3.47910E+02  3.14976E-08  3.6E-05
  4.250E-03  1.37554E-09  9.74244E-15  3.47909E+02  3.34663E-08  3.6E-05
  4.500E-03  1.54213E-09  9.74242E-15  3.47908E+02  3.54350E-08  3.6E-05
