 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+03 eV = 1.28623E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: analytical TFD model
 #                   A1 =  1.19007D-01 ,   ALPHA1 = 2.60190D+01
 #                   A2 =  5.60270D-01 ,   ALPHA2 = 5.45128D+00
 #                   A3 =  3.20724D-01 ,   ALPHA3 = 1.55122D+00
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.46842E+01
 #
 # Total elastic cross section = 1.77259E-16 cm**2 = 6.33002E+00 a0**2
 # 1st transport cross section = 1.94531E-17 cm**2 = 6.94681E-01 a0**2
 # 2nd transport cross section = 2.22219E-17 cm**2 = 7.93558E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.06937E-14  3.81880E+02  0.00000E+00  2.8E-05
  1.000E-04  7.61557E-13  1.06937E-14  3.81880E+02  2.13160E-09  2.8E-05
  1.250E-04  1.18994E-12  1.06937E-14  3.81880E+02  2.66450E-09  2.8E-05
  1.500E-04  1.71346E-12  1.06937E-14  3.81880E+02  3.19740E-09  2.8E-05
  1.750E-04  2.33225E-12  1.06937E-14  3.81880E+02  3.73030E-09  2.8E-05
  2.000E-04  3.04617E-12  1.06937E-14  3.81880E+02  4.26320E-09  2.8E-05
  2.250E-04  3.85530E-12  1.06937E-14  3.81880E+02  4.79610E-09  2.8E-05
  2.500E-04  4.75964E-12  1.06937E-14  3.81880E+02  5.32900E-09  2.8E-05
  2.750E-04  5.75917E-12  1.06937E-14  3.81880E+02  5.86190E-09  2.8E-05
  3.000E-04  6.85391E-12  1.06937E-14  3.81880E+02  6.39480E-09  2.8E-05
  3.250E-04  8.04379E-12  1.06937E-14  3.81880E+02  6.92769E-09  2.8E-05
  3.500E-04  9.32893E-12  1.06937E-14  3.81880E+02  7.46059E-09  2.8E-05
  3.750E-04  1.07092E-11  1.06937E-14  3.81880E+02  7.99349E-09  2.8E-05
  4.000E-04  1.21847E-11  1.06937E-14  3.81880E+02  8.52639E-09  2.8E-05
  4.250E-04  1.37554E-11  1.06937E-14  3.81880E+02  9.05929E-09  2.8E-05
  4.500E-04  1.54213E-11  1.06937E-14  3.81879E+02  9.59219E-09  2.8E-05
  4.750E-04  1.71823E-11  1.06937E-14  3.81879E+02  1.01251E-08  2.8E-05
  5.000E-04  1.90386E-11  1.06937E-14  3.81879E+02  1.06580E-08  2.8E-05
  5.250E-04  2.09900E-11  1.06937E-14  3.81879E+02  1.11909E-08  2.8E-05
  5.500E-04  2.30367E-11  1.06937E-14  3.81879E+02  1.17238E-08  2.8E-05
  5.750E-04  2.51785E-11  1.06937E-14  3.81879E+02  1.22567E-08  2.8E-05
  6.000E-04  2.74156E-11  1.06937E-14  3.81879E+02  1.27896E-08  2.8E-05
  6.250E-04  2.97478E-11  1.06937E-14  3.81879E+02  1.33225E-08  2.8E-05
  6.500E-04  3.21752E-11  1.06937E-14  3.81879E+02  1.38554E-08  2.8E-05
  6.750E-04  3.46979E-11  1.06937E-14  3.81879E+02  1.43883E-08  2.8E-05
  7.000E-04  3.73157E-11  1.06937E-14  3.81879E+02  1.49212E-08  2.8E-05
  7.250E-04  4.00286E-11  1.06937E-14  3.81879E+02  1.54541E-08  2.8E-05
  7.500E-04  4.28368E-11  1.06937E-14  3.81879E+02  1.59870E-08  2.8E-05
  7.750E-04  4.57402E-11  1.06937E-14  3.81879E+02  1.65199E-08  2.8E-05
  8.000E-04  4.87388E-11  1.06937E-14  3.81879E+02  1.70528E-08  2.8E-05
  8.250E-04  5.18325E-11  1.06937E-14  3.81879E+02  1.75857E-08  2.8E-05
  8.500E-04  5.50215E-11  1.06937E-14  3.81879E+02  1.81186E-08  2.8E-05
  8.750E-04  5.83057E-11  1.06937E-14  3.81879E+02  1.86515E-08  2.8E-05
  9.000E-04  6.16850E-11  1.06937E-14  3.81879E+02  1.91844E-08  2.8E-05
  9.250E-04  6.51595E-11  1.06937E-14  3.81879E+02  1.97173E-08  2.8E-05
  9.500E-04  6.87293E-11  1.06937E-14  3.81879E+02  2.02502E-08  2.8E-05
  9.750E-04  7.23943E-11  1.06937E-14  3.81879E+02  2.07831E-08  2.8E-05
  1.000E-03  7.61544E-11  1.06937E-14  3.81879E+02  2.13160E-08  2.8E-05
  1.250E-03  1.18991E-10  1.06937E-14  3.81879E+02  2.66450E-08  2.8E-05
  1.500E-03  1.71347E-10  1.06937E-14  3.81878E+02  3.19740E-08  2.8E-05
  1.750E-03  2.33223E-10  1.06937E-14  3.81878E+02  3.73030E-08  2.8E-05
  2.000E-03  3.04617E-10  1.06936E-14  3.81877E+02  4.26320E-08  2.8E-05
  2.250E-03  3.85531E-10  1.06936E-14  3.81876E+02  4.79610E-08  2.8E-05
  2.500E-03  4.75965E-10  1.06936E-14  3.81875E+02  5.32900E-08  2.8E-05
  2.750E-03  5.75917E-10  1.06936E-14  3.81874E+02  5.86191E-08  2.8E-05
  3.000E-03  6.85389E-10  1.06935E-14  3.81873E+02  6.39481E-08  2.8E-05
  3.250E-03  8.04380E-10  1.06935E-14  3.81872E+02  6.92771E-08  2.8E-05
  3.500E-03  9.32891E-10  1.06935E-14  3.81871E+02  7.46061E-08  2.8E-05
  3.750E-03  1.07092E-09  1.06934E-14  3.81870E+02  7.99352E-08  2.8E-05
  4.000E-03  1.21847E-09  1.06934E-14  3.81869E+02  8.52642E-08  2.8E-05
  4.250E-03  1.37554E-09  1.06934E-14  3.81867E+02  9.05933E-08  2.8E-05
  4.500E-03  1.54213E-09  1.06933E-14  3.81866E+02  9.59224E-08  2.8E-05
  4.750E-03  1.71823E-09  1.06933E-14  3.81864E+02  1.01251E-07  2.8E-05
  5.000E-03  1.90386E-09  1.06932E-14  3.81862E+02  1.06581E-07  2.8E-05
  5.250E-03  2.09900E-09  1.06932E-14  3.81861E+02  1.11910E-07  2.8E-05
  5.500E-03  2.30367E-09  1.06931E-14  3.81859E+02  1.17239E-07  2.8E-05
  5.750E-03  2.51785E-09  1.06931E-14  3.81857E+02  1.22568E-07  2.8E-05
  6.000E-03  2.74156E-09  1.06930E-14  3.81855E+02  1.27897E-07  2.8E-05
  6.250E-03  2.97478E-09  1.06930E-14  3.81853E+02  1.33226E-07  2.8E-05
  6.500E-03  3.21752E-09  1.06929E-14  3.81851E+02  1.38555E-07  2.8E-05
  6.750E-03  3.46978E-09  1.06928E-14  3.81848E+02  1.43884E-07  2.8E-05
